state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Mississippi,Adams County,2020-02-16,-2.016,-11.524,0.564,2.391,3.576,1.603
Mississippi,Adams County,2020-02-17,-8.401,-0.687,4.019,3.623,0.681,-21.368
Mississippi,Adams County,2020-02-18,-1.126,-2.328,1.054,1.161,0.084,0.663
Mississippi,Adams County,2020-02-19,-14.23,-1.984,0.311,-6.093,2.155,-6.51
Mississippi,Adams County,2020-02-20,-4.006,-19.755,2.746,-9.23,-0.403,-3.235
Mississippi,Adams County,2020-02-21,-6.69,2.225,-0.148,5.904,8.9,0.668
Mississippi,Adams County,2020-02-22,,19.556,-1.002,-0.462,12.36,
Mississippi,Adams County,2020-02-23,-8.065,11.524,-0.374,4.781,12.019,1.603
Mississippi,Adams County,2020-02-24,-3.92,-9.102,2.082,2.717,1.958,-4.674
Mississippi,Adams County,2020-02-25,,24.36,0.285,8.415,9.644,-1.99
Mississippi,Adams County,2020-02-26,-2.846,8.84,-1.276,21.472,15.417,-3.906
Mississippi,Adams County,2020-02-27,4.579,18.235,-1.517,27.162,11.519,-0.647
Mississippi,Adams County,2020-02-28,0.478,18.393,-2.768,18.345,10.235,0.668
Mississippi,Adams County,2020-02-29,9.363,41.849,-3.679,24.483,16.895,
Mississippi,Adams County,2020-03-01,5.376,35.021,-2.438,26.639,24.038,9.615
Mississippi,Adams County,2020-03-02,3.92,10.133,-1.185,22.947,4.683,1.335
Mississippi,Adams County,2020-03-03,14.64,21.136,-1.856,29.306,8.05,
Mississippi,Adams County,2020-03-04,-2.846,-5.953,0.838,2.611,4.227,-3.255
Mississippi,Adams County,2020-03-05,13.736,20.937,-0.996,21.097,10.149,1.941
Mississippi,Adams County,2020-03-06,1.433,23.585,-1.979,12.23,11.348,
Mississippi,Adams County,2020-03-07,8.778,41.067,-2.755,12.472,22.853,-3.906
Mississippi,Adams County,2020-03-08,9.409,45.198,-2.275,17.077,21.753,
Mississippi,Adams County,2020-03-09,6.72,24.044,0.886,17.21,7.663,-12.019
Mississippi,Adams County,2020-03-10,9.572,38.689,0.29,22.922,7.883,-13.27
Mississippi,Adams County,2020-03-11,4.554,35.901,0.12,24.954,11.687,-14.974
Mississippi,Adams County,2020-03-12,20.032,44.913,0.166,18.724,12.485,-21.351
Mississippi,Adams County,2020-03-13,17.202,23.14,1.377,6.959,8.529,-16.026
Mississippi,Adams County,2020-03-14,23.408,41.067,-0.592,5.081,9.87,-9.115
Mississippi,Adams County,2020-03-15,18.145,32.477,0.876,2.391,9.635,-4.808
Mississippi,Adams County,2020-03-16,21.281,24.215,3.837,12.983,3.916,-15.358
Mississippi,Adams County,2020-03-17,11.261,33.674,5.984,0.29,1.929,-21.895
Mississippi,Adams County,2020-03-18,14.23,32.473,7.006,-3.772,0.166,-23.438
Mississippi,Adams County,2020-03-19,16.598,26.171,8.574,-14.768,-2.98,-26.527
Mississippi,Adams County,2020-03-20,0.956,-0.297,12.169,-31.208,-12.46,-26.042
Mississippi,Adams County,2020-03-21,2.926,-0.913,8.742,-39.265,-14.939,-26.042
Mississippi,Adams County,2020-03-22,-6.048,-5.538,9.302,-35.519,-21.257,-28.846
Mississippi,Adams County,2020-03-23,-5.6,4.122,12.365,-23.551,-18.646,-30.048
Mississippi,Adams County,2020-03-24,-11.261,9.314,13.544,-25.824,-12.998,-33.838
Mississippi,Adams County,2020-03-25,-10.246,25.618,12.702,-26.695,-13.51,-35.807
Mississippi,Adams County,2020-03-26,-9.158,30.899,13.425,-29.8,-16.594,-38.173
Mississippi,Adams County,2020-03-27,-15.768,21.212,14.444,-32.262,-23.511,-39.396
Mississippi,Adams County,2020-03-28,-13.46,14.21,9.408,-40.419,-24.631,-33.854
Mississippi,Adams County,2020-03-29,-10.417,26.79,8.857,-34.153,-28.706,-35.256
Mississippi,Alcorn County,2020-02-16,-18.029,-11.524,0.564,1.925,3.576,-2.637
Mississippi,Alcorn County,2020-02-17,-2.706,-0.687,4.019,10.886,0.681,-15.953
Mississippi,Alcorn County,2020-02-18,-7.848,-2.328,1.054,-0.422,0.084,0.457
Mississippi,Alcorn County,2020-02-19,2.934,-1.984,0.311,4.492,2.155,1.82
Mississippi,Alcorn County,2020-02-20,-7.135,-19.755,2.746,-3.756,-0.403,-0.459
Mississippi,Alcorn County,2020-02-21,-12.19,2.225,-0.148,-3.178,8.9,-1.46
Mississippi,Alcorn County,2020-02-22,-3.235,19.556,-1.002,3.541,12.36,-3.324
Mississippi,Alcorn County,2020-02-23,-11.018,11.524,-0.374,7.914,12.019,1.319
Mississippi,Alcorn County,2020-02-24,-12.175,-9.102,2.082,0.64,1.958,-0.938
Mississippi,Alcorn County,2020-02-25,-5.708,24.36,0.285,11.808,9.644,0.914
Mississippi,Alcorn County,2020-02-26,2.934,8.84,-1.276,22.887,15.417,1.82
Mississippi,Alcorn County,2020-02-27,0.713,18.235,-1.517,17.592,11.519,-0.459
Mississippi,Alcorn County,2020-02-28,-2.77,18.393,-2.768,18.493,10.235,-0.974
Mississippi,Alcorn County,2020-02-29,8.411,41.849,-3.679,29.657,16.895,-1.108
Mississippi,Alcorn County,2020-03-01,1.002,35.021,-2.438,27.165,24.038,
