state,county,date,grocery/pharmacy,retail/recreation,workplace
Mississippi,Coahoma County,2020-02-16,-4.808,-7.565,-1.708
Mississippi,Coahoma County,2020-02-17,-4.96,-2.336,-17.21
Mississippi,Coahoma County,2020-02-18,1.353,-4.36,-2.648
Mississippi,Coahoma County,2020-02-19,11.416,-1.929,-0.84
Mississippi,Coahoma County,2020-02-20,-16.667,-8.98,
Mississippi,Coahoma County,2020-02-21,-28.878,-0.384,0.847
Mississippi,Coahoma County,2020-02-22,-5.081,5.69,13.993
Mississippi,Coahoma County,2020-02-23,-9.615,-9.311,-1.708
Mississippi,Coahoma County,2020-02-24,-19.841,-4.671,1.812
Mississippi,Coahoma County,2020-02-25,-14.881,14.05,6.179
Mississippi,Coahoma County,2020-02-26,-4.281,33.758,2.52
Mississippi,Coahoma County,2020-02-27,,25.593,6.887
Mississippi,Coahoma County,2020-02-28,16.502,32.288,4.234
Mississippi,Coahoma County,2020-02-29,-1.27,26.698,9.328
Mississippi,Coahoma County,2020-03-01,,30.843,3.415
Mississippi,Coahoma County,2020-03-02,6.2,28.494,7.246
Mississippi,Coahoma County,2020-03-03,32.468,42.151,3.531
Mississippi,Coahoma County,2020-03-04,7.135,28.935,0.84
Mississippi,Coahoma County,2020-03-05,19.444,29.634,7.748
Mississippi,Coahoma County,2020-03-06,-4.125,18.835,-0.847
Mississippi,Coahoma County,2020-03-07,-7.622,24.072,3.109
Mississippi,Coahoma County,2020-03-08,3.205,15.13,
Mississippi,Coahoma County,2020-03-09,-16.121,12.612,-13.587
Mississippi,Coahoma County,2020-03-10,10.823,13.566,-10.593
Mississippi,Coahoma County,2020-03-11,-1.427,5.787,-14.281
Mississippi,Coahoma County,2020-03-12,15.278,5.388,-17.218
Mississippi,Coahoma County,2020-03-13,15.47,4.997,-19.478
Mississippi,Coahoma County,2020-03-14,6.352,4.814,-1.555
Mississippi,Coahoma County,2020-03-15,4.808,-6.983,-15.369
Mississippi,Coahoma County,2020-03-16,16.121,8.875,-10.87
Mississippi,Coahoma County,2020-03-17,28.409,9.205,-13.242
Mississippi,Coahoma County,2020-03-18,26.398,-3.858,-24.362
Mississippi,Coahoma County,2020-03-19,12.5,-10.776,-24.966
Mississippi,Coahoma County,2020-03-20,-3.094,-22.294,-33.875
Mississippi,Coahoma County,2020-03-21,5.081,-18.82,-26.43
Mississippi,Coahoma County,2020-03-22,-25.641,-41.899,-39.276
Mississippi,Coahoma County,2020-03-23,-1.24,-23.356,-29.891
Mississippi,Coahoma County,2020-03-24,-18.939,-27.132,-33.545
Mississippi,Coahoma County,2020-03-25,-17.123,-23.148,-36.122
Mississippi,Coahoma County,2020-03-26,-6.944,-16.164,-31.853
Mississippi,Coahoma County,2020-03-27,-30.941,-20.372,-39.804
Mississippi,Coahoma County,2020-03-28,-19.055,-24.51,-31.095
Mississippi,Coahoma County,2020-03-29,19.231,-19.786,-44.399
Mississippi,Copiah County,2020-02-16,-1.984,0.576,-1.929
Mississippi,Copiah County,2020-02-17,-15.462,-4.318,-7.957
Mississippi,Copiah County,2020-02-18,18.437,1.068,7.038
Mississippi,Copiah County,2020-02-19,-13.587,-8.21,-0.676
Mississippi,Copiah County,2020-02-20,-1.827,-9.874,-2.056
Mississippi,Copiah County,2020-02-21,11.99,,-5.482
Mississippi,Copiah County,2020-02-22,4.037,6.693,1.555
Mississippi,Copiah County,2020-02-23,2.976,10.359,5.787
Mississippi,Copiah County,2020-02-24,-7.324,3.778,4.34
Mississippi,Copiah County,2020-02-25,16.593,14.957,5.631
Mississippi,Copiah County,2020-02-26,-5.435,16.933,0.676
Mississippi,Copiah County,2020-02-27,15.534,20.241,
Mississippi,Copiah County,2020-02-28,17.236,14.446,-1.371
Mississippi,Copiah County,2020-02-29,10.497,15.479,4.664
Mississippi,Copiah County,2020-03-01,12.897,23.02,7.716
Mississippi,Copiah County,2020-03-02,5.697,22.129,7.957
Mississippi,Copiah County,2020-03-03,25.811,27.244,7.038
Mississippi,Copiah County,2020-03-04,-5.435,1.026,-2.029
Mississippi,Copiah County,2020-03-05,30.154,24.684,4.112
Mississippi,Copiah County,2020-03-06,13.489,12.546,-3.427
Mississippi,Copiah County,2020-03-07,25.032,12.55,-1.555
Mississippi,Copiah County,2020-03-08,10.913,21.869,11.574
Mississippi,Copiah County,2020-03-09,8.952,19.43,-9.404
Mississippi,Copiah County,2020-03-10,23.046,33.12,-5.631
Mississippi,Copiah County,2020-03-11,4.529,15.907,-10.823
Mississippi,Copiah County,2020-03-12,37.463,25.671,-11.65
Mississippi,Copiah County,2020-03-13,37.47,15.587,-18.503
Mississippi,Copiah County,2020-03-14,37.145,9.203,
Mississippi,Copiah County,2020-03-15,21.825,18.416,-3.858
Mississippi,Copiah County,2020-03-16,27.669,16.192,-10.127
Mississippi,Copiah County,2020-03-17,35.029,7.479,-11.965
Mississippi,Copiah County,2020-03-18,25.362,6.158,-15.557
Mississippi,Copiah County,2020-03-19,36.55,,-17.818
Mississippi,Copiah County,2020-03-20,29.976,-6.843,-19.189
Mississippi,Copiah County,2020-03-21,33.915,-15.897,-13.993
Mississippi,Copiah County,2020-03-22,1.984,-20.718,-19.29
Mississippi,Copiah County,2020-03-23,6.51,-6.477,-17.361
Mississippi,Copiah County,2020-03-24,17.515,-9.081,-20.411
Mississippi,Copiah County,2020-03-25,13.587,-16.42,-22.321
Mississippi,Copiah County,2020-03-26,-2.741,-4.443,-23.3
Mississippi,Copiah County,2020-03-27,,-10.645,-24.671
Mississippi,Copiah County,2020-03-28,-0.807,-14.642,-9.328
Mississippi,Copiah County,2020-03-29,-1.984,-20.143,-15.432
Mississippi,Yazoo County,2020-02-16,3.157,1.145,2.264
Mississippi,Yazoo County,2020-02-17,4.96,-1.578,-19.478
Mississippi,Yazoo County,2020-02-18,-6.72,1.096,1.667
Mississippi,Yazoo County,2020-02-19,1.603,2.205,0.833
Mississippi,Yazoo County,2020-02-20,-7.891,-3.931,2.48
Mississippi,Yazoo County,2020-02-21,,2.894,0.854
Mississippi,Yazoo County,2020-02-22,13.355,17.75,8.17
Mississippi,Yazoo County,2020-02-23,1.578,9.158,2.264
Mississippi,Yazoo County,2020-02-24,4.96,-2.104,-2.541
Mississippi,Yazoo County,2020-02-25,5.04,18.64,2.5
Mississippi,Yazoo County,2020-02-26,19.231,30.313,0.833
Mississippi,Yazoo County,2020-02-27,15.783,20.145,0.827
Mississippi,Yazoo County,2020-02-28,14.504,22.735,-2.561
Mississippi,Yazoo County,2020-02-29,30.716,27.56,6.127
Mississippi,Yazoo County,2020-03-01,18.939,30.334,4.529
Mississippi,Yazoo County,2020-03-02,18.188,22.622,5.081
Mississippi,Yazoo County,2020-03-03,21.841,35.088,5.0
Mississippi,Yazoo County,2020-03-04,12.821,17.637,-2.5
Mississippi,Yazoo County,2020-03-05,17.361,22.111,3.307
Mississippi,Yazoo County,2020-03-06,15.823,15.708,-1.708
Mississippi,Yazoo County,2020-03-07,21.368,21.02,12.255
Mississippi,Yazoo County,2020-03-08,23.674,14.309,4.529
Mississippi,Yazoo County,2020-03-09,29.762,15.257,-12.703
Mississippi,Yazoo County,2020-03-10,16.801,21.93,-11.667
Mississippi,Yazoo County,2020-03-11,11.218,22.046,-14.167
Mississippi,Yazoo County,2020-03-12,34.722,16.215,-14.054
Mississippi,Yazoo County,2020-03-13,32.964,3.307,-14.515
Mississippi,Yazoo County,2020-03-14,36.058,14.481,4.085
