state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Missouri,Boone County,2020-02-16,7.696,34.722,-1.898,17.391,8.013,7.918
Missouri,Boone County,2020-02-17,-0.809,3.397,4.752,9.573,-4.281,-16.552
Missouri,Boone County,2020-02-18,-4.555,14.045,-0.477,1.617,-4.401,2.298
Missouri,Boone County,2020-02-19,1.897,19.38,-2.546,10.576,2.934,5.629
Missouri,Boone County,2020-02-20,3.542,-4.433,-0.129,5.321,-5.556,5.739
Missouri,Boone County,2020-02-21,4.466,19.737,-1.323,13.746,17.123,27.328
Missouri,Boone County,2020-02-22,8.929,69.963,-2.898,13.551,-3.109,7.771
Missouri,Boone County,2020-02-23,13.782,96.571,-2.021,17.572,-4.006,9.65
Missouri,Boone County,2020-02-24,,-14.719,0.978,-1.784,-2.854,5.002
Missouri,Boone County,2020-02-25,-5.011,-5.852,0.663,-0.332,-5.869,1.81
Missouri,Boone County,2020-02-26,-0.316,-2.422,-1.843,12.001,11.737,3.99
Missouri,Boone County,2020-02-27,-1.288,12.19,-1.029,7.341,8.333,4.878
Missouri,Boone County,2020-02-28,5.043,27.412,-0.478,17.304,15.696,16.77
Missouri,Boone County,2020-02-29,9.077,97.17,-4.733,18.528,13.993,5.88
Missouri,Boone County,2020-03-01,17.182,148.655,-3.588,25.045,28.045,6.928
Missouri,Boone County,2020-03-02,1.779,28.306,-1.285,9.355,5.708,5.812
Missouri,Boone County,2020-03-03,5.922,64.373,-1.398,11.279,13.204,2.785
Missouri,Boone County,2020-03-04,7.113,54.506,-3.068,17.052,5.869,5.486
Missouri,Boone County,2020-03-05,10.465,39.894,-1.579,10.603,8.333,4.95
Missouri,Boone County,2020-03-06,7.492,47.149,-2.334,17.925,17.123,24.223
Missouri,Boone County,2020-03-07,16.071,138.371,-3.948,19.876,12.438,7.771
Missouri,Boone County,2020-03-08,18.256,202.908,-3.503,27.808,20.032,9.155
Missouri,Boone County,2020-03-09,0.162,-14.719,1.587,2.089,-1.427,3.237
Missouri,Boone County,2020-03-10,6.226,33.942,-0.561,6.552,7.336,0.696
Missouri,Boone County,2020-03-11,13.278,104.167,-1.594,20.851,4.401,-1.069
Missouri,Boone County,2020-03-12,20.447,9.973,2.114,4.855,-12.5,0.072
Missouri,Boone County,2020-03-13,22.476,20.833,1.085,8.704,4.281,18.633
Missouri,Boone County,2020-03-14,12.798,-31.095,2.472,-5.266,-3.109,-0.21
Missouri,Boone County,2020-03-15,12.708,-1.085,2.649,-2.083,-2.003,-2.722
Missouri,Boone County,2020-03-16,23.615,-20.38,4.99,-3.176,-17.123,-6.4
Missouri,Boone County,2020-03-17,13.97,16.386,7.004,-12.399,-16.138,-13.926
Missouri,Boone County,2020-03-18,13.278,-7.267,11.003,-19.944,-30.81,-26.505
Missouri,Boone County,2020-03-19,8.533,11.082,15.255,-31.77,-29.167,-31.853
Missouri,Boone County,2020-03-20,8.789,-20.833,16.979,-33.778,-19.977,-21.738
Missouri,Boone County,2020-03-21,4.464,22.544,9.068,-45.565,-37.313,-23.732
Missouri,Boone County,2020-03-22,-18.077,-52.083,11.398,-51.993,-44.071,-34.64
Missouri,Boone County,2020-03-23,-9.22,6.793,18.214,-42.076,-44.235,-45.315
Missouri,Boone County,2020-03-24,-8.655,-28.09,21.032,-43.914,-41.08,-50.551
Missouri,Boone County,2020-03-25,-21.971,38.76,20.61,-52.796,-45.481,-53.295
Missouri,Boone County,2020-03-26,-17.388,75.355,21.804,-54.064,-47.222,-53.446
Missouri,Boone County,2020-03-27,-19.45,4.386,23.858,-59.405,-45.662,-43.122
