state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Missouri,Adair County,retail/recreation,16.622,4.461,-2.796,4.196,-9.01,4.243,0.893,13.298,-6.56,-12.351,7.899,6.373,29.701,13.937,26.596,14.694,6.991,19.747,7.692,14.426,-4.824,7.48,-5.51,-5.593,3.949,-6.373,11.244,-18.761,,-5.51,-16.079,-19.007,-30.327,-20.579,-42.346,-47.097,-42.769,-50.103,-45.665,-49.666,-41.158,-47.706,-42.11
Missouri,Adair County,workplace,17.818,-17.285,-7.504,1.291,4.471,27.442,17.007,21.93,4.094,0.441,3.444,4.024,28.562,7.44,27.412,5.004,4.414,3.874,4.471,21.841,-4.252,4.112,-13.191,-9.269,-9.9,-17.436,0.56,-12.755,-5.482,-18.195,-21.186,-27.548,-27.718,-11.761,-8.503,-19.189,-35.935,-38.842,-37.879,-37.554,-25.762,-24.447,-20.559
Missouri,Audrain County,grocery/pharmacy,13.629,3.501,-5.165,-1.694,7.184,-6.127,24.56,9.735,-2.626,5.165,0.847,14.368,2.042,24.56,27.259,15.756,8.609,11.009,13.47,4.766,26.253,32.126,10.504,14.635,6.775,24.246,17.021,38.957,22.391,42.017,37.879,36.416,29.634,19.063,33.875,-9.735,2.626,-3.874,2.541,0.898,-9.532,-5.928,-9.735
Missouri,Audrain County,retail/recreation,9.511,5.252,0.429,5.505,-1.596,4.029,16.901,4.076,-0.438,2.143,16.091,18.758,10.503,24.145,22.645,18.82,22.719,17.361,14.767,4.316,20.695,22.192,7.878,15.003,14.397,11.175,10.071,11.382,5.888,10.504,3.429,1.27,-4.39,-24.171,-25.179,-42.12,-27.136,-30.436,-28.371,-25.144,-34.818,-29.318,-29.891
Missouri,Audrain County,workplace,5.952,-15.097,-0.455,-1.335,3.184,18.116,10.823,11.905,10.064,0.455,-4.452,1.365,16.418,8.117,11.905,9.561,2.274,-2.226,-1.82,15.285,10.823,8.929,6.039,,-1.781,-0.91,10.756,9.47,7.44,5.032,-2.274,-12.464,-11.827,-11.889,-8.117,-22.321,-22.645,-35.48,-36.503,-35.935,-22.645,-17.587,-20.833
Missouri,Barry County,grocery/pharmacy,0.557,-16.321,-10.27,-4.167,-4.401,6.286,7.733,1.114,-1.44,-3.179,11.719,1.467,26.042,22.744,23.953,-3.36,14.182,3.646,12.226,14.592,19.105,18.939,-5.28,3.423,26.562,35.7,36.369,19.56,31.194,18.721,14.182,26.042,4.89,27.838,19.105,7.799,-0.48,-7.336,15.104,8.314,15.715,10.007,20.053
Missouri,Barry County,retail/recreation,6.259,-0.845,-1.89,13.107,-0.2,15.372,4.486,-3.129,-4.226,-0.63,27.364,14.595,27.85,18.939,23.695,13.945,16.591,27.594,16.795,26.946,13.457,22.353,1.902,13.651,25.524,18.994,23.148,2.16,7.824,4.226,-3.99,3.449,-21.393,-8.319,-20.601,-26.824,-26.411,-27.302,-14.487,-17.394,-15.914,-25.751,-19.224
Missouri,Barry County,workplace,-1.894,-16.134,1.348,7.196,7.149,5.463,,0.947,4.559,4.72,8.224,5.106,5.463,8.013,2.841,3.157,6.742,10.28,8.851,7.284,2.671,0.947,4.209,5.057,7.881,4.425,5.099,9.793,0.947,-0.701,-16.518,-12.678,-19.404,-20.396,-14.245,-20.833,-20.342,-25.62,-23.643,-24.85,-27.681,-12.464,-27.462
Missouri,Barton County,retail/recreation,10.833,2.48,-0.82,7.812,-0.76,-1.263,6.088,1.667,-9.921,6.562,16.493,8.364,13.889,20.969,19.167,10.747,17.224,17.361,22.81,12.626,11.499,19.167,3.307,9.022,26.042,8.364,10.732,8.793,14.167,14.054,6.562,9.549,-2.281,-8.207,-12.852,-22.5,-12.401,-19.685,-3.472,-9.884,-21.465,-14.881,-18.333
Missouri,Bates County,retail/recreation,-0.795,-2.17,-4.829,17.628,-13.933,1.108,2.367,3.976,-3.617,-0.69,23.237,10.616,14.406,14.205,23.855,9.404,19.316,32.051,11.279,15.514,23.378,20.674,5.787,18.626,28.846,10.616,14.96,14.205,23.06,2.17,-3.449,16.026,-7.298,-13.298,-21.899,-34.192,-32.552,-37.252,-19.231,-27.203,-31.028,-23.674,-20.674
