state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Montana,Flathead County,2020-02-16,4.332,17.857,-1.053,20.087,11.775,-1.384
Montana,Flathead County,2020-02-17,0.379,19.248,4.11,10.619,-2.461,-21.87
Montana,Flathead County,2020-02-18,1.328,22.866,-0.825,9.393,-2.404,2.514
Montana,Flathead County,2020-02-19,-0.372,26.355,-1.053,5.303,-2.216,1.922
Montana,Flathead County,2020-02-20,3.354,1.145,-0.486,4.96,2.17,1.557
Montana,Flathead County,2020-02-21,-0.847,2.976,-1.456,5.486,0.699,1.774
Montana,Flathead County,2020-02-22,1.074,-19.616,-1.511,10.735,5.447,2.583
Montana,Flathead County,2020-02-23,3.507,-38.69,-0.8,15.4,0.906,1.73
Montana,Flathead County,2020-02-24,1.705,-37.364,-0.49,1.264,1.64,3.54
Montana,Flathead County,2020-02-25,-2.656,-6.352,-1.326,10.064,0.801,2.754
Montana,Flathead County,2020-02-26,-1.674,-13.805,-0.989,11.477,1.478,4.085
Montana,Flathead County,2020-02-27,-5.218,-12.592,-0.434,10.597,2.894,2.874
Montana,Flathead County,2020-02-28,0.339,12.897,-2.569,12.758,5.593,2.028
Montana,Flathead County,2020-02-29,4.117,-30.438,-1.92,18.024,8.17,4.878
Montana,Flathead County,2020-03-01,6.601,-27.53,-1.809,26.496,7.246,4.153
Montana,Flathead County,2020-03-02,-1.326,-24.909,-0.939,11.546,-1.64,5.057
Montana,Flathead County,2020-03-03,4.554,2.541,-1.292,20.045,9.615,3.472
Montana,Flathead County,2020-03-04,2.046,-3.765,-0.231,10.527,2.955,3.364
Montana,Flathead County,2020-03-05,9.317,-5.723,-0.498,10.597,7.957,3.352
Montana,Flathead County,2020-03-06,0.169,-2.976,-1.206,8.293,2.796,3.041
Montana,Flathead County,2020-03-07,-0.537,-17.587,-0.957,11.795,3.404,4.878
Montana,Flathead County,2020-03-08,2.063,-32.738,-0.478,20.374,,2.076
Montana,Flathead County,2020-03-09,1.326,-9.058,-0.996,8.933,13.123,4.172
Montana,Flathead County,2020-03-10,-1.328,-6.352,-0.452,15.013,5.609,2.634
Montana,Flathead County,2020-03-11,0.372,-10.04,-0.17,8.469,1.478,2.763
Montana,Flathead County,2020-03-12,10.808,-5.723,-0.505,9.169,0.723,1.437
Montana,Flathead County,2020-03-13,15.075,-32.738,0.579,3.508,2.796,-0.38
Montana,Flathead County,2020-03-14,5.011,-68.317,3.839,-8.084,3.404,-5.165
Montana,Flathead County,2020-03-15,13.408,-36.458,0.948,9.47,10.87,-2.076
Montana,Flathead County,2020-03-16,26.136,5.661,3.879,3.624,12.303,-15.423
Montana,Flathead County,2020-03-17,11.764,31.758,6.709,-5.535,-1.603,-18.08
Montana,Flathead County,2020-03-18,0.558,46.436,7.061,-18.205,-14.037,-21.386
Montana,Flathead County,2020-03-19,-0.932,,9.926,-23.749,-16.638,-22.749
Montana,Flathead County,2020-03-20,2.033,12.897,11.396,-33.106,-13.982,-27.626
Montana,Flathead County,2020-03-21,-6.443,-0.676,7.542,-42.276,-29.956,-26.113
Montana,Flathead County,2020-03-22,-12.17,12.649,6.136,-36.444,-33.514,-35.299
Montana,Flathead County,2020-03-23,-14.205,-14.719,11.068,-35.818,-27.067,-32.362
Montana,Flathead County,2020-03-24,-12.523,,13.28,-36.651,-25.641,-36.518
Montana,Flathead County,2020-03-25,-16.741,-3.765,13.25,-38.944,-39.155,-36.524
Montana,Flathead County,2020-03-26,-8.386,-1.145,14.168,-36.977,-33.999,-37.117
Montana,Flathead County,2020-03-27,3.557,-22.817,15.467,-37.444,-24.469,-38.144
Montana,Flathead County,2020-03-28,-31.143,-44.643,13.172,-62.288,-58.551,-38.166
Montana,Flathead County,2020-03-29,-30.322,-36.458,10.308,-55.096,-51.63,-43.951
Montana,Gallatin County,2020-02-16,-1.042,12.703,-0.311,2.587,1.827,0.308
Montana,Gallatin County,2020-02-17,-0.83,20.518,4.642,8.992,-6.548,-24.887
Montana,Gallatin County,2020-02-18,-2.888,1.653,-0.899,0.278,-7.608,3.613
Montana,Gallatin County,2020-02-19,-0.814,7.548,-0.436,2.85,4.817,5.435
Montana,Gallatin County,2020-02-20,3.287,7.336,-1.013,6.741,8.961,3.111
Montana,Gallatin County,2020-02-21,3.03,26.709,-0.878,1.86,-0.56,3.101
Montana,Gallatin County,2020-02-22,2.485,20.616,-1.668,5.802,3.434,4.146
Montana,Gallatin County,2020-02-23,3.75,22.866,-0.662,5.447,5.482,3.39
Montana,Gallatin County,2020-02-24,2.075,-15.783,-0.352,-1.798,-1.786,3.99
Montana,Gallatin County,2020-02-25,0.619,13.228,-0.895,3.958,7.608,1.405
Montana,Gallatin County,2020-02-26,2.645,-3.019,-0.79,7.804,7.828,4.529
Montana,Gallatin County,2020-02-27,5.136,13.204,-0.791,9.464,5.6,2.107
Montana,Gallatin County,2020-02-28,4.924,25.374,-0.674,7.706,3.92,2.246
Montana,Gallatin County,2020-02-29,4.587,-15.191,-0.362,4.756,12.019,1.555
Montana,Gallatin County,2020-03-01,6.458,17.785,-1.534,10.349,7.31,6.78
Montana,Gallatin County,2020-03-02,4.565,3.157,-0.722,4.316,0.595,5.355
Montana,Gallatin County,2020-03-03,2.269,13.228,-0.31,4.097,7.608,3.312
Montana,Gallatin County,2020-03-04,4.476,-1.51,0.474,5.497,2.408,3.623
Montana,Gallatin County,2020-03-05,7.602,10.27,-1.125,6.352,5.04,3.011
Montana,Gallatin County,2020-03-06,8.333,37.393,-0.48,3.986,2.8,2.139
Montana,Gallatin County,2020-03-07,8.028,20.616,-1.327,9.878,8.013,4.146
Montana,Gallatin County,2020-03-08,2.083,-2.541,-0.034,3.676,1.218,1.849
Montana,Gallatin County,2020-03-09,3.113,1.578,-0.464,2.734,-1.19,4.2
Montana,Gallatin County,2020-03-10,2.063,24.802,-1.146,4.028,-2.341,3.412
Montana,Gallatin County,2020-03-11,5.086,9.058,-0.667,4.886,4.817,2.818
Montana,Gallatin County,2020-03-12,18.286,13.204,-1.138,7.714,5.6,0.201
Montana,Gallatin County,2020-03-13,27.083,-14.69,1.068,-3.348,6.16,-2.995
Montana,Gallatin County,2020-03-14,17.393,-50.998,4.791,-20.436,-1.717,-6.996
Montana,Gallatin County,2020-03-15,-0.833,-31.758,4.276,-27.097,-8.528,-9.246
Montana,Gallatin County,2020-03-16,26.353,,6.544,-10.071,-11.31,-21.421
Montana,Gallatin County,2020-03-17,4.744,24.802,9.933,-33.681,-18.727,-28.601
Montana,Gallatin County,2020-03-18,-9.155,-3.019,13.778,-41.87,-31.31,-34.018
Montana,Gallatin County,2020-03-19,-9.04,-14.671,15.653,-45.569,-42.003,-37.03
Montana,Gallatin County,2020-03-20,-6.061,37.393,16.488,-44.165,-34.162,-38.822
Montana,Gallatin County,2020-03-21,-12.232,59.679,9.653,-53.521,-41.781,-37.313
Montana,Gallatin County,2020-03-22,-17.708,62.246,8.32,-51.198,-51.17,-44.071
Montana,Gallatin County,2020-03-23,-16.393,17.361,15.201,-41.652,-51.786,-37.592
Montana,Gallatin County,2020-03-24,-20.833,-13.228,19.578,-47.222,-47.987,-41.346
Montana,Gallatin County,2020-03-25,-21.769,-7.548,20.057,-48.521,-46.363,-41.969
Montana,Gallatin County,2020-03-26,-8.629,22.007,19.388,-42.393,-50.963,-43.252
Montana,Gallatin County,2020-03-27,-6.439,2.671,21.192,-47.513,-56.564,-43.421
Montana,Gallatin County,2020-03-28,-39.564,-11.936,17.878,-70.716,-65.82,-49.751
Montana,Gallatin County,2020-03-29,-40.625,63.516,12.609,-65.7,-68.835,-53.008
Montana,Missoula County,2020-02-16,4.421,20.161,-0.846,9.801,10.739,1.866
Montana,Missoula County,2020-02-17,,,7.797,-0.354,-7.469,-31.49
Montana,Missoula County,2020-02-18,4.109,-11.837,0.293,-1.223,7.525,2.13
Montana,Missoula County,2020-02-19,5.293,3.289,-0.246,3.459,,2.214
Montana,Missoula County,2020-02-20,7.118,8.013,-0.413,5.442,7.659,1.664
Montana,Missoula County,2020-02-21,6.404,9.218,-0.175,4.168,11.614,3.741
Montana,Missoula County,2020-02-22,7.066,30.864,-1.313,4.945,5.342,4.288
Montana,Missoula County,2020-02-23,7.184,4.48,-0.205,12.132,12.35,5.286
Montana,Missoula County,2020-02-24,3.194,-9.259,0.392,-1.473,6.682,6.698
Montana,Missoula County,2020-02-25,3.867,31.96,-0.888,4.6,7.525,2.13
Montana,Missoula County,2020-02-26,6.495,3.289,-0.441,6.238,5.661,1.845
Montana,Missoula County,2020-02-27,5.932,13.736,-1.446,9.949,10.723,2.773
Montana,Missoula County,2020-02-28,9.606,34.108,-1.074,10.536,18.148,0.197
Montana,Missoula County,2020-02-29,12.536,64.622,-1.897,16.896,16.471,4.288
Montana,Missoula County,2020-03-01,17.407,11.201,-1.224,14.164,22.015,5.908
Montana,Missoula County,2020-03-02,11.547,-15.046,-0.118,2.651,1.179,6.398
Montana,Missoula County,2020-03-03,10.393,14.205,-0.89,8.734,9.506,1.389
Montana,Missoula County,2020-03-04,9.863,-1.096,0.087,8.336,-0.377,1.753
Montana,Missoula County,2020-03-05,13.525,28.617,-1.511,9.235,9.574,2.033
Montana,Missoula County,2020-03-06,11.1,48.857,-1.299,8.429,11.977,1.772
Montana,Missoula County,2020-03-07,9.801,24.113,-1.1,6.456,8.903,2.522
Montana,Missoula County,2020-03-08,14.92,50.403,-0.552,9.443,23.088,3.731
Montana,Missoula County,2020-03-09,10.81,16.204,-0.324,3.771,5.11,5.098
Montana,Missoula County,2020-03-10,6.767,24.858,-1.22,6.987,3.961,1.667
Montana,Missoula County,2020-03-11,12.51,-1.096,-0.378,5.557,-0.755,1.661
Montana,Missoula County,2020-03-12,20.406,27.473,-0.545,10.224,8.042,-1.849
Montana,Missoula County,2020-03-13,20.705,-23.046,2.667,-0.046,2.178,-6.006
Montana,Missoula County,2020-03-14,12.536,-33.758,3.444,-15.247,-12.464,-5.297
Montana,Missoula County,2020-03-15,17.96,-11.201,3.32,-16.256,4.832,-7.152
Montana,Missoula County,2020-03-16,28.99,20.833,6.002,-7.954,-5.11,-20.793
Montana,Missoula County,2020-03-17,6.767,42.614,9.676,-26.202,7.525,-32.407
Montana,Missoula County,2020-03-18,-4.09,19.737,12.778,-31.641,-15.097,-36.26
Montana,Missoula County,2020-03-19,-6.407,30.907,12.774,-33.751,-13.404,-39.19
Montana,Missoula County,2020-03-20,-2.775,37.795,15.026,-36.555,-14.881,-39.284
Montana,Missoula County,2020-03-21,-8.662,48.225,8.013,-46.795,-11.129,-31.023
Montana,Missoula County,2020-03-22,-8.565,107.527,6.025,-42.073,-5.369,-31.095
Montana,Missoula County,2020-03-23,-11.547,4.63,14.536,-36.058,-22.013,-36.688
Montana,Missoula County,2020-03-24,-10.151,1.184,16.54,-36.741,-19.011,-42.5
Montana,Missoula County,2020-03-25,-13.231,3.289,17.432,-38.106,-22.645,-43.457
Montana,Missoula County,2020-03-26,-3.085,5.723,17.238,-34.741,-22.595,-44.181
Montana,Missoula County,2020-03-27,4.269,1.844,18.507,-36.188,-27.221,-43.813
Montana,Missoula County,2020-03-28,-29.176,23.148,13.241,-62.546,-34.277,-41.112
Montana,Missoula County,2020-03-29,-31.499,32.482,11.519,-56.775,-28.995,-37.002
Montana,Overall,2020-02-16,2.431,-0.654,0.104,8.857,8.401,0.134
Montana,Overall,2020-02-17,0.504,9.889,5.07,6.141,-1.571,-23.88
Montana,Overall,2020-02-18,-0.838,-2.45,0.324,-1.816,0.959,1.575
Montana,Overall,2020-02-19,0.743,3.483,0.018,1.391,2.989,1.83
