state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Montana,Broadwater County,grocery/pharmacy,11.393,21.841,-2.976,4.401,2.854,,19.444,6.51,6.72,-1.488,-4.401,11.416,6.593,11.111,17.904,16.801,4.464,8.803,7.135,23.734,27.778,17.904,11.761,16.369,22.007,15.696,14.504,1.389,,18.481,17.857,11.737,11.416,,11.111,17.904,15.121,-4.464,-4.401,5.708,2.637,-11.111,-3.255
Montana,Cascade County,grocery/pharmacy,-0.956,2.131,-8.681,-2.496,2.875,-0.202,6.497,0.239,-4.735,0.914,8.624,5.529,3.432,8.803,14.335,2.841,8.909,4.085,13.491,9.892,7.336,4.539,7.102,7.995,11.801,18.356,19.784,-17.186,3.106,29.119,14.62,12.709,8.183,10.497,3.563,-7.406,-9.47,-9.137,-6.127,4.202,7.267,-29.552,-27.475
Montana,Cascade County,residential,0.178,7.203,1.195,0.468,-0.625,0.136,-0.425,-0.588,0.93,0.531,-0.611,-1.375,-1.407,-2.489,-1.256,-0.238,-0.91,0.147,-1.228,-1.314,-1.912,0.443,-0.27,-0.112,-0.008,-0.901,4.866,7.55,4.225,4.874,6.54,8.404,10.054,13.381,8.281,7.764,12.031,13.839,13.361,13.566,15.593,12.021,
Montana,Cascade County,retail/recreation,5.428,6.381,-2.864,0.522,7.017,3.175,-1.742,3.276,-7.01,5.548,13.999,21.218,15.118,14.469,17.876,6.381,13.066,5.478,11.361,8.491,6.9,6.083,6.381,8.233,4.869,10.191,-8.215,-40.595,-16.004,-4.943,-6.175,-15.129,-16.289,-33.135,-41.533,-40.806,-33.794,-32.843,-29.128,-29.153,-33.204,-58.615,-49.51
Montana,Cascade County,workplace,,-30.662,2.72,2.554,1.482,2.146,0.694,5.144,1.68,2.584,3.091,3.369,3.005,2.778,4.715,3.5,2.856,2.285,1.752,2.576,4.514,3.429,1.26,0.816,0.403,-1.078,-12.735,-10.417,-3.429,-12.041,-16.998,-20.43,-23.987,-28.76,-24.653,-25.291,-31.922,-33.589,-35.484,-35.71,-36.773,-36.458,-33.436
Montana,Custer County,retail/recreation,0.576,2.495,-3.415,7.883,25.236,9.549,19.707,7.482,1.871,7.969,11.824,8.054,9.115,-4.223,5.755,8.109,11.954,26.464,32.753,16.927,19.238,3.453,13.099,18.215,6.757,9.128,-2.17,-2.815,-17.265,1.871,1.138,-16.892,-27.921,-27.778,-36.13,-43.738,-23.703,-30.168,-33.221,-36.512,-29.948,-51.145,-49.494
Montana,Flathead County,grocery/pharmacy,4.332,0.379,1.328,-0.372,3.354,-0.847,1.074,3.507,1.705,-2.656,-1.674,-5.218,0.339,4.117,6.601,-1.326,4.554,2.046,9.317,0.169,-0.537,2.063,1.326,-1.328,0.372,10.808,15.075,5.011,13.408,26.136,11.764,0.558,-0.932,2.033,-6.443,-12.17,-14.205,-12.523,-16.741,-8.386,3.557,-31.143,-30.322
Montana,Flathead County,parks,17.857,19.248,22.866,26.355,1.145,2.976,-19.616,-38.69,-37.364,-6.352,-13.805,-12.592,12.897,-30.438,-27.53,-24.909,2.541,-3.765,-5.723,-2.976,-17.587,-32.738,-9.058,-6.352,-10.04,-5.723,-32.738,-68.317,-36.458,5.661,31.758,46.436,,12.897,-0.676,12.649,-14.719,,-3.765,-1.145,-22.817,-44.643,-36.458
Montana,Flathead County,residential,-1.053,4.11,-0.825,-1.053,-0.486,-1.456,-1.511,-0.8,-0.49,-1.326,-0.989,-0.434,-2.569,-1.92,-1.809,-0.939,-1.292,-0.231,-0.498,-1.206,-0.957,-0.478,-0.996,-0.452,-0.17,-0.505,0.579,3.839,0.948,3.879,6.709,7.061,9.926,11.396,7.542,6.136,11.068,13.28,13.25,14.168,15.467,13.172,10.308
Montana,Flathead County,retail/recreation,20.087,10.619,9.393,5.303,4.96,5.486,10.735,15.4,1.264,10.064,11.477,10.597,12.758,18.024,26.496,11.546,20.045,10.527,10.597,8.293,11.795,20.374,8.933,15.013,8.469,9.169,3.508,-8.084,9.47,3.624,-5.535,-18.205,-23.749,-33.106,-42.276,-36.444,-35.818,-36.651,-38.944,-36.977,-37.444,-62.288,-55.096
Montana,Flathead County,transitstations,11.775,-2.461,-2.404,-2.216,2.17,0.699,5.447,0.906,1.64,0.801,1.478,2.894,5.593,8.17,7.246,-1.64,9.615,2.955,7.957,2.796,3.404,,13.123,5.609,1.478,0.723,2.796,3.404,10.87,12.303,-1.603,-14.037,-16.638,-13.982,-29.956,-33.514,-27.067,-25.641,-39.155,-33.999,-24.469,-58.551,-51.63
Montana,Flathead County,workplace,-1.384,-21.87,2.514,1.922,1.557,1.774,2.583,1.73,3.54,2.754,4.085,2.874,2.028,4.878,4.153,5.057,3.472,3.364,3.352,3.041,4.878,2.076,4.172,2.634,2.763,1.437,-0.38,-5.165,-2.076,-15.423,-18.08,-21.386,-22.749,-27.626,-26.113,-35.299,-32.362,-36.518,-36.524,-37.117,-38.144,-38.166,-43.951
Montana,Gallatin County,grocery/pharmacy,-1.042,-0.83,-2.888,-0.814,3.287,3.03,2.485,3.75,2.075,0.619,2.645,5.136,4.924,4.587,6.458,4.565,2.269,4.476,7.602,8.333,8.028,2.083,3.113,2.063,5.086,18.286,27.083,17.393,-0.833,26.353,4.744,-9.155,-9.04,-6.061,-12.232,-17.708,-16.393,-20.833,-21.769,-8.629,-6.439,-39.564,-40.625
Montana,Gallatin County,parks,12.703,20.518,1.653,7.548,7.336,26.709,20.616,22.866,-15.783,13.228,-3.019,13.204,25.374,-15.191,17.785,3.157,13.228,-1.51,10.27,37.393,20.616,-2.541,1.578,24.802,9.058,13.204,-14.69,-50.998,-31.758,,24.802,-3.019,-14.671,37.393,59.679,62.246,17.361,-13.228,-7.548,22.007,2.671,-11.936,63.516
Montana,Gallatin County,residential,-0.311,4.642,-0.899,-0.436,-1.013,-0.878,-1.668,-0.662,-0.352,-0.895,-0.79,-0.791,-0.674,-0.362,-1.534,-0.722,-0.31,0.474,-1.125,-0.48,-1.327,-0.034,-0.464,-1.146,-0.667,-1.138,1.068,4.791,4.276,6.544,9.933,13.778,15.653,16.488,9.653,8.32,15.201,19.578,20.057,19.388,21.192,17.878,12.609
Montana,Gallatin County,retail/recreation,2.587,8.992,0.278,2.85,6.741,1.86,5.802,5.447,-1.798,3.958,7.804,9.464,7.706,4.756,10.349,4.316,4.097,5.497,6.352,3.986,9.878,3.676,2.734,4.028,4.886,7.714,-3.348,-20.436,-27.097,-10.071,-33.681,-41.87,-45.569,-44.165,-53.521,-51.198,-41.652,-47.222,-48.521,-42.393,-47.513,-70.716,-65.7
Montana,Gallatin County,transitstations,1.827,-6.548,-7.608,4.817,8.961,-0.56,3.434,5.482,-1.786,7.608,7.828,5.6,3.92,12.019,7.31,0.595,7.608,2.408,5.04,2.8,8.013,1.218,-1.19,-2.341,4.817,5.6,6.16,-1.717,-8.528,-11.31,-18.727,-31.31,-42.003,-34.162,-41.781,-51.17,-51.786,-47.987,-46.363,-50.963,-56.564,-65.82,-68.835
Montana,Gallatin County,workplace,0.308,-24.887,3.613,5.435,3.111,3.101,4.146,3.39,3.99,1.405,4.529,2.107,2.246,1.555,6.78,5.355,3.312,3.623,3.011,2.139,4.146,1.849,4.2,3.412,2.818,0.201,-2.995,-6.996,-9.246,-21.421,-28.601,-34.018,-37.03,-38.822,-37.313,-44.071,-37.592,-41.346,-41.969,-43.252,-43.421,-49.751,-53.008
Montana,Glacier County,grocery/pharmacy,5.208,-7.774,-4.529,-14.077,1.427,-13.021,-8.401,-8.681,-13.993,-13.587,-4.223,-8.562,-11.719,-15.121,1.736,,4.529,-1.408,-1.427,-10.417,-10.081,3.472,7.774,,7.038,4.281,-2.604,-10.081,12.153,15.547,12.077,-9.854,-7.135,-6.51,,-15.625,3.109,-1.51,-9.854,-2.854,-5.208,-16.801,-29.514
Montana,Hill County,grocery/pharmacy,-6.127,-16.234,-10.417,-1.335,-8.785,-5.482,3.634,-1.532,-4.058,,2.671,16.315,9.868,1.211,21.446,5.411,5.208,13.355,17.57,9.868,6.056,9.191,10.823,9.115,16.026,21.335,7.675,,4.596,24.351,19.531,12.019,7.53,1.096,-6.056,9.191,,-5.208,-1.335,-11.295,3.289,-19.38,-4.596
Montana,Hill County,retail/recreation,10.337,5.376,-7.911,3.882,4.143,,-2.709,23.855,-5.376,4.615,17.469,11.245,5.556,7.141,31.807,11.425,25.053,12.94,16.572,6.481,1.231,26.24,12.769,9.23,16.175,13.613,-0.694,-37.185,-11.927,,-12.526,-32.35,-34.328,-35.185,-43.095,-30.216,-28.226,-27.69,-30.409,-36.103,-34.722,-57.378,-43.734
