state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
NG,Overall,2020-02-16,-1.244,4.649,0.437,2.481,-0.058,3.446
NG,Overall,2020-02-17,-2.431,2.075,0.557,-0.242,0.146,3.186
NG,Overall,2020-02-18,-4.576,0.312,0.418,-0.215,0.429,2.186
NG,Overall,2020-02-19,-4.252,-0.242,0.719,-2.35,-2.119,1.194
NG,Overall,2020-02-20,-2.835,-0.02,1.299,-1.677,-1.39,-0.543
NG,Overall,2020-02-21,-3.678,3.401,1.32,-0.906,-1.367,1.214
NG,Overall,2020-02-22,-2.56,0.599,-0.402,1.061,-1.574,2.482
NG,Overall,2020-02-23,-4.61,-0.556,0.463,-0.619,-1.217,0.49
NG,Overall,2020-02-24,-5.029,-1.609,0.677,-3.254,-2.221,1.968
NG,Overall,2020-02-25,-4.761,1.496,0.119,-0.453,1.156,1.981
NG,Overall,2020-02-26,-3.032,0.201,0.343,-1.593,-0.209,2.245
NG,Overall,2020-02-27,-0.153,2.671,0.746,1.213,1.3,2.899
NG,Overall,2020-02-28,1.127,2.473,0.766,0.805,1.831,4.339
NG,Overall,2020-02-29,0.9,1.546,0.28,1.296,2.348,1.655
NG,Overall,2020-03-01,0.73,1.49,0.081,1.119,1.11,3.279
NG,Overall,2020-03-02,-1.651,-0.656,0.569,-1.159,-0.648,2.608
NG,Overall,2020-03-03,-1.658,2.223,-0.009,1.3,1.924,2.03
NG,Overall,2020-03-04,0.137,0.463,0.363,0.992,0.144,2.241
NG,Overall,2020-03-05,1.452,4.734,-0.199,3.449,4.014,3.019
NG,Overall,2020-03-06,0.052,7.632,0.523,1.199,2.287,5.273
NG,Overall,2020-03-07,2.971,4.579,-0.861,4.189,5.067,4.92
NG,Overall,2020-03-08,-0.174,3.292,0.233,1.862,0.808,4.163
NG,Overall,2020-03-09,-1.059,3.557,0.264,0.593,2.285,3.286
NG,Overall,2020-03-10,-2.432,8.351,0.15,0.686,3.798,2.305
NG,Overall,2020-03-11,-2.311,6.408,0.565,-1.088,0.441,1.124
NG,Overall,2020-03-12,-0.549,9.489,0.531,0.022,2.418,0.813
NG,Overall,2020-03-13,-0.382,8.038,0.73,0.167,2.499,3.402
NG,Overall,2020-03-14,-0.374,5.603,-0.102,0.797,1.582,1.588
NG,Overall,2020-03-15,-3.043,6.696,0.794,-0.222,-1.821,0.858
NG,Overall,2020-03-16,-2.556,2.837,0.889,-1.775,0.511,0.339
NG,Overall,2020-03-17,-3.562,4.071,0.529,-1.305,0.776,0.117
NG,Overall,2020-03-18,-0.233,3.446,1.215,-2.994,-2.239,-0.262
NG,Overall,2020-03-19,3.857,-1.78,1.213,-0.832,-1.604,-0.279
NG,Overall,2020-03-20,4.352,-2.106,1.816,-2.592,-0.055,2.103
NG,Overall,2020-03-21,0.462,-7.265,1.876,-6.386,-2.727,1.33
NG,Overall,2020-03-22,-6.301,-12.413,5.65,-14.713,-11.345,-3.279
NG,Overall,2020-03-23,-1.497,-13.635,6.763,-12.176,-10.892,-10.001
NG,Overall,2020-03-24,-5.049,-20.046,11.007,-18.86,-16.24,-20.285
NG,Overall,2020-03-25,3.752,-17.268,11.292,-17.804,-8.837,-24.58
NG,Overall,2020-03-26,-11.639,-26.847,16.24,-30.484,-25.624,-33.688
NG,Overall,2020-03-27,-20.49,-30.219,19.476,-37.984,-32.118,-35.04
NG,Overall,2020-03-28,-25.709,-30.548,13.463,-40.042,-34.079,-19.428
NG,Overall,2020-03-29,-25.222,-24.136,14.843,-38.833,-33.596,-10.997
