state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
NL,Drenthe,2020-02-16,-10.831,-39.908,1.368,-10.71,-12.518,-1.848
NL,Drenthe,2020-02-17,-2.264,54.424,2.908,3.048,-24.981,-22.818
NL,Drenthe,2020-02-18,0.216,47.063,2.779,8.256,-21.642,-22.538
NL,Drenthe,2020-02-19,-4.384,50.858,2.213,4.327,-19.714,-23.014
NL,Drenthe,2020-02-20,-1.306,18.697,3.303,3.641,-23.07,-24.329
NL,Drenthe,2020-02-21,2.889,38.724,2.151,6.845,-5.447,-25.163
NL,Drenthe,2020-02-22,-1.385,2.661,0.274,-2.943,36.248,-3.704
NL,Drenthe,2020-02-23,-0.346,-36.188,0.777,6.208,34.424,
NL,Drenthe,2020-02-24,-2.406,50.328,2.281,-0.41,-4.713,-4.27
NL,Drenthe,2020-02-25,11.063,62.123,0.373,14.145,0.951,3.15
NL,Drenthe,2020-02-26,4.58,53.309,0.402,7.49,0.487,3.98
NL,Drenthe,2020-02-27,7.51,24.573,0.824,3.641,-2.097,3.939
NL,Drenthe,2020-02-28,6.667,24.783,0.458,7.461,4.312,4.117
NL,Drenthe,2020-02-29,3.303,14.066,0.961,0.152,9.158,2.469
NL,Drenthe,2020-03-01,1.844,-2.367,0.309,7.436,8.494,2.541
NL,Drenthe,2020-03-02,0.354,2.926,0.839,-1.055,-5.185,3.894
NL,Drenthe,2020-03-03,0.862,16.315,0.43,4.049,-3.33,2.827
NL,Drenthe,2020-03-04,0.262,19.608,0.219,1.721,-1.947,3.634
NL,Drenthe,2020-03-05,2.482,3.739,0.41,0.694,-3.729,3.651
NL,Drenthe,2020-03-06,1.611,4.647,0.929,2.716,-0.227,2.59
NL,Drenthe,2020-03-07,1.385,49.042,-0.408,4.43,15.644,2.623
NL,Drenthe,2020-03-08,1.613,-17.587,0.357,3.138,-4.918,1.848
NL,Drenthe,2020-03-09,4.671,14.63,0.493,2.345,-1.178,3.266
NL,Drenthe,2020-03-10,-1.796,-8.158,1.471,-1.683,-8.324,2.02
NL,Drenthe,2020-03-11,3.926,33.088,0.509,3.675,-3.407,2.422
NL,Drenthe,2020-03-12,13.323,-3.739,2.067,-4.422,-7.69,2.38
NL,Drenthe,2020-03-13,24.444,1.162,4.585,-4.672,-20.652,-5.366
NL,Drenthe,2020-03-14,6.181,21.29,5.294,-13.138,-16.789,-1.389
NL,Drenthe,2020-03-15,11.869,13.866,4.411,-22.853,-28.165,-5.774
NL,Drenthe,2020-03-16,17.408,32.186,11.226,-17.058,-47.841,-32.992
NL,Drenthe,2020-03-17,8.477,34.513,13.792,-22.979,-54.462,-41.319
NL,Drenthe,2020-03-18,3.01,29.412,13.701,-30.287,-56.221,-40.966
NL,Drenthe,2020-03-19,1.437,9.081,16.135,-35.372,-61.987,-43.406
NL,Drenthe,2020-03-20,-4.611,-8.519,15.873,-40.348,-58.551,-41.121
NL,Drenthe,2020-03-21,-9.644,11.025,11.528,-46.182,-40.446,-20.525
NL,Drenthe,2020-03-22,-21.433,11.837,8.273,-55.392,-45.154,-25.176
NL,Drenthe,2020-03-23,-8.35,13.46,15.735,-28.489,-64.103,-45.845
NL,Drenthe,2020-03-24,-11.71,25.728,17.185,-37.597,-63.499,-48.832
NL,Drenthe,2020-03-25,-16.358,40.441,15.908,-41.36,-63.522,-47.974
NL,Drenthe,2020-03-26,-14.694,19.765,17.959,-43.999,-64.318,-48.904
NL,Drenthe,2020-03-27,-16.389,0.774,17.273,-45.129,-63.998,-46.44
NL,Drenthe,2020-03-28,-19.874,-0.38,12.521,-52.159,-50.366,-23.611
NL,Drenthe,2020-03-29,-31.342,-27.733,9.531,-63.305,-59.907,-29.795
NL,Flevoland,2020-02-16,-13.711,-30.845,1.419,-17.312,-9.862,-6.877
NL,Flevoland,2020-02-17,-6.127,2.894,2.756,0.396,-15.034,-19.277
NL,Flevoland,2020-02-18,-2.146,30.833,2.684,6.381,-13.421,-18.905
NL,Flevoland,2020-02-19,-7.335,28.549,1.902,1.767,-15.501,-18.812
NL,Flevoland,2020-02-20,-5.188,3.449,3.023,-2.331,-16.525,-20.748
NL,Flevoland,2020-02-21,-0.652,21.963,1.565,4.537,-11.557,-21.717
NL,Flevoland,2020-02-22,-3.455,-0.516,0.437,-4.323,5.268,-3.96
NL,Flevoland,2020-02-23,-5.82,-22.249,1.106,-7.661,-5.547,-5.348
NL,Flevoland,2020-02-24,-5.083,-3.617,1.573,-2.84,-2.915,-1.426
NL,Flevoland,2020-02-25,10.374,38.333,0.492,13.613,2.44,1.137
NL,Flevoland,2020-02-26,4.172,16.975,0.326,5.516,0.62,1.133
NL,Flevoland,2020-02-27,1.482,-4.139,0.876,1.606,3.541,0.638
NL,Flevoland,2020-02-28,5.214,10.04,0.098,5.48,3.602,0.288
NL,Flevoland,2020-02-29,2.285,-2.063,0.822,2.857,12.213,0.344
NL,Flevoland,2020-03-01,-2.367,9.102,0.407,7.219,11.095,-1.783
NL,Flevoland,2020-03-02,-3.621,-16.638,1.128,-3.633,-0.307,1.686
NL,Flevoland,2020-03-03,2.504,34.167,0.214,9.481,-1.373,1.389
NL,Flevoland,2020-03-04,0.942,44.753,-0.155,4.284,-1.705,2.765
NL,Flevoland,2020-03-05,-1.887,-0.69,0.948,-4.196,-5.459,2.041
NL,Flevoland,2020-03-06,2.607,5.02,0.187,3.683,-1.951,0.961
NL,Flevoland,2020-03-07,-1.003,70.132,-0.547,5.3,7.423,1.894
NL,Flevoland,2020-03-08,-0.493,-7.079,0.684,-1.252,-3.698,-0.764
NL,Flevoland,2020-03-09,0.348,1.447,0.928,0.33,-6.136,1.642
NL,Flevoland,2020-03-10,-1.645,2.5,1.734,-3.646,-4.423,0.379
NL,Flevoland,2020-03-11,2.355,33.179,0.864,1.339,-4.185,0.499
NL,Flevoland,2020-03-12,11.185,2.759,2.533,-4.299,-6.935,-1.658
NL,Flevoland,2020-03-13,28.619,-3.138,5.349,-5.39,-23.265,-8.793
NL,Flevoland,2020-03-14,12.206,28.362,5.455,-11.09,-23.228,-4.132
NL,Flevoland,2020-03-15,13.415,13.653,5.073,-25.342,-32.359,-11.206
NL,Flevoland,2020-03-16,19.148,52.083,14.318,-16.844,-50.933,-39.289
NL,Flevoland,2020-03-17,11.876,75.0,16.851,-22.061,-58.413,-46.231
NL,Flevoland,2020-03-18,3.701,60.957,16.521,-29.884,-57.664,-46.417
NL,Flevoland,2020-03-19,1.482,24.145,19.801,-35.896,-62.264,-49.915
NL,Flevoland,2020-03-20,-1.6,17.57,18.506,-37.283,-61.089,-46.99
NL,Flevoland,2020-03-21,-8.639,57.24,12.236,-41.614,-52.682,-25.482
NL,Flevoland,2020-03-22,-17.065,54.612,9.109,-52.157,-57.322,-33.109
NL,Flevoland,2020-03-23,-7.52,31.105,19.165,-30.913,-67.655,-52.256
NL,Flevoland,2020-03-24,-9.801,63.333,20.875,-36.039,-68.326,-54.946
NL,Flevoland,2020-03-25,-12.718,82.562,19.161,-41.399,-67.739,-53.715
NL,Flevoland,2020-03-26,-11.993,51.049,21.603,-42.889,-69.346,-55.697
NL,Flevoland,2020-03-27,-12.088,57.103,19.878,-43.616,-66.042,-52.564
NL,Flevoland,2020-03-28,-16.832,40.223,13.287,-47.591,-57.95,-30.647
NL,Flevoland,2020-03-29,-26.338,-5.562,10.318,-58.05,-65.952,-35.147
NL,Friesland,2020-02-16,-19.649,-50.483,1.826,-19.68,-16.944,-3.804
NL,Friesland,2020-02-17,-1.775,22.216,2.952,0.094,-16.34,-24.098
NL,Friesland,2020-02-18,-2.404,33.167,3.153,5.042,-22.173,-23.566
NL,Friesland,2020-02-19,-4.893,31.447,2.544,2.557,-17.932,-23.445
NL,Friesland,2020-02-20,-4.544,6.706,3.539,0.386,-19.93,-24.738
NL,Friesland,2020-02-21,-1.765,32.895,1.972,-1.126,-8.982,-25.149
NL,Friesland,2020-02-22,1.029,11.973,0.541,0.344,7.994,-3.876
NL,Friesland,2020-02-23,0.329,-21.687,0.721,5.446,0.556,-0.725
NL,Friesland,2020-02-24,-6.023,10.367,2.205,-7.107,-0.943,-4.618
NL,Friesland,2020-02-25,8.814,38.868,0.273,5.698,4.467,4.231
NL,Friesland,2020-02-26,7.012,27.516,0.254,2.219,2.608,4.776
NL,Friesland,2020-02-27,3.432,10.73,0.741,2.068,-0.623,4.165
NL,Friesland,2020-02-28,6.303,29.943,-0.115,1.208,12.749,4.374
NL,Friesland,2020-02-29,4.447,14.368,0.989,-0.958,9.69,2.422
NL,Friesland,2020-03-01,5.837,12.799,0.288,6.847,12.5,2.899
NL,Friesland,2020-03-02,0.323,1.481,0.795,-5.797,-2.2,4.0
NL,Friesland,2020-03-03,3.9,38.868,-0.004,1.927,-0.957,3.134
NL,Friesland,2020-03-04,3.733,36.36,-0.102,3.949,1.793,3.941
NL,Friesland,2020-03-05,1.015,17.436,0.357,3.715,-0.467,3.593
NL,Friesland,2020-03-06,4.286,32.473,-0.155,-1.346,8.403,3.863
NL,Friesland,2020-03-07,1.812,75.032,-0.792,12.695,25.194,3.513
NL,Friesland,2020-03-08,3.7,9.599,0.535,9.058,12.778,1.087
NL,Friesland,2020-03-09,2.796,25.178,0.303,-0.935,3.299,3.968
NL,Friesland,2020-03-10,0.641,1.555,1.43,-7.174,-4.307,2.413
NL,Friesland,2020-03-11,5.7,41.274,0.338,1.955,-0.163,2.872
NL,Friesland,2020-03-12,13.148,3.577,2.301,-6.765,-4.048,2.003
NL,Friesland,2020-03-13,21.43,32.473,4.235,-13.979,-11.88,-4.702
NL,Friesland,2020-03-14,5.723,61.861,5.258,-15.102,-6.056,-2.786
NL,Friesland,2020-03-15,6.413,28.797,4.819,-27.12,-15.0,-9.601
NL,Friesland,2020-03-16,13.875,53.318,11.19,-23.236,-38.964,-34.603
NL,Friesland,2020-03-17,1.603,48.197,13.974,-30.172,-49.292,-41.491
NL,Friesland,2020-03-18,-1.261,27.516,14.124,-36.477,-51.513,-41.88
NL,Friesland,2020-03-19,-5.269,32.189,15.846,-37.538,-52.005,-44.42
NL,Friesland,2020-03-20,-6.597,20.665,15.316,-45.204,-51.866,-41.878
NL,Friesland,2020-03-21,-11.364,40.709,11.002,-48.105,-36.337,-19.985
NL,Friesland,2020-03-22,-17.758,29.863,8.236,-54.779,-40.833,-26.268
NL,Friesland,2020-03-23,-9.088,19.747,15.278,-33.008,-57.032,-46.278
NL,Friesland,2020-03-24,-15.278,35.24,16.825,-40.502,-56.47,-49.075
NL,Friesland,2020-03-25,-18.008,54.049,15.509,-43.472,-53.469,-47.191
NL,Friesland,2020-03-26,-18.561,33.083,17.603,-44.898,-55.742,-49.317
NL,Friesland,2020-03-27,-19.329,41.329,16.465,-50.037,-56.502,-45.195
NL,Friesland,2020-03-28,-21.863,17.96,12.352,-54.023,-45.785,-23.377
NL,Friesland,2020-03-29,-29.022,-11.377,9.494,-59.416,-53.333,-28.986
NL,Gelderland,2020-02-16,-4.119,-22.167,1.132,-5.601,-5.58,-1.696
NL,Gelderland,2020-02-17,-0.09,12.321,0.803,0.014,1.672,0.37
NL,Gelderland,2020-02-18,5.745,21.986,0.292,6.074,-0.128,2.131
NL,Gelderland,2020-02-19,1.546,22.473,0.042,6.07,0.178,2.535
NL,Gelderland,2020-02-20,1.807,-0.124,0.416,1.964,0.248,1.883
NL,Gelderland,2020-02-21,4.034,25.381,-0.11,6.418,3.505,-1.23
NL,Gelderland,2020-02-22,-1.322,-2.234,0.005,-2.294,5.337,-2.744
