state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
NO,Oslo,2020-02-16,-8.664,-50.162,1.322,-10.53,-13.405,-3.561
NO,Oslo,2020-02-17,-6.926,12.906,2.044,0.754,-8.784,-16.355
NO,Oslo,2020-02-18,-6.928,19.928,0.996,1.149,-9.971,-15.343
NO,Oslo,2020-02-19,-4.81,29.05,0.653,1.65,-10.068,-15.92
NO,Oslo,2020-02-20,-10.671,-30.154,2.925,-10.814,-16.068,-18.66
NO,Oslo,2020-02-21,-3.884,5.169,2.439,-1.347,-11.056,-20.438
NO,Oslo,2020-02-22,-5.019,8.803,-1.096,-4.198,-4.73,-1.127
NO,Oslo,2020-02-23,5.514,12.807,-2.892,0.136,0.553,0.445
NO,Oslo,2020-02-24,-1.219,15.671,-0.265,0.063,-2.928,0.814
NO,Oslo,2020-02-25,0.123,-0.453,0.058,0.484,-5.204,1.837
NO,Oslo,2020-02-26,-0.183,8.715,0.293,1.042,-4.206,1.716
NO,Oslo,2020-02-27,2.047,-2.741,0.308,0.639,-2.968,1.242
NO,Oslo,2020-02-28,6.492,14.313,-0.034,2.445,-2.203,0.623
NO,Oslo,2020-02-29,-2.349,-22.594,0.573,-5.276,-8.108,-0.322
NO,Oslo,2020-03-01,-4.529,-45.893,2.105,-20.924,-12.913,-1.335
NO,Oslo,2020-03-02,0.055,0.461,1.206,-2.419,-4.791,-0.916
NO,Oslo,2020-03-03,-1.288,-12.228,1.172,-5.048,-6.253,-0.442
NO,Oslo,2020-03-04,-2.679,-11.62,1.741,-6.917,-4.716,-0.926
NO,Oslo,2020-03-05,3.412,14.098,0.691,-0.639,0.636,-1.656
NO,Oslo,2020-03-06,4.637,5.169,1.013,-4.864,-4.744,-1.648
NO,Oslo,2020-03-07,-1.014,-4.108,1.174,-9.543,-8.108,-2.576
NO,Oslo,2020-03-08,-9.452,-47.601,2.397,-21.287,-19.862,-5.342
NO,Oslo,2020-03-09,-0.443,14.749,1.84,-5.749,-8.34,-2.104
NO,Oslo,2020-03-10,0.981,-10.87,2.701,-9.582,-11.676,-3.504
NO,Oslo,2020-03-11,13.028,18.675,4.574,-9.754,-15.209,-6.485
NO,Oslo,2020-03-12,58.939,2.35,11.034,-21.239,-33.069,-24.007
NO,Oslo,2020-03-13,12.637,5.566,22.197,-45.323,-54.095,-53.402
NO,Oslo,2020-03-14,-9.343,8.803,11.082,-56.224,-56.869,-30.429
NO,Oslo,2020-03-15,-42.533,-69.8,14.985,-81.926,-72.806,-38.506
NO,Oslo,2020-03-16,-11.913,32.264,25.737,-48.659,-63.219,-64.977
NO,Oslo,2020-03-17,-13.55,32.156,26.647,-54.29,-66.427,-68.004
NO,Oslo,2020-03-18,-15.342,36.106,27.874,-55.311,-66.74,-68.381
NO,Oslo,2020-03-19,-12.967,34.07,28.168,-55.683,-67.325,-69.019
NO,Oslo,2020-03-20,-5.275,40.553,29.341,-55.6,-67.185,-68.309
NO,Oslo,2020-03-21,-9.023,55.751,12.392,-59.367,-59.572,-44.436
NO,Oslo,2020-03-22,-31.309,-26.895,15.748,-75.118,-69.055,-46.741
NO,Oslo,2020-03-23,-17.453,-4.148,28.107,-53.466,-69.341,-69.286
NO,Oslo,2020-03-24,-17.78,-14.946,28.532,-58.129,-70.363,-70.079
NO,Oslo,2020-03-25,-14.977,3.32,28.481,-57.25,-69.629,-69.307
NO,Oslo,2020-03-26,-12.346,14.881,28.723,-57.49,-68.681,-69.123
NO,Oslo,2020-03-27,-4.0,17.891,29.416,-56.648,-67.821,-67.979
NO,Oslo,2020-03-28,-6.247,34.624,12.444,-58.426,-62.444,-45.08
NO,Oslo,2020-03-29,-27.174,-6.831,14.561,-71.078,-67.087,-46.964
NO,Overall,2020-02-16,2.682,-33.613,0.833,-5.025,-4.549,-2.606
NO,Overall,2020-02-17,,12.924,1.529,2.114,-4.522,-12.207
NO,Overall,2020-02-18,-0.887,14.947,1.211,3.276,-5.458,-11.454
NO,Overall,2020-02-19,3.688,49.533,-0.124,6.334,-1.251,-11.977
NO,Overall,2020-02-20,-1.55,-4.379,1.931,-1.006,-8.882,-14.289
NO,Overall,2020-02-21,-0.688,11.571,1.832,0.648,-4.326,-15.101
NO,Overall,2020-02-22,-1.015,9.161,-0.166,-2.921,1.948,-3.716
NO,Overall,2020-02-23,9.387,-0.25,-1.823,-0.863,7.221,-1.809
NO,Overall,2020-02-24,0.608,21.161,0.258,0.91,2.842,-4.683
NO,Overall,2020-02-25,1.287,13.377,0.519,1.317,-0.603,-3.994
NO,Overall,2020-02-26,1.762,23.279,0.091,1.72,1.238,-3.865
NO,Overall,2020-02-27,2.55,14.378,0.72,0.962,-0.336,-5.022
NO,Overall,2020-02-28,3.038,19.827,0.646,1.206,1.363,-5.248
NO,Overall,2020-02-29,-1.201,2.39,0.172,-4.165,1.623,-1.638
NO,Overall,2020-03-01,2.175,-30.255,0.317,-9.748,-1.023,-1.206
NO,Overall,2020-03-02,2.175,3.906,0.783,-1.73,0.21,-1.577
NO,Overall,2020-03-03,1.097,6.484,0.548,-1.032,-1.936,-1.256
NO,Overall,2020-03-04,0.98,8.663,0.868,-2.996,0.894,-1.733
NO,Overall,2020-03-05,4.023,26.077,0.212,0.275,3.198,-1.905
NO,Overall,2020-03-06,3.247,18.199,0.441,-2.43,1.613,-1.736
NO,Overall,2020-03-07,0.366,29.176,0.126,-6.612,1.203,-1.532
NO,Overall,2020-03-08,-1.967,-37.542,0.74,-10.74,-8.68,-2.002
NO,Overall,2020-03-09,1.914,11.22,1.056,-3.732,-1.708,-1.657
NO,Overall,2020-03-10,2.384,-3.959,1.673,-5.156,-6.959,-1.324
NO,Overall,2020-03-11,9.185,10.317,2.519,-6.1,-8.663,-2.622
NO,Overall,2020-03-12,51.564,-1.111,5.327,-6.496,-20.17,-10.573
NO,Overall,2020-03-13,4.704,2.965,14.423,-33.67,-38.964,-35.593
NO,Overall,2020-03-14,-9.438,26.438,8.177,-47.148,-36.965,-23.001
