state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Nebraska,Adams County,grocery/pharmacy,10.702,-2.637,8.013,-10.225,0.647,-1.126,8.109,3.567,2.637,-10.684,,3.235,1.689,13.723,9.989,5.934,9.348,4.473,3.235,-0.563,14.346,22.118,2.637,14.022,13.42,26.527,20.833,3.743,20.691,36.92,18.697,14.059,7.117,6.194,11.851,-12.842,,-6.01,-8.308,-11.322,-16.329,-13.099,-14.269
Nebraska,Adams County,retail/recreation,13.649,3.83,7.025,-9.787,-3.339,3.384,10.009,13.17,13.021,-0.727,13.982,12.019,15.794,14.087,20.833,12.51,11.386,12.584,7.345,10.529,7.785,18.678,4.596,12.112,10.254,16.026,-3.384,-18.72,-4.789,-0.766,-11.386,-14.914,-25.374,-28.016,-30.397,-40.709,-22.723,-20.591,-22.837,-26.709,-26.512,-37.811,-25.144
Nebraska,Adams County,workplace,1.197,-15.642,1.965,-0.97,-0.983,-4.098,-0.947,8.381,2.995,2.621,1.294,0.983,-0.683,3.788,8.381,1.664,2.948,1.294,-0.655,-11.27,4.735,2.395,0.333,,0.97,-11.792,-15.027,-7.576,4.789,-11.981,-16.051,-17.145,-18.671,-24.249,-7.576,-14.368,-22.63,-23.257,-25.88,-25.223,-25.615,-17.992,-19.157
Nebraska,Box Butte County,grocery/pharmacy,,-9.615,-3.36,-3.36,-1.68,-10.568,-3.205,8.828,-9.615,-3.36,,10.081,4.529,6.41,5.297,-4.808,5.04,5.04,10.081,3.019,-6.41,5.297,3.205,10.081,15.121,23.522,30.193,,7.062,35.256,28.562,40.323,-10.081,-13.587,-1.603,-5.297,,-1.68,8.401,13.441,,-6.41,-7.062
Nebraska,Box Butte County,retail/recreation,9.854,-23.721,-2.976,-14.546,-6.396,-1.566,5.896,,-9.282,-14.385,-8.446,-9.137,1.566,,-4.223,-3.094,-4.96,-1.877,0.914,5.482,12.775,26.042,12.376,10.417,-10.323,12.792,-13.315,-23.585,-8.446,-20.627,-22.817,-23.461,-58.48,-47.776,-36.36,-23.93,-27.847,-32.738,-29.092,-31.067,-33.678,-49.135,-21.115
Nebraska,Buffalo County,grocery/pharmacy,7.336,1.517,-1.975,-7.512,-9.079,-3.36,0.777,5.869,7.585,-10.861,4.507,6.69,16.381,16.325,17.606,17.698,16.785,18.53,12.901,14.281,12.826,21.029,6.574,15.304,24.038,31.537,33.182,-10.494,11.248,33.374,27.152,16.526,0.956,2.52,-13.993,-19.073,-11.63,-11.355,-10.016,-16.724,-13.021,-28.762,-17.117
Nebraska,Buffalo County,retail/recreation,6.926,7.771,9.195,-7.51,6.643,6.433,10.373,25.261,12.255,-8.333,13.49,11.825,14.733,8.087,26.347,12.105,18.103,11.682,11.028,13.799,10.109,23.088,2.84,13.937,12.239,20.727,-1.764,-29.272,-2.852,2.69,-10.057,-20.166,-33.482,-39.944,-50.105,-42.78,-32.879,-33.621,-33.1,-36.538,-43.264,-58.632,-40.2
Nebraska,Buffalo County,transitstations,-16.762,-7.911,13.805,-13.441,3.434,3.36,11.322,9.579,-2.637,,4.48,1.145,4.48,21.513,,-3.956,,6.72,13.736,28.002,26.042,19.157,7.911,18.825,16.801,12.592,12.321,-3.397,3.592,10.549,15.06,4.48,-5.723,-1.12,13.587,2.395,1.319,,6.72,-1.145,,-3.397,-3.592
Nebraska,Buffalo County,workplace,,-4.369,0.224,-0.896,-1.344,-0.958,-0.569,4.31,2.989,0.894,0.672,1.344,5.029,4.554,2.874,3.449,1.118,4.256,2.464,-5.747,-5.692,2.874,2.989,0.894,1.12,-1.12,-0.958,-8.538,-0.718,-6.898,-15.424,-17.697,-21.729,-23.707,-19.353,-23.707,-27.134,-31.742,-31.81,-32.034,-32.088,-27.892,-28.736
Nebraska,Cass County,retail/recreation,-7.388,-14.988,-21.351,-25.728,-22.059,-0.551,12.175,-16.253,-23.231,-23.939,-14.433,-18.382,,7.666,-8.865,-14.239,-12.293,-18.198,-9.191,9.921,27.507,-11.82,-24.73,-24.586,-10.668,-20.221,-8.267,-36.075,-45.065,-38.969,-44.643,-48.946,-56.373,-63.382,-64.935,-66.489,-55.456,-55.642,-52.711,-55.76,-53.461,-59.975,-34.722
Nebraska,Cass County,workplace,,-21.234,2.701,-1.901,-2.701,-0.827,1.24,,1.603,1.929,-1.521,0.386,4.547,-2.48,-1.555,2.003,2.701,-0.38,1.157,3.72,2.48,,-9.615,-8.488,-6.843,-10.802,-11.987,-12.401,-3.109,-18.83,-25.463,-31.554,-32.022,-32.242,-14.881,-35.759,-32.452,-36.651,-39.918,-38.58,-37.202,-22.321,-29.54
Nebraska,Cheyenne County,retail/recreation,15.547,10.684,5.741,-13.021,-0.783,,3.317,-5.442,,-16.404,12.207,10.182,11.867,21.231,5.442,8.903,7.382,20.345,10.965,9.889,20.236,5.442,16.026,14.764,9.766,18.014,1.319,2.654,2.332,24.038,7.382,0.814,-54.041,-44.831,-11.943,-24.098,-5.342,-18.045,-13.835,-26.629,-32.305,-38.482,-21.766
Nebraska,Cheyenne County,transitstations,-11.692,16.85,13.17,-4.252,4.252,29.217,14.159,3.189,3.064,-5.987,10.629,10.629,38.11,23.261,2.126,-15.319,-35.92,-1.063,3.189,38.11,16.181,10.629,9.191,27.538,19.133,17.007,21.596,30.34,10.629,15.319,16.762,10.629,-44.643,13.974,31.351,-4.252,26.042,14.368,1.063,-5.315,20.325,20.227,-1.063
Nebraska,Dawes County,retail/recreation,-2.148,-17.96,-2.193,-23.81,3.324,-13.415,-3.157,3.222,-10.776,-27.412,6.944,15.514,16.177,17.361,7.517,10.776,2.193,-0.992,20.501,-4.735,-8.681,4.296,9.579,8.772,-5.952,14.406,-18.939,-38.668,-3.222,11.973,-2.193,-12.897,-48.759,-38.668,-22.096,-15.034,-10.776,-18.64,-22.817,-22.163,-26.042,-41.035,-26.847
Nebraska,Dawson County,grocery/pharmacy,3.157,5.123,10.417,-3.255,9.921,,11.737,-1.578,5.123,-8.681,,4.96,9.191,10.27,11.048,8.538,10.417,6.51,16.534,19.914,20.54,26.831,13.661,17.361,21.159,41.336,38.297,4.401,15.783,42.691,29.514,22.786,21.495,12.255,33.744,14.205,8.538,6.944,,-3.307,,-10.27,3.157
Nebraska,Dawson County,retail/recreation,2.332,0.455,5.58,-9.084,4.512,7.206,4.116,-1.166,-0.455,-22.321,12.516,8.043,9.172,3.483,12.826,9.098,16.534,14.131,14.32,10.482,10.448,11.077,7.278,12.814,17.361,25.306,2.948,-13.614,-2.721,10.917,-9.094,-13.324,-23.737,-25.223,-23.43,-22.932,-20.469,-22.321,-16.554,-22.56,-27.188,-40.21,-20.211
Nebraska,Dawson County,workplace,6.219,-2.411,0.938,-3.754,-8.371,-7.011,-6.275,-3.109,0.482,-4.223,1.408,-0.465,6.51,-5.02,7.774,6.269,0.469,3.754,1.395,4.507,-7.53,-6.219,4.34,1.408,1.877,-0.93,-7.512,41.416,1.555,-4.34,-12.2,-13.138,-15.811,-12.52,-16.315,-13.993,-13.503,-18.769,-18.3,-17.671,-16.526,45.181,-12.438
