state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
New Hampshire,Belknap County,2020-02-16,15.739,,,22.168,,7.716
New Hampshire,Belknap County,2020-02-17,16.169,,,24.691,,-16.593
New Hampshire,Belknap County,2020-02-18,-11.816,,,-18.353,,-2.359
New Hampshire,Belknap County,2020-02-19,8.182,,,9.95,,2.708
New Hampshire,Belknap County,2020-02-20,8.937,,,10.672,,6.224
New Hampshire,Belknap County,2020-02-21,2.547,,,3.841,,3.226
New Hampshire,Belknap County,2020-02-22,1.211,,,11.1,,4.3
New Hampshire,Belknap County,2020-02-23,6.868,,,13.666,,4.501
New Hampshire,Belknap County,2020-02-24,4.664,,,6.43,,-13.09
New Hampshire,Belknap County,2020-02-25,3.109,,,8.607,,-12.885
New Hampshire,Belknap County,2020-02-26,8.182,,,16.46,,-12.457
New Hampshire,Belknap County,2020-02-27,-5.547,,,5.336,,-14.646
New Hampshire,Belknap County,2020-02-28,2.292,,,8.139,,-12.523
New Hampshire,Belknap County,2020-02-29,2.18,,,13.832,,
New Hampshire,Belknap County,2020-03-01,14.022,,,14.958,,-0.643
New Hampshire,Belknap County,2020-03-02,10.261,,,7.073,,2.765
New Hampshire,Belknap County,2020-03-03,9.639,,,11.012,,3.811
New Hampshire,Belknap County,2020-03-04,8.812,,,9.336,,2.889
New Hampshire,Belknap County,2020-03-05,12.944,,,10.904,,5.492
New Hampshire,Belknap County,2020-03-06,1.783,,,1.463,,4.743
New Hampshire,Belknap County,2020-03-07,9.69,,,13.917,,3.345
New Hampshire,Belknap County,2020-03-08,11.447,,,12.806,,1.286
New Hampshire,Belknap County,2020-03-09,10.883,,,11.703,,2.95
New Hampshire,Belknap County,2020-03-10,8.085,,,9.366,,0.363
New Hampshire,Belknap County,2020-03-11,11.329,,,7.984,,3.25
New Hampshire,Belknap County,2020-03-12,36.982,,,6.264,,4.211
New Hampshire,Belknap County,2020-03-13,30.308,,,-5.03,,-1.897
New Hampshire,Belknap County,2020-03-14,31.492,,,2.049,,
New Hampshire,Belknap County,2020-03-15,37.202,,,3.336,,2.572
New Hampshire,Belknap County,2020-03-16,41.667,,,1.415,,-11.799
New Hampshire,Belknap County,2020-03-17,26.119,,,-22.15,,-19.055
New Hampshire,Belknap County,2020-03-18,27.064,,,-17.689,,-23.108
New Hampshire,Belknap County,2020-03-19,17.875,,,-31.9,,-28.01
New Hampshire,Belknap County,2020-03-20,19.356,,,-33.381,,-32.066
New Hampshire,Belknap County,2020-03-21,4.845,,,-35.861,,-23.891
New Hampshire,Belknap County,2020-03-22,-3.72,,,-37.126,,-29.578
New Hampshire,Belknap County,2020-03-23,1.555,,,-39.223,,-34.661
New Hampshire,Belknap County,2020-03-24,-13.993,,,-37.465,,-40.832
New Hampshire,Belknap County,2020-03-25,2.203,,,-33.412,,-37.009
New Hampshire,Belknap County,2020-03-26,8.013,,,-26.332,,-36.797
New Hampshire,Belknap County,2020-03-27,0.509,,,-31.643,,-36.62
New Hampshire,Belknap County,2020-03-28,-16.715,,,-44.74,,-32.97
New Hampshire,Belknap County,2020-03-29,-29.19,,,-53.805,,-36.651
New Hampshire,Carroll County,2020-02-16,31.901,,,40.345,,2.874
New Hampshire,Carroll County,2020-02-17,23.075,,,50.249,,-17.007
New Hampshire,Carroll County,2020-02-18,-1.941,,,1.692,,-5.544
New Hampshire,Carroll County,2020-02-19,15.068,,,25.906,,-2.902
New Hampshire,Carroll County,2020-02-20,9.586,,,32.339,,-0.582
New Hampshire,Carroll County,2020-02-21,0.951,,,14.719,,-3.228
New Hampshire,Carroll County,2020-02-22,11.301,,,17.271,,1.796
New Hampshire,Carroll County,2020-02-23,14.323,,,24.882,,3.592
New Hampshire,Carroll County,2020-02-24,5.934,,,16.138,,-2.43
New Hampshire,Carroll County,2020-02-25,5.176,,,18.615,,-4.377
New Hampshire,Carroll County,2020-02-26,14.413,,,19.565,,-3.482
New Hampshire,Carroll County,2020-02-27,-10.864,,,-6.298,,-14.548
New Hampshire,Carroll County,2020-02-28,1.903,,,11.7,,-5.282
New Hampshire,Carroll County,2020-02-29,1.474,,,12.414,,1.796
New Hampshire,Carroll County,2020-03-01,17.578,,,19.54,,2.874
New Hampshire,Carroll County,2020-03-02,7.911,,,6.786,,6.985
New Hampshire,Carroll County,2020-03-03,5.823,,,13.914,,2.626
New Hampshire,Carroll County,2020-03-04,1.31,,,7.609,,4.933
New Hampshire,Carroll County,2020-03-05,8.947,,,6.808,,4.074
New Hampshire,Carroll County,2020-03-06,-6.659,,,1.006,,3.521
New Hampshire,Carroll County,2020-03-07,4.422,,,10.147,,5.388
New Hampshire,Carroll County,2020-03-08,14.323,,,14.479,,-1.437
New Hampshire,Carroll County,2020-03-09,11.208,,,9.17,,4.252
New Hampshire,Carroll County,2020-03-10,,,,5.829,,-0.875
New Hampshire,Carroll County,2020-03-11,7.206,,,5.797,,3.772
New Hampshire,Carroll County,2020-03-12,26.201,,,5.617,,-1.164
New Hampshire,Carroll County,2020-03-13,13.794,,,-7.926,,-7.629
New Hampshire,Carroll County,2020-03-14,28.99,,,-2.267,,-2.395
New Hampshire,Carroll County,2020-03-15,46.875,,,-3.655,,-10.776
New Hampshire,Carroll County,2020-03-16,48.128,,,-2.567,,-10.022
New Hampshire,Carroll County,2020-03-17,21.351,,,-31.212,,-22.176
New Hampshire,Carroll County,2020-03-18,26.861,,,-27.355,,-23.503
New Hampshire,Carroll County,2020-03-19,5.112,,,-39.488,,-29.679
New Hampshire,Carroll County,2020-03-20,1.427,,,-47.554,,-33.744
New Hampshire,Carroll County,2020-03-21,1.474,,,-53.325,,-31.729
New Hampshire,Carroll County,2020-03-22,6.51,,,-54.825,,-38.793
New Hampshire,Carroll County,2020-03-23,1.978,,,-44.381,,-35.532
New Hampshire,Carroll County,2020-03-24,-11.646,,,-49.263,,-45.81
New Hampshire,Carroll County,2020-03-25,-5.241,,,-44.565,,-40.912
New Hampshire,Carroll County,2020-03-26,3.195,,,-41.36,,-40.736
New Hampshire,Carroll County,2020-03-27,-11.416,,,-49.316,,-42.547
New Hampshire,Carroll County,2020-03-28,-22.602,,,-63.687,,-43.702
New Hampshire,Carroll County,2020-03-29,-31.25,,,-72.115,,-53.161
New Hampshire,Cheshire County,2020-02-16,-4.109,,,4.428,,2.8
New Hampshire,Cheshire County,2020-02-17,4.641,,,12.539,,-17.552
New Hampshire,Cheshire County,2020-02-18,-15.806,,,-17.614,,-4.268
New Hampshire,Cheshire County,2020-02-19,-1.27,,,3.772,,-1.408
New Hampshire,Cheshire County,2020-02-20,1.517,,,8.898,,2.087
New Hampshire,Cheshire County,2020-02-21,-5.471,,,3.558,,0.166
New Hampshire,Cheshire County,2020-02-22,-6.14,,,3.581,,6.153
New Hampshire,Cheshire County,2020-02-23,-5.317,,,5.435,,7.28
New Hampshire,Cheshire County,2020-02-24,-4.641,,,3.979,,-6.89
New Hampshire,Cheshire County,2020-02-25,-5.96,,,3.966,,-6.955
New Hampshire,Cheshire County,2020-02-26,-4.065,,,7.765,,-7.195
New Hampshire,Cheshire County,2020-02-27,-4.298,,,6.727,,-8.507
New Hampshire,Cheshire County,2020-02-28,-8.838,,,7.383,,-7.132
New Hampshire,Cheshire County,2020-02-29,-5.928,,,5.452,,0.879
New Hampshire,Cheshire County,2020-03-01,-2.417,,,10.165,,3.36
New Hampshire,Cheshire County,2020-03-02,-1.805,,,8.319,,3.445
New Hampshire,Cheshire County,2020-03-03,4.923,,,10.265,,0.948
New Hampshire,Cheshire County,2020-03-04,,,,5.658,,1.251
New Hampshire,Cheshire County,2020-03-05,4.551,,,10.742,,4.334
New Hampshire,Cheshire County,2020-03-06,-5.892,,,3.736,,2.986
New Hampshire,Cheshire County,2020-03-07,-3.599,,,9.603,,3.956
New Hampshire,Cheshire County,2020-03-08,0.483,,,9.159,,8.961
New Hampshire,Cheshire County,2020-03-09,2.321,,,12.418,,1.476
New Hampshire,Cheshire County,2020-03-10,1.814,,,7.815,,-0.158
New Hampshire,Cheshire County,2020-03-11,4.319,,,8.875,,0.782
New Hampshire,Cheshire County,2020-03-12,17.951,,,10.525,,0.642
New Hampshire,Cheshire County,2020-03-13,11.995,,,8.451,,0.166
New Hampshire,Cheshire County,2020-03-14,18.631,,,4.557,,4.835
New Hampshire,Cheshire County,2020-03-15,5.075,,,-1.812,,-3.36
New Hampshire,Cheshire County,2020-03-16,21.916,,,6.269,,-11.483
New Hampshire,Cheshire County,2020-03-17,9.328,,,-15.747,,-20.075
New Hampshire,Cheshire County,2020-03-18,8.892,,,-17.417,,-23.305
New Hampshire,Cheshire County,2020-03-19,0.253,,,-27.995,,-27.446
New Hampshire,Cheshire County,2020-03-20,5.892,,,-22.239,,-28.032
New Hampshire,Cheshire County,2020-03-21,1.694,,,-29.704,,-20.218
New Hampshire,Cheshire County,2020-03-22,-13.534,,,-33.112,,-20.721
New Hampshire,Cheshire County,2020-03-23,-15.47,,,-35.084,,-33.957
New Hampshire,Cheshire County,2020-03-24,-19.175,,,-37.094,,-39.991
New Hampshire,Cheshire County,2020-03-25,-11.433,,,-31.172,,-38.789
New Hampshire,Cheshire County,2020-03-26,-6.574,,,-27.778,,-37.718
New Hampshire,Cheshire County,2020-03-27,-11.574,,,-30.867,,-38.98
New Hampshire,Cheshire County,2020-03-28,-19.902,,,-43.864,,-29.448
New Hampshire,Cheshire County,2020-03-29,-37.703,,,-53.14,,-35.282
