state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
New Hampshire,Belknap County,grocery/pharmacy,15.739,16.169,-11.816,8.182,8.937,2.547,1.211,6.868,4.664,3.109,8.182,-5.547,2.292,2.18,14.022,10.261,9.639,8.812,12.944,1.783,9.69,11.447,10.883,8.085,11.329,36.982,30.308,31.492,37.202,41.667,26.119,27.064,17.875,19.356,4.845,-3.72,1.555,-13.993,2.203,8.013,0.509,-16.715,-29.19
New Hampshire,Belknap County,parks,21.441,54.951,-5.544,9.805,15.725,8.717,39.294,40.325,57.985,14.35,-1.188,-6.097,5.479,8.312,-10.032,11.462,42.724,-4.159,25.352,2.74,14.924,44.653,97.428,30.983,13.37,11.874,-22.665,23.425,23.999,21.913,-11.741,60.61,-23.748,10.959,37.216,32.064,-17.867,-7.175,-5.348,59.69,43.587,24.559,-63.537
New Hampshire,Belknap County,residential,-0.686,5.27,3.184,0.518,0.12,1.06,-1.359,-1.815,0.732,1.243,1.346,2.981,1.838,-1.564,-1.448,-0.507,-0.637,0.483,-0.478,0.767,-0.874,-1.09,-0.693,0.656,0.61,1.087,4.029,2.427,2.956,7.077,12.492,13.314,17.181,17.933,10.679,9.253,17.371,20.646,20.255,19.458,20.504,13.342,13.308
New Hampshire,Belknap County,retail/recreation,22.168,24.691,-18.353,9.95,10.672,3.841,11.1,13.666,6.43,8.607,16.46,5.336,8.139,13.832,14.958,7.073,11.012,9.336,10.904,1.463,13.917,12.806,11.703,9.366,7.984,6.264,-5.03,2.049,3.336,1.415,-22.15,-17.689,-31.9,-33.381,-35.861,-37.126,-39.223,-37.465,-33.412,-26.332,-31.643,-44.74,-53.805
New Hampshire,Belknap County,transitstations,11.304,13.329,11.779,14.706,17.049,12.358,27.08,27.857,13.329,10.471,5.632,4.65,3.783,13.184,23.013,9.3,16.033,6.884,8.37,3.026,9.264,19.783,6.82,5.235,4.38,2.48,-12.61,-4.276,-7.267,-11.469,-13.743,-17.209,-30.068,-37.074,-31.0,-37.951,-38.128,-35.993,-36.295,-36.268,-46.91,-49.172,-63.386
New Hampshire,Belknap County,workplace,7.716,-16.593,-2.359,2.708,6.224,3.226,4.3,4.501,-13.09,-12.885,-12.457,-14.646,-12.523,,-0.643,2.765,3.811,2.889,5.492,4.743,3.345,1.286,2.95,0.363,3.25,4.211,-1.897,,2.572,-11.799,-19.055,-23.108,-28.01,-32.066,-23.891,-29.578,-34.661,-40.832,-37.009,-36.797,-36.62,-32.97,-36.651
New Hampshire,Carroll County,grocery/pharmacy,31.901,23.075,-1.941,15.068,9.586,0.951,11.301,14.323,5.934,5.176,14.413,-10.864,1.903,1.474,17.578,7.911,5.823,1.31,8.947,-6.659,4.422,14.323,11.208,,7.206,26.201,13.794,28.99,46.875,48.128,21.351,26.861,5.112,1.427,1.474,6.51,1.978,-11.646,-5.241,3.195,-11.416,-22.602,-31.25
New Hampshire,Carroll County,parks,21.441,54.951,-5.544,9.805,15.725,8.717,39.294,40.325,57.985,14.35,-1.188,-6.097,5.479,8.312,-10.032,11.462,42.724,-4.159,25.352,2.74,14.924,44.653,97.428,30.983,13.37,11.874,-22.665,23.425,23.999,21.913,-11.741,60.61,-23.748,10.959,37.216,32.064,-17.867,-7.175,-5.348,59.69,43.587,24.559,-63.537
New Hampshire,Carroll County,residential,-0.686,5.27,3.184,0.518,0.12,1.06,-1.359,-1.815,0.732,1.243,1.346,2.981,1.838,-1.564,-1.448,-0.507,-0.637,0.483,-0.478,0.767,-0.874,-1.09,-0.693,0.656,0.61,1.087,4.029,2.427,2.956,7.077,12.492,13.314,17.181,17.933,10.679,9.253,17.371,20.646,20.255,19.458,20.504,13.342,13.308
New Hampshire,Carroll County,retail/recreation,40.345,50.249,1.692,25.906,32.339,14.719,17.271,24.882,16.138,18.615,19.565,-6.298,11.7,12.414,19.54,6.786,13.914,7.609,6.808,1.006,10.147,14.479,9.17,5.829,5.797,5.617,-7.926,-2.267,-3.655,-2.567,-31.212,-27.355,-39.488,-47.554,-53.325,-54.825,-44.381,-49.263,-44.565,-41.36,-49.316,-63.687,-72.115
