state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
New Jersey,Overall,2020-02-16,-3.745,20.125,-0.473,4.396,0.051,-0.136
New Jersey,Overall,2020-02-17,0.696,63.105,8.339,14.331,-15.159,-36.011
New Jersey,Overall,2020-02-18,-0.157,5.368,0.745,0.62,1.789,-0.653
New Jersey,Overall,2020-02-19,-0.488,16.293,0.031,1.641,2.254,0.793
New Jersey,Overall,2020-02-20,-0.575,2.118,0.431,0.938,1.309,0.468
New Jersey,Overall,2020-02-21,-2.758,-2.359,0.948,-0.61,-0.11,1.696
New Jersey,Overall,2020-02-22,1.478,58.843,-1.389,7.115,5.966,4.434
New Jersey,Overall,2020-02-23,1.515,104.466,-0.904,5.962,5.16,2.264
New Jersey,Overall,2020-02-24,0.013,45.844,-0.248,1.4,0.524,3.389
New Jersey,Overall,2020-02-25,-2.54,-8.588,0.407,-1.063,-1.018,2.21
New Jersey,Overall,2020-02-26,1.157,0.416,-0.256,3.472,2.102,1.842
New Jersey,Overall,2020-02-27,0.505,1.62,0.086,2.234,2.067,1.294
New Jersey,Overall,2020-02-28,1.053,2.064,0.073,1.965,1.928,2.653
New Jersey,Overall,2020-02-29,1.941,9.503,-1.135,6.945,1.662,3.63
New Jersey,Overall,2020-03-01,4.137,27.982,-0.556,7.853,3.093,2.355
New Jersey,Overall,2020-03-02,5.23,52.731,-0.524,6.114,1.401,3.244
New Jersey,Overall,2020-03-03,5.841,9.744,-0.304,4.235,1.591,2.58
New Jersey,Overall,2020-03-04,6.997,36.326,-0.652,7.558,2.149,1.952
New Jersey,Overall,2020-03-05,9.447,39.161,-0.614,7.03,2.71,1.571
New Jersey,Overall,2020-03-06,0.004,-5.972,1.662,-2.489,-2.985,1.55
New Jersey,Overall,2020-03-07,8.512,44.779,-1.079,8.892,2.47,5.525
New Jersey,Overall,2020-03-08,5.557,116.304,-0.386,8.059,1.606,1.649
New Jersey,Overall,2020-03-09,8.355,120.787,-0.006,8.494,-3.724,0.805
New Jersey,Overall,2020-03-10,10.483,33.692,0.975,5.11,-6.959,-1.624
New Jersey,Overall,2020-03-11,11.636,48.255,1.226,6.495,-8.337,-2.674
New Jersey,Overall,2020-03-12,25.504,18.563,2.725,4.725,-13.724,-5.021
New Jersey,Overall,2020-03-13,26.815,39.519,5.638,-0.501,-19.73,-9.239
New Jersey,Overall,2020-03-14,16.005,87.087,3.567,-7.258,-16.11,-1.979
New Jersey,Overall,2020-03-15,5.785,79.569,5.134,-14.339,-24.211,-8.451
New Jersey,Overall,2020-03-16,18.35,9.298,11.451,-10.486,-34.783,-25.15
New Jersey,Overall,2020-03-17,4.486,9.496,16.292,-27.412,-41.191,-35.258
New Jersey,Overall,2020-03-18,0.682,45.761,17.456,-30.187,-42.624,-39.433
New Jersey,Overall,2020-03-19,-3.035,0.415,20.603,-35.488,-49.936,-43.133
New Jersey,Overall,2020-03-20,3.815,51.279,21.213,-35.41,-49.253,-43.661
New Jersey,Overall,2020-03-21,-1.146,51.469,13.589,-42.318,-48.346,-30.011
New Jersey,Overall,2020-03-22,-30.558,-2.726,14.52,-57.502,-61.015,-38.405
New Jersey,Overall,2020-03-23,-34.506,-54.582,26.302,-56.271,-66.606,-55.001
New Jersey,Overall,2020-03-24,-18.493,31.875,24.366,-45.838,-60.056,-55.486
New Jersey,Overall,2020-03-25,-26.775,-31.754,26.757,-51.318,-64.64,-56.98
New Jersey,Overall,2020-03-26,-19.43,51.911,25.653,-46.194,-62.076,-57.08
New Jersey,Overall,2020-03-27,-21.024,42.284,27.083,-48.346,-62.681,-55.855
New Jersey,Overall,2020-03-28,-31.769,-47.174,19.016,-59.31,-67.408,-43.614
New Jersey,Overall,2020-03-29,-33.447,-36.125,16.14,-58.72,-70.549,-44.293
