state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
New Jersey,Atlantic County,grocery/pharmacy,7.205,4.895,7.24,5.418,3.274,1.604,5.694,6.868,3.594,-0.999,6.149,6.063,8.132,7.192,11.851,12.393,12.795,11.202,13.339,1.162,14.504,11.245,13.323,14.605,12.602,22.191,19.307,18.16,13.13,29.868,2.684,-1.583,-7.094,0.498,-5.694,-33.331,-35.259,-22.843,-33.241,-19.281,-25.06,-38.059,-30.974
New Jersey,Atlantic County,parks,29.891,70.153,35.1,26.042,8.772,0.922,65.476,82.428,29.762,-15.851,7.595,3.289,-5.531,14.881,23.551,21.258,26.042,49.913,40.57,-23.968,37.698,96.92,93.537,41.893,33.637,21.93,21.202,96.23,44.384,2.126,54.348,45.573,9.868,47.935,20.833,-30.797,-58.461,41.893,-47.743,78.947,47.013,-49.603,11.775
New Jersey,Atlantic County,residential,-0.775,4.685,-0.552,-0.567,-0.073,0.269,-0.971,-0.632,-0.351,1.133,-1.062,-0.51,-0.585,-1.533,-0.863,-0.666,-0.914,-1.53,-1.434,1.589,-1.405,-0.952,-1.045,-0.821,-0.916,-0.518,2.591,1.799,3.826,5.372,12.037,14.067,16.945,17.881,14.592,15.959,23.409,20.47,23.575,21.052,23.464,20.038,16.264
New Jersey,Atlantic County,retail/recreation,15.27,17.961,8.459,7.432,5.245,2.588,14.326,5.473,1.542,-0.432,9.184,8.322,7.519,22.384,9.824,7.015,11.053,11.963,13.068,-1.562,17.059,10.091,13.062,11.392,11.42,8.878,4.541,4.053,-8.196,0.151,-26.088,-30.664,-36.451,-35.715,-43.307,-63.029,-59.295,-46.711,-54.651,-45.066,-50.753,-62.085,-58.384
New Jersey,Atlantic County,transitstations,22.45,1.603,10.108,13.832,12.207,10.759,17.7,10.776,-1.335,3.931,10.727,6.51,7.58,11.026,6.585,-2.671,5.615,13.268,6.51,-3.912,10.736,10.177,-1.335,7.862,3.388,-0.543,-9.292,-13.347,-17.062,-16.56,-31.727,-38.674,-51.812,-48.905,-59.773,-72.737,-70.513,-58.401,-64.645,-58.865,-64.799,-73.41,-75.132
New Jersey,Atlantic County,workplace,4.506,-23.72,4.617,3.201,2.554,3.03,3.929,2.096,3.046,3.327,3.201,1.975,3.318,4.628,2.515,4.344,3.525,2.376,2.168,1.01,5.239,1.362,2.746,2.929,2.037,-0.096,-6.3,-3.842,-8.908,-13.233,-32.62,-39.523,-42.977,-46.36,-47.936,-55.018,-56.677,-55.807,-58.776,-57.576,-58.191,-58.064,-57.323
New Jersey,Bergen County,grocery/pharmacy,-7.815,2.017,-2.042,-1.457,-1.615,-2.271,2.576,3.03,,-1.772,1.19,0.245,2.113,4.429,4.944,5.293,7.259,9.395,15.591,5.508,11.285,6.197,9.541,14.002,17.503,40.874,43.079,22.273,5.901,20.34,10.606,3.981,-0.71,5.846,-5.813,-33.173,-35.529,-16.291,-24.421,-17.989,-18.931,-31.067,-38.436
New Jersey,Bergen County,parks,-3.522,80.827,-3.481,18.199,-3.625,-3.296,83.473,124.555,66.087,-3.978,-2.395,2.175,-1.978,10.463,27.802,60.436,16.905,37.835,46.162,-4.835,62.779,129.004,139.298,43.009,60.824,23.202,43.293,118.118,82.295,13.758,13.922,60.824,4.35,61.094,81.148,5.19,-63.384,56.185,-23.228,72.506,36.041,-56.966,-67.097
New Jersey,Bergen County,residential,-0.509,8.991,2.549,0.627,0.979,1.122,-1.168,-1.066,-0.465,0.167,-0.01,0.205,0.036,-0.55,0.178,-0.351,0.221,-0.004,0.104,1.914,0.037,0.822,1.054,2.716,2.983,4.985,8.255,6.234,8.025,16.874,21.686,23.037,25.957,26.474,17.642,17.134,32.058,30.511,32.754,31.859,32.831,22.786,19.443
New Jersey,Bergen County,retail/recreation,1.301,18.486,0.777,0.152,-0.541,-1.306,1.809,3.323,-0.683,-1.489,-1.559,-0.698,-0.246,2.501,3.514,2.958,1.434,3.612,3.244,-5.599,1.162,1.291,3.107,1.526,1.488,1.012,-5.046,-19.295,-27.288,-22.164,-34.05,-39.308,-44.353,-46.402,-57.056,-63.675,-64.621,-53.957,-60.019,-56.291,-57.555,-70.219,-69.031
New Jersey,Bergen County,transitstations,-8.365,-21.15,-1.748,-2.124,-0.547,-2.958,4.718,9.943,5.545,3.178,1.337,0.703,-2.413,-1.242,6.313,3.406,3.655,1.023,3.904,-1.557,7.574,4.261,-1.03,-5.88,-10.228,-14.055,-20.631,-11.422,-23.674,-37.785,-43.383,-45.317,-51.927,-49.592,-43.33,-56.029,-70.025,-59.91,-65.144,-63.172,-60.725,-64.561,-66.919
New Jersey,Bergen County,workplace,-1.558,-42.623,-9.466,-2.407,-2.56,-0.884,2.256,2.74,3.591,3.607,2.497,2.022,3.045,3.773,3.062,3.063,2.865,1.737,0.934,1.577,4.846,-0.967,-0.7,-3.542,-4.646,-8.384,-13.267,-6.214,-14.935,-34.661,-42.956,-47.129,-50.624,-51.071,-39.765,-45.932,-64.026,-64.128,-65.712,-66.176,-65.262,-54.377,-52.433
New Jersey,Burlington County,grocery/pharmacy,-0.55,-0.504,3.199,,1.201,0.258,7.11,10.328,2.603,-0.938,3.342,3.002,5.162,5.57,9.1,6.382,8.19,5.239,11.289,2.507,12.68,15.28,8.649,10.408,9.076,20.937,23.968,14.892,3.555,14.485,-1.237,-6.271,-10.969,-1.106,-8.019,-41.015,-37.535,-24.058,-34.488,-25.181,-28.06,-39.739,-40.592
New Jersey,Burlington County,parks,22.978,71.575,31.733,15.528,-4.419,-13.424,84.787,108.762,46.012,-3.449,9.705,3.157,1.611,18.169,29.105,62.628,22.075,53.054,49.874,-11.276,55.111,136.336,122.06,52.428,58.877,22.096,40.808,122.941,95.997,14.698,31.733,78.934,5.682,77.857,103.561,1.021,-54.32,60.017,-36.232,89.015,62.285,-39.971,7.149
New Jersey,Burlington County,residential,-0.917,7.819,0.094,-0.021,0.056,0.471,-1.729,-1.132,-0.635,0.358,-0.477,0.017,-0.277,-1.539,-1.133,-0.721,-0.028,-0.602,-0.789,1.476,-1.45,-0.725,-0.367,0.7,0.228,1.526,3.774,3.143,4.315,9.911,15.5,17.189,20.127,20.693,12.53,13.541,24.937,24.072,26.458,24.854,26.397,17.826,14.187
New Jersey,Burlington County,retail/recreation,3.964,11.888,2.475,2.065,0.705,-0.862,8.31,5.502,1.452,-0.453,4.66,3.876,2.454,8.339,8.749,6.525,6.046,7.986,7.7,-1.271,12.609,7.758,9.836,7.615,7.127,7.964,5.01,-2.694,-11.722,-3.001,-25.583,-29.861,-33.389,-30.822,-38.83,-58.184,-53.729,-44.195,-50.676,-43.185,-46.744,-58.66,-55.706
New Jersey,Burlington County,transitstations,2.234,11.356,13.049,8.549,0.661,6.485,14.281,20.387,2.621,-0.687,-0.225,-2.202,1.013,5.88,8.099,5.678,3.205,4.95,5.726,2.635,14.841,13.405,-0.437,-1.145,-0.675,-3.744,-7.904,2.8,-8.937,-10.482,-16.941,-11.699,-22.023,-26.548,-29.402,-44.962,-38.653,-29.762,-38.247,-30.832,-37.492,-50.963,-55.295
New Jersey,Burlington County,workplace,-0.421,-37.34,0.104,1.474,0.676,1.528,5.707,3.265,3.087,0.808,1.319,0.676,1.945,4.003,4.318,3.764,1.407,1.345,0.988,-0.583,5.621,2.633,1.922,-0.417,-0.621,-1.924,-6.002,-1.959,-6.425,-22.068,-34.166,-39.551,-43.336,-45.234,-25.382,-33.915,-55.482,-57.204,-58.434,-58.023,-56.987,-39.094,-39.497
