state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
New Mexico,Roosevelt County,2020-02-16,2.003,,,8.198,,4.664
New Mexico,Roosevelt County,2020-02-17,2.717,,,-4.639,,-30.281
New Mexico,Roosevelt County,2020-02-18,8.762,,,9.766,,5.297
New Mexico,Roosevelt County,2020-02-19,0.906,,,-3.858,,
New Mexico,Roosevelt County,2020-02-20,,,,-4.357,,4.096
New Mexico,Roosevelt County,2020-02-21,6.614,,,1.447,,5.208
New Mexico,Roosevelt County,2020-02-22,5.833,,,3.551,,10.823
New Mexico,Roosevelt County,2020-02-23,-1.002,,,9.645,,1.555
New Mexico,Roosevelt County,2020-02-24,,,,-6.748,,4.845
New Mexico,Roosevelt County,2020-02-25,0.974,,,-0.93,,3.531
New Mexico,Roosevelt County,2020-02-26,2.717,,,14.146,,2.302
New Mexico,Roosevelt County,2020-02-27,8.152,,,16.239,,6.437
New Mexico,Roosevelt County,2020-02-28,9.921,,,14.468,,14.323
New Mexico,Roosevelt County,2020-02-29,11.667,,,27.225,,10.823
New Mexico,Roosevelt County,2020-03-01,13.021,,,26.042,,15.547
New Mexico,Roosevelt County,2020-03-02,4.529,,,17.502,,9.084
New Mexico,Roosevelt County,2020-03-03,13.629,,,30.227,,5.297
New Mexico,Roosevelt County,2020-03-04,11.775,,,11.145,,4.029
New Mexico,Roosevelt County,2020-03-05,11.775,,,6.931,,4.096
New Mexico,Roosevelt County,2020-03-06,9.921,,,14.829,,9.766
New Mexico,Roosevelt County,2020-03-07,4.167,,,10.259,,5.411
New Mexico,Roosevelt County,2020-03-08,,,,1.447,,-3.109
New Mexico,Roosevelt County,2020-03-09,7.246,,,-2.109,,-16.352
New Mexico,Roosevelt County,2020-03-10,9.735,,,5.115,,-20.009
New Mexico,Roosevelt County,2020-03-11,3.623,,,3.001,,-19.567
New Mexico,Roosevelt County,2020-03-12,19.022,,,3.169,,-19.897
New Mexico,Roosevelt County,2020-03-13,12.401,,,-8.681,,-16.927
New Mexico,Roosevelt County,2020-03-14,12.5,,,3.551,,1.353
New Mexico,Roosevelt County,2020-03-15,-2.003,,,-12.539,,-10.883
New Mexico,Roosevelt County,2020-03-16,13.587,,,-2.952,,-15.746
New Mexico,Roosevelt County,2020-03-17,20.444,,,-6.51,,-23.54
New Mexico,Roosevelt County,2020-03-18,8.152,,,-10.717,,-25.898
New Mexico,Roosevelt County,2020-03-19,21.739,,,-17.823,,-28.675
New Mexico,Roosevelt County,2020-03-20,15.708,,,-19.17,,-23.438
New Mexico,Roosevelt County,2020-03-21,9.167,,,-22.491,,-13.528
New Mexico,Roosevelt County,2020-03-22,-3.005,,,-21.701,,-21.766
