state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
New York,Albany County,2020-02-16,-5.853,8.681,-0.929,6.817,-0.659,1.994
New York,Albany County,2020-02-17,1.91,-23.521,9.414,11.943,-7.722,-42.578
New York,Albany County,2020-02-18,-7.346,-34.124,3.127,-7.269,0.17,-9.492
New York,Albany County,2020-02-19,-3.023,-22.363,2.486,4.15,1.691,-8.561
New York,Albany County,2020-02-20,-3.381,-8.464,2.038,2.239,-2.326,-7.879
New York,Albany County,2020-02-21,-5.249,-9.98,2.809,0.712,-4.777,-9.875
New York,Albany County,2020-02-22,-3.021,81.699,-1.4,9.242,6.103,3.666
New York,Albany County,2020-02-23,0.366,126.35,-1.633,8.875,6.813,4.449
New York,Albany County,2020-02-24,2.196,59.812,-0.87,7.468,2.629,3.645
New York,Albany County,2020-02-25,-0.094,12.572,-0.462,4.329,3.921,3.918
New York,Albany County,2020-02-26,-1.191,-1.766,0.168,6.101,3.72,3.4
New York,Albany County,2020-02-27,1.279,-3.906,0.319,2.481,4.153,3.515
New York,Albany County,2020-02-28,6.972,-0.624,-0.182,5.731,4.623,2.143
New York,Albany County,2020-02-29,3.755,16.34,-1.186,11.348,11.785,4.425
New York,Albany County,2020-03-01,13.535,19.29,-1.037,10.932,4.175,7.364
New York,Albany County,2020-03-02,15.945,30.242,-0.361,11.176,4.929,3.231
New York,Albany County,2020-03-03,15.352,42.505,-0.686,8.281,8.695,3.635
New York,Albany County,2020-03-04,8.062,5.885,0.028,7.348,2.537,2.68
New York,Albany County,2020-03-05,13.706,18.229,-0.88,5.444,1.994,3.556
New York,Albany County,2020-03-06,10.171,12.475,0.11,5.881,7.242,2.605
New York,Albany County,2020-03-07,12.572,81.699,-1.429,12.981,10.943,5.815
New York,Albany County,2020-03-08,13.901,193.866,-1.431,9.371,7.032,2.455
New York,Albany County,2020-03-09,16.613,118.952,-0.685,10.025,4.436,1.947
New York,Albany County,2020-03-10,9.324,-1.796,0.734,0.353,0.17,1.979
New York,Albany County,2020-03-11,15.208,11.182,0.71,3.175,1.691,0.2
New York,Albany County,2020-03-12,33.169,5.859,1.401,1.976,-3.489,-0.849
