state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
New York,Bronx County,grocery/pharmacy,-4.066,-8.083,-6.259,-6.125,-4.427,-9.508,-2.954,0.195,-1.997,-3.641,-2.828,1.128,0.34,-0.957,2.505,6.317,6.927,7.477,12.341,-1.556,6.126,5.92,7.58,10.455,10.457,30.367,29.478,22.78,17.597,25.43,18.236,13.933,5.339,13.889,12.594,-11.563,-39.912,-13.385,-25.411,-14.554,-19.277,-28.77,-30.852
New York,Bronx County,parks,4.707,-11.542,-11.503,-0.176,-6.245,-9.147,23.761,38.949,14.689,-1.041,-2.641,-22.978,-18.181,-15.275,-6.605,-7.753,6.301,16.315,18.441,3.659,20.862,42.897,34.567,9.769,14.789,1.65,7.661,22.276,21.41,-19.877,-21.851,-9.624,-24.745,-8.118,-9.9,-30.445,-63.479,-35.782,-51.35,-30.755,-24.87,-50.492,-53.602
New York,Bronx County,residential,-0.203,10.558,3.228,2.484,2.579,3.764,-0.747,-1.046,-0.53,0.19,-0.259,-0.426,-0.383,-0.891,-0.518,-0.871,-0.476,-0.538,-1.003,1.17,-0.749,-0.573,-0.446,0.76,0.764,2.014,4.416,3.194,4.215,10.662,13.363,14.454,16.953,19.246,13.309,13.712,25.968,24.289,25.944,25.401,27.733,19.927,16.955
New York,Bronx County,retail/recreation,-0.771,3.062,-2.458,2.104,2.186,-3.983,10.028,7.575,7.539,0.115,5.474,8.072,5.86,10.557,8.968,14.02,8.039,11.9,13.069,-2.187,13.401,10.576,15.144,6.593,7.675,6.414,-0.79,1.461,-7.045,-10.759,-22.408,-22.268,-30.582,-30.96,-34.035,-52.373,-63.861,-50.554,-56.679,-50.177,-52.664,-62.99,-66.339
New York,Bronx County,transitstations,-2.428,-23.371,-7.312,-5.766,-7.45,-11.467,8.829,5.218,4.652,2.588,2.478,2.008,2.782,8.125,3.529,7.971,3.892,1.94,1.908,-4.055,9.584,4.313,3.227,-0.139,-2.259,-7.731,-14.014,-4.679,-14.357,-28.041,-31.992,-33.915,-39.828,-39.234,-33.205,-47.551,-62.353,-53.826,-57.718,-54.427,-53.788,-55.001,-57.113
New York,Bronx County,workplace,-2.578,-39.079,-10.534,-9.74,-9.506,-9.653,4.616,0.44,6.167,3.608,2.528,3.244,4.012,4.451,0.4,6.175,4.179,2.027,3.53,2.478,6.436,0.46,4.584,1.286,0.097,-2.642,-6.529,-2.184,-10.171,-24.472,-29.737,-33.348,-37.617,-41.604,-32.709,-40.783,-56.64,-56.802,-58.835,-58.978,-59.625,-50.942,-51.933
New York,Broome County,grocery/pharmacy,-2.052,0.833,-1.521,-0.245,1.285,-0.211,4.506,6.156,3.833,2.788,4.501,-2.249,2.396,1.375,9.276,7.25,8.955,7.855,11.485,2.044,10.615,9.768,12.417,7.265,11.62,22.97,16.703,23.98,14.119,28.833,16.474,9.737,2.731,3.735,-5.88,-18.633,-29.75,-18.586,-17.675,-14.456,-20.016,-26.5,-27.745
New York,Broome County,parks,12.401,17.123,-4.664,-4.401,1.467,8.681,58.435,107.887,72.774,13.993,5.869,-14.671,-3.72,-13.974,34.722,41.381,37.313,7.336,49.883,12.401,27.947,131.448,139.84,10.883,16.138,44.014,50.843,20.325,94.246,45.662,34.204,107.101,64.554,38.442,72.409,80.605,-35.674,3.109,4.401,108.568,64.484,-41.921,4.96
New York,Broome County,residential,-0.568,5.019,0.937,0.532,0.061,0.669,-0.689,-1.336,-0.5,-0.334,-0.139,0.85,-0.183,-0.226,-1.63,-0.709,-0.804,-0.396,-1.078,0.681,-1.328,-2.113,-0.844,0.753,-0.24,1.042,3.241,1.817,1.973,5.12,9.727,11.574,13.072,15.449,10.65,8.801,19.813,19.43,20.023,18.735,20.011,14.891,11.3
New York,Broome County,retail/recreation,14.169,13.093,4.185,7.86,7.489,6.247,15.184,18.078,7.932,10.277,14.174,2.496,7.688,14.266,24.283,14.096,14.974,11.834,13.92,5.766,25.0,25.895,13.093,8.092,8.699,10.324,0.927,-0.247,0.293,0.334,-21.112,-25.302,-32.452,-36.518,-45.339,-46.22,-56.575,-49.247,-48.749,-44.256,-48.256,-58.298,-52.816
New York,Broome County,transitstations,-1.736,-2.011,2.075,5.857,6.588,4.96,10.135,6.944,6.837,5.395,5.438,6.176,3.434,4.505,5.208,3.218,6.64,12.969,12.764,6.105,18.018,15.046,8.848,4.15,5.02,8.646,-1.145,-0.563,1.157,-2.011,-12.865,-5.438,-19.763,-28.236,-21.396,-32.986,-40.219,-29.465,-33.467,-29.644,-40.446,-47.297,-44.56
New York,Broome County,workplace,4.677,-20.727,3.186,2.173,2.825,3.834,8.437,9.992,8.064,5.543,4.532,3.265,5.552,4.132,10.204,9.597,5.543,4.097,1.256,-0.066,2.755,7.866,7.064,4.205,3.973,-6.404,-9.452,5.51,2.976,-9.464,-22.362,-29.549,-33.278,-35.89,-26.171,-26.786,-46.918,-49.503,-50.593,-49.666,-48.58,-39.428,-35.714
New York,Kings County,grocery/pharmacy,-3.979,-1.003,-3.072,-2.239,-3.214,-7.809,0.66,0.904,-0.73,-3.931,0.733,1.469,1.227,2.942,3.389,6.999,5.948,10.065,10.801,-1.429,10.041,8.147,9.529,9.288,12.53,32.561,33.666,26.277,15.697,24.78,20.009,16.353,2.85,13.026,7.182,-18.937,-43.443,-14.298,-25.934,-17.181,-19.391,-30.872,-34.051
New York,Kings County,parks,-2.667,34.276,-4.628,14.264,-2.771,-11.522,36.937,54.389,29.831,-3.757,-9.106,-7.3,-8.243,-5.13,3.255,23.083,5.826,19.633,25.202,-13.489,31.074,60.041,73.104,28.805,33.161,3.303,21.264,55.357,36.757,-12.693,-2.124,14.054,-5.222,23.466,15.39,-27.624,-69.677,2.396,-45.478,4.529,8.384,-53.5,-57.011
New York,Kings County,residential,-0.685,10.88,3.074,2.027,2.569,3.729,-0.821,-1.241,-0.272,0.44,-0.152,-0.172,0.143,-0.691,-0.498,-0.301,0.019,-0.382,-0.649,1.702,-0.458,-0.477,0.652,2.422,2.456,4.144,6.631,4.069,5.188,14.348,17.308,18.724,21.69,22.606,13.985,15.126,30.849,28.698,30.501,30.076,30.632,20.171,18.441
