state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
New York,Albany County,grocery/pharmacy,-5.853,1.91,-7.346,-3.023,-3.381,-5.249,-3.021,0.366,2.196,-0.094,-1.191,1.279,6.972,3.755,13.535,15.945,15.352,8.062,13.706,10.171,12.572,13.901,16.613,9.324,15.208,33.169,35.023,18.368,11.066,29.598,17.612,7.238,4.477,6.972,-4.735,-16.005,-30.553,-19.59,-18.781,-11.97,-15.748,-25.878,-31.369
New York,Albany County,parks,8.681,-23.521,-34.124,-22.363,-8.464,-9.98,81.699,126.35,59.812,12.572,-1.766,-3.906,-0.624,16.34,19.29,30.242,42.505,5.885,18.229,12.475,81.699,193.866,118.952,-1.796,11.182,5.859,-1.248,66.381,103.202,4.704,-23.348,23.54,-16.927,5.614,138.889,93.557,-57.124,-48.491,-27.66,44.271,42.415,34.722,-15.432
New York,Albany County,residential,-0.929,9.414,3.127,2.486,2.038,2.809,-1.4,-1.633,-0.87,-0.462,0.168,0.319,-0.182,-1.186,-1.037,-0.361,-0.686,0.028,-0.88,0.11,-1.429,-1.431,-0.685,0.734,0.71,1.401,4.718,3.883,3.617,8.723,15.326,17.225,18.967,21.426,11.497,10.103,24.168,25.109,25.44,23.626,25.349,14.964,13.391
New York,Albany County,retail/recreation,6.817,11.943,-7.269,4.15,2.239,0.712,9.242,8.875,7.468,4.329,6.101,2.481,5.731,11.348,10.932,11.176,8.281,7.348,5.444,5.881,12.981,9.371,10.025,0.353,3.175,1.976,-6.817,-15.334,-19.683,-11.023,-34.581,-37.693,-41.228,-44.517,-50.973,-56.273,-62.838,-59.305,-56.653,-53.455,-54.387,-61.202,-61.826
New York,Albany County,transitstations,-0.659,-7.722,0.17,1.691,-2.326,-4.777,6.103,6.813,2.629,3.921,3.72,4.153,4.623,11.785,4.175,4.929,8.695,2.537,1.994,7.242,10.943,7.032,4.436,0.17,1.691,-3.489,-8.629,-13.258,-15.164,-22.016,-29.494,-31.453,-41.201,-47.306,-38.931,-53.841,-58.984,-56.431,-58.002,-55.489,-54.241,-61.027,-66.588
New York,Albany County,workplace,1.994,-42.578,-9.492,-8.561,-7.879,-9.875,3.666,4.449,3.645,3.918,3.4,3.515,2.143,4.425,7.364,3.231,3.635,2.68,3.556,2.605,5.815,2.455,1.947,1.979,0.2,-0.849,-7.227,-4.425,-7.21,-20.999,-35.947,-41.243,-44.608,-47.692,-27.938,-30.682,-57.82,-58.566,-58.764,-57.579,-57.777,-38.304,-37.739
New York,Allegany County,grocery/pharmacy,3.938,-1.197,1.225,-4.167,0.572,-7.576,-0.511,16.824,5.388,3.676,16.667,-6.868,-9.943,-5.106,13.96,14.966,16.544,11.31,13.164,-1.42,-1.021,14.676,9.579,8.578,8.929,18.315,15.152,18.893,38.302,29.933,7.353,7.143,2.862,-3.788,-4.085,-3.222,-27.538,-14.706,-18.452,-13.736,-19.886,-24.765,-15.392
New York,Allegany County,retail/recreation,32.308,4.65,13.947,13.999,21.718,20.572,33.245,45.12,6.045,10.46,15.646,-12.066,5.878,19.208,49.02,13.021,29.637,16.057,31.371,10.123,25.118,42.892,7.44,5.23,8.646,16.49,10.776,16.992,26.738,-9.301,-36.175,-38.702,-39.012,-39.511,-43.218,-44.006,-58.594,-50.122,-50.231,-40.621,-35.92,-53.561,-41.221
New York,Allegany County,workplace,-0.914,-25.289,-13.347,-15.084,-12.373,-13.324,5.697,-0.914,4.516,3.192,3.131,-18.992,0.908,9.766,0.914,3.011,2.321,1.992,4.029,3.634,4.883,1.827,-1.204,-4.352,-1.992,-1.439,-7.267,4.069,-3.655,-21.676,-28.726,-32.445,-35.681,-36.337,-19.531,-26.499,-46.965,-48.166,-48.383,-48.63,-48.752,-30.111,-34.722
New York,Bronx County,grocery/pharmacy,-4.066,-8.083,-6.259,-6.125,-4.427,-9.508,-2.954,0.195,-1.997,-3.641,-2.828,1.128,0.34,-0.957,2.505,6.317,6.927,7.477,12.341,-1.556,6.126,5.92,7.58,10.455,10.457,30.367,29.478,22.78,17.597,25.43,18.236,13.933,5.339,13.889,12.594,-11.563,-39.912,-13.385,-25.411,-14.554,-19.277,-28.77,-30.852
New York,Bronx County,parks,4.707,-11.542,-11.503,-0.176,-6.245,-9.147,23.761,38.949,14.689,-1.041,-2.641,-22.978,-18.181,-15.275,-6.605,-7.753,6.301,16.315,18.441,3.659,20.862,42.897,34.567,9.769,14.789,1.65,7.661,22.276,21.41,-19.877,-21.851,-9.624,-24.745,-8.118,-9.9,-30.445,-63.479,-35.782,-51.35,-30.755,-24.87,-50.492,-53.602
New York,Bronx County,residential,-0.203,10.558,3.228,2.484,2.579,3.764,-0.747,-1.046,-0.53,0.19,-0.259,-0.426,-0.383,-0.891,-0.518,-0.871,-0.476,-0.538,-1.003,1.17,-0.749,-0.573,-0.446,0.76,0.764,2.014,4.416,3.194,4.215,10.662,13.363,14.454,16.953,19.246,13.309,13.712,25.968,24.289,25.944,25.401,27.733,19.927,16.955
New York,Bronx County,retail/recreation,-0.771,3.062,-2.458,2.104,2.186,-3.983,10.028,7.575,7.539,0.115,5.474,8.072,5.86,10.557,8.968,14.02,8.039,11.9,13.069,-2.187,13.401,10.576,15.144,6.593,7.675,6.414,-0.79,1.461,-7.045,-10.759,-22.408,-22.268,-30.582,-30.96,-34.035,-52.373,-63.861,-50.554,-56.679,-50.177,-52.664,-62.99,-66.339
