state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
North Carolina,Ashe County,grocery/pharmacy,3.551,-5.165,7.508,4.692,-16.223,-7.388,11.125,5.919,-7.748,5.631,9.384,-16.223,2.216,-9.102,3.551,,20.646,9.384,3.415,-6.649,12.136,13.021,0.861,10.323,12.2,14.515,11.082,39.442,24.858,12.913,24.399,20.646,5.977,-3.694,25.283,-11.837,-8.609,0.938,3.754,-10.246,-2.955,16.181,1.184
North Carolina,Ashe County,retail/recreation,14.388,7.476,0.77,14.159,-24.428,-1.887,12.21,8.057,-4.984,10.006,15.676,-7.375,7.548,-8.394,24.747,14.454,23.604,14.664,19.358,1.51,9.921,19.855,6.479,8.723,12.894,10.601,11.322,8.394,2.302,-7.974,-13.855,-21.238,-18.897,-23.777,-21.749,-25.322,-24.422,-25.144,-23.766,-24.889,-18.871,-18.697,-5.18
North Carolina,Ashe County,workplace,5.682,-1.953,-2.541,8.359,-10.163,-8.968,-4.96,1.894,3.255,1.27,2.572,-20.325,-3.449,-16.534,7.576,4.557,,5.787,3.176,-1.38,-1.653,3.788,2.604,-1.27,,-1.905,-4.139,-3.307,-5.682,-16.276,-15.879,-18.647,-24.136,-25.524,-26.455,-30.303,-26.042,-26.677,-27.006,-29.853,-32.423,-28.108,-30.303
North Carolina,Avery County,grocery/pharmacy,15.723,19.47,16.026,17.523,-3.561,-2.654,5.519,5.896,,9.014,12.656,-24.038,-8.625,-5.519,-1.965,6.815,1.002,,3.561,-19.241,-20.006,-2.948,16.55,13.021,9.735,11.574,-1.327,2.759,12.775,35.047,27.043,14.603,12.464,-7.298,-15.177,-18.671,4.868,3.005,2.921,-2.671,-13.27,-20.695,-18.671
North Carolina,Avery County,retail/recreation,25.063,28.549,18.188,7.284,-20.411,5.968,32.177,7.832,3.858,23.975,2.914,-16.892,-9.223,-2.727,6.266,12.346,10.747,15.297,9.854,-19.531,1.636,4.699,14.66,12.401,5.828,4.223,-12.478,-11.453,-23.496,-3.858,-9.921,-32.78,-29.561,-40.148,-51.265,-61.873,-37.037,-34.722,-34.237,-33.08,-39.605,-45.812,-52.475
North Carolina,Avery County,workplace,4.433,8.681,4.167,0.992,-15.873,-9.191,6.01,-2.216,6.51,6.25,-0.992,-23.81,-10.212,-6.01,-2.216,8.681,4.167,0.992,0.992,-13.276,-4.006,2.216,4.34,-4.167,,1.984,-2.042,-2.003,-8.865,-5.425,-8.333,-17.857,-18.849,-22.467,-22.035,-33.245,-20.616,-22.917,-29.762,-30.754,-28.595,-26.042,-28.812
North Carolina,Craven County,grocery/pharmacy,-0.8,2.864,2.006,3.429,17.012,-26.297,-4.703,-7.68,-1.96,0.86,0.714,4.741,5.106,9.268,9.601,9.648,9.6,7.573,-1.394,2.17,6.917,6.88,12.663,10.46,9.145,18.268,23.999,26.56,17.281,25.476,20.919,12.574,10.04,10.212,0.138,-9.281,-3.015,0.287,-5.858,-6.554,-0.255,3.32,-1.92
North Carolina,Craven County,parks,4.296,20.833,9.921,-25.219,-35.1,-48.544,-9.629,21.478,-4.902,2.48,-9.868,3.397,8.091,7.003,28.995,26.961,12.401,13.158,-2.264,12.136,29.762,44.029,45.343,63.244,49.342,50.951,31.351,36.765,-38.66,17.157,-11.161,20.833,28.306,37.419,-7.003,-23.625,-4.902,12.401,-29.605,19.248,24.272,24.51,36.512
North Carolina,Craven County,residential,-0.576,5.578,1.106,1.344,3.181,16.979,1.063,0.094,-0.107,0.494,-0.165,-1.118,-0.745,-2.366,-1.971,-1.496,-0.847,0.059,1.459,1.215,-1.017,-1.079,-0.994,-0.131,-0.616,-0.844,0.456,-0.251,3.953,4.112,8.289,8.11,9.018,11.085,9.076,9.127,12.093,12.406,15.109,13.708,15.102,8.464,7.567
North Carolina,Craven County,retail/recreation,0.45,5.101,0.896,-1.388,-8.968,-27.698,-2.752,2.325,2.752,2.177,9.464,12.362,9.267,12.242,19.873,13.356,12.357,8.202,2.727,6.886,9.939,11.174,8.927,7.299,9.59,7.514,2.692,1.011,-9.149,-4.564,-19.079,-24.038,-27.39,-29.2,-35.434,-37.572,-32.351,-30.859,-34.007,-35.571,-34.118,-33.917,-31.048
North Carolina,Craven County,workplace,-4.141,-26.354,-3.87,1.949,-0.439,-33.532,-2.176,0.637,3.635,1.88,2.599,2.305,3.111,7.615,-1.274,4.43,3.76,2.057,1.976,0.807,1.632,-2.867,3.294,3.649,0.975,2.086,0.691,-2.992,-14.335,-9.088,-14.818,-16.35,-18.55,-20.511,-24.75,-29.944,-26.468,-27.866,-31.402,-30.515,-30.881,-26.11,-33.767
North Carolina,Cumberland County,grocery/pharmacy,-7.386,-2.446,-3.332,-0.075,1.529,-15.526,-5.018,-6.824,-4.419,-4.885,0.338,4.959,4.277,5.506,3.091,7.734,8.444,4.361,-0.037,1.953,5.506,3.011,7.812,2.158,3.985,14.615,21.083,17.216,11.802,21.938,17.115,8.195,10.215,10.339,0.627,-14.009,-1.736,-8.86,-8.233,-9.358,-6.365,-1.603,-11.761
North Carolina,Cumberland County,parks,-1.708,24.966,14.397,-19.685,-31.566,-28.935,28.562,49.522,,16.091,30.348,7.891,15.914,16.801,24.761,23.244,33.875,18.865,-13.415,,37.802,46.96,50.792,27.1,41.01,46.559,13.744,47.883,-5.977,2.583,-14.397,20.505,29.987,28.935,10.921,-9.392,-25.826,-15.244,-9.843,1.578,10.127,31.082,18.784
North Carolina,Cumberland County,residential,-0.284,5.305,1.679,0.798,5.89,7.623,0.472,-0.278,0.421,0.073,-1.359,-1.485,-2.79,-2.809,-2.475,-1.93,-1.13,-0.796,1.313,-0.796,-1.479,-1.384,-1.515,-0.564,-0.365,-0.48,-0.465,-0.238,2.163,4.857,7.428,8.538,9.969,10.526,7.975,8.498,13.305,14.447,15.319,16.116,16.073,9.118,8.71
North Carolina,Cumberland County,retail/recreation,2.911,6.139,2.495,-0.204,-8.156,-9.313,2.885,3.82,0.952,7.228,16.685,18.95,16.146,21.36,23.93,18.663,16.935,15.364,8.096,8.124,13.27,13.833,12.754,10.714,11.055,11.124,4.96,1.129,-3.955,2.561,-9.419,-16.48,-20.15,-23.587,-31.783,-36.366,-27.938,-26.306,-26.042,-29.535,-31.749,-32.774,-32.226
North Carolina,Cumberland County,transitstations,1.911,5.903,1.045,4.575,-11.197,-14.327,-2.586,9.079,1.042,1.742,10.206,12.894,6.566,2.955,14.335,12.847,0.697,1.76,0.679,7.76,-0.739,16.246,13.889,7.664,6.334,11.536,6.268,,9.079,-6.597,-5.923,-6.334,-8.822,-14.327,-20.686,-22.458,-31.25,-31.355,-33.784,-29.52,-34.324,-32.506,-32.97
North Carolina,Cumberland County,workplace,-4.612,-27.49,-7.604,1.089,-4.371,-11.014,-2.264,-1.989,4.75,0.382,1.214,1.425,0.264,-0.781,-0.543,5.491,0.509,0.84,-0.158,0.429,-1.484,-1.899,2.864,-0.891,-1.649,-1.457,-3.232,-1.249,-9.494,-15.497,-18.199,-23.217,-24.735,-26.94,-21.396,-29.839,-34.565,-38.116,-39.992,-40.888,-41.284,-28.97,-35.174
North Carolina,Henderson County,grocery/pharmacy,,1.613,-1.081,17.518,-7.721,-5.917,,-0.686,-1.747,0.135,2.83,4.064,5.547,2.617,5.215,3.36,5.404,3.638,3.793,2.835,3.489,3.019,4.435,7.296,10.241,20.59,29.463,24.422,18.528,21.909,17.969,9.568,9.211,10.108,3.115,-10.842,-5.914,-10.944,-3.099,-7.315,-0.986,-12.709,-27.586
North Carolina,Henderson County,residential,0.259,0.799,-0.48,-0.763,12.764,5.28,-1.935,-0.61,1.18,-1.912,-1.331,-0.037,-1.933,-0.048,-1.465,-0.519,-1.14,-0.947,0.093,-1.067,-1.518,-1.481,-0.894,-1.098,-1.091,-0.688,-0.925,0.463,3.299,5.962,6.17,10.061,9.869,9.989,6.948,9.328,14.362,13.87,13.546,14.089,14.153,11.056,11.457
North Carolina,Henderson County,retail/recreation,6.058,5.791,-0.732,6.564,-23.965,-2.62,5.114,6.427,2.286,8.047,10.345,7.828,8.093,6.32,15.81,8.535,13.094,10.345,6.798,7.802,6.722,13.593,10.897,7.388,8.704,8.927,4.367,-0.575,-5.541,-4.953,-12.801,-23.116,-25.544,-29.113,-33.611,-43.07,-33.452,-36.722,-29.609,-37.011,-34.877,-47.975,-50.975
North Carolina,Henderson County,workplace,-0.604,-1.255,2.851,2.402,-22.206,-12.439,7.386,5.435,4.183,3.055,3.802,1.514,4.759,2.037,2.415,4.915,1.12,3.302,3.23,4.327,5.348,2.114,3.033,2.953,2.001,1.716,2.596,1.528,-9.058,-11.504,-13.95,-19.613,-21.6,-21.417,-18.847,-32.005,-29.179,-29.529,-30.419,-31.997,-33.965,-30.053,-39.251
North Carolina,Hertford County,grocery/pharmacy,-3.019,1.294,1.344,11.503,34.505,-25.624,-16.616,-23.4,-5.176,-7.392,-4.473,4.557,2.228,1.917,-1.51,6.47,14.785,2.556,2.604,-5.57,,-0.755,3.882,5.376,7.03,16.276,26.181,23.645,32.458,36.232,28.898,18.533,22.135,16.711,27.48,18.871,17.469,15.457,,16.276,1.671,23.006,9.813
North Carolina,Hertford County,retail/recreation,-1.66,1.1,0.744,3.496,-5.519,-33.482,-5.16,-4.98,1.1,4.092,15.38,21.385,13.552,16.77,14.94,19.44,29.39,15.38,18.626,2.923,5.16,9.545,20.54,11.161,10.487,17.246,3.986,8.385,6.225,6.602,-5.58,-13.633,-17.246,-40.923,-46.44,-52.291,-50.616,-46.875,-49.287,-43.46,-46.237,-38.7,-48.141
North Carolina,Hertford County,workplace,1.86,-2.042,3.382,-1.31,-5.342,-43.637,14.881,1.86,,2.706,-0.655,-1.335,-2.815,-1.653,1.86,-2.042,0.676,0.655,,-2.815,-3.307,,-8.17,-4.058,-4.586,-3.339,-3.519,1.653,-5.58,-8.17,-11.499,-14.413,-16.693,-16.892,-6.614,-27.902,-23.829,-20.969,-27.516,-24.706,-25.338,-18.188,-26.042
North Carolina,Overall,grocery/pharmacy,-2.834,1.524,-0.427,4.41,4.526,-13.789,-4.182,-3.111,-3.232,-0.301,1.263,3.242,3.911,2.74,4.965,5.67,9.447,4.584,3.627,1.945,3.817,3.581,7.162,6.743,7.005,17.972,23.545,17.241,13.408,20.69,18.832,9.059,9.563,9.686,2.268,-9.722,-4.581,-3.598,-0.863,-6.709,-5.671,-9.733,-15.353
North Carolina,Overall,parks,-4.838,45.671,13.576,-9.239,-31.182,-12.863,30.484,24.272,-2.844,17.508,11.145,6.507,20.462,25.928,22.078,31.158,23.634,14.335,-3.769,18.868,48.674,40.809,65.119,37.5,51.364,43.591,37.44,56.88,-3.263,21.748,14.363,27.863,42.347,63.537,45.523,-7.003,-16.646,-7.575,4.839,10.88,38.404,37.878,12.909
