state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
North Dakota,Overall,2020-02-16,-0.073,9.889,-0.865,8.865,4.275,1.481
North Dakota,Overall,2020-02-17,-2.62,3.901,5.35,8.6,0.558,-21.214
North Dakota,Overall,2020-02-18,-3.794,-5.332,1.154,-1.701,6.162,-1.062
North Dakota,Overall,2020-02-19,-4.284,-4.944,0.506,0.196,9.327,1.196
North Dakota,Overall,2020-02-20,-1.332,6.716,-0.115,4.056,5.204,0.83
North Dakota,Overall,2020-02-21,-1.617,11.553,-0.153,4.5,7.266,4.261
North Dakota,Overall,2020-02-22,4.104,30.43,-1.769,12.315,9.028,3.752
North Dakota,Overall,2020-02-23,7.444,16.688,-1.896,11.422,11.25,2.567
North Dakota,Overall,2020-02-24,-2.875,5.851,0.196,1.225,-2.605,3.787
North Dakota,Overall,2020-02-25,-3.215,-1.777,0.475,1.069,3.851,2.009
North Dakota,Overall,2020-02-26,-0.064,10.507,-0.857,7.172,7.043,1.937
North Dakota,Overall,2020-02-27,-0.824,9.158,-0.471,7.818,4.665,1.917
North Dakota,Overall,2020-02-28,0.334,12.653,-0.439,8.451,8.861,5.492
North Dakota,Overall,2020-02-29,10.682,21.596,-1.909,12.398,10.669,5.169
North Dakota,Overall,2020-03-01,8.757,-1.236,-0.866,12.354,6.75,4.147
North Dakota,Overall,2020-03-02,1.406,7.152,-0.569,6.08,1.861,4.438
North Dakota,Overall,2020-03-03,3.601,13.034,-0.199,6.216,3.466,2.268
North Dakota,Overall,2020-03-04,1.471,9.271,-0.795,6.803,7.043,2.193
North Dakota,Overall,2020-03-05,1.458,15.263,-0.218,6.452,4.845,1.716
North Dakota,Overall,2020-03-06,0.334,21.455,0.148,7.077,6.202,3.346
North Dakota,Overall,2020-03-07,7.967,47.118,-1.898,14.593,9.643,4.669
North Dakota,Overall,2020-03-08,4.014,4.326,-0.928,9.845,9.0,3.259
North Dakota,Overall,2020-03-09,2.236,14.954,-0.388,5.433,1.303,3.521
North Dakota,Overall,2020-03-10,6.495,10.072,-0.147,5.321,5.969,1.866
North Dakota,Overall,2020-03-11,9.91,21.014,-0.768,7.737,12.183,1.51
North Dakota,Overall,2020-03-12,20.482,4.884,0.355,9.142,4.306,-0.544
North Dakota,Overall,2020-03-13,19.122,5.501,2.459,3.487,4.43,-1.61
North Dakota,Overall,2020-03-14,14.726,-13.743,2.933,-2.145,-6.155,2.001
North Dakota,Overall,2020-03-15,13.428,-12.979,2.695,-8.483,-7.425,-1.086
North Dakota,Overall,2020-03-16,25.942,-15.604,6.293,-4.254,-8.375,-12.634
North Dakota,Overall,2020-03-17,21.092,1.777,7.399,-10.381,-2.311,-15.157
North Dakota,Overall,2020-03-18,17.838,-8.035,9.825,-19.408,-7.233,-19.199
North Dakota,Overall,2020-03-19,11.414,-20.758,13.524,-29.802,-16.867,-24.087
North Dakota,Overall,2020-03-20,9.979,-15.404,17.167,-40.16,-19.493,-24.81
North Dakota,Overall,2020-03-21,-3.863,-15.215,12.914,-51.956,-29.135,-19.425
North Dakota,Overall,2020-03-22,-11.239,24.722,8.938,-48.581,-29.7,-22.711
North Dakota,Overall,2020-03-23,-6.326,18.855,13.447,-37.544,-24.194,-27.221
North Dakota,Overall,2020-03-24,-9.453,3.555,15.829,-40.674,-17.714,-30.457
North Dakota,Overall,2020-03-25,-8.951,1.854,15.671,-39.25,-21.89,-31.448
North Dakota,Overall,2020-03-26,-6.848,18.316,16.319,-38.524,-24.224,-31.725
North Dakota,Overall,2020-03-27,-6.578,32.458,18.616,-40.108,-24.81,-29.987
North Dakota,Overall,2020-03-28,-9.113,38.283,12.34,-48.035,-31.597,-22.176
North Dakota,Overall,2020-03-29,-12.99,72.931,8.989,-43.778,-36.0,-23.797
