state,county,date,grocery/pharmacy,retail/recreation,transitstations,workplace
North Dakota,Grand Forks County,2020-02-16,5.947,19.787,5.531,3.506
North Dakota,Grand Forks County,2020-02-17,5.631,15.477,3.774,-19.502
North Dakota,Grand Forks County,2020-02-18,-6.324,2.683,0.744,2.79
North Dakota,Grand Forks County,2020-02-19,-4.513,7.304,-1.389,1.986
North Dakota,Grand Forks County,2020-02-20,-7.267,7.946,8.389,2.006
North Dakota,Grand Forks County,2020-02-21,3.96,2.601,6.764,4.354
North Dakota,Grand Forks County,2020-02-22,15.764,25.104,19.879,0.418
North Dakota,Grand Forks County,2020-02-23,7.865,13.033,22.124,2.504
North Dakota,Grand Forks County,2020-02-24,-3.167,0.649,8.303,4.439
North Dakota,Grand Forks County,2020-02-25,-2.976,2.96,3.72,4.34
North Dakota,Grand Forks County,2020-02-26,6.393,14.242,-5.556,3.055
North Dakota,Grand Forks County,2020-02-27,-3.807,14.669,9.088,3.704
North Dakota,Grand Forks County,2020-02-28,3.655,11.156,1.353,-0.67
North Dakota,Grand Forks County,2020-02-29,21.946,12.965,9.542,2.092
North Dakota,Grand Forks County,2020-03-01,17.457,16.648,20.28,0.501
North Dakota,Grand Forks County,2020-03-02,5.279,2.966,10.568,3.012
North Dakota,Grand Forks County,2020-03-03,5.952,8.603,1.488,1.86
North Dakota,Grand Forks County,2020-03-04,9.025,8.125,2.083,2.597
North Dakota,Grand Forks County,2020-03-05,0.346,4.191,13.283,3.395
North Dakota,Grand Forks County,2020-03-06,7.615,4.517,12.175,2.847
North Dakota,Grand Forks County,2020-03-07,21.946,17.859,13.518,2.092
North Dakota,Grand Forks County,2020-03-08,9.784,14.745,8.296,1.002
North Dakota,Grand Forks County,2020-03-09,2.463,4.541,12.832,4.281
North Dakota,Grand Forks County,2020-03-10,12.649,7.586,8.929,3.565
North Dakota,Grand Forks County,2020-03-11,17.674,12.507,6.25,1.069
North Dakota,Grand Forks County,2020-03-12,27.339,12.399,12.584,3.704
North Dakota,Grand Forks County,2020-03-13,23.453,-0.684,1.353,5.024
North Dakota,Grand Forks County,2020-03-14,19.782,-3.623,-4.771,-0.418
North Dakota,Grand Forks County,2020-03-15,23.596,-6.279,2.765,-3.506
North Dakota,Grand Forks County,2020-03-16,32.728,-7.877,,-17.282
North Dakota,Grand Forks County,2020-03-17,35.714,-8.511,-11.905,-18.446
North Dakota,Grand Forks County,2020-03-18,22.939,-20.632,-20.833,-24.591
North Dakota,Grand Forks County,2020-03-19,2.076,-36.585,-18.177,-31.019
North Dakota,Grand Forks County,2020-03-20,16.447,-41.407,-27.733,-30.647
North Dakota,Grand Forks County,2020-03-21,-1.545,-56.119,-41.349,-24.264
