state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Ohio,Hamilton County,2020-02-16,0.629,32.948,-0.651,7.121,1.684,0.225
Ohio,Hamilton County,2020-02-17,-3.286,20.518,4.987,2.902,-17.872,-19.524
Ohio,Hamilton County,2020-02-18,-2.284,-0.557,0.652,0.371,1.939,1.001
Ohio,Hamilton County,2020-02-19,-0.215,20.944,-0.181,2.167,1.232,1.13
Ohio,Hamilton County,2020-02-20,-0.845,-5.081,0.236,3.49,-1.768,1.343
Ohio,Hamilton County,2020-02-21,1.252,27.665,-0.426,3.978,0.266,2.433
Ohio,Hamilton County,2020-02-22,5.155,113.994,-2.457,10.033,7.107,3.679
Ohio,Hamilton County,2020-02-23,1.626,54.998,-0.659,5.954,0.962,1.843
Ohio,Hamilton County,2020-02-24,-2.781,-21.307,0.364,-2.758,-8.669,5.217
Ohio,Hamilton County,2020-02-25,1.793,-7.242,0.327,4.367,-0.97,1.027
Ohio,Hamilton County,2020-02-26,3.222,-8.267,0.031,4.18,-1.232,0.565
Ohio,Hamilton County,2020-02-27,3.889,-10.925,0.017,6.668,-2.856,0.813
Ohio,Hamilton County,2020-02-28,4.096,16.938,-0.879,5.33,6.112,0.646
Ohio,Hamilton County,2020-02-29,6.557,33.131,-2.608,14.933,7.855,1.067
Ohio,Hamilton County,2020-03-01,12.528,147.506,-2.555,17.141,11.547,2.742
Ohio,Hamilton County,2020-03-02,3.602,-12.363,-0.33,4.792,-4.268,4.774
Ohio,Hamilton County,2020-03-03,12.293,49.02,-1.081,13.884,8.588,1.639
Ohio,Hamilton County,2020-03-04,10.889,67.515,-1.328,13.547,8.35,1.271
Ohio,Hamilton County,2020-03-05,7.122,60.213,-0.734,10.562,7.615,1.588
Ohio,Hamilton County,2020-03-06,0.095,14.115,-0.086,3.932,-2.259,1.402
Ohio,Hamilton County,2020-03-07,9.145,133.086,-3.071,14.837,15.335,4.563
Ohio,Hamilton County,2020-03-08,9.472,225.314,-2.089,16.171,14.915,1.169
Ohio,Hamilton County,2020-03-09,7.289,71.812,-0.899,7.047,1.067,4.027
Ohio,Hamilton County,2020-03-10,6.765,14.483,0.823,7.216,-4.433,-0.078
Ohio,Hamilton County,2020-03-11,12.65,36.376,0.083,7.963,0.684,-0.501
Ohio,Hamilton County,2020-03-12,28.953,31.504,0.94,6.365,-2.312,-1.472
Ohio,Hamilton County,2020-03-13,25.62,59.846,2.759,-0.453,-5.713,-6.776
Ohio,Hamilton County,2020-03-14,8.019,-8.985,4.711,-17.799,-13.465,-6.182
Ohio,Hamilton County,2020-03-15,10.512,33.202,4.17,-13.795,-11.788,-9.261
Ohio,Hamilton County,2020-03-16,15.799,14.468,8.899,-23.201,-19.34,-21.406
Ohio,Hamilton County,2020-03-17,6.381,56.54,12.498,-26.866,-24.379,-31.211
Ohio,Hamilton County,2020-03-18,0.215,-18.739,15.353,-34.847,-32.578,-35.458
Ohio,Hamilton County,2020-03-19,1.479,-12.195,17.273,-38.642,-33.317,-38.57
Ohio,Hamilton County,2020-03-20,1.745,81.865,17.845,-37.901,-27.503,-39.775
Ohio,Hamilton County,2020-03-21,-9.796,23.023,12.129,-49.694,-28.987,-28.516
Ohio,Hamilton County,2020-03-22,-5.982,34.215,9.527,-43.47,-24.057,-31.83
Ohio,Hamilton County,2020-03-23,-2.528,37.616,16.514,-36.359,-37.745,-42.522
Ohio,Hamilton County,2020-03-24,-27.466,11.976,23.194,-53.512,-46.127,-53.332
Ohio,Hamilton County,2020-03-25,-17.848,128.693,21.552,-47.323,-38.327,-53.457
Ohio,Hamilton County,2020-03-26,-17.16,82.571,22.852,-47.02,-38.213,-54.401
Ohio,Hamilton County,2020-03-27,-18.66,59.846,24.345,-50.13,-39.195,-53.148
Ohio,Hamilton County,2020-03-28,-18.23,140.386,13.733,-52.863,-25.995,-37.421
Ohio,Hamilton County,2020-03-29,-18.293,144.718,10.889,-46.464,-17.08,-38.708
Ohio,Hancock County,2020-02-16,0.753,25.478,-1.519,11.436,0.118,3.36
Ohio,Hancock County,2020-02-17,1.984,8.975,3.774,4.348,-1.26,-12.622
Ohio,Hancock County,2020-02-18,3.936,5.783,0.234,3.542,3.486,2.972
Ohio,Hancock County,2020-02-19,1.814,14.185,-0.974,4.033,3.442,3.759
Ohio,Hancock County,2020-02-20,-0.252,1.717,0.365,4.637,1.627,3.427
Ohio,Hancock County,2020-02-21,-3.028,18.705,-0.374,1.857,6.342,4.96
Ohio,Hancock County,2020-02-22,6.635,67.756,-3.591,9.403,8.194,7.362
Ohio,Hancock County,2020-02-23,6.777,77.469,-2.794,15.497,5.643,9.241
Ohio,Hancock County,2020-02-24,0.992,-0.12,0.582,0.444,1.566,4.577
Ohio,Hancock County,2020-02-25,8.134,2.374,0.394,7.265,3.522,2.567
Ohio,Hancock County,2020-02-26,-0.259,-2.953,0.43,2.63,3.246,1.342
Ohio,Hancock County,2020-02-27,-1.51,-5.969,4.691,,2.112,-10.28
Ohio,Hancock County,2020-02-28,3.028,7.335,0.466,6.127,7.107,3.064
Ohio,Hancock County,2020-02-29,18.135,13.0,-2.632,14.105,7.045,5.153
Ohio,Hancock County,2020-03-01,17.068,68.207,-2.551,23.535,10.671,7.56
Ohio,Hancock County,2020-03-02,6.944,-7.412,-0.02,6.034,2.25,1.526
Ohio,Hancock County,2020-03-03,12.07,23.003,0.011,13.804,6.52,0.811
Ohio,Hancock County,2020-03-04,13.993,29.368,-1.293,14.029,6.938,1.611
Ohio,Hancock County,2020-03-05,11.322,51.35,-0.533,12.089,7.91,3.015
Ohio,Hancock County,2020-03-06,-0.807,9.087,0.769,3.095,4.914,1.021
Ohio,Hancock County,2020-03-07,15.039,67.905,-2.71,14.288,12.898,0.736
Ohio,Hancock County,2020-03-08,12.55,187.054,-3.471,17.403,13.67,4.2
Ohio,Hancock County,2020-03-09,6.944,78.489,-0.576,5.679,7.217,3.884
Ohio,Hancock County,2020-03-10,12.857,13.422,0.204,8.991,2.294,3.107
Ohio,Hancock County,2020-03-11,16.066,25.416,-0.677,10.434,4.245,2.685
Ohio,Hancock County,2020-03-12,48.309,49.797,0.118,15.484,1.869,2.604
Ohio,Hancock County,2020-03-13,25.032,46.456,2.39,0.495,1.02,-3.21
Ohio,Hancock County,2020-03-14,18.356,9.051,2.918,-7.144,-4.119,-4.417
Ohio,Hancock County,2020-03-15,28.614,46.028,2.209,-4.641,-5.879,-6.72
Ohio,Hancock County,2020-03-16,43.403,16.066,7.144,-18.367,-8.783,-14.703
Ohio,Hancock County,2020-03-17,26.238,27.189,8.833,-21.433,-9.68,-19.996
Ohio,Hancock County,2020-03-18,17.62,2.205,10.508,-25.779,-15.427,-22.149
Ohio,Hancock County,2020-03-19,19.626,13.778,13.498,-30.058,-18.692,-25.356
Ohio,Hancock County,2020-03-20,9.488,47.556,15.745,-35.774,-19.467,-30.637
Ohio,Hancock County,2020-03-21,4.644,3.539,11.195,-46.161,-21.742,-29.814
Ohio,Hancock County,2020-03-22,-1.757,62.126,8.423,-43.506,-25.899,-29.822
Ohio,Hancock County,2020-03-23,4.96,-1.843,17.568,-33.983,-26.368,-39.115
Ohio,Hancock County,2020-03-24,-24.402,11.005,21.197,-53.945,-31.244,-46.747
Ohio,Hancock County,2020-03-25,-18.138,100.707,20.502,-48.927,-27.127,-47.788
Ohio,Hancock County,2020-03-26,-21.135,103.15,21.186,-45.293,-29.406,-48.657
Ohio,Hancock County,2020-03-27,-22.812,26.121,25.774,-51.99,-33.29,-52.667
Ohio,Hancock County,2020-03-28,-24.991,29.315,,-58.8,-34.531,-44.17
Ohio,Hancock County,2020-03-29,-31.501,117.177,,-53.451,-32.934,-47.043
Ohio,Lorain County,2020-02-16,7.035,25.478,-1.276,5.623,-32.895,1.663
Ohio,Lorain County,2020-02-17,5.929,8.975,4.714,8.962,-23.338,-19.866
Ohio,Lorain County,2020-02-18,3.033,5.783,0.329,2.28,-34.722,2.414
Ohio,Lorain County,2020-02-19,3.7,14.185,-0.094,3.653,-25.476,2.632
Ohio,Lorain County,2020-02-20,1.933,1.717,0.472,1.499,-8.418,2.592
Ohio,Lorain County,2020-02-21,0.526,18.705,-0.347,3.782,11.018,3.757
Ohio,Lorain County,2020-02-22,9.504,67.756,-1.641,7.593,26.552,5.95
Ohio,Lorain County,2020-02-23,12.527,77.469,-1.852,8.692,12.183,1.9
Ohio,Lorain County,2020-02-24,6.241,-0.12,0.085,4.496,9.677,3.388
Ohio,Lorain County,2020-02-25,3.837,2.374,0.312,5.993,3.205,0.724
Ohio,Lorain County,2020-02-26,7.709,-2.953,-0.245,7.307,7.926,2.016
Ohio,Lorain County,2020-02-27,0.906,-5.969,2.08,-0.6,12.1,-2.488
Ohio,Lorain County,2020-02-28,3.523,7.335,0.354,5.426,8.013,2.063
Ohio,Lorain County,2020-02-29,10.47,13.0,-1.251,9.778,27.233,5.477
Ohio,Lorain County,2020-03-01,18.698,68.207,-2.092,18.525,18.275,4.276
Ohio,Lorain County,2020-03-02,13.169,-7.412,-0.025,10.35,9.677,3.176
Ohio,Lorain County,2020-03-03,14.174,23.003,-0.728,15.553,4.808,2.932
Ohio,Lorain County,2020-03-04,10.978,29.368,-1.002,14.326,7.36,3.418
Ohio,Lorain County,2020-03-05,11.238,51.35,-1.224,11.75,13.678,3.698
Ohio,Lorain County,2020-03-06,-0.578,9.087,0.288,2.274,15.525,1.547
Ohio,Lorain County,2020-03-07,14.444,67.905,-1.989,12.175,36.765,6.139
Ohio,Lorain County,2020-03-08,17.896,187.054,-2.456,17.085,19.493,1.663
Ohio,Lorain County,2020-03-09,14.667,78.489,-0.718,13.277,18.784,2.011
Ohio,Lorain County,2020-03-10,12.255,13.422,0.921,8.508,10.684,0.103
Ohio,Lorain County,2020-03-11,17.885,25.416,0.248,11.421,-5.095,0.752
Ohio,Lorain County,2020-03-12,45.014,49.797,-0.093,14.231,-25.253,1.624
