state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Ohio,Hamilton County,grocery/pharmacy,0.629,-3.286,-2.284,-0.215,-0.845,1.252,5.155,1.626,-2.781,1.793,3.222,3.889,4.096,6.557,12.528,3.602,12.293,10.889,7.122,0.095,9.145,9.472,7.289,6.765,12.65,28.953,25.62,8.019,10.512,15.799,6.381,0.215,1.479,1.745,-9.796,-5.982,-2.528,-27.466,-17.848,-17.16,-18.66,-18.23,-18.293
Ohio,Hamilton County,parks,32.948,20.518,-0.557,20.944,-5.081,27.665,113.994,54.998,-21.307,-7.242,-8.267,-10.925,16.938,33.131,147.506,-12.363,49.02,67.515,60.213,14.115,133.086,225.314,71.812,14.483,36.376,31.504,59.846,-8.985,33.202,14.468,56.54,-18.739,-12.195,81.865,23.023,34.215,37.616,11.976,128.693,82.571,59.846,140.386,144.718
Ohio,Hamilton County,residential,-0.651,4.987,0.652,-0.181,0.236,-0.426,-2.457,-0.659,0.364,0.327,0.031,0.017,-0.879,-2.608,-2.555,-0.33,-1.081,-1.328,-0.734,-0.086,-3.071,-2.089,-0.899,0.823,0.083,0.94,2.759,4.711,4.17,8.899,12.498,15.353,17.273,17.845,12.129,9.527,16.514,23.194,21.552,22.852,24.345,13.733,10.889
Ohio,Hamilton County,retail/recreation,7.121,2.902,0.371,2.167,3.49,3.978,10.033,5.954,-2.758,4.367,4.18,6.668,5.33,14.933,17.141,4.792,13.884,13.547,10.562,3.932,14.837,16.171,7.047,7.216,7.963,6.365,-0.453,-17.799,-13.795,-23.201,-26.866,-34.847,-38.642,-37.901,-49.694,-43.47,-36.359,-53.512,-47.323,-47.02,-50.13,-52.863,-46.464
Ohio,Hamilton County,transitstations,1.684,-17.872,1.939,1.232,-1.768,0.266,7.107,0.962,-8.669,-0.97,-1.232,-2.856,6.112,7.855,11.547,-4.268,8.588,8.35,7.615,-2.259,15.335,14.915,1.067,-4.433,0.684,-2.312,-5.713,-13.465,-11.788,-19.34,-24.379,-32.578,-33.317,-27.503,-28.987,-24.057,-37.745,-46.127,-38.327,-38.213,-39.195,-25.995,-17.08
Ohio,Hamilton County,workplace,0.225,-19.524,1.001,1.13,1.343,2.433,3.679,1.843,5.217,1.027,0.565,0.813,0.646,1.067,2.742,4.774,1.639,1.271,1.588,1.402,4.563,1.169,4.027,-0.078,-0.501,-1.472,-6.776,-6.182,-9.261,-21.406,-31.211,-35.458,-38.57,-39.775,-28.516,-31.83,-42.522,-53.332,-53.457,-54.401,-53.148,-37.421,-38.708
Ohio,Hancock County,grocery/pharmacy,0.753,1.984,3.936,1.814,-0.252,-3.028,6.635,6.777,0.992,8.134,-0.259,-1.51,3.028,18.135,17.068,6.944,12.07,13.993,11.322,-0.807,15.039,12.55,6.944,12.857,16.066,48.309,25.032,18.356,28.614,43.403,26.238,17.62,19.626,9.488,4.644,-1.757,4.96,-24.402,-18.138,-21.135,-22.812,-24.991,-31.501
Ohio,Hancock County,residential,-1.519,3.774,0.234,-0.974,0.365,-0.374,-3.591,-2.794,0.582,0.394,0.43,4.691,0.466,-2.632,-2.551,-0.02,0.011,-1.293,-0.533,0.769,-2.71,-3.471,-0.576,0.204,-0.677,0.118,2.39,2.918,2.209,7.144,8.833,10.508,13.498,15.745,11.195,8.423,17.568,21.197,20.502,21.186,25.774,,
Ohio,Hancock County,retail/recreation,11.436,4.348,3.542,4.033,4.637,1.857,9.403,15.497,0.444,7.265,2.63,,6.127,14.105,23.535,6.034,13.804,14.029,12.089,3.095,14.288,17.403,5.679,8.991,10.434,15.484,0.495,-7.144,-4.641,-18.367,-21.433,-25.779,-30.058,-35.774,-46.161,-43.506,-33.983,-53.945,-48.927,-45.293,-51.99,-58.8,-53.451
Ohio,Hancock County,workplace,3.36,-12.622,2.972,3.759,3.427,4.96,7.362,9.241,4.577,2.567,1.342,-10.28,3.064,5.153,7.56,1.526,0.811,1.611,3.015,1.021,0.736,4.2,3.884,3.107,2.685,2.604,-3.21,-4.417,-6.72,-14.703,-19.996,-22.149,-25.356,-30.637,-29.814,-29.822,-39.115,-46.747,-47.788,-48.657,-52.667,-44.17,-47.043
