state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Ohio,Adams County,grocery/pharmacy,-1.011,-8.371,-8.224,-0.922,-5.928,-5.524,-4.96,1.011,-2.79,-8.224,1.844,-4.234,3.157,4.134,15.17,7.44,13.706,11.984,3.388,-6.313,0.827,21.238,7.44,1.827,3.687,22.866,21.307,23.148,33.374,44.643,13.706,15.671,6.775,7.102,2.48,31.351,13.951,-18.275,-9.218,-5.928,-9.47,,-4.045
Ohio,Adams County,retail/recreation,-6.629,-11.013,0.467,9.037,-3.051,2.208,11.684,0.473,-1.377,8.408,14.507,10.46,9.202,12.278,19.413,9.637,18.685,11.891,20.485,5.521,27.329,18.939,11.931,10.744,5.47,25.279,9.202,-0.396,-4.735,-5.965,-17.283,-15.221,-18.741,-21.717,-20.596,-20.833,-24.78,-48.58,-29.966,-26.151,-25.766,-17.427,-25.568
Ohio,Adams County,workplace,1.427,-25.784,4.146,3.54,,3.255,2.48,-4.281,,1.555,2.023,1.011,4.883,12.401,4.281,4.125,3.628,2.023,1.517,4.883,2.48,-2.854,1.031,1.036,,2.528,2.713,-2.48,-4.281,-9.798,-17.62,-18.204,-28.317,-26.584,-13.641,-19.977,-27.331,-35.759,-35.396,-35.902,-34.18,-23.562,-22.831
Ohio,Allen County,grocery/pharmacy,-1.03,-0.532,-1.787,3.255,-2.6,-3.821,4.94,0.515,-2.484,1.251,-1.628,-0.693,-0.142,11.433,8.58,2.484,10.363,10.308,3.986,-5.378,9.033,7.551,7.631,7.147,18.084,45.237,25.334,12.562,23.51,47.558,20.369,17.542,17.506,6.51,2.682,4.462,8.695,-24.3,-15.372,-13.866,-16.842,-22.866,-26.256
Ohio,Allen County,residential,-0.829,5.336,0.398,-0.02,0.512,0.34,-1.843,-1.124,0.933,0.465,1.042,6.032,0.077,-2.035,-1.591,0.855,-0.993,-0.725,-0.835,1.077,-3.01,-2.123,-0.378,0.224,0.194,-0.242,1.133,2.568,2.253,6.165,7.647,10.196,11.913,14.322,10.423,8.152,14.761,19.257,18.701,19.391,22.106,14.66,10.652
Ohio,Allen County,retail/recreation,4.535,5.088,-0.073,5.102,1.146,0.257,14.334,9.203,-1.745,4.507,4.039,1.82,6.838,13.941,14.271,9.741,17.155,14.172,12.945,0.154,14.481,12.871,7.923,6.179,10.204,15.17,-0.668,-7.56,-5.735,-13.23,-21.807,-24.66,-30.812,-36.248,-44.376,-39.479,-30.385,-50.448,-42.8,-42.139,-48.536,-57.385,-49.683
Ohio,Allen County,transitstations,2.003,2.894,9.989,4.766,,6.088,14.205,5.008,-2.894,4.281,-2.723,0.668,9.47,17.045,13.021,-2.894,11.416,8.17,11.351,9.47,23.674,23.037,7.957,15.696,7.489,10.016,14.205,1.894,5.008,,2.14,-0.681,4.674,-8.117,-7.576,-18.029,-15.914,-19.264,-17.021,-22.703,-31.115,-29.356,-32.051
Ohio,Allen County,workplace,1.877,-18.402,1.323,2.279,1.976,1.384,2.493,3.441,2.9,2.315,1.194,-11.525,1.961,2.77,3.754,1.227,1.323,1.845,3.293,1.384,4.156,1.877,1.45,1.433,2.17,1.866,-0.115,-4.71,-5.943,-11.153,-15.873,-18.229,-20.636,-27.916,-20.778,-23.461,-33.57,-41.887,-43.077,-44.455,-43.72,-33.522,-29.717
Ohio,Ashland County,grocery/pharmacy,4.754,,-2.551,1.673,-2.783,-4.139,9.339,3.458,-2.011,5.527,-0.837,-9.542,-3.794,7.902,4.322,-2.413,4.252,3.765,2.385,-6.898,6.466,5.619,,0.425,17.152,49.698,43.115,39.871,55.325,63.144,35.289,31.376,31.011,20.695,14.727,27.663,14.881,-15.306,-10.877,-9.542,-7.933,-8.98,-12.967
Ohio,Ashland County,retail/recreation,13.489,7.637,6.46,6.127,11.702,4.304,10.877,18.735,7.001,11.103,12.255,6.139,2.87,9.901,21.358,12.305,14.131,15.417,18.224,-0.861,12.271,18.922,11.668,10.094,14.231,18.416,0.574,-7.391,3.56,-5.94,-13.324,-22.138,-21.677,-31.709,-45.599,-34.941,-28.428,-54.91,-40.52,-39.518,-44.335,-50.201,-40.093
