state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Oklahoma,Overall,2020-02-16,1.375,16.664,-0.404,4.702,1.494,0.573
Oklahoma,Overall,2020-02-17,-1.24,27.612,4.754,2.604,2.107,-19.165
Oklahoma,Overall,2020-02-18,-0.785,7.517,0.455,-0.045,2.057,0.312
Oklahoma,Overall,2020-02-19,3.21,20.705,-1.078,5.133,5.421,3.325
Oklahoma,Overall,2020-02-20,-0.162,-4.104,0.219,1.549,2.347,1.395
Oklahoma,Overall,2020-02-21,-3.308,1.813,0.08,2.521,2.736,2.79
Oklahoma,Overall,2020-02-22,2.298,10.408,-0.484,3.405,3.531,2.678
Oklahoma,Overall,2020-02-23,-2.449,-38.129,1.163,0.079,-0.32,-0.269
Oklahoma,Overall,2020-02-24,-0.818,-12.968,1.338,0.172,1.264,1.895
Oklahoma,Overall,2020-02-25,1.363,8.118,0.125,4.223,2.835,2.213
Oklahoma,Overall,2020-02-26,6.973,4.944,-1.646,15.019,10.101,3.623
Oklahoma,Overall,2020-02-27,8.534,25.294,-1.878,15.349,9.964,2.616
Oklahoma,Overall,2020-02-28,7.128,32.798,-2.475,14.532,12.521,3.188
Oklahoma,Overall,2020-02-29,11.646,57.023,-2.953,13.552,12.77,4.024
Oklahoma,Overall,2020-03-01,17.399,68.28,-2.696,19.231,13.93,3.503
Oklahoma,Overall,2020-03-02,7.276,10.057,-0.502,10.282,5.948,2.791
Oklahoma,Overall,2020-03-03,13.683,45.903,-1.965,17.39,7.361,2.33
Oklahoma,Overall,2020-03-04,10.174,25.752,-1.808,14.027,10.286,4.2
Oklahoma,Overall,2020-03-05,12.922,46.388,-2.158,14.179,10.362,2.722
Oklahoma,Overall,2020-03-06,4.269,45.983,-1.529,9.505,9.95,2.915
Oklahoma,Overall,2020-03-07,10.634,60.599,-1.993,9.939,14.656,3.523
Oklahoma,Overall,2020-03-08,5.077,3.884,-0.177,7.487,10.674,1.549
Oklahoma,Overall,2020-03-09,6.713,13.585,0.836,6.606,4.777,1.758
Oklahoma,Overall,2020-03-10,12.248,64.345,-1.224,10.213,9.052,1.857
Oklahoma,Overall,2020-03-11,15.219,73.24,-2.391,15.296,15.429,3.701
Oklahoma,Overall,2020-03-12,26.917,74.259,-2.198,15.224,13.905,0.87
Oklahoma,Overall,2020-03-13,13.799,-14.504,3.102,2.846,7.794,-7.035
Oklahoma,Overall,2020-03-14,12.965,-23.563,2.682,-4.773,6.723,-2.749
Oklahoma,Overall,2020-03-15,9.053,-20.618,2.118,-4.732,3.576,-3.907
Oklahoma,Overall,2020-03-16,20.797,-17.114,6.216,-1.611,-1.78,-18.874
Oklahoma,Overall,2020-03-17,18.476,-0.401,7.858,-9.756,-3.246,-22.513
Oklahoma,Overall,2020-03-18,18.254,47.693,7.894,-12.078,2.27,-25.078
Oklahoma,Overall,2020-03-19,10.336,25.389,10.986,-20.192,-6.111,-29.281
Oklahoma,Overall,2020-03-20,6.299,-10.878,13.198,-26.333,-10.531,-29.825
Oklahoma,Overall,2020-03-21,2.223,-9.067,9.132,-34.996,-8.9,-18.458
Oklahoma,Overall,2020-03-22,-7.602,-26.126,9.019,-38.41,-16.599,-26.522
Oklahoma,Overall,2020-03-23,-3.765,-1.235,13.284,-28.321,-16.531,-31.06
Oklahoma,Overall,2020-03-24,1.733,51.015,12.939,-24.853,-13.899,-33.63
Oklahoma,Overall,2020-03-25,4.483,72.622,11.715,-21.09,-9.174,-34.313
Oklahoma,Overall,2020-03-26,-3.037,56.601,14.183,-29.153,-16.518,-38.239
Oklahoma,Overall,2020-03-27,-10.429,23.898,16.483,-34.215,-22.057,-38.029
Oklahoma,Overall,2020-03-28,-5.989,13.09,10.732,-37.186,-20.122,-26.721
Oklahoma,Overall,2020-03-29,-12.331,28.879,9.095,-36.479,-23.057,-32.415
