state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Oklahoma,Adair County,grocery/pharmacy,29.514,16.138,31.095,36.859,7.659,-2.572,2.976,-22.569,-11.737,3.109,4.808,9.191,10.288,13.393,17.361,7.336,15.547,17.628,18.382,2.572,2.976,10.417,4.401,10.883,14.423,27.574,5.144,-4.464,-1.736,7.336,18.657,24.038,15.319,11.574,5.952,-8.681,7.336,1.555,16.026,16.85,3.858,13.393,8.681
Oklahoma,Adair County,parks,16.664,27.612,7.517,20.705,-4.104,1.813,10.408,-38.129,-12.968,8.118,4.944,25.294,32.798,57.023,68.28,10.057,45.903,25.752,46.388,45.983,60.599,3.884,13.585,64.345,73.24,74.259,-14.504,-23.563,-20.618,-17.114,-0.401,47.693,25.389,-10.878,-9.067,-26.126,-1.235,51.015,72.622,56.601,23.898,13.09,28.879
Oklahoma,Adair County,residential,-0.404,4.754,0.455,-1.078,0.219,0.08,-0.484,1.163,1.338,0.125,-1.646,-1.878,-2.475,-2.953,-2.696,-0.502,-1.965,-1.808,-2.158,-1.529,-1.993,-0.177,0.836,-1.224,-2.391,-2.198,3.102,2.682,2.118,6.216,7.858,7.894,10.986,13.198,9.132,9.019,13.284,12.939,11.715,14.183,16.483,10.732,9.095
Oklahoma,Adair County,retail/recreation,-31.25,-26.647,-27.225,-18.491,0.592,-2.422,-6.127,1.488,0.606,2.367,28.969,24.266,18.411,15.04,30.506,24.83,21.307,15.409,25.45,11.628,10.027,24.554,4.845,12.429,15.409,25.45,5.814,,6.696,1.817,-5.327,-0.616,-5.919,-10.659,-6.684,-8.929,-17.563,-10.062,-9.246,-5.327,-18.411,-15.597,-2.976
Oklahoma,Adair County,transitstations,1.494,2.107,2.057,5.421,2.347,2.736,3.531,-0.32,1.264,2.835,10.101,9.964,12.521,12.77,13.93,5.948,7.361,10.286,10.362,9.95,14.656,10.674,4.777,9.052,15.429,13.905,7.794,6.723,3.576,-1.78,-3.246,2.27,-6.111,-10.531,-8.9,-16.599,-16.531,-13.899,-9.174,-16.518,-22.057,-20.122,-23.057
Oklahoma,Adair County,workplace,,-21.596,-1.197,-5.852,0.602,-1.905,-7.135,,6.987,2.395,0.585,1.806,1.905,-14.269,7.31,8.257,3.592,5.852,4.817,,-8.562,7.31,6.987,1.197,0.585,-0.602,-12.703,-17.123,,-17.785,-22.15,-24.579,-31.912,-33.664,-22.831,-21.93,-28.582,-35.92,-36.283,-36.729,-44.461,-35.674,-23.757
Oklahoma,Atoka County,grocery/pharmacy,-3.956,-1.225,5.208,-1.319,,,3.324,9.23,-4.902,-1.302,19.778,11.433,12.755,11.082,25.053,2.451,24.74,9.23,17.785,19.133,13.298,25.053,6.127,24.74,6.593,31.758,12.755,4.433,21.097,26.961,16.927,6.593,5.081,3.189,-5.541,-3.956,-11.029,1.302,1.319,2.541,-9.566,-15.514,-19.778
Oklahoma,Atoka County,parks,16.664,27.612,7.517,20.705,-4.104,1.813,10.408,-38.129,-12.968,8.118,4.944,25.294,32.798,57.023,68.28,10.057,45.903,25.752,46.388,45.983,60.599,3.884,13.585,64.345,73.24,74.259,-14.504,-23.563,-20.618,-17.114,-0.401,47.693,25.389,-10.878,-9.067,-26.126,-1.235,51.015,72.622,56.601,23.898,13.09,28.879
Oklahoma,Atoka County,residential,-0.404,4.754,0.455,-1.078,0.219,0.08,-0.484,1.163,1.338,0.125,-1.646,-1.878,-2.475,-2.953,-2.696,-0.502,-1.965,-1.808,-2.158,-1.529,-1.993,-0.177,0.836,-1.224,-2.391,-2.198,3.102,2.682,2.118,6.216,7.858,7.894,10.986,13.198,9.132,9.019,13.284,12.939,11.715,14.183,16.483,10.732,9.095
Oklahoma,Atoka County,retail/recreation,9.241,0.739,6.313,7.324,-1.447,6.401,3.157,2.52,,16.572,40.69,18.808,26.187,18.308,36.122,17.73,36.301,23.6,16.638,14.548,21.465,30.242,6.649,26.042,31.738,27.488,15.13,3.788,23.522,13.298,14.205,5.697,-9.404,-19.204,-20.202,-22.681,-16.992,-10.259,-4.069,-15.191,-27.351,-20.833,-20.161
Oklahoma,Atoka County,transitstations,6.562,5.482,0.755,-5.208,2.894,1.965,7.952,13.123,0.783,3.019,6.696,5.787,5.241,10.337,16.404,2.35,9.058,9.673,15.191,9.827,24.65,22.146,5.482,13.587,15.625,17.361,20.964,27.831,21.325,14.098,7.548,1.488,7.234,-13.758,-11.927,-10.663,-8.615,-16.606,-12.649,-3.617,-22.93,-19.879,-27.067
Oklahoma,Atoka County,workplace,0.573,-19.165,0.312,3.325,1.395,2.79,2.678,-0.269,1.895,2.213,3.623,2.616,3.188,4.024,3.503,2.791,2.33,4.2,2.722,2.915,3.523,1.549,1.758,1.857,3.701,0.87,-7.035,-2.749,-3.907,-18.874,-22.513,-25.078,-29.281,-29.825,-18.458,-26.522,-31.06,-33.63,-34.313,-38.239,-38.029,-26.721,-32.415
Oklahoma,Beckham County,grocery/pharmacy,4.125,-12.5,2.561,19.886,8.152,-2.934,1.812,-7.219,-9.167,6.831,25.568,19.928,-1.467,9.964,19.596,-1.667,15.796,26.515,26.268,9.536,2.717,1.031,5.833,5.977,22.727,38.949,8.803,15.399,6.188,20.0,6.831,30.303,23.551,3.668,2.717,-1.031,-5.833,8.538,14.205,,-20.54,-5.435,-9.282
Oklahoma,Beckham County,parks,16.664,27.612,7.517,20.705,-4.104,1.813,10.408,-38.129,-12.968,8.118,4.944,25.294,32.798,57.023,68.28,10.057,45.903,25.752,46.388,45.983,60.599,3.884,13.585,64.345,73.24,74.259,-14.504,-23.563,-20.618,-17.114,-0.401,47.693,25.389,-10.878,-9.067,-26.126,-1.235,51.015,72.622,56.601,23.898,13.09,28.879
Oklahoma,Beckham County,residential,-0.404,4.754,0.455,-1.078,0.219,0.08,-0.484,1.163,1.338,0.125,-1.646,-1.878,-2.475,-2.953,-2.696,-0.502,-1.965,-1.808,-2.158,-1.529,-1.993,-0.177,0.836,-1.224,-2.391,-2.198,3.102,2.682,2.118,6.216,7.858,7.894,10.986,13.198,9.132,9.019,13.284,12.939,11.715,14.183,16.483,10.732,9.095
Oklahoma,Beckham County,retail/recreation,2.66,-4.458,4.117,6.748,1.521,0.613,-0.645,-7.535,-1.621,2.059,22.773,20.909,8.885,11.932,22.163,15.807,30.468,29.099,20.149,2.145,5.482,3.546,8.106,26.762,19.399,19.009,5.821,11.287,2.66,3.648,-0.412,9.7,-0.38,-16.238,-24.832,-23.493,-16.213,-11.94,-6.748,-15.967,-31.25,-28.057,-20.833
Oklahoma,Beckham County,transitstations,3.72,9.124,0.655,-4.296,0.582,-1.102,0.938,-0.531,1.521,14.413,2.685,-0.582,7.165,1.877,7.972,9.884,11.792,6.98,8.729,8.267,7.977,9.566,6.843,17.034,2.685,2.91,20.944,15.953,11.692,19.769,24.895,22.552,24.441,20.392,22.053,8.503,3.041,7.862,2.685,0.582,1.653,-4.692,-10.629
