state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Oregon,Clackamas County,grocery/pharmacy,1.157,2.153,3.378,2.876,4.206,0.388,0.598,1.301,0.196,2.269,4.165,7.076,4.617,4.317,8.677,5.871,11.294,4.561,5.79,-0.604,-0.684,2.748,4.452,6.151,6.892,16.627,20.108,5.172,4.82,18.495,13.714,7.734,7.027,4.056,-6.796,-9.785,-13.504,-18.554,-18.196,-15.885,-21.144,-25.646,-23.764
Oregon,Clackamas County,parks,26.772,109.856,57.083,74.343,42.892,33.504,60.574,-19.227,27.574,45.0,59.215,60.892,23.148,-15.207,14.116,7.878,40.417,55.325,47.871,-25.28,-9.124,25.068,70.903,72.917,44.952,45.956,-28.935,-26.865,18.74,62.15,68.333,82.123,88.848,60.002,64.122,46.729,-16.632,-28.75,4.754,1.149,-40.205,-31.174,-15.333
Oregon,Clackamas County,residential,-0.686,4.283,-0.669,-0.701,-0.63,-1.82,-2.189,-0.115,-0.646,-0.98,-1.295,-1.514,-1.498,-0.589,-0.725,-0.2,0.181,-0.318,-0.244,0.774,-0.162,0.005,-0.022,-0.214,0.52,1.415,4.582,6.506,4.753,6.941,11.185,12.836,13.9,14.334,9.71,9.167,16.681,20.81,20.782,21.178,22.806,15.264,13.608
Oregon,Clackamas County,retail/recreation,8.533,11.08,4.69,4.192,2.458,3.547,4.468,5.992,4.541,6.51,9.892,6.681,6.048,4.076,11.881,5.522,5.81,7.363,3.563,-1.526,2.654,5.614,6.484,6.248,5.509,3.612,-5.143,-21.042,-11.109,-5.249,-21.491,-25.362,-29.493,-32.81,-41.854,-39.335,-40.577,-50.158,-47.934,-48.232,-51.377,-56.978,-53.345
Oregon,Clackamas County,transitstations,5.952,-0.599,1.746,12.273,17.99,12.305,11.059,-4.677,-0.898,4.655,8.082,10.156,7.44,-7.848,-5.952,0.299,0.291,9.878,9.865,6.582,-2.14,6.803,6.585,4.946,3.293,0.58,-11.733,-25.328,-10.629,-14.368,-20.368,-22.45,-22.632,-21.463,-22.831,-25.935,-40.709,-48.01,-41.906,-42.363,-48.935,-47.803,-46.344
Oregon,Clackamas County,workplace,0.369,-24.957,1.487,1.405,1.223,5.016,0.554,-0.184,3.935,1.946,2.08,1.494,4.08,1.664,1.014,2.499,0.378,0.621,0.326,1.964,1.109,1.106,1.206,-0.243,-0.297,-2.663,-5.681,-8.793,-11.062,-20.851,-30.055,-33.335,-36.38,-35.145,-26.695,-31.803,-42.792,-49.245,-50.138,-50.779,-49.167,-37.31,-39.731
Oregon,Clatsop County,grocery/pharmacy,33.556,26.124,8.653,18.723,13.061,12.92,18.582,5.566,8.929,9.651,13.617,9.875,11.036,9.422,21.469,7.606,10.65,17.702,7.645,10.767,13.61,27.195,21.495,16.307,21.446,23.891,25.84,13.871,31.011,39.683,26.291,20.765,20.706,23.148,21.2,-0.159,-9.094,-26.624,-17.361,-26.758,-33.376,-40.044,-35.146
Oregon,Clatsop County,retail/recreation,70.419,51.779,18.331,24.155,24.469,20.878,27.929,34.014,20.255,17.895,24.909,24.329,16.3,18.588,47.699,13.402,16.731,22.947,14.541,12.728,20.475,45.972,33.352,23.859,27.325,21.532,13.844,1.415,28.832,26.346,-8.729,-8.907,-13.143,-18.31,-28.967,-36.007,-37.463,-51.356,-45.139,-48.937,-57.163,-69.633,-62.845
Oregon,Clatsop County,workplace,2.228,-19.495,2.815,3.985,2.507,5.408,4.443,5.013,5.528,3.941,6.831,2.785,3.415,0.987,3.899,4.074,1.126,5.977,2.228,5.123,0.494,-1.114,-0.873,1.971,3.131,,0.285,-1.481,-6.127,-12.221,-21.959,-22.769,-28.409,-29.315,-31.102,-31.194,-35.789,-44.482,-42.407,-44.842,-48.383,-45.912,-46.234
Oregon,Crook County,grocery/pharmacy,-0.89,2.583,4.269,1.781,4.234,-0.755,6.51,7.123,8.609,5.123,16.916,4.234,3.019,6.51,12.464,7.748,11.1,15.135,9.316,6.039,7.324,9.793,5.165,11.1,14.245,16.091,22.645,13.021,3.561,17.218,12.807,16.916,5.081,9.058,12.207,1.781,7.748,-15.369,-5.342,-5.928,-14.342,-8.138,-15.135
Oregon,Crook County,retail/recreation,7.752,-1.621,7.385,1.532,10.227,4.46,15.392,21.318,10.944,12.826,16.085,11.364,16.246,21.478,26.647,14.997,15.159,12.255,17.045,11.149,16.108,21.318,13.781,12.438,18.382,14.015,4.141,-5.369,-16.473,-4.864,-16.713,-20.297,-18.371,-20.069,-18.256,-15.988,-25.535,-39.646,-36.765,-37.5,-37.271,-35.438,-31.008
Oregon,Crook County,workplace,,-23.256,2.315,1.844,0.918,2.003,3.72,9.722,5.329,4.63,0.922,,3.506,,12.5,-4.845,2.315,0.922,1.377,3.005,7.44,2.778,5.814,4.167,2.765,-0.918,-3.005,-3.72,-9.722,-20.833,-22.685,-24.428,-26.615,-27.544,-18.601,-26.389,-29.07,-37.963,-40.1,-39.923,-40.565,-27.282,-30.556
Oregon,Curry County,grocery/pharmacy,11.574,3.27,-2.79,3.143,-0.461,-0.418,0.847,-6.839,-1.401,-0.465,-4.49,3.226,3.347,8.045,11.574,-0.467,3.255,-4.939,-5.992,-5.857,0.212,2.104,,-5.58,-2.694,4.609,7.53,3.811,9.996,11.678,3.255,4.49,4.609,5.857,10.586,-3.157,-7.941,-19.996,-14.817,-16.132,-23.009,-32.605,-26.831
Oregon,Curry County,retail/recreation,37.026,22.681,10.906,15.681,13.571,16.502,22.91,11.355,19.321,9.777,11.574,15.772,24.065,26.847,37.026,21.001,19.179,14.188,3.668,9.626,10.739,20.735,13.861,11.282,8.961,8.803,6.876,1.074,12.836,8.821,-18.803,-14.934,-12.471,-13.751,-6.801,-11.848,-28.142,-45.126,-40.323,-38.146,-40.738,-52.262,-49.862
Oregon,Curry County,workplace,-1.302,-19.119,0.62,6.701,0.602,7.252,8.102,2.604,5.274,6.82,3.655,1.204,4.615,1.157,,2.637,2.48,6.092,,-0.659,8.102,2.604,7.911,3.72,,,3.956,-6.944,-9.115,-11.208,-16.121,-18.275,-22.278,-17.801,-16.204,-23.438,-27.031,-29.762,-35.941,-32.514,-34.942,-31.25,-36.458
Oregon,Deschutes County,grocery/pharmacy,6.317,6.936,3.292,3.2,4.35,,2.719,2.353,6.817,3.057,6.992,2.862,1.287,4.497,10.157,11.361,19.517,17.302,16.14,14.853,16.002,18.579,19.374,18.929,11.14,17.17,19.903,,-8.546,12.677,9.876,2.133,1.717,0.792,-6.38,-8.546,-7.774,-19.164,-17.183,-19.002,-25.151,-27.506,-25.268
Oregon,Deschutes County,parks,90.335,77.046,42.339,36.801,26.608,55.452,41.474,-0.864,22.189,63.844,61.128,49.253,48.197,-10.931,40.629,32.668,57.124,65.494,66.236,36.795,-12.217,11.238,27.737,82.661,59.256,43.025,19.693,-49.19,-45.384,-24.655,46.371,46.158,79.823,68.408,27.328,78.665,6.164,0.672,-2.495,20.947,-10.883,-41.795,-10.373
Oregon,Deschutes County,residential,-1.347,2.905,-0.67,-0.73,-0.85,-2.142,-2.064,-0.871,-1.136,-1.38,-1.771,-1.745,-2.808,-1.649,-2.306,-1.713,-1.466,-1.771,-1.036,-1.38,0.066,-0.307,-0.833,-1.321,-1.308,0.298,1.752,5.926,6.7,8.837,10.303,11.006,11.562,11.828,7.883,6.364,13.357,16.987,17.296,17.492,19.081,13.561,11.356
Oregon,Deschutes County,retail/recreation,23.507,12.571,4.236,4.253,6.759,4.228,4.713,12.135,3.962,9.389,10.53,9.94,10.292,9.883,16.35,10.986,11.366,8.026,8.747,7.037,3.366,10.282,5.403,8.754,7.203,6.66,-3.866,-23.133,-28.63,-15.236,-24.956,-31.212,-32.204,-35.13,-44.058,-37.895,-36.667,-45.43,-46.956,-45.954,-50.901,-57.82,-51.847
Oregon,Deschutes County,transitstations,-3.388,-6.745,,0.789,-4.496,-4.058,-2.604,-10.163,1.499,-8.013,1.578,-2.248,-5.411,-10.417,-8.469,-2.998,-11.218,-11.837,-13.489,-4.735,-8.681,-17.785,-14.239,-13.622,-11.837,-17.986,-16.234,-27.778,-38.957,-26.978,-33.654,-37.09,-39.718,-46.672,-48.611,-51.66,-54.706,-52.083,-54.451,-57.704,-62.906,-61.632,-68.598
Oregon,Deschutes County,workplace,3.844,-20.337,1.497,0.874,2.116,4.781,5.85,2.883,3.557,1.871,2.186,2.489,4.44,3.9,5.381,5.504,2.682,2.685,2.302,4.781,3.9,2.306,4.631,2.183,1.624,-2.053,-1.776,-4.225,-16.72,-23.961,-29.316,-31.787,-33.042,-32.65,-28.114,-34.21,-38.794,-46.47,-47.587,-48.039,-47.404,-39.002,-44.011
Oregon,Douglas County,grocery/pharmacy,4.649,1.806,-1.23,3.76,,-0.357,1.294,2.034,3.472,3.281,6.127,2.972,4.4,4.788,14.092,10.0,12.303,12.255,7.161,1.784,5.952,6.538,11.111,10.253,8.356,11.214,17.599,12.034,3.341,23.472,15.037,11.698,3.783,7.729,5.047,-2.76,-2.778,-16.814,-13.09,-12.295,-16.053,-11.775,-18.887
Oregon,Douglas County,parks,57.218,43.78,18.871,28.073,21.505,28.353,58.23,3.668,20.38,36.987,39.894,16.129,16.642,12.94,33.744,16.606,33.967,34.722,21.505,10.478,16.822,34.478,41.516,49.064,42.849,29.57,8.013,3.235,27.142,22.645,32.458,45.804,43.011,49.926,76.993,96.097,-4.529,-19.626,-11.82,-6.048,-21.573,-18.763,-10.27
Oregon,Douglas County,residential,-0.15,3.242,0.02,-0.723,0.144,-0.656,-0.98,0.798,-0.551,-0.398,-1.472,-0.865,-1.777,-0.999,-1.553,-1.561,-1.238,-0.735,-0.97,0.202,-0.088,0.107,-0.48,-0.037,-0.551,1.07,1.708,3.149,3.026,3.054,6.229,6.689,7.938,8.07,5.49,5.344,9.223,13.156,12.594,12.716,13.934,9.656,9.196
