state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
PK,Overall,2020-02-16,3.221,8.395,-0.083,3.329,4.414,1.828
PK,Overall,2020-02-17,7.943,10.924,-0.738,7.72,8.7,2.738
PK,Overall,2020-02-18,4.402,9.098,-0.6,3.954,5.792,3.6
PK,Overall,2020-02-19,-0.313,6.27,-0.697,-0.379,3.138,3.846
PK,Overall,2020-02-20,-4.27,0.824,0.241,-2.942,-1.225,1.956
PK,Overall,2020-02-21,-0.285,7.3,0.245,0.655,3.947,3.222
PK,Overall,2020-02-22,1.55,7.44,0.051,1.371,2.788,3.122
PK,Overall,2020-02-23,1.427,7.879,0.3,1.755,2.178,3.09
PK,Overall,2020-02-24,7.523,10.229,-0.667,7.586,7.287,3.529
PK,Overall,2020-02-25,4.694,9.812,-0.68,3.958,4.752,4.518
PK,Overall,2020-02-26,1.26,7.941,-0.781,-0.039,3.585,4.562
PK,Overall,2020-02-27,1.912,6.104,0.178,-0.089,1.694,1.776
PK,Overall,2020-02-28,-1.585,2.013,1.062,-1.443,1.154,0.503
PK,Overall,2020-02-29,-2.31,-3.04,0.832,-3.173,-2.708,2.333
PK,Overall,2020-03-01,5.729,6.374,-0.071,3.427,3.513,5.688
PK,Overall,2020-03-02,12.063,11.065,-0.477,9.611,8.983,2.033
PK,Overall,2020-03-03,10.03,11.672,-0.851,6.417,6.388,3.198
PK,Overall,2020-03-04,4.409,9.241,-0.217,1.824,4.414,2.833
PK,Overall,2020-03-05,-0.805,2.653,0.639,-2.192,-1.477,0.923
PK,Overall,2020-03-06,-3.892,-3.366,2.157,-4.988,-3.477,-1.398
PK,Overall,2020-03-07,2.128,2.604,1.345,-0.808,0.71,1.977
PK,Overall,2020-03-08,6.211,7.811,0.39,4.452,4.536,5.389
PK,Overall,2020-03-09,14.648,16.993,-0.876,11.616,11.51,2.407
PK,Overall,2020-03-10,9.823,15.897,-1.033,6.977,9.369,3.837
PK,Overall,2020-03-11,-3.871,1.419,0.783,-5.93,-0.72,2.526
PK,Overall,2020-03-12,-0.511,2.687,0.967,-1.896,-1.25,1.65
PK,Overall,2020-03-13,5.744,7.63,0.608,0.564,5.0,2.945
PK,Overall,2020-03-14,7.683,7.416,1.073,-3.018,7.377,-0.114
PK,Overall,2020-03-15,5.964,3.824,1.409,-5.499,1.033,3.636
PK,Overall,2020-03-16,13.906,10.858,2.074,2.704,4.822,-7.298
PK,Overall,2020-03-17,8.171,7.195,2.45,-4.165,-0.497,-8.418
PK,Overall,2020-03-18,1.61,3.803,4.021,-12.734,-3.544,-11.644
PK,Overall,2020-03-19,-4.948,-2.265,5.69,-18.216,-9.553,-15.772
PK,Overall,2020-03-20,-9.96,-6.541,6.98,-26.108,-14.635,-19.141
PK,Overall,2020-03-21,-14.063,-13.614,8.267,-33.553,-18.708,-17.898
PK,Overall,2020-03-22,-25.065,-26.185,9.086,-47.802,-33.99,-21.464
PK,Overall,2020-03-23,-39.163,-29.317,22.028,-59.042,-44.385,-68.271
PK,Overall,2020-03-24,-48.01,-36.04,21.297,-65.585,-51.872,-58.133
PK,Overall,2020-03-25,-51.708,-38.131,23.143,-68.488,-57.007,-62.107
PK,Overall,2020-03-26,-51.721,-40.779,24.4,-69.003,-60.539,-63.476
PK,Overall,2020-03-27,-58.086,-45.97,24.847,-72.859,-64.655,-64.468
PK,Overall,2020-03-28,-54.447,-43.768,23.097,-71.794,-61.657,-59.027
PK,Overall,2020-03-29,-55.474,-45.188,17.832,-70.45,-62.12,-41.117
