state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
PL,Overall,2020-02-16,-12.909,18.058,-0.062,11.78,5.919,-2.007
PL,Overall,2020-02-17,0.538,19.716,-0.32,5.823,1.456,1.102
PL,Overall,2020-02-18,-1.21,13.044,0.846,2.884,-0.758,1.061
PL,Overall,2020-02-19,-0.102,13.023,0.053,5.008,-0.695,0.767
PL,Overall,2020-02-20,0.982,23.317,-0.399,6.802,2.554,1.441
PL,Overall,2020-02-21,-2.328,-3.065,0.464,1.08,-3.306,0.989
PL,Overall,2020-02-22,-1.086,15.99,-0.414,2.544,1.907,1.657
PL,Overall,2020-02-23,-25.177,-29.688,1.273,-6.896,-1.946,-3.181
PL,Overall,2020-02-24,0.669,-3.877,-0.694,1.019,2.575,8.396
PL,Overall,2020-02-25,1.772,4.956,0.068,0.687,4.663,8.498
PL,Overall,2020-02-26,-2.089,3.209,-0.376,-1.819,3.449,8.133
PL,Overall,2020-02-27,3.62,3.996,-0.444,3.5,5.274,8.193
PL,Overall,2020-02-28,4.527,-1.122,-0.753,3.322,4.565,8.846
PL,Overall,2020-02-29,2.615,8.46,0.601,4.071,1.23,3.785
PL,Overall,2020-03-01,-6.776,30.067,0.569,6.94,9.685,1.585
PL,Overall,2020-03-02,2.854,-6.254,-0.645,2.437,3.137,9.562
PL,Overall,2020-03-03,0.648,0.078,0.185,0.822,2.084,9.152
PL,Overall,2020-03-04,4.859,4.743,-0.457,4.42,3.888,8.739
PL,Overall,2020-03-05,5.431,22.441,-0.985,5.457,6.551,9.396
PL,Overall,2020-03-06,3.606,-1.8,-0.756,3.668,3.17,9.318
PL,Overall,2020-03-07,7.232,2.932,0.412,6.836,0.26,3.52
PL,Overall,2020-03-08,3.45,36.24,-0.396,24.297,13.025,4.518
PL,Overall,2020-03-09,2.761,7.669,-0.844,4.167,3.224,9.329
PL,Overall,2020-03-10,10.182,15.44,-0.109,4.385,2.616,8.677
PL,Overall,2020-03-11,30.15,4.444,-0.166,3.447,-1.73,5.301
PL,Overall,2020-03-12,21.097,-12.865,5.994,-13.72,-20.935,-12.198
PL,Overall,2020-03-13,5.932,-28.729,9.919,-27.63,-34.14,-16.959
PL,Overall,2020-03-14,-17.028,-29.09,10.156,-51.953,-39.451,-13.831
PL,Overall,2020-03-15,-43.369,-16.649,10.121,-69.736,-51.862,-25.789
PL,Overall,2020-03-16,-22.781,-20.329,15.225,-49.742,-51.66,-33.273
PL,Overall,2020-03-17,-26.505,4.839,16.885,-53.29,-52.645,-37.575
PL,Overall,2020-03-18,-24.332,14.043,16.438,-50.989,-51.935,-39.264
PL,Overall,2020-03-19,-23.678,-3.437,17.283,-52.489,-54.107,-39.839
PL,Overall,2020-03-20,-23.335,-31.191,19.268,-55.515,-57.87,-39.141
PL,Overall,2020-03-21,-31.806,-42.908,13.972,-64.386,-59.31,-27.599
PL,Overall,2020-03-22,-54.678,-47.195,12.366,-75.781,-65.832,-33.29
PL,Overall,2020-03-23,-26.543,-37.45,18.291,-52.75,-59.202,-40.677
PL,Overall,2020-03-24,-21.262,-28.823,19.399,-52.211,-58.401,-42.178
PL,Overall,2020-03-25,-30.288,-41.24,20.357,-58.462,-62.049,-43.958
PL,Overall,2020-03-26,-30.428,-34.552,20.525,-58.535,-61.771,-44.265
PL,Overall,2020-03-27,-27.914,-30.37,21.037,-57.661,-61.691,-42.996
PL,Overall,2020-03-28,-33.695,-9.478,12.461,-63.059,-55.992,-28.597
PL,Overall,2020-03-29,-58.791,-59.334,12.825,-78.37,-70.795,-35.642
