state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
PR,Overall,2020-02-16,-2.181,9.881,-0.653,0.351,-1.725,-4.334
PR,Overall,2020-02-17,-5.121,15.641,7.583,-2.762,-8.289,-27.162
PR,Overall,2020-02-18,1.957,2.598,-1.124,-1.945,4.992,8.047
PR,Overall,2020-02-19,-2.751,3.636,-0.946,-1.785,7.297,8.303
PR,Overall,2020-02-20,0.074,0.865,-0.811,-1.856,-1.485,8.122
PR,Overall,2020-02-21,-1.382,2.554,-1.697,-2.069,-2.543,9.889
PR,Overall,2020-02-22,-1.589,8.902,-0.45,-0.925,-6.395,-1.313
PR,Overall,2020-02-23,-4.769,-0.573,0.426,-4.505,-1.217,-4.312
PR,Overall,2020-02-24,-3.966,-12.67,-0.094,-6.754,-1.77,15.261
PR,Overall,2020-02-25,-7.667,-19.796,1.378,-10.187,-5.455,6.095
PR,Overall,2020-02-26,-3.206,-0.871,-1.003,-1.828,1.016,8.926
PR,Overall,2020-02-27,0.646,4.038,-1.257,1.617,2.097,9.125
PR,Overall,2020-02-28,2.273,3.919,-3.055,3.43,0.848,10.03
PR,Overall,2020-02-29,-1.478,12.126,-1.433,2.343,-2.803,-1.135
PR,Overall,2020-03-01,0.108,11.972,-0.975,2.105,4.565,-3.945
PR,Overall,2020-03-02,3.498,-9.082,4.113,-1.84,-1.304,-7.635
PR,Overall,2020-03-03,9.666,-0.104,-1.712,1.967,3.883,8.936
PR,Overall,2020-03-04,3.724,2.817,-1.458,1.059,3.695,8.634
PR,Overall,2020-03-05,1.228,0.961,-0.999,-0.566,0.524,8.201
PR,Overall,2020-03-06,3.43,1.849,-1.888,-0.867,-3.561,8.945
PR,Overall,2020-03-07,0.372,8.096,-0.416,0.507,-4.38,-2.205
PR,Overall,2020-03-08,0.623,-0.135,0.19,0.094,-3.145,-4.808
PR,Overall,2020-03-09,-1.351,-19.341,0.965,-7.829,-1.025,12.155
PR,Overall,2020-03-10,5.88,-7.17,-0.211,-2.911,1.017,7.143
PR,Overall,2020-03-11,2.431,-6.914,-0.336,-2.78,-1.57,6.907
PR,Overall,2020-03-12,26.601,-4.951,-0.613,2.204,-8.65,6.494
PR,Overall,2020-03-13,25.361,-7.309,-0.412,-2.787,-10.852,6.038
PR,Overall,2020-03-14,25.695,-16.366,3.472,-11.752,-20.761,-4.475
PR,Overall,2020-03-15,19.088,-24.686,6.159,-26.893,-26.984,-11.384
PR,Overall,2020-03-16,-0.381,-40.588,16.97,-50.572,-36.511,-36.947
PR,Overall,2020-03-17,-19.119,-55.077,23.368,-63.353,-44.007,-51.515
PR,Overall,2020-03-18,-24.524,-59.46,25.594,-65.301,-51.633,-55.022
PR,Overall,2020-03-19,-27.692,-60.325,27.387,-66.651,-61.158,-56.727
PR,Overall,2020-03-20,-20.426,-59.573,27.673,-65.865,-63.246,-54.945
PR,Overall,2020-03-21,-20.878,-68.619,20.909,-68.361,-69.028,-45.06
PR,Overall,2020-03-22,-41.575,-74.664,19.466,-75.444,-70.503,-45.082
PR,Overall,2020-03-23,-37.908,-63.405,26.315,-70.116,-70.507,-58.58
PR,Overall,2020-03-24,-38.823,-63.598,27.733,-70.114,-71.65,-59.507
PR,Overall,2020-03-25,-38.819,-61.151,27.966,-68.76,-72.507,-59.745
PR,Overall,2020-03-26,-35.676,-61.911,29.126,-68.9,-75.05,-60.322
PR,Overall,2020-03-27,-30.245,-62.347,29.37,-68.194,-75.285,-58.001
PR,Overall,2020-03-28,-37.713,-70.301,23.167,-72.087,-78.576,-48.757
PR,Overall,2020-03-29,-51.153,-75.271,20.694,-77.335,-79.126,-48.381
