state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
PT,Aveiro District,grocery/pharmacy,6.453,7.99,5.232,3.627,3.769,6.263,8.069,8.084,29.547,5.7,6.096,3.09,10.646,9.95,3.191,12.889,10.385,9.028,9.422,7.376,4.975,7.8,15.301,23.66,34.336,32.863,24.981,-11.163,-39.851,-11.306,-12.728,-12.963,-34.597,-40.567,-47.2,-61.408,-41.38,-36.544,-39.275,-39.873,-35.557,-47.321,-63.748
PT,Aveiro District,parks,-35.013,,15.861,27.036,32.826,40.9,54.503,58.403,133.984,69.016,29.421,33.263,16.935,-19.992,-59.856,-11.617,-12.86,-4.373,4.377,4.154,23.569,-38.209,6.583,25.72,17.096,13.568,-17.255,-37.037,-76.563,-49.179,-29.578,-38.963,-47.269,-76.687,-75.968,-79.759,-58.473,-50.154,-58.842,-57.335,-62.947,-76.81,-87.605
PT,Aveiro District,residential,1.064,0.22,-0.754,-1.075,-1.829,-1.826,-2.262,-3.873,5.114,20.653,3.355,-0.416,-0.7,1.073,3.812,0.234,-0.021,0.127,-0.473,-0.428,-1.485,1.316,0.303,0.086,1.472,3.774,10.767,15.529,18.454,22.827,24.001,27.073,31.518,39.403,28.686,24.196,34.064,33.838,34.45,34.896,39.503,28.014,24.61
PT,Aveiro District,retail/recreation,-8.409,-2.969,1.44,3.321,5.561,8.255,10.633,9.511,29.355,-0.48,-1.822,0.907,2.372,-0.991,-18.145,-1.5,-2.31,0.382,2.868,2.735,6.488,-8.184,-1.898,0.03,-1.675,-8.459,-27.161,-50.551,-70.729,-52.711,-54.543,-57.668,-67.552,-78.99,-82.112,-86.222,-74.107,-73.685,-74.333,-74.957,-75.94,-80.918,-86.847
PT,Aveiro District,transitstations,5.535,4.269,,,8.605,17.038,40.625,53.845,69.16,41.667,1.722,9.511,6.583,-4.167,-13.084,-0.427,-9.115,-7.317,-1.812,3.872,4.167,-12.077,-3.415,-7.378,-13.344,-19.022,-36.013,-46.354,-72.967,-64.464,-65.538,-68.871,-75.634,-82.094,-82.292,-84.541,-79.833,-81.597,-82.645,-80.616,-82.094,-80.729,-86.554
PT,Aveiro District,workplace,1.021,3.665,3.286,2.891,1.939,0.889,-0.266,-1.167,-33.822,-75.448,-12.325,0.697,1.134,0.71,-1.167,3.727,2.555,2.435,2.363,2.115,1.687,0.146,2.733,2.008,0.152,-4.09,-10.512,-17.672,-28.157,-37.983,-43.352,-49.238,-55.022,-57.86,-58.078,-53.25,-58.854,-59.841,-60.254,-60.749,-60.434,-56.39,-55.001
PT,Azores,grocery/pharmacy,6.224,1.975,-0.246,,4.09,9.407,7.151,10.81,12.836,-21.865,-2.671,-1.443,10.095,6.436,13.758,5.677,2.948,4.613,4.571,7.113,5.721,14.741,9.133,7.862,10.441,20.448,28.68,2.145,-15.396,-9.38,-26.042,-26.224,-41.137,-38.776,-46.005,-53.394,-42.703,-45.696,-44.192,-44.746,-41.3,-42.668,-58.307
PT,Azores,parks,15.6,14.725,10.851,2.137,16.768,20.833,35.034,65.922,57.81,60.764,16.026,3.557,5.556,10.277,21.135,17.452,7.595,18.162,25.915,12.5,7.941,33.213,21.27,28.212,13.355,11.179,9.722,-4.671,-12.581,-25.087,-34.18,-43.803,-54.37,-54.63,-65.396,-61.896,-55.083,-64.562,-58.226,-57.927,-63.889,-63.995,-68.438
PT,Azores,residential,0.202,0.307,-0.359,-1.396,-1.449,-2.064,-2.608,-3.855,3.492,15.881,2.302,-0.452,-1.009,0.546,2.199,0.044,0.185,-0.436,-0.449,-0.775,-1.251,-0.036,0.557,0.433,0.796,3.576,8.962,12.941,14.81,21.92,24.206,24.487,29.79,35.885,25.69,21.595,32.436,32.77,32.421,33.424,36.283,25.112,21.825
PT,Azores,retail/recreation,3.543,1.456,1.297,-2.629,4.813,7.856,8.263,14.031,26.075,-7.783,-3.38,-2.592,-2.26,-0.233,3.968,2.515,1.038,0.876,2.592,-0.968,1.047,5.952,2.647,3.892,-0.125,-2.839,-12.913,-33.52,-47.902,-44.076,-54.353,-60.096,-69.239,-76.188,-80.424,-85.459,-75.048,-77.444,-75.621,-76.397,-78.125,-79.958,-86.132
