state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Pennsylvania,Overall,2020-02-16,0.881,29.472,-0.524,8.867,0.385,0.507
Pennsylvania,Overall,2020-02-17,-1.173,42.98,4.838,8.144,-10.689,-20.581
Pennsylvania,Overall,2020-02-18,-2.328,12.163,0.389,0.917,2.382,1.485
Pennsylvania,Overall,2020-02-19,-0.103,17.725,-0.12,1.414,2.096,1.673
Pennsylvania,Overall,2020-02-20,-0.66,9.818,0.339,1.113,1.132,1.422
Pennsylvania,Overall,2020-02-21,-2.223,6.078,0.546,0.485,0.765,2.939
Pennsylvania,Overall,2020-02-22,2.716,53.209,-1.087,8.539,6.283,3.985
Pennsylvania,Overall,2020-02-23,5.172,99.7,-1.274,11.006,3.838,3.349
Pennsylvania,Overall,2020-02-24,0.227,35.932,0.031,2.585,1.666,2.783
Pennsylvania,Overall,2020-02-25,-1.099,0.917,0.171,3.705,0.612,2.254
Pennsylvania,Overall,2020-02-26,3.576,8.267,-0.638,7.476,4.536,1.864
Pennsylvania,Overall,2020-02-27,-0.716,0.173,0.625,2.615,2.09,0.755
Pennsylvania,Overall,2020-02-28,1.537,2.046,0.038,4.458,4.283,2.681
Pennsylvania,Overall,2020-02-29,2.61,-3.493,-0.737,9.096,5.038,2.451
Pennsylvania,Overall,2020-03-01,7.909,39.514,-1.276,16.356,5.9,3.026
Pennsylvania,Overall,2020-03-02,3.964,30.853,-0.173,7.655,2.131,2.412
Pennsylvania,Overall,2020-03-03,4.96,4.054,-0.297,9.234,2.615,1.861
Pennsylvania,Overall,2020-03-04,6.629,27.047,-0.709,9.478,4.336,1.5
Pennsylvania,Overall,2020-03-05,7.105,37.434,-0.757,9.16,4.757,1.38
Pennsylvania,Overall,2020-03-06,-0.311,-6.781,0.952,0.664,-0.786,1.377
Pennsylvania,Overall,2020-03-07,5.843,25.984,-1.028,10.401,6.594,2.663
Pennsylvania,Overall,2020-03-08,8.575,127.078,-1.53,14.783,7.592,1.439
Pennsylvania,Overall,2020-03-09,6.971,103.822,-0.318,9.416,0.703,0.048
Pennsylvania,Overall,2020-03-10,4.657,16.711,0.619,6.367,-1.858,-0.396
Pennsylvania,Overall,2020-03-11,9.552,29.36,0.141,7.187,-0.133,-0.958
Pennsylvania,Overall,2020-03-12,21.164,39.099,0.604,8.145,-4.442,-2.496
Pennsylvania,Overall,2020-03-13,21.927,32.744,3.461,1.351,-10.872,-7.088
Pennsylvania,Overall,2020-03-14,12.657,40.189,2.945,-6.938,-8.268,-2.175
Pennsylvania,Overall,2020-03-15,8.401,62.639,3.344,-8.032,-14.782,-7.504
Pennsylvania,Overall,2020-03-16,18.389,9.536,8.204,-5.935,-26.224,-21.863
Pennsylvania,Overall,2020-03-17,2.141,-3.596,12.809,-28.496,-34.477,-31.14
Pennsylvania,Overall,2020-03-18,-2.016,30.789,13.951,-33.37,-36.75,-34.859
Pennsylvania,Overall,2020-03-19,-0.725,-0.486,16.034,-34.777,-41.968,-37.461
Pennsylvania,Overall,2020-03-20,-1.123,14.845,18.763,-38.649,-42.795,-40.7
Pennsylvania,Overall,2020-03-21,-11.258,20.383,12.68,-48.039,-39.668,-31.174
Pennsylvania,Overall,2020-03-22,-17.925,38.107,10.227,-47.019,-46.191,-32.754
Pennsylvania,Overall,2020-03-23,-24.627,-52.585,21.492,-49.765,-58.03,-50.153
Pennsylvania,Overall,2020-03-24,-18.97,9.73,20.756,-45.151,-51.437,-50.96
Pennsylvania,Overall,2020-03-25,-22.857,-29.258,22.237,-48.585,-54.67,-51.883
Pennsylvania,Overall,2020-03-26,-17.614,52.456,21.101,-43.743,-50.416,-51.561
Pennsylvania,Overall,2020-03-27,-19.559,27.49,22.803,-45.663,-51.981,-50.209
Pennsylvania,Overall,2020-03-28,-33.005,-52.978,16.597,-58.536,-55.419,-38.557
Pennsylvania,Overall,2020-03-29,-26.638,6.673,12.152,-50.456,-52.158,-37.566
