state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Pennsylvania,Crawford County,2020-02-16,7.51,29.472,-0.524,11.155,0.385,0.457
Pennsylvania,Crawford County,2020-02-17,-2.053,42.98,4.838,0.27,-10.689,-14.68
Pennsylvania,Crawford County,2020-02-18,-1.044,12.163,0.389,-2.382,2.382,2.597
Pennsylvania,Crawford County,2020-02-19,-3.926,17.725,-0.12,-0.516,2.096,2.706
Pennsylvania,Crawford County,2020-02-20,1.566,9.818,0.339,3.943,1.132,2.126
Pennsylvania,Crawford County,2020-02-21,-1.961,6.078,0.546,5.587,0.765,3.858
Pennsylvania,Crawford County,2020-02-22,4.071,53.209,-1.087,10.377,6.283,3.157
Pennsylvania,Crawford County,2020-02-23,17.307,99.7,-1.274,18.994,3.838,2.284
Pennsylvania,Crawford County,2020-02-24,1.796,35.932,0.031,2.972,1.666,4.529
Pennsylvania,Crawford County,2020-02-25,2.872,0.917,0.171,6.618,0.612,4.124
Pennsylvania,Crawford County,2020-02-26,6.805,8.267,-0.638,14.955,4.536,2.856
Pennsylvania,Crawford County,2020-02-27,-5.221,0.173,0.625,-6.232,2.09,-1.518
Pennsylvania,Crawford County,2020-02-28,-1.09,2.046,0.038,6.186,4.283,2.733
Pennsylvania,Crawford County,2020-02-29,-0.239,-3.493,-0.737,-0.898,5.038,-2.762
Pennsylvania,Crawford County,2020-03-01,25.144,39.514,-1.276,25.326,5.9,3.655
Pennsylvania,Crawford County,2020-03-02,2.822,30.853,-0.173,10.808,2.131,6.403
Pennsylvania,Crawford County,2020-03-03,4.177,4.054,-0.297,15.089,2.615,4.888
Pennsylvania,Crawford County,2020-03-04,6.543,27.047,-0.709,11.474,4.336,2.706
Pennsylvania,Crawford County,2020-03-05,9.921,37.434,-0.757,20.732,4.757,4.404
Pennsylvania,Crawford County,2020-03-06,-0.218,-6.781,0.952,6.485,-0.786,2.733
Pennsylvania,Crawford County,2020-03-07,7.902,25.984,-1.028,11.973,6.594,2.762
Pennsylvania,Crawford County,2020-03-08,18.613,127.078,-1.53,28.642,7.592,2.284
Pennsylvania,Crawford County,2020-03-09,4.875,103.822,-0.318,13.511,0.703,3.436
Pennsylvania,Crawford County,2020-03-10,2.35,16.711,0.619,7.28,-1.858,1.527
Pennsylvania,Crawford County,2020-03-11,12.301,29.36,0.141,14.826,-0.133,2.706
Pennsylvania,Crawford County,2020-03-12,25.846,39.099,0.604,24.293,-4.442,4.1
Pennsylvania,Crawford County,2020-03-13,24.843,32.744,3.461,15.565,-10.872,-6.109
Pennsylvania,Crawford County,2020-03-14,27.059,40.189,2.945,6.086,-8.268,0.789
Pennsylvania,Crawford County,2020-03-15,36.573,62.639,3.344,15.678,-14.782,-1.827
Pennsylvania,Crawford County,2020-03-16,40.025,9.536,8.204,10.808,-26.224,-11.244
Pennsylvania,Crawford County,2020-03-17,14.098,-3.596,12.809,-21.31,-34.477,-18.787
Pennsylvania,Crawford County,2020-03-18,7.852,30.789,13.951,-29.136,-36.75,-22.697
Pennsylvania,Crawford County,2020-03-19,14.098,-0.486,16.034,-25.183,-41.968,-26.573
Pennsylvania,Crawford County,2020-03-20,11.768,14.845,18.763,-35.221,-42.795,-32.954
Pennsylvania,Crawford County,2020-03-21,1.197,20.383,12.68,-45.897,-39.668,-29.987
Pennsylvania,Crawford County,2020-03-22,-0.98,38.107,10.227,-37.988,-46.191,-29.697
Pennsylvania,Crawford County,2020-03-23,-8.723,-52.585,21.492,-43.099,-58.03,-39.355
Pennsylvania,Crawford County,2020-03-24,-8.093,9.73,20.756,-42.752,-51.437,-39.406
Pennsylvania,Crawford County,2020-03-25,-9.422,-29.258,22.237,-38.547,-54.67,-40.284
Pennsylvania,Crawford County,2020-03-26,-3.916,52.456,21.101,-33.323,-50.416,-40.847
Pennsylvania,Crawford County,2020-03-27,-13.075,27.49,22.803,-40.709,-51.981,-40.349
Pennsylvania,Crawford County,2020-03-28,-15.805,-52.978,16.597,-48.691,-55.419,-33.144
Pennsylvania,Crawford County,2020-03-29,-6.857,6.673,12.152,-34.37,-52.158,-31.981
Pennsylvania,Cumberland County,2020-02-16,-2.943,29.472,-0.619,6.056,1.659,1.872
Pennsylvania,Cumberland County,2020-02-17,0.345,42.98,6.428,12.658,11.364,-28.485
