state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Pennsylvania,Crawford County,grocery/pharmacy,7.51,-2.053,-1.044,-3.926,1.566,-1.961,4.071,17.307,1.796,2.872,6.805,-5.221,-1.09,-0.239,25.144,2.822,4.177,6.543,9.921,-0.218,7.902,18.613,4.875,2.35,12.301,25.846,24.843,27.059,36.573,40.025,14.098,7.852,14.098,11.768,1.197,-0.98,-8.723,-8.093,-9.422,-3.916,-13.075,-15.805,-6.857
Pennsylvania,Crawford County,retail/recreation,11.155,0.27,-2.382,-0.516,3.943,5.587,10.377,18.994,2.972,6.618,14.955,-6.232,6.186,-0.898,25.326,10.808,15.089,11.474,20.732,6.485,11.973,28.642,13.511,7.28,14.826,24.293,15.565,6.086,15.678,10.808,-21.31,-29.136,-25.183,-35.221,-45.897,-37.988,-43.099,-42.752,-38.547,-33.323,-40.709,-48.691,-34.37
Pennsylvania,Crawford County,workplace,0.457,-14.68,2.597,2.706,2.126,3.858,3.157,2.284,4.529,4.124,2.856,-1.518,2.733,-2.762,3.655,6.403,4.888,2.706,4.404,2.733,2.762,2.284,3.436,1.527,2.706,4.1,-6.109,0.789,-1.827,-11.244,-18.787,-22.697,-26.573,-32.954,-29.987,-29.697,-39.355,-39.406,-40.284,-40.847,-40.349,-33.144,-31.981
Pennsylvania,Cumberland County,grocery/pharmacy,-2.943,0.345,-4.826,-2.449,-1.441,-3.62,3.386,4.635,2.97,2.346,-0.993,-2.49,0.494,6.649,7.43,4.766,3.083,4.037,6.355,2.304,8.988,7.798,9.74,6.1,7.214,22.275,25.562,14.714,6.474,29.634,3.821,-2.78,-0.393,-1.152,-10.527,-15.522,-21.828,-18.568,-26.207,-19.589,-20.789,-30.413,-26.336
Pennsylvania,Cumberland County,residential,-0.619,6.428,0.452,-0.323,0.29,0.307,-1.391,-1.747,-0.127,-0.185,-0.658,0.22,0.254,-0.952,-1.121,-0.311,-0.297,-0.229,-0.668,0.705,-1.323,-1.719,0.028,0.255,-0.139,0.303,2.622,3.296,3.828,7.967,14.478,16.411,18.704,21.808,13.333,10.53,23.013,22.268,24.623,23.274,24.876,17.12,13.065
Pennsylvania,Cumberland County,retail/recreation,6.056,12.658,-2.062,1.073,1.58,0.533,4.142,9.78,2.725,4.726,6.605,4.311,4.197,6.741,14.584,6.769,7.819,8.944,7.846,2.003,8.731,10.348,9.113,7.934,6.22,8.462,3.665,-12.975,-10.348,0.879,-33.939,-40.979,-40.944,-45.894,-54.946,-51.031,-52.391,-49.234,-54.051,-48.281,-49.388,-62.094,-54.784
Pennsylvania,Cumberland County,transitstations,1.659,11.364,1.611,3.117,,6.127,6.944,8.625,1.894,8.323,5.455,6.23,15.829,14.931,12.938,6.494,5.906,2.338,2.492,11.744,12.5,12.274,7.846,6.443,9.611,2.99,12.255,14.236,9.952,6.764,-4.564,-10.91,-11.713,-9.446,-5.903,-18.909,-13.258,-8.86,-14.027,-12.959,-17.616,-19.444,-25.876
Pennsylvania,Cumberland County,workplace,1.872,-28.485,1.169,1.461,1.432,3.061,2.85,5.617,2.074,2.203,0.93,1.388,1.483,3.705,4.596,2.996,2.563,1.018,2.193,1.961,2.565,2.553,-1.751,0.135,-1.284,-2.731,-6.696,-2.422,-6.468,-21.064,-34.258,-39.179,-41.899,-45.675,-30.637,-32.51,-53.374,-54.084,-55.736,-54.657,-54.092,-37.62,-38.297
Pennsylvania,Dauphin County,grocery/pharmacy,1.2,-0.29,-3.549,0.654,1.413,-3.534,-4.661,4.359,-1.625,-0.769,5.764,-0.509,-0.512,-3.604,7.644,5.223,3.431,8.557,5.765,-2.139,1.057,5.559,5.687,1.893,7.903,13.395,14.137,-0.721,1.453,14.276,-0.118,-5.407,-8.026,-10.045,-22.63,-23.562,-28.319,-21.59,-25.67,-22.947,-26.181,-43.291,-33.796
Pennsylvania,Dauphin County,parks,14.603,20.325,-6.944,15.514,4.167,3.916,73.635,134.346,39.804,-5.401,-4.433,-4.167,2.35,-10.776,63.279,51.66,-4.63,31.767,43.333,-1.566,63.757,160.631,120.257,10.802,11.082,45.0,38.377,64.655,90.537,5.081,-17.747,11.82,-15.833,16.447,50.287,59.385,-60.129,-10.031,-61.318,19.167,21.93,-65.553,-18.497
Pennsylvania,Dauphin County,residential,-0.332,6.134,0.401,-0.16,0.084,0.912,-1.102,-0.988,0.143,-0.294,-1.048,-0.029,0.111,-1.167,-1.298,-0.549,-0.614,-1.262,-1.143,1.112,-1.704,-1.458,-0.604,-0.154,-0.265,0.052,2.791,2.469,3.058,7.628,13.415,15.026,17.241,20.436,12.798,10.408,21.978,20.444,23.076,21.681,23.919,16.799,13.002
Pennsylvania,Dauphin County,retail/recreation,13.446,7.234,-2.909,0.733,0.26,-0.304,9.757,8.608,-0.703,7.962,12.624,6.392,7.398,13.063,17.489,5.049,5.997,10.329,12.192,6.924,13.993,10.196,7.284,4.951,7.643,8.617,1.233,-12.706,-12.205,-6.154,-35.037,-39.703,-41.383,-45.548,-56.578,-52.716,-55.638,-48.74,-54.574,-49.598,-51.296,-66.174,-57.281
Pennsylvania,Dauphin County,transitstations,-2.692,0.629,4.835,5.833,-0.602,7.059,9.216,1.884,6.497,1.758,6.25,5.218,8.013,11.729,3.23,5.869,1.319,7.708,6.623,9.921,19.549,6.46,7.545,4.175,0.833,-2.609,-3.625,-5.585,-12.112,-11.737,-16.262,-23.542,-33.117,-35.867,-40.773,-48.988,-41.918,-38.019,-42.5,-42.349,-48.268,-51.385,-58.947
Pennsylvania,Dauphin County,workplace,1.361,-27.119,1.192,1.07,1.145,3.289,4.924,4.825,3.259,1.408,1.855,1.074,2.792,4.377,5.691,4.345,2.13,2.069,1.574,1.912,6.784,4.206,0.037,-0.65,-1.177,-2.398,-6.31,1.86,-2.351,-20.339,-35.637,-39.062,-41.652,-44.435,-29.434,-29.939,-51.765,-52.607,-54.331,-53.389,-53.154,-35.999,-36.248
Pennsylvania,Delaware County,grocery/pharmacy,-0.338,0.208,0.902,0.561,0.412,-0.128,5.891,5.893,2.74,-0.301,5.254,3.41,4.162,7.037,7.366,7.921,8.33,9.18,9.967,1.259,8.983,8.348,9.976,8.209,9.77,22.933,24.789,12.608,3.99,7.296,-2.045,-4.664,-2.47,-1.567,-13.407,-21.3,-28.082,-22.313,-27.953,-19.875,-23.299,-37.29,-29.157
Pennsylvania,Delaware County,parks,34.976,37.742,24.65,15.319,-5.322,-4.34,56.205,114.811,36.232,-19.084,0.766,-2.281,-8.681,-14.239,47.141,43.025,4.771,49.02,44.1,-16.638,22.482,130.018,98.128,26.24,43.658,19.769,41.956,81.685,89.72,10.568,19.879,73.529,4.562,78.125,87.68,38.777,-53.593,48.505,-42.892,78.315,62.211,-56.954,13.686
Pennsylvania,Delaware County,residential,-0.679,6.132,-0.208,-0.245,0.157,0.529,-1.309,-0.739,-0.258,0.396,-0.53,-0.315,-0.515,-1.186,-0.927,-0.591,-0.418,-1.038,-0.881,1.639,-0.82,-0.775,-0.147,0.564,0.475,1.45,5.353,4.467,5.659,12.76,16.672,17.837,20.236,21.274,14.063,12.716,24.925,24.251,26.455,24.768,26.449,18.915,14.659
Pennsylvania,Delaware County,retail/recreation,2.486,7.997,1.87,1.413,-0.617,-1.647,4.727,6.636,0.926,0.917,6.85,6.099,5.368,7.666,11.924,9.478,9.991,10.857,9.56,-1.534,7.368,11.924,9.071,7.205,8.388,9.2,3.494,-9.481,-14.673,-18.419,-29.626,-30.549,-34.899,-35.319,-45.955,-48.503,-51.297,-43.595,-50.241,-42.078,-45.018,-58.835,-51.602
Pennsylvania,Delaware County,transitstations,,-15.152,1.913,1.201,0.176,-1.002,9.54,3.745,2.927,-0.87,1.03,2.108,,0.774,-1.021,4.821,3.304,3.775,6.148,-4.173,-1.031,4.425,1.722,-4.174,-2.746,-4.743,-13.856,-8.251,-13.617,-32.886,-41.041,-41.358,-46.023,-41.567,-38.418,-40.85,-61.811,-55.127,-62.466,-53.049,-51.916,-57.24,-44.594
Pennsylvania,Delaware County,workplace,-0.367,-27.495,1.989,1.419,1.247,2.566,5.254,2.861,2.452,1.481,1.375,1.16,2.916,3.865,2.788,1.771,0.84,1.331,0.088,-0.513,5.072,2.127,-0.068,-0.862,-1.724,-4.245,-11.382,-3.684,-11.004,-33.035,-40.593,-43.845,-46.559,-47.698,-32.186,-35.725,-57.51,-58.492,-59.951,-59.008,-56.911,-41.606,-41.3
