state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
QA,Overall,2020-02-16,-0.447,15.834,1.27,-0.786,3.158,3.115
QA,Overall,2020-02-17,-1.365,8.815,1.281,-1.304,0.66,3.547
QA,Overall,2020-02-18,-3.062,8.488,1.087,-2.511,1.128,3.545
QA,Overall,2020-02-19,-3.684,6.863,0.975,-3.303,-0.651,3.629
QA,Overall,2020-02-20,-0.554,7.824,1.662,-1.038,-1.661,3.457
QA,Overall,2020-02-21,-0.169,11.677,1.238,-0.71,-2.407,1.567
QA,Overall,2020-02-22,-1.317,10.109,1.292,-0.88,-1.028,5.295
QA,Overall,2020-02-23,-1.89,18.007,1.199,-1.175,0.159,4.789
QA,Overall,2020-02-24,-3.289,8.815,1.2,-1.413,-0.33,4.609
QA,Overall,2020-02-25,-3.113,9.889,0.913,-2.056,-0.497,4.119
QA,Overall,2020-02-26,-2.634,-2.135,1.263,-2.985,-1.629,3.795
QA,Overall,2020-02-27,5.938,4.639,1.172,3.98,-1.394,3.623
QA,Overall,2020-02-28,5.857,6.002,0.895,2.024,-2.251,3.625
QA,Overall,2020-02-29,6.954,6.301,0.608,2.935,0.129,6.479
QA,Overall,2020-03-01,7.8,12.884,1.2,3.667,1.212,3.554
QA,Overall,2020-03-02,6.596,0.915,1.265,2.391,0.264,4.711
QA,Overall,2020-03-03,5.04,2.884,1.25,1.039,-1.393,4.813
QA,Overall,2020-03-04,6.18,-4.499,1.642,-0.341,-2.182,4.681
QA,Overall,2020-03-05,8.139,4.085,1.941,1.99,-3.56,5.366
QA,Overall,2020-03-06,7.329,3.438,1.819,-0.557,-4.72,3.508
QA,Overall,2020-03-07,5.091,4.57,1.685,-0.323,-2.699,6.516
QA,Overall,2020-03-08,4.673,9.003,1.368,1.624,-2.392,6.257
QA,Overall,2020-03-09,15.763,-0.998,2.168,-2.205,-7.522,5.735
QA,Overall,2020-03-10,4.489,1.401,4.112,-6.282,-9.021,2.397
QA,Overall,2020-03-11,0.069,-3.508,4.349,-10.761,-13.843,2.179
QA,Overall,2020-03-12,0.792,-12.464,7.934,-18.236,-20.885,0.138
QA,Overall,2020-03-13,-14.888,-26.191,9.829,-35.104,-36.949,-4.28
QA,Overall,2020-03-14,-8.111,-13.918,7.792,-25.232,-30.526,0.187
QA,Overall,2020-03-15,-3.986,-2.717,8.576,-17.304,-23.508,-4.957
QA,Overall,2020-03-16,-4.199,-10.728,10.149,-25.707,-27.91,-8.277
QA,Overall,2020-03-17,-4.197,-12.361,13.168,-31.261,-32.634,-15.281
QA,Overall,2020-03-18,-12.963,-23.411,16.215,-41.105,-38.89,-20.498
QA,Overall,2020-03-19,-14.996,-20.634,19.194,-43.48,-42.661,-21.98
QA,Overall,2020-03-20,-32.184,-40.487,16.257,-57.61,-52.173,-23.926
QA,Overall,2020-03-21,-19.916,-24.997,15.119,-46.1,-43.283,-18.166
QA,Overall,2020-03-22,-25.598,-33.375,20.055,-47.87,-47.686,-26.086
QA,Overall,2020-03-23,-24.143,-37.173,20.059,-48.649,-48.166,-27.242
QA,Overall,2020-03-24,-23.479,-36.177,20.125,-48.985,-48.156,-28.664
QA,Overall,2020-03-25,-22.294,-40.874,20.668,-49.6,-49.541,-29.519
QA,Overall,2020-03-26,-20.237,-43.761,23.466,-49.976,-52.124,-29.872
QA,Overall,2020-03-27,-39.406,-65.641,19.413,-67.701,-63.551,-31.902
QA,Overall,2020-03-28,-28.83,-45.216,18.766,-57.379,-53.404,-24.844
QA,Overall,2020-03-29,-24.585,-34.229,21.705,-51.185,-51.96,-30.884
