state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
RO,Overall,2020-02-16,9.825,24.524,-1.892,12.436,9.973,3.572
RO,Overall,2020-02-17,3.095,10.715,-1.21,3.556,6.799,1.564
RO,Overall,2020-02-18,4.888,9.22,-1.202,3.289,5.727,1.895
RO,Overall,2020-02-19,4.283,-1.936,-1.202,2.949,4.598,2.247
RO,Overall,2020-02-20,1.387,-6.725,-0.535,0.598,2.247,2.575
RO,Overall,2020-02-21,6.13,-6.04,-2.512,4.64,9.033,22.321
RO,Overall,2020-02-22,-3.463,-3.686,-1.364,2.456,5.234,4.982
RO,Overall,2020-02-23,2.787,9.492,-1.333,6.895,6.562,3.56
RO,Overall,2020-02-24,0.53,-2.39,-0.588,-1.185,2.508,1.656
RO,Overall,2020-02-25,8.544,11.386,-1.204,2.05,5.557,2.906
RO,Overall,2020-02-26,8.7,11.732,-1.539,2.93,6.24,3.134
RO,Overall,2020-02-27,0.862,-8.926,0.102,-2.791,-1.034,3.093
RO,Overall,2020-02-28,4.533,-9.675,-1.877,2.576,7.345,23.324
RO,Overall,2020-02-29,4.78,-2.175,-0.279,4.144,4.232,5.893
RO,Overall,2020-03-01,15.074,27.472,-1.6,11.189,13.659,6.976
RO,Overall,2020-03-02,-0.873,6.261,-0.72,-2.555,3.573,3.309
RO,Overall,2020-03-03,1.231,11.75,-1.158,-0.831,2.977,3.582
RO,Overall,2020-03-04,2.513,5.408,-1.234,1.32,4.808,3.76
RO,Overall,2020-03-05,1.069,-6.491,-0.469,-0.07,0.794,4.184
RO,Overall,2020-03-06,7.65,5.156,-3.348,8.696,10.593,24.763
RO,Overall,2020-03-07,6.868,18.477,-1.998,11.042,9.492,6.891
RO,Overall,2020-03-08,15.897,-4.083,-1.671,13.845,5.779,5.8
RO,Overall,2020-03-09,1.661,-5.554,-0.143,-4.019,-0.985,1.451
RO,Overall,2020-03-10,11.562,-3.517,-0.36,-2.423,-1.893,0.136
RO,Overall,2020-03-11,19.244,-5.114,2.564,-6.143,-9.174,-15.017
RO,Overall,2020-03-12,13.937,10.169,3.577,-9.353,-15.593,-18.115
RO,Overall,2020-03-13,8.118,-4.643,3.863,-14.971,-17.551,-5.105
RO,Overall,2020-03-14,0.888,-22.523,3.661,-29.415,-22.345,-3.548
RO,Overall,2020-03-15,4.759,-30.644,5.946,-38.113,-32.506,-10.21
RO,Overall,2020-03-16,-12.539,-15.988,9.622,-30.663,-36.224,-30.028
RO,Overall,2020-03-17,-16.927,-15.749,10.491,-35.418,-40.06,-33.086
RO,Overall,2020-03-18,-14.965,-15.972,11.05,-39.673,-40.549,-34.839
RO,Overall,2020-03-19,-20.889,-13.695,12.154,-44.545,-44.273,-36.368
RO,Overall,2020-03-20,-16.682,-21.286,11.215,-45.65,-42.286,-24.191
RO,Overall,2020-03-21,-23.786,-26.161,7.336,-55.91,-42.687,-20.421
RO,Overall,2020-03-22,-21.117,-53.565,10.433,-61.729,-54.623,-26.514
RO,Overall,2020-03-23,-39.2,-51.33,19.0,-63.554,-61.157,-46.7
RO,Overall,2020-03-24,-29.948,-49.467,19.045,-62.133,-60.262,-49.677
RO,Overall,2020-03-25,-47.712,-57.407,22.228,-71.359,-66.441,-53.496
RO,Overall,2020-03-26,-52.518,-55.616,23.032,-73.168,-68.444,-53.167
RO,Overall,2020-03-27,-45.537,-55.448,21.615,-70.758,-65.412,-42.343
RO,Overall,2020-03-28,-49.237,-60.388,15.78,-76.992,-67.412,-37.636
RO,Overall,2020-03-29,-52.734,-59.633,15.509,-80.985,-72.144,-38.726
