state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
RO,Alba County,2020-02-16,12.17,10.718,-1.282,16.484,12.153,5.587
RO,Alba County,2020-02-17,4.354,5.048,-0.864,5.526,3.268,1.134
RO,Alba County,2020-02-18,2.188,-0.447,-0.652,5.646,1.221,1.136
RO,Alba County,2020-02-19,6.107,4.395,-1.099,6.103,5.352,0.935
RO,Alba County,2020-02-20,-3.246,-1.25,-0.629,-0.653,1.609,0.104
RO,Alba County,2020-02-21,3.954,-10.31,-1.986,8.23,12.066,22.668
RO,Alba County,2020-02-22,-0.641,15.419,-1.462,11.854,2.033,6.179
RO,Alba County,2020-02-23,5.982,1.005,-0.543,8.944,5.787,3.991
RO,Alba County,2020-02-24,2.257,-2.294,0.089,-0.138,1.225,
RO,Alba County,2020-02-25,7.068,8.494,-1.594,9.033,5.697,2.168
RO,Alba County,2020-02-26,6.956,8.351,-1.282,1.11,2.47,1.973
RO,Alba County,2020-02-27,-1.082,-4.167,0.383,-4.705,-7.239,0.313
RO,Alba County,2020-02-28,5.931,-12.799,-2.146,7.845,6.435,23.454
RO,Alba County,2020-02-29,4.327,-0.685,-0.696,17.04,5.589,6.768
RO,Alba County,2020-03-01,10.726,6.029,-0.57,20.868,13.889,7.583
RO,Alba County,2020-03-02,-4.515,-5.048,0.222,-5.25,0.817,2.372
RO,Alba County,2020-03-03,1.01,4.024,-1.01,1.411,-4.476,3.2
RO,Alba County,2020-03-04,3.054,,-0.853,0.832,-2.47,2.804
RO,Alba County,2020-03-05,0.927,-5.417,-0.045,-2.222,-3.218,2.088
RO,Alba County,2020-03-06,7.451,-6.044,-3.619,14.66,7.239,25.026
RO,Alba County,2020-03-07,7.532,6.168,-1.482,22.374,1.524,7.356
RO,Alba County,2020-03-08,13.82,-13.063,0.072,24.551,4.051,8.381
RO,Alba County,2020-03-09,-3.064,-3.212,-0.089,-2.763,-2.451,2.578
RO,Alba County,2020-03-10,12.621,-2.682,-1.075,4.376,-0.407,1.962
RO,Alba County,2020-03-11,17.644,2.198,2.053,-3.884,-2.47,-16.513
RO,Alba County,2020-03-12,11.437,20.833,1.981,-4.052,-4.424,-17.639
RO,Alba County,2020-03-13,7.908,-7.466,2.412,-6.044,-3.62,0.393
RO,Alba County,2020-03-14,7.212,-0.343,1.45,-14.373,-2.541,-2.06
RO,Alba County,2020-03-15,9.282,-5.359,4.627,-24.726,-12.153,-6.386
RO,Alba County,2020-03-16,-5.16,-0.918,5.905,-18.236,-13.48,-24.237
RO,Alba County,2020-03-17,-12.285,2.682,6.087,-23.148,-16.683,-26.119
RO,Alba County,2020-03-18,-5.09,2.198,7.413,-34.676,-18.116,-28.145
RO,Alba County,2020-03-19,-20.401,2.5,8.74,-43.13,-24.533,-31.313
