state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
RO,Alba County,grocery/pharmacy,12.17,4.354,2.188,6.107,-3.246,3.954,-0.641,5.982,2.257,7.068,6.956,-1.082,5.931,4.327,10.726,-4.515,1.01,3.054,0.927,7.451,7.532,13.82,-3.064,12.621,17.644,11.437,7.908,7.212,9.282,-5.16,-12.285,-5.09,-20.401,-16.423,-21.635,-21.246,-36.12,-26.42,-46.315,-54.402,-47.597,-50.321,-60.85
RO,Alba County,parks,10.718,5.048,-0.447,4.395,-1.25,-10.31,15.419,1.005,-2.294,8.494,8.351,-4.167,-12.799,-0.685,6.029,-5.048,4.024,,-5.417,-6.044,6.168,-13.063,-3.212,-2.682,2.198,20.833,-7.466,-0.343,-5.359,-0.918,2.682,2.198,2.5,-8.177,-1.371,-47.562,-37.17,-32.189,-41.755,-38.333,-40.529,-38.035,-50.576
RO,Alba County,residential,-1.282,-0.864,-0.652,-1.099,-0.629,-1.986,-1.462,-0.543,0.089,-1.594,-1.282,0.383,-2.146,-0.696,-0.57,0.222,-1.01,-0.853,-0.045,-3.619,-1.482,0.072,-0.089,-1.075,2.053,1.981,2.412,1.45,4.627,5.905,6.087,7.413,8.74,8.277,4.67,11.431,17.503,17.306,20.746,20.335,19.067,12.418,
RO,Alba County,retail/recreation,16.484,5.526,5.646,6.103,-0.653,8.23,11.854,8.944,-0.138,9.033,1.11,-4.705,7.845,17.04,20.868,-5.25,1.411,0.832,-2.222,14.66,22.374,24.551,-2.763,4.376,-3.884,-4.052,-6.044,-14.373,-24.726,-18.236,-23.148,-34.676,-43.13,-41.409,-51.713,-69.62,-61.892,-59.423,-71.155,-73.714,-68.287,-76.162,-86.63
RO,Alba County,transitstations,12.153,3.268,1.221,5.352,1.609,12.066,2.033,5.787,1.225,5.697,2.47,-7.239,6.435,5.589,13.889,0.817,-4.476,-2.47,-3.218,7.239,1.524,4.051,-2.451,-0.407,-2.47,-4.424,-3.62,-2.541,-12.153,-13.48,-16.683,-18.116,-24.533,-23.327,-17.785,-47.454,-48.611,-46.794,-52.289,-53.089,-50.676,-48.272,-64.815
RO,Alba County,workplace,5.587,1.134,1.136,0.935,0.104,22.668,6.179,3.991,,2.168,1.973,0.313,23.454,6.768,7.583,2.372,3.2,2.804,2.088,25.026,7.356,8.381,2.578,1.962,-16.513,-17.639,0.393,-2.06,-6.386,-24.237,-26.119,-28.145,-31.313,-15.33,-19.127,-33.525,-43.936,-46.767,-51.72,-50.518,-35.508,-35.899,-46.695
RO,Arad County,grocery/pharmacy,19.43,8.731,6.701,3.07,,-0.739,4.932,11.199,9.645,9.747,5.05,1.511,-2.863,4.143,9.175,0.812,0.812,-5.842,0.661,0.185,7.99,14.573,1.523,9.747,13.268,8.877,4.617,6.017,14.168,-4.061,-10.051,-12.575,-18.605,-14.683,-20.024,-15.652,-31.778,-24.976,-46.736,-52.886,-46.82,-46.757,-56.806
RO,Arad County,parks,41.978,13.84,11.655,16.523,-2.003,-1.286,26.566,17.102,0.728,25.495,2.155,-2.671,-8.359,5.593,1.555,-0.728,-0.728,-5.029,8.681,3.215,-2.796,-7.774,8.013,18.211,3.592,25.374,3.858,19.575,10.106,1.457,2.914,7.184,-0.668,5.787,-2.097,-24.876,-36.422,-34.965,-48.851,-46.741,-39.223,-42.645,-46.642
RO,Arad County,residential,-2.0,-1.604,-1.123,-0.117,0.039,-1.632,-1.122,-0.59,-0.437,-1.038,0.748,0.727,-0.49,0.083,0.379,-0.025,-0.296,1.736,-0.303,-2.051,0.061,-1.047,-0.719,-1.205,3.17,3.123,3.529,2.011,4.205,6.49,7.529,9.687,10.814,9.408,7.068,9.634,16.619,18.212,23.376,23.524,21.473,15.19,15.456
RO,Arad County,retail/recreation,22.922,8.082,10.244,2.18,-5.132,-0.429,7.223,14.008,2.395,6.694,-3.886,-5.132,0.086,10.17,12.352,0.898,4.057,-8.246,0.54,6.87,9.979,25.851,2.694,11.056,-5.118,-9.363,-10.82,-18.913,-25.341,-18.159,-20.996,-33.838,-44.296,-44.226,-54.745,-62.398,-56.274,-56.394,-70.993,-73.106,-70.675,-76.699,-84.811
