state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
SE,Overall,2020-02-16,-7.143,-30.431,1.798,-9.911,-10.528,-4.677
SE,Overall,2020-02-17,-2.853,-2.692,1.841,-3.519,-6.202,-5.81
SE,Overall,2020-02-18,0.115,13.107,1.198,0.233,-4.038,-5.267
SE,Overall,2020-02-19,1.425,25.851,0.736,3.45,-2.782,-5.177
SE,Overall,2020-02-20,0.942,-0.523,1.46,1.369,-5.536,-6.217
SE,Overall,2020-02-21,0.355,22.035,1.187,4.994,-1.917,-6.953
SE,Overall,2020-02-22,-1.347,-9.72,0.905,0.351,-2.246,-2.973
SE,Overall,2020-02-23,0.063,23.391,-0.134,1.914,0.254,-0.563
SE,Overall,2020-02-24,0.377,23.533,0.781,1.706,-3.115,-4.346
SE,Overall,2020-02-25,8.775,8.374,0.657,8.132,-2.545,-3.844
SE,Overall,2020-02-26,1.915,4.301,0.927,4.848,-4.987,-4.284
SE,Overall,2020-02-27,4.088,10.37,0.916,7.374,-2.48,-5.037
SE,Overall,2020-02-28,1.645,16.077,0.997,6.666,-0.958,-6.227
SE,Overall,2020-02-29,3.568,8.147,-0.151,7.68,4.54,0.197
SE,Overall,2020-03-01,-2.106,-6.912,0.746,-0.772,-5.556,-2.45
SE,Overall,2020-03-02,2.002,10.117,0.913,1.102,-2.852,-1.951
SE,Overall,2020-03-03,1.879,4.87,0.847,0.091,-4.146,-1.597
SE,Overall,2020-03-04,-0.55,-2.172,1.421,-2.363,-5.287,-1.839
SE,Overall,2020-03-05,2.534,7.637,0.998,0.473,-3.68,-1.725
SE,Overall,2020-03-06,1.304,23.937,0.991,2.2,-0.752,-2.035
SE,Overall,2020-03-07,3.901,36.017,0.048,5.0,5.885,0.332
SE,Overall,2020-03-08,-1.885,-0.256,0.509,0.789,-5.767,-1.348
SE,Overall,2020-03-09,0.249,8.206,1.121,-2.217,-4.779,-0.392
SE,Overall,2020-03-10,0.642,3.186,1.065,-3.589,-5.752,0.234
SE,Overall,2020-03-11,3.985,9.582,1.587,-4.362,-7.337,-1.253
SE,Overall,2020-03-12,11.182,-16.56,3.831,-11.574,-15.857,-4.458
SE,Overall,2020-03-13,8.008,-3.553,5.704,-13.108,-19.444,-9.553
SE,Overall,2020-03-14,9.217,58.854,3.439,-16.623,-13.376,-5.739
SE,Overall,2020-03-15,-1.928,-15.072,4.528,-24.936,-30.274,-9.906
SE,Overall,2020-03-16,3.119,10.768,7.648,-18.569,-25.236,-16.728
SE,Overall,2020-03-17,0.39,2.458,9.512,-24.42,-31.674,-21.214
SE,Overall,2020-03-18,-3.287,0.639,11.431,-26.148,-36.746,-26.918
SE,Overall,2020-03-19,-1.914,39.592,11.058,-22.254,-34.939,-27.606
SE,Overall,2020-03-20,-5.044,10.73,11.735,-23.798,-37.516,-28.145
SE,Overall,2020-03-21,-4.942,66.435,5.62,-26.298,-27.587,-13.063
SE,Overall,2020-03-22,-8.664,57.086,4.833,-26.526,-32.794,-14.853
SE,Overall,2020-03-23,-8.376,7.902,11.009,-24.754,-38.195,-27.394
SE,Overall,2020-03-24,-7.391,22.255,11.267,-25.264,-37.393,-27.574
SE,Overall,2020-03-25,0.54,24.999,10.913,-18.765,-36.347,-27.594
SE,Overall,2020-03-26,-2.053,48.354,11.061,-18.377,-35.197,-28.43
SE,Overall,2020-03-27,-4.603,42.67,11.16,-18.729,-35.318,-28.632
SE,Overall,2020-03-28,-4.081,52.437,5.823,-23.655,-29.532,-14.576
SE,Overall,2020-03-29,-9.798,42.687,5.445,-24.019,-36.464,-17.795
