state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
SE,Overall,grocery/pharmacy,-7.143,-2.853,0.115,1.425,0.942,0.355,-1.347,0.063,0.377,8.775,1.915,4.088,1.645,3.568,-2.106,2.002,1.879,-0.55,2.534,1.304,3.901,-1.885,0.249,0.642,3.985,11.182,8.008,9.217,-1.928,3.119,0.39,-3.287,-1.914,-5.044,-4.942,-8.664,-8.376,-7.391,0.54,-2.053,-4.603,-4.081,-9.798
SE,Overall,parks,-30.431,-2.692,13.107,25.851,-0.523,22.035,-9.72,23.391,23.533,8.374,4.301,10.37,16.077,8.147,-6.912,10.117,4.87,-2.172,7.637,23.937,36.017,-0.256,8.206,3.186,9.582,-16.56,-3.553,58.854,-15.072,10.768,2.458,0.639,39.592,10.73,66.435,57.086,7.902,22.255,24.999,48.354,42.67,52.437,42.687
SE,Overall,residential,1.798,1.841,1.198,0.736,1.46,1.187,0.905,-0.134,0.781,0.657,0.927,0.916,0.997,-0.151,0.746,0.913,0.847,1.421,0.998,0.991,0.048,0.509,1.121,1.065,1.587,3.831,5.704,3.439,4.528,7.648,9.512,11.431,11.058,11.735,5.62,4.833,11.009,11.267,10.913,11.061,11.16,5.823,5.445
SE,Overall,retail/recreation,-9.911,-3.519,0.233,3.45,1.369,4.994,0.351,1.914,1.706,8.132,4.848,7.374,6.666,7.68,-0.772,1.102,0.091,-2.363,0.473,2.2,5.0,0.789,-2.217,-3.589,-4.362,-11.574,-13.108,-16.623,-24.936,-18.569,-24.42,-26.148,-22.254,-23.798,-26.298,-26.526,-24.754,-25.264,-18.765,-18.377,-18.729,-23.655,-24.019
SE,Overall,transitstations,-10.528,-6.202,-4.038,-2.782,-5.536,-1.917,-2.246,0.254,-3.115,-2.545,-4.987,-2.48,-0.958,4.54,-5.556,-2.852,-4.146,-5.287,-3.68,-0.752,5.885,-5.767,-4.779,-5.752,-7.337,-15.857,-19.444,-13.376,-30.274,-25.236,-31.674,-36.746,-34.939,-37.516,-27.587,-32.794,-38.195,-37.393,-36.347,-35.197,-35.318,-29.532,-36.464
SE,Overall,workplace,-4.677,-5.81,-5.267,-5.177,-6.217,-6.953,-2.973,-0.563,-4.346,-3.844,-4.284,-5.037,-6.227,0.197,-2.45,-1.951,-1.597,-1.839,-1.725,-2.035,0.332,-1.348,-0.392,0.234,-1.253,-4.458,-9.553,-5.739,-9.906,-16.728,-21.214,-26.918,-27.606,-28.145,-13.063,-14.853,-27.394,-27.574,-27.594,-28.43,-28.632,-14.576,-17.795
SE,Skåne County,grocery/pharmacy,-10.69,-5.474,-2.691,-3.032,-1.464,-2.467,-5.872,-2.762,-0.216,7.539,2.022,6.893,3.531,2.016,1.663,1.375,1.332,1.596,4.125,1.901,4.083,-0.059,-1.186,-1.945,3.325,11.657,9.62,11.619,-2.91,3.532,-0.906,-4.469,-0.905,-4.029,-3.1,-8.968,-6.418,-6.554,0.878,-0.692,-3.124,-0.58,-7.869
SE,Skåne County,parks,-45.411,-12.864,11.965,-2.114,-12.903,24.441,-31.853,-22.506,0.941,-0.352,-3.623,33.673,15.13,-20.015,-13.145,16.943,9.502,3.019,22.659,8.438,27.548,2.788,-8.785,-5.983,20.229,-19.826,-14.257,88.025,-24.896,15.06,26.042,-11.775,88.117,45.1,102.66,38.639,36.396,55.954,50.121,73.011,93.11,99.862,23.502
SE,Skåne County,residential,2.231,3.421,2.864,2.737,3.233,3.362,1.302,0.545,0.219,-0.023,0.296,-0.47,0.155,0.903,0.8,0.667,0.832,0.744,0.444,1.102,0.549,0.735,1.407,1.529,1.429,4.634,6.437,3.467,5.214,8.438,9.681,12.178,11.301,12.144,5.716,5.577,10.905,11.238,10.946,11.091,11.053,5.237,5.931
SE,Skåne County,retail/recreation,-17.089,-3.254,-0.34,-0.549,1.018,0.686,-6.589,-9.053,-1.818,6.988,2.421,16.486,5.772,8.918,3.12,4.825,1.912,-0.895,4.518,-1.456,7.871,0.071,-4.084,-4.673,-4.801,-13.413,-16.815,-14.388,-29.451,-18.334,-23.047,-28.503,-18.765,-22.821,-23.126,-28.813,-20.241,-21.475,-16.5,-15.346,-17.484,-18.45,-23.471
