state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
SI,Ljubljana,2020-02-16,1.159,18.721,-4.36,1.397,3.139,1.31
SI,Ljubljana,2020-02-17,-5.193,-6.083,1.611,-1.572,-13.156,-18.161
SI,Ljubljana,2020-02-18,-3.662,-9.921,1.551,1.741,-12.166,-16.732
SI,Ljubljana,2020-02-19,-6.809,-7.117,0.727,0.73,-12.357,-16.542
SI,Ljubljana,2020-02-20,-9.11,-11.781,0.23,-2.382,-2.309,-19.535
SI,Ljubljana,2020-02-21,-10.719,7.595,0.071,-3.389,-7.678,-19.528
SI,Ljubljana,2020-02-22,-4.739,49.079,-5.57,-2.831,18.211,-2.338
SI,Ljubljana,2020-02-23,-1.325,2.88,-3.936,-5.299,6.279,-0.655
SI,Ljubljana,2020-02-24,11.015,8.364,-0.522,3.502,8.681,1.393
SI,Ljubljana,2020-02-25,12.533,-20.55,0.375,-1.114,9.296,2.727
SI,Ljubljana,2020-02-26,-4.702,-52.407,2.482,-13.199,0.797,2.378
SI,Ljubljana,2020-02-27,2.852,-10.541,0.547,0.232,8.963,2.217
SI,Ljubljana,2020-02-28,0.83,-4.883,-0.583,3.206,10.621,3.928
SI,Ljubljana,2020-02-29,0.358,4.006,-0.152,-0.588,6.313,2.976
SI,Ljubljana,2020-03-01,-5.631,-68.644,3.04,-14.615,-10.559,-8.844
SI,Ljubljana,2020-03-02,-2.046,-19.009,0.249,-1.108,10.173,2.528
SI,Ljubljana,2020-03-03,-2.279,-31.179,0.787,-1.323,6.698,3.462
SI,Ljubljana,2020-03-04,-1.216,-18.116,0.068,-0.497,7.706,3.594
SI,Ljubljana,2020-03-05,3.248,-11.781,-0.447,0.463,8.828,2.64
SI,Ljubljana,2020-03-06,-2.566,-35.265,1.407,-5.465,1.792,2.877
SI,Ljubljana,2020-03-07,4.918,6.51,-0.111,-1.508,7.284,1.913
SI,Ljubljana,2020-03-08,16.229,35.522,-3.377,10.947,11.986,0.983
SI,Ljubljana,2020-03-09,1.259,-9.124,1.212,-4.002,1.492,0.155
SI,Ljubljana,2020-03-10,5.127,-12.755,1.852,-5.572,-3.691,0.367
SI,Ljubljana,2020-03-11,5.837,14.234,1.615,-9.186,-6.643,-0.581
SI,Ljubljana,2020-03-12,28.2,-11.781,3.766,-14.621,-14.532,-5.438
SI,Ljubljana,2020-03-13,17.663,-60.221,13.905,-38.467,-42.358,-18.643
SI,Ljubljana,2020-03-14,-21.817,-37.059,12.107,-57.654,-37.879,-16.582
SI,Ljubljana,2020-03-15,-35.771,-23.041,10.534,-63.175,-37.1,-24.568
SI,Ljubljana,2020-03-16,-34.617,-22.81,23.605,-75.043,-71.208,-54.276
SI,Ljubljana,2020-03-17,-47.282,-23.384,26.28,-80.868,-71.358,-61.21
SI,Ljubljana,2020-03-18,-48.638,-29.762,27.036,-81.715,-73.475,-62.838
SI,Ljubljana,2020-03-19,-48.321,-34.102,27.031,-81.441,-72.387,-64.57
SI,Ljubljana,2020-03-20,-44.535,-50.456,30.032,-82.613,-75.886,-64.005
SI,Ljubljana,2020-03-21,-47.121,-54.587,17.178,-85.892,-62.16,-47.194
SI,Ljubljana,2020-03-22,-96.218,-67.684,18.205,-93.628,-71.062,-49.135
SI,Ljubljana,2020-03-23,-46.655,-62.348,29.854,-82.583,-80.431,-65.781
SI,Ljubljana,2020-03-24,-55.176,-71.57,31.247,-84.803,-81.884,-66.822
SI,Ljubljana,2020-03-25,-54.394,-80.228,32.222,-86.491,-83.705,-66.326
SI,Ljubljana,2020-03-26,-58.539,-81.845,33.255,-86.8,-83.659,-67.737
SI,Ljubljana,2020-03-27,-49.441,-62.934,33.023,-82.765,-78.957,-65.111
SI,Ljubljana,2020-03-28,-43.634,-40.064,15.68,-81.627,-56.09,-46.131
SI,Ljubljana,2020-03-29,-95.058,-52.803,15.583,-90.542,-60.788,-45.532
SI,Sežana,2020-02-16,,,,12.046,,
SI,Sežana,2020-02-17,,,,-5.652,,
SI,Sežana,2020-02-18,,,,-7.774,,
SI,Sežana,2020-02-19,,,,-6.649,,
SI,Sežana,2020-02-20,,,,2.264,,
SI,Sežana,2020-02-22,,,,0.595,,
SI,Sežana,2020-02-23,,,,-4.252,,
SI,Sežana,2020-02-24,,,,10.497,,
SI,Sežana,2020-02-25,,,,-1.555,,
SI,Sežana,2020-02-26,,,,-1.478,,
SI,Sežana,2020-02-27,,,,-1.51,,
SI,Sežana,2020-02-28,,,,1.218,,
SI,Sežana,2020-02-29,,,,1.786,,
SI,Sežana,2020-03-01,,,,-26.219,,
SI,Sežana,2020-03-02,,,,-7.267,,
SI,Sežana,2020-03-03,,,,-7.774,,
SI,Sežana,2020-03-04,,,,-4.433,,
SI,Sežana,2020-03-05,,,,-0.755,,
SI,Sežana,2020-03-06,,,,-3.046,,
SI,Sežana,2020-03-07,,,,-4.167,,
SI,Sežana,2020-03-08,,,,8.503,,
SI,Sežana,2020-03-09,,,,-2.422,,
SI,Sežana,2020-03-10,,,,-15.547,,
SI,Sežana,2020-03-11,,,,-25.857,,
SI,Sežana,2020-03-12,,,,-25.476,,
SI,Sežana,2020-03-13,,,,-46.905,,
SI,Sežana,2020-03-14,,,,-70.833,,
SI,Sežana,2020-03-15,,,,-82.908,,
SI,Sežana,2020-03-16,,,,-70.252,,
SI,Sežana,2020-03-17,,,,-76.959,,
SI,Sežana,2020-03-18,,,,-81.265,,
SI,Sežana,2020-03-19,,,,-80.012,,
SI,Sežana,2020-03-20,,,,-83.455,,
SI,Sežana,2020-03-21,,,,-89.286,,
SI,Sežana,2020-03-22,,,,-104.167,,
SI,Sežana,2020-03-23,,,,-79.134,,
SI,Sežana,2020-03-24,,,,-82.4,,
SI,Sežana,2020-03-25,,,,-84.22,,
SI,Sežana,2020-03-26,,,,-83.786,,
SI,Sežana,2020-03-27,,,,-83.455,,
SI,Sežana,2020-03-28,,,,-88.095,,
SI,Sežana,2020-03-29,,,,-98.498,,
SI,Škofja Loka,2020-02-16,,,,12.634,,
SI,Škofja Loka,2020-02-17,,,,0.76,,
SI,Škofja Loka,2020-02-18,,,,-3.567,,
SI,Škofja Loka,2020-02-19,,,,1.238,,
SI,Škofja Loka,2020-02-20,,,,-3.339,,
SI,Škofja Loka,2020-02-21,,,,-1.138,,
SI,Škofja Loka,2020-02-22,,,,3.339,,
SI,Škofja Loka,2020-02-23,,,,-4.125,,
SI,Škofja Loka,2020-02-24,,,,6.843,,
SI,Škofja Loka,2020-02-25,,,,9.989,,
SI,Škofja Loka,2020-02-26,,,,-12.203,,
SI,Škofja Loka,2020-02-27,,,,3.339,,
SI,Škofja Loka,2020-02-28,,,,3.415,,
SI,Škofja Loka,2020-02-29,,,,8.013,,
SI,Škofja Loka,2020-03-01,,,,-19.596,,
SI,Škofja Loka,2020-03-02,,,,-1.521,,
SI,Škofja Loka,2020-03-03,,,,-1.427,,
SI,Škofja Loka,2020-03-04,,,,6.19,,
SI,Škofja Loka,2020-03-06,,,,-3.415,,
SI,Škofja Loka,2020-03-07,,,,6.677,,
SI,Škofja Loka,2020-03-08,,,,25.784,,
SI,Škofja Loka,2020-03-09,,,,3.802,,
SI,Škofja Loka,2020-03-10,,,,-5.708,,
SI,Škofja Loka,2020-03-11,,,,0.531,,
SI,Škofja Loka,2020-03-12,,,,0.668,,
SI,Škofja Loka,2020-03-13,,,,-23.338,,
SI,Škofja Loka,2020-03-14,,,,-54.087,,
SI,Škofja Loka,2020-03-15,,,,-66.007,,
SI,Škofja Loka,2020-03-16,,,,-63.869,,
SI,Škofja Loka,2020-03-17,,,,-72.774,,
SI,Škofja Loka,2020-03-18,,,,-72.333,,
SI,Škofja Loka,2020-03-19,,,,-75.454,,
SI,Škofja Loka,2020-03-20,,,,-77.413,,
SI,Škofja Loka,2020-03-21,,,,-86.138,,
SI,Škofja Loka,2020-03-22,,,,-104.167,,
