state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
SK,Overall,2020-02-16,6.894,25.138,-1.881,14.469,17.405,2.03
SK,Overall,2020-02-17,3.564,42.995,0.078,8.249,4.94,-6.451
SK,Overall,2020-02-18,2.53,45.393,-0.406,6.122,3.372,-6.048
SK,Overall,2020-02-19,-0.755,29.318,0.636,3.321,-0.445,-7.394
SK,Overall,2020-02-20,-0.131,30.73,0.44,4.937,1.379,-7.84
SK,Overall,2020-02-21,-1.489,13.992,2.216,-1.915,-4.902,-9.575
SK,Overall,2020-02-22,2.907,29.537,-1.735,5.774,9.654,2.642
SK,Overall,2020-02-23,1.773,-22.503,-0.502,0.147,5.971,0.325
SK,Overall,2020-02-24,2.347,17.316,0.482,5.068,4.516,-4.24
SK,Overall,2020-02-25,2.559,34.518,-0.615,5.123,7.321,-3.308
SK,Overall,2020-02-26,-0.696,6.085,1.326,-0.767,-0.389,-5.032
SK,Overall,2020-02-27,3.629,13.658,0.813,3.156,4.137,-5.479
SK,Overall,2020-02-28,4.468,-2.817,3.385,-2.641,-1.532,-7.169
SK,Overall,2020-02-29,17.788,4.866,-1.272,9.943,10.722,4.425
SK,Overall,2020-03-01,0.197,-18.159,0.829,-3.583,8.286,0.514
SK,Overall,2020-03-02,3.885,12.957,0.816,2.023,3.811,-2.76
SK,Overall,2020-03-03,0.494,-3.428,0.627,-2.017,-1.066,-2.497
SK,Overall,2020-03-04,1.069,1.549,1.448,-0.684,-0.973,-3.618
SK,Overall,2020-03-05,3.947,22.998,0.49,2.284,3.365,-3.363
SK,Overall,2020-03-06,4.323,-8.268,2.83,-4.497,-5.259,-4.944
SK,Overall,2020-03-07,8.357,-1.645,1.348,-1.557,-2.307,1.547
SK,Overall,2020-03-08,22.625,17.732,-0.087,5.236,8.008,3.275
SK,Overall,2020-03-09,10.663,14.724,0.972,-1.07,-2.032,-1.527
SK,Overall,2020-03-10,8.923,26.243,2.424,-6.566,-10.808,-7.184
SK,Overall,2020-03-11,6.179,-9.515,5.729,-13.492,-21.577,-11.265
SK,Overall,2020-03-12,19.662,18.579,5.962,-12.509,-23.749,-15.824
SK,Overall,2020-03-13,11.123,-23.169,13.508,-37.872,-44.446,-25.75
SK,Overall,2020-03-14,-24.028,-29.332,10.275,-69.259,-50.062,-22.47
SK,Overall,2020-03-15,-34.698,-18.302,9.233,-74.164,-56.566,-29.45
SK,Overall,2020-03-16,-15.308,-25.915,18.577,-65.269,-57.726,-44.157
SK,Overall,2020-03-17,-26.583,-12.176,19.532,-70.964,-60.15,-49.891
SK,Overall,2020-03-18,-24.462,2.545,20.965,-69.959,-60.809,-50.899
SK,Overall,2020-03-19,-24.171,4.62,20.798,-68.933,-60.24,-51.365
SK,Overall,2020-03-20,-25.633,-4.906,23.517,-71.07,-63.236,-50.731
SK,Overall,2020-03-21,-36.407,-70.725,15.826,-81.693,-69.712,-41.03
SK,Overall,2020-03-22,-42.014,-49.564,12.528,-80.567,-69.481,-39.682
SK,Overall,2020-03-23,-25.065,-45.115,22.161,-68.89,-65.715,-50.254
SK,Overall,2020-03-24,-25.693,-24.352,21.2,-69.228,-63.147,-50.814
SK,Overall,2020-03-25,-27.591,-36.288,22.974,-69.857,-65.119,-51.111
SK,Overall,2020-03-26,-26.238,-24.404,22.355,-68.732,-63.578,-51.157
SK,Overall,2020-03-27,-21.31,-0.909,23.095,-68.186,-61.882,-49.894
SK,Overall,2020-03-28,-20.523,-1.302,10.328,-72.474,-53.608,-33.962
SK,Overall,2020-03-29,-89.052,-9.115,9.706,-81.605,-61.427,-38.274
