state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
SN,Overall,2020-02-16,0.535,2.757,-0.34,0.476,-0.313,2.398
SN,Overall,2020-02-17,-0.48,-1.259,0.343,-3.369,-0.083,2.025
SN,Overall,2020-02-18,-2.228,1.244,0.952,-3.07,-4.165,2.084
SN,Overall,2020-02-19,-3.107,-3.317,0.875,-4.522,-6.436,2.425
SN,Overall,2020-02-20,-2.448,-2.117,1.244,-3.726,-2.132,1.189
SN,Overall,2020-02-21,-1.925,-4.754,0.994,-2.778,-3.212,3.386
SN,Overall,2020-02-22,-3.255,-3.163,1.201,-3.666,-4.268,1.507
SN,Overall,2020-02-23,-4.042,-3.918,0.498,-2.161,-3.341,1.991
SN,Overall,2020-02-24,-0.54,-6.769,0.921,-3.898,-0.665,2.201
SN,Overall,2020-02-25,-10.128,-10.572,2.496,-10.483,-10.862,-0.403
SN,Overall,2020-02-26,-7.24,-7.54,1.915,-8.57,-8.554,1.505
SN,Overall,2020-02-27,-4.693,-0.302,1.692,-5.052,-3.444,1.651
SN,Overall,2020-02-28,-0.833,-0.288,1.334,-3.019,-2.248,2.998
SN,Overall,2020-02-29,0.753,,0.772,-1.946,-0.657,4.577
SN,Overall,2020-03-01,0.134,-0.435,0.484,-0.953,0.835,4.117
SN,Overall,2020-03-02,2.911,-1.889,0.675,-2.081,1.83,4.947
SN,Overall,2020-03-03,1.158,2.021,0.95,-1.241,-1.307,3.239
SN,Overall,2020-03-04,0.909,-1.659,1.36,-1.297,-0.815,1.646
SN,Overall,2020-03-05,-0.35,0.302,1.613,-3.536,-1.394,0.515
SN,Overall,2020-03-06,0.201,0.144,0.888,-2.899,-2.168,3.146
SN,Overall,2020-03-07,0.027,-0.55,0.607,-0.93,-0.41,3.508
SN,Overall,2020-03-08,-0.735,,-0.1,1.978,-0.522,5.203
SN,Overall,2020-03-09,-0.09,-3.621,0.347,-2.015,0.083,3.82
SN,Overall,2020-03-10,-1.277,-1.399,0.141,-1.045,-3.103,3.677
SN,Overall,2020-03-11,-3.224,-3.167,0.309,-3.036,-3.992,3.009
SN,Overall,2020-03-12,-2.128,-1.059,0.321,-2.179,-2.87,2.733
SN,Overall,2020-03-13,-1.351,-3.746,0.554,-4.559,-2.569,3.016
SN,Overall,2020-03-14,-1.641,-3.438,0.785,-7.331,-6.566,2.604
SN,Overall,2020-03-15,-2.071,-7.836,1.262,-9.708,-6.786,2.126
SN,Overall,2020-03-16,-0.27,-7.714,4.975,-10.538,-7.069,-12.095
SN,Overall,2020-03-17,-3.297,-7.929,6.218,-13.357,-11.352,-14.254
SN,Overall,2020-03-18,-4.983,-9.5,7.22,-18.501,-16.62,-14.923
SN,Overall,2020-03-19,-5.859,-9.377,8.269,-20.303,-19.681,-16.099
SN,Overall,2020-03-20,-9.512,-13.398,9.452,-23.431,-21.599,-16.321
SN,Overall,2020-03-21,-14.338,-19.53,8.86,-30.001,-30.53,-12.663
SN,Overall,2020-03-22,-17.773,-23.072,7.715,-33.338,-37.795,-7.239
SN,Overall,2020-03-23,-15.397,-19.364,12.889,-30.094,-35.676,-26.444
SN,Overall,2020-03-24,-28.87,-22.699,16.491,-40.396,-44.836,-32.219
SN,Overall,2020-03-25,-28.461,-25.031,17.464,-42.472,-47.333,-33.741
SN,Overall,2020-03-26,-27.72,-22.838,18.452,-41.679,-48.135,-35.251
SN,Overall,2020-03-27,-28.279,-25.788,19.088,-44.144,-50.665,-34.565
SN,Overall,2020-03-28,-30.506,-29.02,16.053,-45.791,-52.032,-24.504
SN,Overall,2020-03-29,-30.736,-27.571,12.252,-43.706,-50.324,-10.497
