state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
South Carolina,Abbeville County,2020-02-16,-8.469,-9.363,0.324,3.493,10.742,
South Carolina,Abbeville County,2020-02-17,-11.99,36.876,3.032,5.605,7.886,-15.801
South Carolina,Abbeville County,2020-02-18,,-11.253,1.508,-0.876,2.182,1.138
South Carolina,Abbeville County,2020-02-19,-5.869,-12.792,1.104,0.911,1.125,1.653
South Carolina,Abbeville County,2020-02-20,4.276,-28.977,4.06,-7.068,-0.787,-1.662
South Carolina,Abbeville County,2020-02-21,-3.339,-6.848,1.233,1.686,5.439,-1.849
South Carolina,Abbeville County,2020-02-22,3.72,27.459,-0.702,5.039,7.197,6.039
South Carolina,Abbeville County,2020-02-23,6.775,17.176,-0.613,5.013,11.632,-4.529
South Carolina,Abbeville County,2020-02-24,-12.74,-7.667,0.916,-1.47,-1.174,4.096
South Carolina,Abbeville County,2020-02-25,20.065,-1.082,0.62,5.549,2.793,4.554
South Carolina,Abbeville County,2020-02-26,-10.27,-7.3,-0.823,10.312,8.045,3.307
South Carolina,Abbeville County,2020-02-27,17.102,8.554,-1.102,12.795,13.339,-0.554
South Carolina,Abbeville County,2020-02-28,11.351,10.549,-2.396,12.075,14.594,0.616
South Carolina,Abbeville County,2020-02-29,11.161,39.426,-2.874,15.171,14.637,-3.019
South Carolina,Abbeville County,2020-03-01,10.163,24.701,-1.789,15.581,25.49,-7.548
South Carolina,Abbeville County,2020-03-02,9.742,19.55,-1.069,9.767,8.431,
South Carolina,Abbeville County,2020-03-03,7.684,3.318,0.361,10.18,4.321,-0.569
South Carolina,Abbeville County,2020-03-04,2.201,-10.716,0.521,6.674,4.758,-0.551
South Carolina,Abbeville County,2020-03-05,10.883,-24.667,2.778,1.651,1.906,-2.216
South Carolina,Abbeville County,2020-03-06,15.358,20.667,-2.066,9.061,11.894,-1.849
South Carolina,Abbeville County,2020-03-07,7.44,53.184,-1.854,10.606,17.652,6.039
South Carolina,Abbeville County,2020-03-08,21.172,38.315,-1.263,11.902,23.988,-4.529
South Carolina,Abbeville County,2020-03-09,8.618,53.436,-1.051,8.625,6.921,3.511
South Carolina,Abbeville County,2020-03-10,25.615,33.543,-0.155,8.602,7.725,2.846
South Carolina,Abbeville County,2020-03-11,12.837,42.595,-1.034,9.991,9.861,2.756
South Carolina,Abbeville County,2020-03-12,26.43,42.57,-0.548,10.571,10.936,-0.554
South Carolina,Abbeville County,2020-03-13,22.035,41.333,-1.278,8.301,10.447,1.849
South Carolina,Abbeville County,2020-03-14,22.321,64.573,-0.42,4.08,9.531,
South Carolina,Abbeville County,2020-03-15,22.866,14.533,1.141,2.463,16.196,-3.019
South Carolina,Abbeville County,2020-03-16,28.477,12.573,4.382,-0.637,-0.629,-4.682
South Carolina,Abbeville County,2020-03-17,32.018,5.699,7.468,-8.428,-2.444,-10.815
South Carolina,Abbeville County,2020-03-18,3.668,9.778,8.942,-18.849,-3.936,-13.779
South Carolina,Abbeville County,2020-03-19,20.211,32.358,10.208,-22.084,-8.782,-18.839
South Carolina,Abbeville County,2020-03-20,20.032,30.722,10.212,-24.805,-12.99,-21.573
South Carolina,Abbeville County,2020-03-21,27.53,39.079,7.213,-31.739,-15.658,-13.587
South Carolina,Abbeville County,2020-03-22,1.694,-22.231,9.046,-39.348,-22.541,-25.664
South Carolina,Abbeville County,2020-03-23,-2.998,-20.93,13.254,-33.881,-25.251,-18.727
South Carolina,Abbeville County,2020-03-24,-8.538,-28.494,15.738,-35.796,-23.307,-22.769
South Carolina,Abbeville County,2020-03-25,,-2.076,13.75,-30.191,-21.409,-24.25
South Carolina,Abbeville County,2020-03-26,16.325,-4.575,14.686,-31.246,-24.234,-26.042
South Carolina,Abbeville County,2020-03-27,,5.552,13.943,-32.01,-27.193,-28.969
South Carolina,Abbeville County,2020-03-28,22.321,12.255,8.947,-35.398,-31.754,-15.097
South Carolina,Abbeville County,2020-03-29,7.622,-3.906,9.154,-37.903,-33.95,-31.703
South Carolina,Aiken County,2020-02-16,-5.32,-46.827,1.31,-3.728,10.742,-3.1
South Carolina,Aiken County,2020-02-17,3.283,19.113,4.63,5.441,7.886,-22.893
South Carolina,Aiken County,2020-02-18,-2.525,-25.077,2.304,-4.995,2.182,-1.237
South Carolina,Aiken County,2020-02-19,-0.53,-25.803,1.811,-0.125,1.125,-1.278
South Carolina,Aiken County,2020-02-20,-8.046,-26.515,3.784,-8.352,-0.787,-1.805
South Carolina,Aiken County,2020-02-21,7.589,25.183,-1.126,3.373,5.439,0.802
South Carolina,Aiken County,2020-02-22,0.961,14.881,-0.728,4.652,7.197,2.815
South Carolina,Aiken County,2020-02-23,3.454,36.315,-0.665,5.502,11.632,1.86
South Carolina,Aiken County,2020-02-24,1.42,-22.936,1.513,0.522,-1.174,0.445
South Carolina,Aiken County,2020-02-25,1.623,-11.574,0.849,5.684,2.793,0.582
South Carolina,Aiken County,2020-02-26,7.062,-5.734,-0.699,13.245,8.045,0.568
South Carolina,Aiken County,2020-02-27,7.094,0.947,-1.516,15.338,13.339,1.516
South Carolina,Aiken County,2020-02-28,9.186,14.881,-1.363,12.582,14.594,-7.217
South Carolina,Aiken County,2020-02-29,7.046,5.787,-2.563,15.599,14.637,3.519
South Carolina,Aiken County,2020-03-01,12.787,21.024,-1.696,18.46,25.49,4.754
South Carolina,Aiken County,2020-03-02,6.655,-19.113,-0.61,10.795,8.431,1.704
South Carolina,Aiken County,2020-03-03,12.175,-7.716,0.066,15.287,4.321,0.728
South Carolina,Aiken County,2020-03-04,2.825,-18.157,0.836,5.498,4.758,-1.846
South Carolina,Aiken County,2020-03-05,-2.336,-20.833,2.271,1.639,1.906,-1.733
South Carolina,Aiken County,2020-03-06,10.944,34.341,-3.134,10.693,11.894,1.604
South Carolina,Aiken County,2020-03-07,6.966,41.336,-2.679,10.297,17.652,4.927
South Carolina,Aiken County,2020-03-08,8.027,43.005,-1.892,11.867,23.988,2.067
South Carolina,Aiken County,2020-03-09,10.559,25.803,-1.575,11.013,6.921,1.556
South Carolina,Aiken County,2020-03-10,9.56,17.361,-1.099,11.498,7.725,2.038
South Carolina,Aiken County,2020-03-11,11.653,25.803,-1.525,10.954,9.861,0.852
South Carolina,Aiken County,2020-03-12,17.823,26.515,-1.522,10.069,10.936,0.505
South Carolina,Aiken County,2020-03-13,31.633,19.46,-3.11,9.985,10.447,0.321
South Carolina,Aiken County,2020-03-14,19.536,34.722,-1.447,4.858,9.531,1.056
South Carolina,Aiken County,2020-03-15,26.882,13.379,0.248,4.183,16.196,-1.24
South Carolina,Aiken County,2020-03-16,29.369,-20.069,3.781,1.175,-0.629,-11.409
South Carolina,Aiken County,2020-03-17,21.916,-10.61,5.944,-6.115,-2.444,-12.52
South Carolina,Aiken County,2020-03-18,14.036,-5.734,8.236,-16.535,-3.936,-19.243
South Carolina,Aiken County,2020-03-19,18.947,2.841,8.345,-18.109,-8.782,-19.852
South Carolina,Aiken County,2020-03-20,15.737,17.17,8.404,-19.97,-12.99,-24.538
South Carolina,Aiken County,2020-03-21,4.964,6.614,6.233,-28.941,-15.658,-16.54
South Carolina,Aiken County,2020-03-22,-6.067,-16.246,8.68,-34.055,-22.541,-27.282
South Carolina,Aiken County,2020-03-23,-1.153,-42.049,12.263,-30.906,-25.251,-30.302
South Carolina,Aiken County,2020-03-24,-6.674,-35.687,14.826,-32.21,-23.307,-32.83
South Carolina,Aiken County,2020-03-25,-4.767,-1.911,13.451,-28.489,-21.409,-35.645
South Carolina,Aiken County,2020-03-26,-5.364,-2.841,13.983,-27.281,-24.234,-34.433
South Carolina,Aiken County,2020-03-27,-2.237,13.736,12.686,-28.403,-27.193,-35.123
South Carolina,Aiken County,2020-03-28,-6.565,-10.747,9.091,-30.138,-31.754,-26.218
South Carolina,Aiken County,2020-03-29,-11.387,-0.956,8.681,-32.646,-33.95,-34.102
South Carolina,Bamberg County,2020-02-16,-12.55,-9.363,0.324,,10.742,-1.183
South Carolina,Bamberg County,2020-02-17,-2.867,36.876,3.032,,7.886,-14.542
South Carolina,Bamberg County,2020-02-18,-0.992,-11.253,1.508,-6.649,2.182,0.948
South Carolina,Bamberg County,2020-02-19,12.656,-12.792,1.104,-10.016,1.125,0.387
South Carolina,Bamberg County,2020-02-20,0.938,-28.977,4.06,-11.261,-0.787,-1.264
South Carolina,Bamberg County,2020-02-21,1.68,-6.848,1.233,-3.887,5.439,-1.951
South Carolina,Bamberg County,2020-02-22,-16.667,27.459,-0.702,8.681,7.197,3.329
