state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
South Carolina,Abbeville County,2020-02-16,-8.469,,,,,
South Carolina,Abbeville County,2020-02-17,-11.99,,,,,-15.801
South Carolina,Abbeville County,2020-02-18,,,,,,1.138
South Carolina,Abbeville County,2020-02-19,-5.869,,,,,1.653
South Carolina,Abbeville County,2020-02-20,4.276,,,,,-1.662
South Carolina,Abbeville County,2020-02-21,-3.339,,,,,-1.849
South Carolina,Abbeville County,2020-02-22,3.72,,,,,6.039
South Carolina,Abbeville County,2020-02-23,6.775,,,,,-4.529
South Carolina,Abbeville County,2020-02-24,-12.74,,,,,4.096
South Carolina,Abbeville County,2020-02-25,20.065,,,,,4.554
South Carolina,Abbeville County,2020-02-26,-10.27,,,,,3.307
South Carolina,Abbeville County,2020-02-27,17.102,,,,,-0.554
South Carolina,Abbeville County,2020-02-28,11.351,,,,,0.616
South Carolina,Abbeville County,2020-02-29,11.161,,,,,-3.019
South Carolina,Abbeville County,2020-03-01,10.163,,,,,-7.548
South Carolina,Abbeville County,2020-03-02,9.742,,,,,
South Carolina,Abbeville County,2020-03-03,7.684,,,,,-0.569
South Carolina,Abbeville County,2020-03-04,2.201,,,,,-0.551
South Carolina,Abbeville County,2020-03-05,10.883,,,,,-2.216
South Carolina,Abbeville County,2020-03-06,15.358,,,,,-1.849
South Carolina,Abbeville County,2020-03-07,7.44,,,,,6.039
South Carolina,Abbeville County,2020-03-08,21.172,,,,,-4.529
South Carolina,Abbeville County,2020-03-09,8.618,,,,,3.511
South Carolina,Abbeville County,2020-03-10,25.615,,,,,2.846
South Carolina,Abbeville County,2020-03-11,12.837,,,,,2.756
South Carolina,Abbeville County,2020-03-12,26.43,,,,,-0.554
South Carolina,Abbeville County,2020-03-13,22.035,,,,,1.849
South Carolina,Abbeville County,2020-03-14,22.321,,,,,
South Carolina,Abbeville County,2020-03-15,22.866,,,,,-3.019
South Carolina,Abbeville County,2020-03-16,28.477,,,,,-4.682
South Carolina,Abbeville County,2020-03-17,32.018,,,,,-10.815
South Carolina,Abbeville County,2020-03-18,3.668,,,,,-13.779
South Carolina,Abbeville County,2020-03-19,20.211,,,,,-18.839
