state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
South Dakota,Beadle County,2020-02-16,2.126,28.148,-1.623,4.927,1.225,
South Dakota,Beadle County,2020-02-17,-1.766,-6.675,6.481,-7.117,4.051,-19.904
South Dakota,Beadle County,2020-02-18,-1.86,-2.245,1.112,-8.464,0.294,1.319
South Dakota,Beadle County,2020-02-19,-5.388,-4.316,0.809,-3.698,1.414,-2.604
South Dakota,Beadle County,2020-02-20,1.68,6.876,-0.172,-7.44,6.309,1.31
South Dakota,Beadle County,2020-02-21,-1.467,21.914,-0.789,-1.447,4.472,0.718
South Dakota,Beadle County,2020-02-22,6.831,33.741,-0.763,2.934,3.001,3.307
South Dakota,Beadle County,2020-02-23,8.503,46.242,-1.846,3.519,5.511,2.083
South Dakota,Beadle County,2020-02-24,,-3.814,0.796,-3.882,-1.158,-1.327
South Dakota,Beadle County,2020-02-25,,-13.919,4.485,-1.953,-4.698,-1.319
South Dakota,Beadle County,2020-02-26,8.98,3.021,-1.245,1.849,5.657,-0.651
South Dakota,Beadle County,2020-02-27,13.441,6.016,-0.703,-5.723,7.681,-0.655
South Dakota,Beadle County,2020-02-28,-5.869,12.846,-1.015,0.965,8.944,1.437
South Dakota,Beadle County,2020-02-29,11.954,25.237,-1.841,10.27,10.094,
South Dakota,Beadle County,2020-03-01,-2.126,15.682,-2.429,13.373,11.023,2.083
South Dakota,Beadle County,2020-03-02,8.828,12.396,-0.971,9.058,7.813,1.99
South Dakota,Beadle County,2020-03-03,5.58,17.96,-1.052,15.951,8.809,0.659
South Dakota,Beadle County,2020-03-04,3.592,31.505,-1.185,13.56,11.314,-1.302
South Dakota,Beadle County,2020-03-05,,15.04,-0.484,3.434,9.601,
South Dakota,Beadle County,2020-03-06,-2.934,36.272,-1.237,2.411,12.671,-5.747
South Dakota,Beadle County,2020-03-07,18.784,68.579,-2.146,17.606,15.005,3.307
South Dakota,Beadle County,2020-03-08,8.503,83.236,-1.964,21.115,9.798,-2.083
South Dakota,Beadle County,2020-03-09,1.766,23.839,-0.2,2.588,5.788,0.663
South Dakota,Beadle County,2020-03-10,16.741,21.552,-0.528,16.602,9.983,-3.296
South Dakota,Beadle County,2020-03-11,17.96,49.631,-0.955,8.013,9.617,-3.906
