state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
South Dakota,Beadle County,2020-02-16,2.126,,,4.927,,
South Dakota,Beadle County,2020-02-17,-1.766,,,-7.117,,-19.904
South Dakota,Beadle County,2020-02-18,-1.86,,,-8.464,,1.319
South Dakota,Beadle County,2020-02-19,-5.388,,,-3.698,,-2.604
South Dakota,Beadle County,2020-02-20,1.68,,,-7.44,,1.31
South Dakota,Beadle County,2020-02-21,-1.467,,,-1.447,,0.718
South Dakota,Beadle County,2020-02-22,6.831,,,2.934,,3.307
South Dakota,Beadle County,2020-02-23,8.503,,,3.519,,2.083
South Dakota,Beadle County,2020-02-24,,,,-3.882,,-1.327
South Dakota,Beadle County,2020-02-25,,,,-1.953,,-1.319
South Dakota,Beadle County,2020-02-26,8.98,,,1.849,,-0.651
South Dakota,Beadle County,2020-02-27,13.441,,,-5.723,,-0.655
South Dakota,Beadle County,2020-02-28,-5.869,,,0.965,,1.437
South Dakota,Beadle County,2020-02-29,11.954,,,10.27,,
South Dakota,Beadle County,2020-03-01,-2.126,,,13.373,,2.083
South Dakota,Beadle County,2020-03-02,8.828,,,9.058,,1.99
South Dakota,Beadle County,2020-03-03,5.58,,,15.951,,0.659
South Dakota,Beadle County,2020-03-04,3.592,,,13.56,,-1.302
South Dakota,Beadle County,2020-03-05,,,,3.434,,
South Dakota,Beadle County,2020-03-06,-2.934,,,2.411,,-5.747
South Dakota,Beadle County,2020-03-07,18.784,,,17.606,,3.307
South Dakota,Beadle County,2020-03-08,8.503,,,21.115,,-2.083
South Dakota,Beadle County,2020-03-09,1.766,,,2.588,,0.663
South Dakota,Beadle County,2020-03-10,16.741,,,16.602,,-3.296
South Dakota,Beadle County,2020-03-11,17.96,,,8.013,,-3.906
South Dakota,Beadle County,2020-03-12,8.401,,,-4.579,,-3.931
South Dakota,Beadle County,2020-03-13,38.146,,,2.411,,-5.747
South Dakota,Beadle County,2020-03-14,15.369,,,-19.073,,
South Dakota,Beadle County,2020-03-15,14.881,,,-9.854,,-10.417
South Dakota,Beadle County,2020-03-16,8.828,,,-9.705,,-13.933
South Dakota,Beadle County,2020-03-17,16.741,,,-13.672,,-13.186
South Dakota,Beadle County,2020-03-18,7.184,,,-20.34,,-13.021
South Dakota,Beadle County,2020-03-19,6.72,,,-29.19,,-17.034
South Dakota,Beadle County,2020-03-20,1.467,,,-27.971,,-15.086
South Dakota,Beadle County,2020-03-21,3.415,,,-37.167,,-13.228
South Dakota,Beadle County,2020-03-22,,,,-40.822,,-16.667
South Dakota,Beadle County,2020-03-23,-12.359,,,-42.702,,-25.212
South Dakota,Beadle County,2020-03-24,-24.182,,,-46.875,,-27.69
South Dakota,Beadle County,2020-03-25,-35.92,,,-51.159,,-31.25
South Dakota,Beadle County,2020-03-26,-28.562,,,-52.656,,-28.171
South Dakota,Beadle County,2020-03-27,-23.474,,,-44.85,,-28.736
South Dakota,Beadle County,2020-03-28,-25.615,,,-58.196,,-31.415
South Dakota,Beadle County,2020-03-29,-23.384,,,-36.599,,-27.083
South Dakota,Brookings County,2020-02-16,5.369,,,8.638,,1.031
South Dakota,Brookings County,2020-02-17,-3.551,,,4.735,,-27.332
South Dakota,Brookings County,2020-02-18,-3.634,,,-2.741,,-0.89
South Dakota,Brookings County,2020-02-19,-4.845,,,-1.467,,
South Dakota,Brookings County,2020-02-20,-4.386,,,-2.558,,-0.297
South Dakota,Brookings County,2020-02-21,-0.947,,,12.669,,5.174
South Dakota,Brookings County,2020-02-22,7.576,,,17.458,,8.844
South Dakota,Brookings County,2020-02-23,3.222,,,20.325,,6.188
South Dakota,Brookings County,2020-02-24,3.551,,,1.052,,2.126
South Dakota,Brookings County,2020-02-25,-1.211,,,5.233,,-0.297
South Dakota,Brookings County,2020-02-26,8.479,,,5.379,,0.299
South Dakota,Brookings County,2020-02-27,-4.386,,,4.883,,-1.187
South Dakota,Brookings County,2020-02-28,9.47,,,20.31,,3.449
South Dakota,Brookings County,2020-02-29,14.205,,,25.023,,7.862
South Dakota,Brookings County,2020-03-01,7.517,,,14.482,,2.063
South Dakota,Brookings County,2020-03-02,7.102,,,2.894,,2.43
South Dakota,Brookings County,2020-03-03,,,,7.227,,-2.671
South Dakota,Brookings County,2020-03-04,-1.211,,,8.803,,
South Dakota,Brookings County,2020-03-05,-1.096,,,8.138,,-2.671
South Dakota,Brookings County,2020-03-06,8.523,,,13.272,,4.139
South Dakota,Brookings County,2020-03-07,1.894,,,5.819,,0.983
South Dakota,Brookings County,2020-03-08,1.074,,,-0.762,,-11.345
South Dakota,Brookings County,2020-03-09,-2.367,,,-2.894,,-13.666
South Dakota,Brookings County,2020-03-10,15.746,,,-5.981,,-14.839
South Dakota,Brookings County,2020-03-11,16.957,,,5.379,,-11.973
South Dakota,Brookings County,2020-03-12,15.351,,,3.488,,-13.651
South Dakota,Brookings County,2020-03-13,21.78,,,8.848,,-12.417
South Dakota,Brookings County,2020-03-14,13.258,,,-8.729,,-6.879
South Dakota,Brookings County,2020-03-15,,,,-13.465,,-22.69
South Dakota,Brookings County,2020-03-16,11.837,,,-12.889,,-33.71
South Dakota,Brookings County,2020-03-17,18.169,,,-13.457,,-36.503
South Dakota,Brookings County,2020-03-18,10.901,,,-19.806,,-37.416
South Dakota,Brookings County,2020-03-19,-9.868,,,-33.947,,-39.767
South Dakota,Brookings County,2020-03-20,-4.735,,,-28.756,,-38.286
South Dakota,Brookings County,2020-03-21,-11.364,,,-40.736,,-15.723
South Dakota,Brookings County,2020-03-22,-23.625,,,-40.396,,-25.784
South Dakota,Brookings County,2020-03-23,-5.919,,,-30.777,,-39.48
South Dakota,Brookings County,2020-03-24,-8.479,,,-40.122,,-41.548
South Dakota,Brookings County,2020-03-25,-15.746,,,-45.481,,-44.301
South Dakota,Brookings County,2020-03-26,-20.833,,,-47.201,,-44.219
South Dakota,Brookings County,2020-03-27,-15.152,,,-38.61,,-42.081
South Dakota,Brookings County,2020-03-28,-32.197,,,-53.732,,-25.55
South Dakota,Brookings County,2020-03-29,-21.478,,,-45.986,,-30.941
South Dakota,Brown County,2020-02-16,5.057,,,5.289,,3.189
South Dakota,Brown County,2020-02-17,-6.944,,,7.699,,-25.886
South Dakota,Brown County,2020-02-18,-1.965,,,-7.996,,3.055
South Dakota,Brown County,2020-02-19,-13.758,,,-4.313,,
South Dakota,Brown County,2020-02-20,-7.375,,,0.211,,2.138
South Dakota,Brown County,2020-02-21,4.069,,,1.76,,2.948
South Dakota,Brown County,2020-02-22,16.026,,,5.74,,10.921
South Dakota,Brown County,2020-02-23,13.147,,,9.198,,9.566
South Dakota,Brown County,2020-02-24,-7.937,,,1.812,,4.366
South Dakota,Brown County,2020-02-25,-5.896,,,-0.222,,2.138
South Dakota,Brown County,2020-02-26,-2.948,,,9.489,,1.518
South Dakota,Brown County,2020-02-27,-0.922,,,5.693,,1.222
South Dakota,Brown County,2020-02-28,4.883,,,10.381,,-0.328
South Dakota,Brown County,2020-02-29,14.245,,,10.467,,-0.84
South Dakota,Brown County,2020-03-01,5.057,,,11.038,,9.566
South Dakota,Brown County,2020-03-02,,,,4.303,,3.119
South Dakota,Brown County,2020-03-03,2.948,,,9.106,,1.222
South Dakota,Brown County,2020-03-04,7.862,,,9.058,,3.341
South Dakota,Brown County,2020-03-05,-6.453,,,13.074,,3.055
South Dakota,Brown County,2020-03-06,3.255,,,12.317,,-1.31
South Dakota,Brown County,2020-03-07,21.368,,,13.169,,-9.241
South Dakota,Brown County,2020-03-08,12.136,,,10.348,,5.315
South Dakota,Brown County,2020-03-09,-2.976,,,4.076,,1.248
South Dakota,Brown County,2020-03-10,-2.948,,,8.44,,1.222
South Dakota,Brown County,2020-03-11,18.671,,,6.901,,0.304
South Dakota,Brown County,2020-03-12,15.671,,,8.435,,-0.611
