state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
TR,Overall,2020-02-16,6.413,14.132,0.468,7.108,1.668,5.353
TR,Overall,2020-02-17,5.383,9.838,-1.553,5.734,5.405,8.189
TR,Overall,2020-02-18,5.508,11.212,-2.315,4.405,3.708,8.26
TR,Overall,2020-02-19,3.223,5.987,-1.702,0.106,0.008,9.019
TR,Overall,2020-02-20,1.673,1.908,-1.368,-1.215,0.03,10.254
TR,Overall,2020-02-21,0.108,-7.686,0.119,-4.199,-3.181,6.792
TR,Overall,2020-02-22,0.869,-9.53,0.929,0.001,-4.056,7.855
TR,Overall,2020-02-23,5.21,21.134,0.026,6.796,3.236,6.676
TR,Overall,2020-02-24,3.137,7.422,-1.342,2.722,3.41,8.673
TR,Overall,2020-02-25,5.881,12.299,-2.007,3.054,4.498,9.04
TR,Overall,2020-02-26,5.641,15.195,-1.989,1.411,2.836,10.367
TR,Overall,2020-02-27,4.204,6.883,-1.255,-2.156,3.08,11.44
TR,Overall,2020-02-28,2.838,5.819,-0.651,-2.968,-0.247,7.875
TR,Overall,2020-02-29,-2.233,-16.262,2.186,-5.704,-9.739,7.37
TR,Overall,2020-03-01,10.032,35.088,-0.18,8.826,3.421,6.801
TR,Overall,2020-03-02,6.719,17.861,-1.955,6.122,6.613,9.673
TR,Overall,2020-03-03,8.569,22.931,-3.001,6.645,5.937,9.804
TR,Overall,2020-03-04,7.175,15.691,-2.125,2.295,3.795,10.688
TR,Overall,2020-03-05,7.551,9.915,-1.734,2.945,3.803,12.098
TR,Overall,2020-03-06,10.435,17.065,-1.605,5.753,4.238,9.496
TR,Overall,2020-03-07,12.487,34.164,-2.038,12.94,8.68,10.096
TR,Overall,2020-03-08,15.193,68.313,-3.189,18.229,12.234,8.293
TR,Overall,2020-03-09,8.021,23.773,-2.625,8.289,7.531,9.935
TR,Overall,2020-03-10,6.532,4.275,-2.057,2.035,0.536,9.568
TR,Overall,2020-03-11,21.25,15.304,-2.016,3.139,2.751,10.65
TR,Overall,2020-03-12,19.516,25.458,-2.291,6.019,5.934,11.823
TR,Overall,2020-03-13,13.878,11.215,-0.234,-2.099,1.887,6.45
TR,Overall,2020-03-14,10.269,9.554,1.402,-6.659,-3.635,3.744
TR,Overall,2020-03-15,4.785,3.22,1.885,-15.366,-15.554,0.561
TR,Overall,2020-03-16,13.059,-12.682,4.733,-12.267,-13.997,-11.749
TR,Overall,2020-03-17,14.076,-18.66,7.602,-26.164,-22.259,-19.476
TR,Overall,2020-03-18,0.727,-29.232,10.867,-36.749,-32.737,-22.731
TR,Overall,2020-03-19,-3.028,-28.12,12.821,-40.687,-37.898,-25.16
TR,Overall,2020-03-20,-6.24,-27.245,15.774,-45.117,-41.464,-29.66
TR,Overall,2020-03-21,-10.252,-31.953,14.808,-51.798,-46.401,-25.782
TR,Overall,2020-03-22,-19.828,-32.578,13.026,-63.808,-54.669,-35.105
TR,Overall,2020-03-23,-12.604,-31.966,16.311,-51.332,-48.56,-37.544
TR,Overall,2020-03-24,-21.466,-39.041,18.047,-57.28,-53.955,-42.548
TR,Overall,2020-03-25,-21.559,-37.652,19.206,-58.205,-55.096,-43.253
TR,Overall,2020-03-26,-19.596,-31.598,18.927,-56.672,-54.81,-42.895
TR,Overall,2020-03-27,-21.204,-39.609,21.933,-59.324,-57.492,-44.817
TR,Overall,2020-03-28,-27.438,-56.616,20.445,-66.501,-62.75,-40.142
TR,Overall,2020-03-29,-39.383,-58.463,17.451,-74.616,-71.396,-44.996
