state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Tennessee,Anderson County,2020-02-16,3.183,28.95,-0.458,6.409,3.363,1.24
Tennessee,Anderson County,2020-02-17,-3.367,45.655,3.108,4.446,4.184,-11.992
Tennessee,Anderson County,2020-02-18,-0.934,-11.37,0.556,-2.239,-0.559,0.956
Tennessee,Anderson County,2020-02-19,3.671,12.985,-0.784,5.194,3.805,3.124
Tennessee,Anderson County,2020-02-20,-5.263,-18.233,3.619,-6.849,-0.659,-1.224
Tennessee,Anderson County,2020-02-21,-2.794,7.413,1.601,0.653,3.421,-3.351
Tennessee,Anderson County,2020-02-22,4.692,61.381,-1.384,9.069,5.335,6.106
Tennessee,Anderson County,2020-02-23,4.34,7.29,-0.254,5.354,2.331,4.96
Tennessee,Anderson County,2020-02-24,-4.041,-19.263,1.956,-3.909,0.421,2.51
Tennessee,Anderson County,2020-02-25,8.175,26.627,-1.395,9.626,4.022,2.457
Tennessee,Anderson County,2020-02-26,5.277,0.346,-0.246,10.607,5.283,3.259
Tennessee,Anderson County,2020-02-27,3.728,12.773,-0.647,12.122,7.905,2.992
Tennessee,Anderson County,2020-02-28,3.991,12.34,-0.903,10.69,8.906,1.603
Tennessee,Anderson County,2020-02-29,8.681,59.944,-3.088,18.905,15.814,7.902
Tennessee,Anderson County,2020-03-01,12.731,59.123,-1.607,19.308,12.953,4.134
Tennessee,Anderson County,2020-03-02,3.143,-5.278,1.299,7.052,3.257,0.558
Tennessee,Anderson County,2020-03-03,14.013,37.706,-1.142,17.983,3.854,-1.092
Tennessee,Anderson County,2020-03-04,11.931,35.837,-1.661,14.045,4.626,3.667
Tennessee,Anderson County,2020-03-05,7.237,33.375,-1.249,9.451,7.299,1.904
Tennessee,Anderson County,2020-03-06,4.191,25.383,-0.815,9.265,6.44,3.205
Tennessee,Anderson County,2020-03-07,8.915,88.154,-2.569,18.905,15.239,7.184
Tennessee,Anderson County,2020-03-08,14.757,81.33,-1.433,14.603,13.485,5.787
Tennessee,Anderson County,2020-03-09,6.286,45.219,-0.503,9.888,4.521,2.092
Tennessee,Anderson County,2020-03-10,3.737,26.452,0.064,4.626,2.514,0.683
Tennessee,Anderson County,2020-03-11,16.52,43.513,-0.926,8.705,3.476,2.037
Tennessee,Anderson County,2020-03-12,22.149,29.924,-0.561,9.862,0.922,1.904
Tennessee,Anderson County,2020-03-13,24.944,28.621,0.049,8.433,0.201,0.146
Tennessee,Anderson County,2020-03-14,21.584,26.729,1.192,4.982,1.406,3.951
Tennessee,Anderson County,2020-03-15,23.727,-1.686,1.899,-1.947,-5.261,-3.307
Tennessee,Anderson County,2020-03-16,19.756,10.013,4.869,-2.299,-7.216,-14.084
Tennessee,Anderson County,2020-03-17,12.145,8.411,7.04,-11.193,-9.161,-18.704
Tennessee,Anderson County,2020-03-18,11.702,21.525,8.027,-14.191,-12.7,-21.458
Tennessee,Anderson County,2020-03-19,8.114,38.422,8.566,-18.902,-15.941,-22.438
Tennessee,Anderson County,2020-03-20,3.991,-17.97,12.641,-25.121,-21.711,-26.952
Tennessee,Anderson County,2020-03-21,8.211,11.014,7.117,-27.59,-15.782,-15.086
Tennessee,Anderson County,2020-03-22,8.102,1.475,7.921,-31.477,-29.734,-23.975
Tennessee,Anderson County,2020-03-23,-8.306,-16.488,14.724,-35.565,-27.516,-34.025
Tennessee,Anderson County,2020-03-24,-15.181,-28.657,15.982,-42.831,-29.13,-38.909
Tennessee,Anderson County,2020-03-25,-11.243,33.644,14.421,-32.772,-25.921,-38.57
Tennessee,Anderson County,2020-03-26,-12.5,57.222,15.373,-33.01,-26.902,-40.116
Tennessee,Anderson County,2020-03-27,-12.173,40.303,16.043,-34.208,-30.515,-41.521
Tennessee,Anderson County,2020-03-28,-6.569,48.539,8.074,-31.678,-26.74,-23.348
Tennessee,Anderson County,2020-03-29,-5.498,35.44,,-30.99,-34.796,-32.242
Tennessee,Bedford County,2020-02-16,5.072,28.95,-0.695,8.496,3.363,2.07
Tennessee,Bedford County,2020-02-17,,45.655,3.947,-0.615,4.184,-9.787
Tennessee,Bedford County,2020-02-18,6.152,-11.37,1.22,1.694,-0.559,2.029
Tennessee,Bedford County,2020-02-19,3.181,12.985,-0.542,0.82,3.805,2.438
Tennessee,Bedford County,2020-02-20,-4.753,-18.233,2.0,-6.273,-0.659,2.034
Tennessee,Bedford County,2020-02-21,-0.339,7.413,0.436,4.191,3.421,3.337
Tennessee,Bedford County,2020-02-22,3.673,61.381,-1.516,20.459,5.335,-1.671
Tennessee,Bedford County,2020-02-23,6.632,7.29,-0.288,6.649,2.331,
Tennessee,Bedford County,2020-02-24,-8.098,-19.263,2.038,-6.562,0.421,6.059
Tennessee,Bedford County,2020-02-25,2.051,26.627,-0.87,8.681,4.022,3.833
Tennessee,Bedford County,2020-02-26,-1.59,0.346,-0.643,17.224,5.283,2.66
Tennessee,Bedford County,2020-02-27,1.584,12.773,-1.266,15.207,7.905,4.745
Tennessee,Bedford County,2020-02-28,4.75,12.34,-1.052,12.572,8.906,4.529
Tennessee,Bedford County,2020-02-29,,59.944,-2.958,25.144,15.814,-2.228
Tennessee,Bedford County,2020-03-01,10.924,59.123,-2.387,17.73,12.953,1.38
Tennessee,Bedford County,2020-03-02,-2.208,-5.278,0.674,12.303,3.257,3.029
Tennessee,Bedford County,2020-03-03,15.994,37.706,0.482,30.064,3.854,-4.284
Tennessee,Bedford County,2020-03-04,6.361,35.837,-1.248,18.865,4.626,4.211
Tennessee,Bedford County,2020-03-05,6.337,33.375,-1.607,15.017,7.299,3.841
Tennessee,Bedford County,2020-03-06,7.125,25.383,-0.677,8.98,6.44,1.43
Tennessee,Bedford County,2020-03-07,7.345,88.154,-2.703,17.804,15.239,-0.557
Tennessee,Bedford County,2020-03-08,12.875,81.33,-2.093,17.73,13.485,2.759
Tennessee,Bedford County,2020-03-09,1.84,45.219,0.155,7.177,4.521,3.496
Tennessee,Bedford County,2020-03-10,8.202,26.452,0.539,14.185,2.514,2.255
Tennessee,Bedford County,2020-03-11,3.976,43.513,-0.16,11.073,3.476,1.108
Tennessee,Bedford County,2020-03-12,19.011,29.924,0.052,10.075,0.922,1.13
Tennessee,Bedford County,2020-03-13,22.055,28.621,1.555,9.13,0.201,0.953
Tennessee,Bedford County,2020-03-14,23.705,26.729,1.544,18.584,1.406,5.013
Tennessee,Bedford County,2020-03-15,22.238,-1.686,2.558,-1.847,-5.261,-5.519
Tennessee,Bedford County,2020-03-16,22.085,10.013,5.773,0.41,-7.216,1.398
Tennessee,Bedford County,2020-03-17,22.556,8.411,7.871,-0.635,-9.161,-11.048
Tennessee,Bedford County,2020-03-18,13.915,21.525,8.897,-5.536,-12.7,-13.741
Tennessee,Bedford County,2020-03-19,20.2,38.422,8.94,-6.463,-15.941,-12.428
Tennessee,Bedford County,2020-03-20,11.536,-17.97,12.927,-13.17,-21.711,-17.878
Tennessee,Bedford County,2020-03-21,5.676,11.014,7.736,-17.96,-15.782,-12.255
Tennessee,Bedford County,2020-03-22,12.094,1.475,8.272,-19.208,-29.734,-24.834
Tennessee,Bedford County,2020-03-23,-3.681,-16.488,14.73,-24.196,-27.516,-27.498
Tennessee,Bedford County,2020-03-24,-6.152,-28.657,17.2,-25.83,-29.13,-31.791
Tennessee,Bedford County,2020-03-25,-1.193,33.644,15.405,-18.25,-25.921,-30.142
Tennessee,Bedford County,2020-03-26,-3.961,57.222,14.496,-13.876,-26.902,-32.086
Tennessee,Bedford County,2020-03-27,-2.036,40.303,15.919,-15.715,-30.515,-32.895
Tennessee,Bedford County,2020-03-28,-2.671,48.539,8.936,-14.368,-26.74,-27.295
Tennessee,Bedford County,2020-03-29,-1.951,35.44,8.424,-17.915,-34.796,-34.492
Tennessee,Benton County,2020-02-16,-4.464,28.95,-0.695,7.476,-1.255,
Tennessee,Benton County,2020-02-17,-1.532,45.655,3.947,-1.467,10.288,-26.596
Tennessee,Benton County,2020-02-18,-3.157,-11.37,1.22,-8.996,-4.63,2.874
Tennessee,Benton County,2020-02-19,9.328,12.985,-0.542,4.261,3.511,4.894
Tennessee,Benton County,2020-02-20,-2.934,-18.233,2.0,0.918,1.145,1.408
Tennessee,Benton County,2020-02-21,-4.006,7.413,0.436,3.992,2.042,5.995
Tennessee,Benton County,2020-02-22,-1.371,61.381,-1.516,5.395,17.756,
Tennessee,Benton County,2020-02-23,,7.29,-0.288,6.479,3.765,5.482
Tennessee,Benton County,2020-02-24,1.532,-19.263,2.038,0.489,-5.144,4.433
Tennessee,Benton County,2020-02-25,3.157,26.627,-0.87,3.314,9.259,2.155
Tennessee,Benton County,2020-02-26,6.219,0.346,-0.643,15.152,2.341,4.894
Tennessee,Benton County,2020-02-27,5.869,12.773,-1.266,19.732,11.447,6.334
Tennessee,Benton County,2020-02-28,18.697,12.34,-1.052,10.888,15.319,5.995
Tennessee,Benton County,2020-02-29,15.077,59.944,-2.958,12.45,31.96,6.41
Tennessee,Benton County,2020-03-01,13.393,59.123,-2.387,21.431,26.355,7.31
Tennessee,Benton County,2020-03-02,9.191,-5.278,0.674,8.803,,2.955
Tennessee,Benton County,2020-03-03,25.253,37.706,0.482,31.25,3.472,-10.057
Tennessee,Benton County,2020-03-04,9.328,35.837,-1.248,14.678,11.704,-7.69
Tennessee,Benton County,2020-03-05,-1.467,33.375,-1.607,19.732,3.434,2.815
Tennessee,Benton County,2020-03-06,6.677,25.383,-0.677,8.711,12.255,7.494
Tennessee,Benton County,2020-03-07,17.818,88.154,-2.703,15.77,34.328,4.808
Tennessee,Benton County,2020-03-08,8.929,81.33,-2.093,19.936,28.865,5.482
Tennessee,Benton County,2020-03-09,4.596,45.219,0.155,9.781,32.15,1.478
Tennessee,Benton County,2020-03-10,22.096,26.452,0.539,14.205,12.731,2.874
Tennessee,Benton County,2020-03-11,3.109,43.513,-0.16,11.837,22.238,2.097
Tennessee,Benton County,2020-03-12,27.876,29.924,0.052,16.979,21.749,1.408
Tennessee,Benton County,2020-03-13,40.064,28.621,1.555,8.711,14.297,-5.995
Tennessee,Benton County,2020-03-14,35.636,26.729,1.544,-0.83,16.572,1.603
Tennessee,Benton County,2020-03-15,11.905,-1.686,2.558,,16.315,-3.655
Tennessee,Benton County,2020-03-16,47.488,10.013,5.773,6.358,10.288,-6.649
Tennessee,Benton County,2020-03-17,33.144,8.411,7.871,-2.841,6.944,-12.931
Tennessee,Benton County,2020-03-18,32.649,21.525,8.897,-3.788,-4.682,-17.478
Tennessee,Benton County,2020-03-19,32.277,38.422,8.94,1.377,2.289,-20.411
Tennessee,Benton County,2020-03-20,28.045,-17.97,12.927,-15.97,-7.149,-24.73
Tennessee,Benton County,2020-03-21,38.377,11.014,7.736,-15.77,10.653,-14.423
Tennessee,Benton County,2020-03-22,7.44,1.475,8.272,-26.914,-21.335,-21.93
Tennessee,Benton County,2020-03-23,19.914,-16.488,14.73,-24.941,-7.716,-27.335
Tennessee,Benton County,2020-03-24,7.891,-28.657,17.2,-33.144,-13.889,-36.638
Tennessee,Benton County,2020-03-25,18.657,33.644,15.405,-17.519,-8.193,-34.955
Tennessee,Benton County,2020-03-26,17.606,57.222,14.496,-19.732,-9.158,-37.303
Tennessee,Benton County,2020-03-27,18.697,40.303,15.919,-27.584,-31.658,-38.969
Tennessee,Benton County,2020-03-28,24.671,48.539,8.936,-29.88,-24.858,-27.244
Tennessee,Benton County,2020-03-29,16.369,35.44,8.424,-29.406,-26.355,-31.067
Tennessee,Blount County,2020-02-16,,28.95,-0.638,-0.412,-8.523,-0.236
Tennessee,Blount County,2020-02-17,-4.861,45.655,1.8,4.851,5.656,-9.18
Tennessee,Blount County,2020-02-18,-2.756,-11.37,1.29,-2.032,10.815,-4.409
Tennessee,Blount County,2020-02-19,2.493,12.985,-0.715,3.745,16.892,3.811
Tennessee,Blount County,2020-02-20,-11.939,-18.233,3.858,-11.631,2.067,-0.254
Tennessee,Blount County,2020-02-21,-0.943,7.413,-0.099,-0.605,8.351,3.433
Tennessee,Blount County,2020-02-22,2.395,61.381,-1.841,5.193,2.621,3.882
Tennessee,Blount County,2020-02-23,-2.656,7.29,0.081,-0.206,3.314,0.707
Tennessee,Blount County,2020-02-24,-7.292,-19.263,0.15,-1.952,5.656,8.993
Tennessee,Blount County,2020-02-25,0.919,26.627,-2.482,8.127,,3.976
Tennessee,Blount County,2020-02-26,5.342,0.346,-0.837,9.844,6.194,3.896
Tennessee,Blount County,2020-02-27,4.326,12.773,-1.077,9.47,-2.067,2.71
Tennessee,Blount County,2020-02-28,7.07,12.34,-1.587,8.122,10.109,3.523
Tennessee,Blount County,2020-02-29,9.75,59.944,-3.031,15.354,2.621,1.51
Tennessee,Blount County,2020-03-01,15.179,59.123,-1.698,13.504,-1.42,
Tennessee,Blount County,2020-03-02,-1.562,-5.278,-0.103,6.469,,9.461
Tennessee,Blount County,2020-03-03,11.023,37.706,0.361,15.265,5.692,-4.582
Tennessee,Blount County,2020-03-04,8.191,35.837,-1.44,10.861,10.135,2.879
