state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Texas,Overall,2020-02-16,3.218,19.745,-1.29,7.909,3.555,0.589
Texas,Overall,2020-02-17,1.816,21.248,3.845,5.515,1.843,-17.577
Texas,Overall,2020-02-18,-0.783,-3.97,0.267,-0.887,2.572,1.245
Texas,Overall,2020-02-19,-0.479,-12.411,0.736,-1.555,-0.368,3.191
Texas,Overall,2020-02-20,-1.87,-12.874,1.313,-0.623,-1.163,0.712
Texas,Overall,2020-02-21,0.01,-1.691,-0.922,1.654,2.112,3.028
Texas,Overall,2020-02-22,1.365,13.191,-1.209,3.228,3.424,3.564
Texas,Overall,2020-02-23,0.822,-11.177,-0.099,4.243,2.881,0.955
Texas,Overall,2020-02-24,0.947,1.25,-0.256,2.387,2.448,3.147
Texas,Overall,2020-02-25,1.581,11.774,-1.02,5.826,3.139,2.872
Texas,Overall,2020-02-26,6.051,0.314,-1.311,10.01,5.066,4.167
Texas,Overall,2020-02-27,5.545,25.287,-1.708,10.888,7.411,2.239
Texas,Overall,2020-02-28,7.53,18.179,-2.245,9.748,7.203,1.421
Texas,Overall,2020-02-29,7.611,33.031,-2.962,10.189,9.181,3.446
Texas,Overall,2020-03-01,8.902,6.304,-1.625,13.821,6.731,2.352
Texas,Overall,2020-03-02,7.184,7.858,-1.403,8.278,3.675,3.66
Texas,Overall,2020-03-03,9.518,16.914,-1.509,11.714,3.264,2.591
Texas,Overall,2020-03-04,5.097,-9.985,0.884,6.083,-0.422,2.492
Texas,Overall,2020-03-05,8.35,34.116,-1.797,10.59,5.457,2.552
Texas,Overall,2020-03-06,6.703,20.562,-2.129,6.375,6.437,2.709
Texas,Overall,2020-03-07,6.625,21.385,-1.957,5.438,10.585,2.797
Texas,Overall,2020-03-08,4.278,11.141,-1.127,8.932,6.308,-0.016
Texas,Overall,2020-03-09,5.183,6.926,1.681,6.36,0.977,-8.841
Texas,Overall,2020-03-10,6.501,39.459,1.03,9.837,3.417,-9.602
Texas,Overall,2020-03-11,14.075,49.137,0.609,11.796,4.044,-8.561
Texas,Overall,2020-03-12,25.636,47.889,0.949,10.602,1.147,-11.38
Texas,Overall,2020-03-13,31.169,3.792,3.611,0.976,-4.613,-14.917
Texas,Overall,2020-03-14,14.217,-3.154,2.277,-8.102,-2.173,-3.36
Texas,Overall,2020-03-15,6.519,-16.913,3.073,-8.793,-6.834,-7.308
Texas,Overall,2020-03-16,16.796,-1.957,7.342,-3.912,-12.538,-21.834
Texas,Overall,2020-03-17,15.287,1.755,10.208,-12.278,-15.748,-26.523
Texas,Overall,2020-03-18,14.427,11.458,11.843,-16.161,-19.248,-28.565
Texas,Overall,2020-03-19,11.609,10.492,13.498,-22.117,-24.61,-32.119
Texas,Overall,2020-03-20,9.017,-33.139,16.603,-29.749,-30.421,-33.939
Texas,Overall,2020-03-21,-3.179,-44.706,12.653,-40.179,-31.56,-21.991
Texas,Overall,2020-03-22,-10.107,-40.683,11.094,-41.267,-37.229,-28.879
Texas,Overall,2020-03-23,-3.617,-13.657,15.383,-30.692,-34.253,-36.152
Texas,Overall,2020-03-24,-0.627,-2.967,16.846,-29.708,-32.378,-40.434
Texas,Overall,2020-03-25,-12.645,-6.433,19.615,-38.755,-37.208,-43.964
Texas,Overall,2020-03-26,-13.69,-1.708,19.938,-38.458,-39.18,-45.383
Texas,Overall,2020-03-27,-15.361,-18.579,21.316,-41.501,-42.13,-44.815
Texas,Overall,2020-03-28,-19.424,-34.91,15.458,-46.857,-43.413,-32.06
Texas,Overall,2020-03-29,-22.799,-27.285,12.874,-44.946,-47.252,-35.936
