state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Texas,Anderson County,2020-02-16,10.092,19.745,-1.29,7.327,3.555,-3.802
Texas,Anderson County,2020-02-17,-2.841,21.248,3.845,0.693,1.843,-13.536
Texas,Anderson County,2020-02-18,-4.091,-3.97,0.267,1.748,2.572,
Texas,Anderson County,2020-02-19,-9.043,-12.411,0.736,-5.54,-0.368,1.132
Texas,Anderson County,2020-02-20,-0.947,-12.874,1.313,3.467,-1.163,-0.56
Texas,Anderson County,2020-02-21,5.378,-1.691,-0.922,3.996,2.112,1.796
Texas,Anderson County,2020-02-22,0.901,13.191,-1.209,0.878,3.424,1.371
Texas,Anderson County,2020-02-23,3.604,-11.177,-0.099,-4.357,2.881,0.76
Texas,Anderson County,2020-02-24,-0.947,1.25,-0.256,9.533,2.448,2.06
Texas,Anderson County,2020-02-25,-0.629,11.774,-1.02,11.36,3.139,3.072
Texas,Anderson County,2020-02-26,7.034,0.314,-1.311,22.25,5.066,5.378
Texas,Anderson County,2020-02-27,5.682,25.287,-1.708,17.169,7.411,2.52
Texas,Anderson County,2020-02-28,14.153,18.179,-2.245,15.157,7.203,4.191
Texas,Anderson County,2020-02-29,16.511,33.031,-2.962,11.704,9.181,2.741
Texas,Anderson County,2020-03-01,15.499,6.304,-1.625,16.833,6.731,3.041
Texas,Anderson County,2020-03-02,7.576,7.858,-1.403,14.906,3.675,2.06
Texas,Anderson County,2020-03-03,8.497,16.914,-1.509,21.672,3.264,2.513
Texas,Anderson County,2020-03-04,5.359,-9.985,0.884,12.442,-0.422,1.415
Texas,Anderson County,2020-03-05,13.258,34.116,-1.797,18.984,5.457,2.8
Texas,Anderson County,2020-03-06,10.19,20.562,-2.129,8.543,6.437,2.694
Texas,Anderson County,2020-03-07,12.908,21.385,-1.957,9.51,10.585,-0.685
Texas,Anderson County,2020-03-08,19.103,11.141,-1.127,14.061,6.308,0.76
Texas,Anderson County,2020-03-09,9.154,6.926,1.681,7.626,0.977,
Texas,Anderson County,2020-03-10,10.7,39.459,1.03,16.429,3.417,-1.117
Texas,Anderson County,2020-03-11,22.776,49.137,0.609,24.43,4.044,0.283
Texas,Anderson County,2020-03-12,26.515,47.889,0.949,16.013,1.147,-3.36
Texas,Anderson County,2020-03-13,32.552,3.792,3.611,9.232,-4.613,-2.095
Texas,Anderson County,2020-03-14,23.715,-3.154,2.277,-0.585,-2.173,-2.056
Texas,Anderson County,2020-03-15,29.196,-16.913,3.073,-0.99,-6.834,-0.76
Texas,Anderson County,2020-03-16,17.992,-1.957,7.342,0.867,-12.538,-22.363
Texas,Anderson County,2020-03-17,16.05,1.755,10.208,-1.049,-15.748,-24.017
Texas,Anderson County,2020-03-18,25.121,11.458,11.843,-3.905,-19.248,-20.947
Texas,Anderson County,2020-03-19,26.515,10.492,13.498,-11.06,-24.61,-24.922
Texas,Anderson County,2020-03-20,20.097,-33.139,16.603,-23.286,-30.421,-25.443
Texas,Anderson County,2020-03-21,11.107,-44.706,12.653,-35.112,-31.56,-14.391
Texas,Anderson County,2020-03-22,5.407,-40.683,11.094,-37.825,-37.229,-22.05
Texas,Anderson County,2020-03-23,5.997,-13.657,15.383,-24.438,-34.253,-21.481
