state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Texas,Colorado County,grocery/pharmacy,11.1,5.88,-0.84,-0.854,-1.694,6.421,2.854,7.684,5.04,-5.04,2.561,8.469,2.854,6.421,11.1,7.56,8.401,-0.854,8.469,4.994,11.416,20.492,13.441,10.081,17.077,41.497,48.516,29.966,33.299,31.082,21.001,22.199,25.407,13.556,-1.427,-7.684,-0.84,6.72,4.269,1.694,2.14,-12.129,-8.538
Texas,Colorado County,parks,19.745,21.248,-3.97,-12.411,-12.874,-1.691,13.191,-11.177,1.25,11.774,0.314,25.287,18.179,33.031,6.304,7.858,16.914,-9.985,34.116,20.562,21.385,11.141,6.926,39.459,49.137,47.889,3.792,-3.154,-16.913,-1.957,1.755,11.458,10.492,-33.139,-44.706,-40.683,-13.657,-2.967,-6.433,-1.708,-18.579,-34.91,-27.285
Texas,Colorado County,residential,-1.29,3.845,0.267,0.736,1.313,-0.922,-1.209,-0.099,-0.256,-1.02,-1.311,-1.708,-2.245,-2.962,-1.625,-1.403,-1.509,0.884,-1.797,-2.129,-1.957,-1.127,1.681,1.03,0.609,0.949,3.611,2.277,3.073,7.342,10.208,11.843,13.498,16.603,12.653,11.094,15.383,16.846,19.615,19.938,21.316,15.458,12.874
Texas,Colorado County,retail/recreation,15.746,5.365,7.007,3.226,-3.064,10.317,2.567,16.473,0.894,3.27,5.531,10.942,5.325,9.536,25.194,11.177,21.02,4.609,25.385,16.64,20.54,30.039,14.306,16.349,22.585,35.014,13.978,5.869,20.833,-1.341,-6.54,-10.601,-19.258,-30.285,-43.281,-35.853,-35.318,-31.297,-28.116,-25.823,-38.605,-44.381,-37.791
Texas,Colorado County,transitstations,13.889,2.79,0.922,-6.887,1.796,-0.82,-8.082,1.984,-2.79,1.844,3.444,8.082,7.382,7.184,10.913,5.58,11.984,-1.722,15.266,7.382,22.45,22.817,13.951,21.202,19.8,27.838,27.067,5.388,21.825,10.231,12.906,6.887,3.592,-10.663,-24.246,-24.802,-12.091,-10.14,-16.357,-4.49,-20.505,-35.022,-32.738
Texas,Colorado County,workplace,2.083,-10.823,7.206,,3.906,8.909,7.774,2.083,9.47,7.206,5.787,3.906,6.168,7.774,-6.25,8.793,5.896,3.858,5.208,5.482,9.328,2.083,-8.793,-9.827,-10.931,-11.719,-11.65,1.555,-8.333,-14.881,-17.034,-19.933,-18.229,-21.245,-9.328,-18.75,-17.587,-22.275,-27.649,-22.786,-21.93,-6.219,-18.75
Texas,Comal County,grocery/pharmacy,12.233,11.648,2.872,-0.261,1.357,8.117,8.545,7.37,3.552,4.96,7.49,9.925,13.453,14.716,11.169,7.435,10.443,6.097,8.313,15.557,16.14,10.865,11.73,21.234,22.732,33.337,44.793,21.294,13.524,25.608,19.319,18.116,17.814,12.1,-12.275,-18.311,-3.056,3.742,-3.048,-12.215,-14.505,-26.516,-34.114
Texas,Comal County,parks,22.992,25.298,-6.179,-31.78,-19.133,17.09,17.843,4.223,-4.464,10.593,-8.828,32.951,33.366,40.509,7.977,2.232,14.124,-15.89,57.398,42.318,39.545,23.93,6.696,108.581,165.96,214.711,118.001,66.551,-4.692,12.649,19.421,32.662,41.454,-40.69,-70.409,-52.553,-21.577,32.662,13.242,7.44,-10.579,-40.992,-31.438
Texas,Comal County,residential,-1.441,4.324,0.399,1.498,2.231,-1.405,-1.463,-0.071,-1.212,-0.854,-0.355,-0.855,-2.784,-2.019,-1.162,-1.052,-0.748,1.307,-1.554,-2.753,-2.033,-0.896,2.636,2.118,1.501,1.207,2.641,1.989,3.431,6.142,9.325,10.932,12.267,16.652,14.152,11.287,14.524,16.038,17.96,18.949,19.34,15.276,12.506
Texas,Comal County,retail/recreation,12.513,9.159,-1.635,-3.197,-4.447,3.132,5.061,7.659,4.111,7.746,6.851,6.67,9.182,10.425,13.843,9.525,9.848,3.197,9.003,6.787,6.959,13.088,8.874,12.067,15.071,16.547,10.564,-2.09,-5.142,0.814,-7.98,-13.739,-20.01,-34.978,-49.842,-48.254,-31.954,-30.051,-35.737,-41.441,-45.297,-52.455,-49.009
Texas,Comal County,transitstations,16.514,0.43,1.302,-1.281,-8.075,5.928,2.553,18.42,1.291,3.906,6.831,12.112,16.514,11.744,20.96,6.457,3.472,1.708,12.112,16.091,13.787,22.231,4.304,8.681,12.807,5.249,10.586,1.532,10.798,,2.604,2.561,-4.037,-5.505,-18.893,-15.244,-14.205,-6.076,-8.111,-10.497,-13.55,-22.467,-10.798
Texas,Comal County,workplace,,-24.025,1.576,3.014,0.248,2.53,2.541,2.292,3.775,2.073,3.936,2.229,3.49,2.752,1.783,4.548,2.82,3.014,2.971,3.315,2.964,,-16.474,-15.675,-15.491,-16.673,-19.106,-0.212,-5.858,-16.989,-22.89,-23.948,-28.064,-33.326,-23.289,-30.562,-35.094,-39.892,-42.286,-45.15,-43.97,-31.123,-37.948
Texas,Ector County,grocery/pharmacy,0.76,-0.338,-2.049,-7.961,-2.248,-1.912,-0.833,1.097,1.522,-2.818,3.218,6.138,4.895,5.0,7.513,5.073,5.123,-0.254,7.867,1.989,1.439,-3.63,1.015,3.501,5.759,18.586,18.738,14.167,7.85,19.108,14.942,15.498,22.908,19.273,-0.909,-7.597,-2.198,-5.379,-3.98,-2.939,-6.577,-9.015,-5.656
Texas,Ector County,parks,19.745,21.248,-3.97,-12.411,-12.874,-1.691,13.191,-11.177,1.25,11.774,0.314,25.287,18.179,33.031,6.304,7.858,16.914,-9.985,34.116,20.562,21.385,11.141,6.926,39.459,49.137,47.889,3.792,-3.154,-16.913,-1.957,1.755,11.458,10.492,-33.139,-44.706,-40.683,-13.657,-2.967,-6.433,-1.708,-18.579,-34.91,-27.285
Texas,Ector County,residential,-2.641,1.269,-1.224,2.045,0.608,-1.096,-1.537,-1.219,-1.104,-1.523,-1.339,-2.747,-3.359,-3.237,-2.169,-0.978,0.109,5.831,-1.925,0.162,-3.233,-2.029,1.378,0.719,1.125,0.715,2.958,-0.761,2.499,6.553,5.949,8.521,8.095,10.547,12.265,8.925,11.763,12.119,14.027,13.59,15.746,12.037,10.63
