state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Vermont,Addison County,2020-02-16,8.591,46.951,-1.603,29.105,11.533,
Vermont,Addison County,2020-02-17,-6.341,41.405,3.817,11.029,19.348,-26.152
Vermont,Addison County,2020-02-18,-13.13,-3.204,2.643,1.978,9.242,-11.622
Vermont,Addison County,2020-02-19,-9.13,8.521,1.302,-1.727,10.013,-12.967
Vermont,Addison County,2020-02-20,9.218,2.086,0.837,4.48,7.152,-11.145
Vermont,Addison County,2020-02-21,-5.708,6.119,1.422,-2.765,11.171,-13.47
Vermont,Addison County,2020-02-22,-12.303,53.191,-1.138,3.949,24.788,-2.604
Vermont,Addison County,2020-02-23,8.591,46.951,-2.381,21.446,7.339,3.472
Vermont,Addison County,2020-02-24,5.435,20.326,0.767,1.838,7.255,-0.443
Vermont,Addison County,2020-02-25,1.751,4.005,0.966,7.252,3.594,-1.291
Vermont,Addison County,2020-02-26,-1.245,-4.971,1.849,1.727,7.009,-0.432
Vermont,Addison County,2020-02-27,-9.218,-20.859,3.487,-5.04,-5.721,-1.715
Vermont,Addison County,2020-02-28,1.427,-6.119,2.101,11.062,8.275,-2.694
Vermont,Addison County,2020-02-29,-7.382,16.166,-0.746,6.418,16.525,3.906
Vermont,Addison County,2020-03-01,18.256,16.405,-2.068,17.616,5.766,8.681
Vermont,Addison County,2020-03-02,5.435,-0.753,0.951,7.353,7.255,3.103
Vermont,Addison County,2020-03-03,11.38,28.836,0.867,18.46,13.35,2.583
Vermont,Addison County,2020-03-04,-3.735,-3.551,1.14,8.633,5.006,0.432
Vermont,Addison County,2020-03-05,19.358,13.906,-0.549,10.081,9.059,4.287
Vermont,Addison County,2020-03-06,-1.427,8.9,0.667,-5.07,7.034,-6.286
Vermont,Addison County,2020-03-07,-8.202,27.639,-0.851,5.43,24.788,1.302
Vermont,Addison County,2020-03-08,16.108,49.214,-1.706,16.085,13.105,13.889
Vermont,Addison County,2020-03-09,4.529,51.945,-0.289,5.515,7.739,3.103
Vermont,Addison County,2020-03-10,4.377,2.403,1.092,8.571,2.567,3.013
Vermont,Addison County,2020-03-11,-10.375,-4.261,1.378,1.727,2.002,2.593
Vermont,Addison County,2020-03-12,22.124,6.258,0.825,5.6,-2.384,1.715
Vermont,Addison County,2020-03-13,13.556,-15.575,3.875,-0.461,-19.86,-2.694
Vermont,Addison County,2020-03-14,24.606,21.381,2.691,-7.899,-4.86,-3.906
Vermont,Addison County,2020-03-15,19.33,10.182,2.692,0.766,-32.501,-3.472
Vermont,Addison County,2020-03-16,26.268,15.056,6.042,-9.191,-22.734,-6.649
Vermont,Addison County,2020-03-17,14.006,-12.015,10.678,-12.526,-26.187,-25.396
Vermont,Addison County,2020-03-18,-21.995,20.593,13.37,-30.502,-29.036,-30.256
Vermont,Addison County,2020-03-19,10.14,2.086,15.374,-34.162,-37.189,-33.008
Vermont,Addison County,2020-03-20,-4.281,-13.906,17.758,-41.943,-47.994,-35.92
Vermont,Addison County,2020-03-21,-17.224,8.865,11.055,-45.912,-43.744,-31.25
Vermont,Addison County,2020-03-22,-13.96,17.536,8.639,-42.126,-53.47,-31.25
