state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Vermont,Addison County,grocery/pharmacy,8.591,-6.341,-13.13,-9.13,9.218,-5.708,-12.303,8.591,5.435,1.751,-1.245,-9.218,1.427,-7.382,18.256,5.435,11.38,-3.735,19.358,-1.427,-8.202,16.108,4.529,4.377,-10.375,22.124,13.556,24.606,19.33,26.268,14.006,-21.995,10.14,-4.281,-17.224,-13.96,-26.268,-23.634,-8.715,-34.108,-37.1,-36.909,-39.734
Vermont,Addison County,parks,46.951,41.405,-3.204,8.521,2.086,6.119,53.191,46.951,20.326,4.005,-4.971,-20.859,-6.119,16.166,16.405,-0.753,28.836,-3.551,13.906,8.9,27.639,49.214,51.945,2.403,-4.261,6.258,-15.575,21.381,10.182,15.056,-12.015,20.593,2.086,-13.906,8.865,17.536,-27.854,-12.015,-12.072,5.563,1.669,21.902,-55.436
Vermont,Addison County,residential,-1.603,3.817,2.643,1.302,0.837,1.422,-1.138,-2.381,0.767,0.966,1.849,3.487,2.101,-0.746,-2.068,0.951,0.867,1.14,-0.549,0.667,-0.851,-1.706,-0.289,1.092,1.378,0.825,3.875,2.691,2.692,6.042,10.678,13.37,15.374,17.758,11.055,8.639,17.486,19.573,19.603,22.348,24.142,14.014,12.683
Vermont,Addison County,retail/recreation,29.105,11.029,1.978,-1.727,4.48,-2.765,3.949,21.446,1.838,7.252,1.727,-5.04,11.062,6.418,17.616,7.353,18.46,8.633,10.081,-5.07,5.43,16.085,5.515,8.571,1.727,5.6,-0.461,-7.899,0.766,-9.191,-12.526,-30.502,-34.162,-41.943,-45.912,-42.126,-47.181,-38.238,-38.559,-56.004,-54.388,-55.292,-57.445
Vermont,Addison County,transitstations,11.533,19.348,9.242,10.013,7.152,11.171,24.788,7.339,7.255,3.594,7.009,-5.721,8.275,16.525,5.766,7.255,13.35,5.006,9.059,7.034,24.788,13.105,7.739,2.567,2.002,-2.384,-19.86,-4.86,-32.501,-22.734,-26.187,-29.036,-37.189,-47.994,-43.744,-53.47,-45.951,-39.537,-43.054,-48.155,-54.614,-58.325,-71.293
Vermont,Addison County,workplace,,-26.152,-11.622,-12.967,-11.145,-13.47,-2.604,3.472,-0.443,-1.291,-0.432,-1.715,-2.694,3.906,8.681,3.103,2.583,0.432,4.287,-6.286,1.302,13.889,3.103,3.013,2.593,1.715,-2.694,-3.906,-3.472,-6.649,-25.396,-30.256,-33.008,-35.92,-31.25,-31.25,-44.326,-47.779,-45.384,-55.727,-55.226,-35.156,-36.458
Vermont,Bennington County,grocery/pharmacy,24.225,15.432,8.488,7.548,16.727,8.681,10.616,13.727,0.772,9.259,2.264,,1.24,9.289,20.995,5.401,17.747,9.813,16.727,3.1,10.616,23.417,20.833,8.488,10.568,28.133,24.802,26.539,33.107,40.895,21.605,15.851,17.488,9.921,4.644,-3.23,-16.204,-6.944,0.755,-13.686,-14.261,-21.231,-29.877
Vermont,Bennington County,parks,46.951,41.405,-3.204,8.521,2.086,6.119,53.191,46.951,20.326,4.005,-4.971,-20.859,-6.119,16.166,16.405,-0.753,28.836,-3.551,13.906,8.9,27.639,49.214,51.945,2.403,-4.261,6.258,-15.575,21.381,10.182,15.056,-12.015,20.593,2.086,-13.906,8.865,17.536,-27.854,-12.015,-12.072,5.563,1.669,21.902,-55.436
Vermont,Bennington County,residential,-1.603,3.817,2.643,1.302,0.837,1.422,-1.138,-2.381,0.767,0.966,1.849,3.487,2.101,-0.746,-2.068,0.951,0.867,1.14,-0.549,0.667,-0.851,-1.706,-0.289,1.092,1.378,0.825,3.875,2.691,2.692,6.042,10.678,13.37,15.374,17.758,11.055,8.639,17.486,19.573,19.603,22.348,24.142,14.014,12.683
Vermont,Bennington County,retail/recreation,32.655,34.014,-4.183,15.234,19.841,9.47,17.96,24.388,16.156,9.622,16.469,,12.219,17.66,23.562,14.881,13.805,13.999,12.973,10.386,19.456,29.349,13.605,2.51,6.588,3.053,1.527,-3.592,7.027,-0.85,-22.59,-27.586,-31.67,-42.155,-43.702,-47.123,-56.122,-49.782,-41.79,-48.458,-52.694,-57.771,-64.897
