state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Washington,Benton County,2020-02-16,5.732,53.763,-2.306,25.954,10.331,-1.255
Washington,Benton County,2020-02-17,6.92,106.17,7.182,18.265,-9.102,-39.832
Washington,Benton County,2020-02-18,2.7,48.325,-1.252,1.592,5.456,1.663
Washington,Benton County,2020-02-19,4.118,59.524,-0.811,3.569,12.255,1.26
Washington,Benton County,2020-02-20,5.013,60.861,-0.641,5.137,10.759,0.438
Washington,Benton County,2020-02-21,-2.253,34.18,-0.677,1.269,7.541,1.067
Washington,Benton County,2020-02-22,2.119,112.47,-1.807,5.833,15.141,-0.153
Washington,Benton County,2020-02-23,0.448,-18.817,-0.754,8.628,2.583,-1.614
Washington,Benton County,2020-02-24,-1.002,19.03,-0.388,3.69,2.023,2.735
Washington,Benton County,2020-02-25,3.91,55.842,-1.812,6.084,10.913,1.774
Washington,Benton County,2020-02-26,7.019,80.782,-1.827,14.417,15.319,1.698
Washington,Benton County,2020-02-27,8.727,99.485,-1.667,13.309,11.248,2.626
Washington,Benton County,2020-02-28,3.304,47.201,-2.606,9.758,11.312,3.326
Washington,Benton County,2020-02-29,9.969,43.78,-2.094,18.815,12.718,-0.153
Washington,Benton County,2020-03-01,17.197,75.941,-3.191,28.889,30.992,1.255
Washington,Benton County,2020-03-02,14.022,16.026,-1.098,12.435,3.54,2.051
Washington,Benton County,2020-03-03,16.663,56.916,-1.839,13.971,5.456,1.441
Washington,Benton County,2020-03-04,14.694,78.656,-0.948,11.66,13.276,0.822
Washington,Benton County,2020-03-05,9.284,78.418,-1.178,9.239,8.314,1.094
Washington,Benton County,2020-03-06,2.629,30.924,0.022,4.496,6.127,-4.393
Washington,Benton County,2020-03-07,6.751,42.271,-1.072,10.763,13.324,0.766
Washington,Benton County,2020-03-08,7.345,69.22,-1.803,15.964,23.244,
Washington,Benton County,2020-03-09,6.283,59.095,-0.662,9.852,8.596,-0.798
Washington,Benton County,2020-03-10,7.168,53.694,-1.018,6.827,4.464,-0.61
Washington,Benton County,2020-03-11,11.699,87.16,-0.909,10.918,15.319,0.164
Washington,Benton County,2020-03-12,22.932,106.507,-0.441,8.272,11.248,-2.298
Washington,Benton County,2020-03-13,36.95,-15.462,1.823,-2.75,0.943,-3.451
Washington,Benton County,2020-03-14,19.546,-40.761,5.068,-18.402,-15.746,-5.362
Washington,Benton County,2020-03-15,10.838,-31.586,4.161,-11.772,2.583,-12.55
Washington,Benton County,2020-03-16,33.508,41.066,4.296,-4.612,-1.011,-14.645
Washington,Benton County,2020-03-17,17.594,94.502,8.558,-24.3,,-29.16
Washington,Benton County,2020-03-18,13.103,115.859,10.419,-25.512,1.532,-33.298
Washington,Benton County,2020-03-19,12.441,150.983,12.486,-30.419,-7.336,-35.123
Washington,Benton County,2020-03-20,10.064,83.822,12.622,-34.431,-2.828,-36.521
Washington,Benton County,2020-03-21,-6.829,109.45,7.715,-43.282,-4.239,-22.365
Washington,Benton County,2020-03-22,-11.017,72.581,7.258,-38.215,4.304,-31.017
Washington,Benton County,2020-03-23,-0.091,20.032,15.148,-30.774,-13.653,-43.878
Washington,Benton County,2020-03-24,-8.285,46.177,16.538,-37.988,-19.345,-47.343
Washington,Benton County,2020-03-25,-13.664,14.881,18.851,-44.734,-19.914,-50.495
Washington,Benton County,2020-03-26,-14.762,52.669,20.953,-47.43,-22.985,-53.615
Washington,Benton County,2020-03-27,-21.629,11.393,20.34,-52.097,-29.695,-50.389
Washington,Benton County,2020-03-28,-23.863,7.548,12.925,-55.335,-27.253,-35.08
Washington,Benton County,2020-03-29,-23.646,3.36,10.917,-48.52,-12.052,-40.878
Washington,Chelan County,2020-02-16,21.796,55.473,-1.147,31.927,5.459,1.414
Washington,Chelan County,2020-02-17,13.653,101.219,5.941,27.252,-6.959,-29.935
Washington,Chelan County,2020-02-18,6.638,52.083,0.377,11.474,6.677,
Washington,Chelan County,2020-02-19,4.54,41.454,-0.512,7.275,7.087,1.63
Washington,Chelan County,2020-02-20,4.147,38.807,-0.408,10.21,5.208,0.323
Washington,Chelan County,2020-02-21,0.609,33.933,-0.672,1.265,3.857,-0.17
Washington,Chelan County,2020-02-22,3.255,30.637,-1.001,1.791,9.215,-1.521
Washington,Chelan County,2020-02-23,2.028,-24.038,0.017,11.287,3.172,-0.471
Washington,Chelan County,2020-02-24,-0.506,19.654,-0.724,1.914,2.594,3.807
Washington,Chelan County,2020-02-25,2.808,31.467,-0.447,3.712,4.997,1.486
Washington,Chelan County,2020-02-26,2.522,39.328,-1.41,8.157,6.674,3.912
Washington,Chelan County,2020-02-27,2.927,50.041,-1.47,7.013,8.571,2.426
Washington,Chelan County,2020-02-28,2.64,30.777,-1.637,7.666,6.227,-0.17
Washington,Chelan County,2020-02-29,2.035,6.638,-1.192,7.236,4.958,-3.041
Washington,Chelan County,2020-03-01,14.7,30.202,-1.179,23.112,8.955,1.414
Washington,Chelan County,2020-03-02,7.585,21.619,0.046,10.586,-3.415,4.499
Washington,Chelan County,2020-03-03,13.276,43.403,0.789,11.474,-2.275,2.641
Washington,Chelan County,2020-03-04,8.071,28.699,0.471,7.606,-2.416,-1.63
Washington,Chelan County,2020-03-05,7.075,36.765,2.189,5.982,-7.719,-1.941
Washington,Chelan County,2020-03-06,-0.812,18.939,2.994,-2.766,-11.916,-2.714
Washington,Chelan County,2020-03-07,-3.459,-2.042,1.425,-7.093,-5.619,-5.703
Washington,Chelan County,2020-03-08,10.645,20.34,0.802,13.545,-4.92,-3.771
Washington,Chelan County,2020-03-09,6.321,28.498,2.783,4.842,-14.653,2.422
Washington,Chelan County,2020-03-10,5.872,32.552,3.99,7.087,-15.257,1.486
Washington,Chelan County,2020-03-11,8.071,41.454,3.786,7.937,-16.059,1.304
Washington,Chelan County,2020-03-12,8.538,50.041,4.877,3.713,-20.263,-5.661
Washington,Chelan County,2020-03-13,15.635,-22.096,7.191,-10.591,-27.759,-13.403
Washington,Chelan County,2020-03-14,12.614,-32.68,5.779,-17.552,-22.125,-10.265
Washington,Chelan County,2020-03-15,12.419,-6.78,4.46,-4.192,-22.032,-10.37
Washington,Chelan County,2020-03-16,32.615,24.568,8.875,-4.73,-30.878,-3.98
Washington,Chelan County,2020-03-17,12.51,57.509,13.365,-19.236,-33.489,-22.451
Washington,Chelan County,2020-03-18,5.801,82.908,13.839,-23.589,-36.228,-27.061
Washington,Chelan County,2020-03-19,2.927,74.551,15.226,-27.64,-41.165,-29.6
Washington,Chelan County,2020-03-20,-1.421,52.083,15.491,-33.668,-41.645,-32.913
Washington,Chelan County,2020-03-21,-8.952,25.531,10.105,-44.848,-37.425,-26.612
Washington,Chelan County,2020-03-22,-11.659,17.258,9.171,-34.507,-43.589,-35.822
Washington,Chelan County,2020-03-23,-2.023,28.498,16.564,-28.266,-50.257,-32.011
Washington,Chelan County,2020-03-24,-7.915,17.361,19.904,-32.51,-52.018,-40.115
Washington,Chelan County,2020-03-25,-12.359,41.454,20.625,-36.486,-54.04,-41.08
Washington,Chelan County,2020-03-26,-17.564,18.382,23.293,-44.348,-58.662,-47.554
Washington,Chelan County,2020-03-27,-26.194,-0.789,24.122,-49.712,-60.684,-48.86
Washington,Chelan County,2020-03-28,-26.652,-27.574,15.672,-56.883,-56.323,-44.86
Washington,Chelan County,2020-03-29,-20.529,-15.409,12.789,-44.29,-56.105,-44.778
Washington,King County,2020-02-16,0.955,20.216,-1.108,13.18,3.196,-1.917
Washington,King County,2020-02-17,3.67,66.825,7.172,9.936,-13.804,-41.389
Washington,King County,2020-02-18,2.011,53.033,0.932,3.928,5.849,-8.185
Washington,King County,2020-02-19,1.714,65.039,0.239,2.007,5.738,-7.12
Washington,King County,2020-02-20,1.088,54.864,0.437,2.882,2.245,-6.433
Washington,King County,2020-02-21,-3.72,53.229,0.697,1.057,1.4,-7.261
Washington,King County,2020-02-22,-5.375,35.244,-1.038,0.026,8.393,-0.752
Washington,King County,2020-02-23,-2.478,0.35,0.314,7.754,2.589,0.868
Washington,King County,2020-02-24,-1.965,16.618,-0.781,0.367,2.333,3.822
Washington,King County,2020-02-25,0.532,38.328,-0.287,4.161,3.551,1.402
Washington,King County,2020-02-26,1.927,47.198,-0.92,5.346,5.295,1.294
Washington,King County,2020-02-27,1.427,58.927,-1.349,7.86,7.47,1.961
Washington,King County,2020-02-28,0.528,21.525,-0.408,3.089,4.525,1.272
Washington,King County,2020-02-29,6.035,34.876,-0.586,0.58,3.14,1.052
Washington,King County,2020-03-01,6.672,36.645,-0.186,12.379,7.141,1.519
Washington,King County,2020-03-02,9.366,-12.122,1.562,-2.926,-6.678,-0.311
