state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
West Virginia,Barbour County,2020-02-16,7.622,28.314,-0.204,6.759,3.407,0.54
West Virginia,Barbour County,2020-02-17,-9.259,14.385,4.16,4.783,3.141,-14.524
West Virginia,Barbour County,2020-02-18,-1.184,4.879,0.057,3.225,4.603,0.944
West Virginia,Barbour County,2020-02-19,-2.315,11.167,-0.083,3.741,2.258,0.613
West Virginia,Barbour County,2020-02-20,-4.529,-0.176,0.565,1.794,2.013,1.576
West Virginia,Barbour County,2020-02-21,2.104,3.144,0.818,0.302,-1.936,1.755
West Virginia,Barbour County,2020-02-22,-3.255,42.071,-0.681,7.971,2.788,2.887
West Virginia,Barbour County,2020-02-23,8.892,50.062,-0.894,8.36,8.65,3.375
West Virginia,Barbour County,2020-02-24,-1.157,3.785,1.237,3.633,3.73,2.244
West Virginia,Barbour County,2020-02-25,8.286,9.759,-0.482,9.613,2.877,2.174
West Virginia,Barbour County,2020-02-26,5.787,7.382,-1.003,13.642,4.893,1.955
West Virginia,Barbour County,2020-02-27,-3.397,-8.461,2.388,4.781,3.295,-3.32
West Virginia,Barbour County,2020-02-28,-2.104,-2.648,1.067,8.118,2.815,-0.719
West Virginia,Barbour County,2020-02-29,-2.17,4.593,-0.664,12.993,6.969,1.819
West Virginia,Barbour County,2020-03-01,19.055,40.009,-1.807,21.84,17.561,3.645
West Virginia,Barbour County,2020-03-02,3.472,0.946,0.656,11.648,4.712,2.192
West Virginia,Barbour County,2020-03-03,14.205,9.368,-1.349,19.69,5.946,2.579
West Virginia,Barbour County,2020-03-04,6.944,26.498,-1.312,15.793,8.657,1.972
West Virginia,Barbour County,2020-03-05,11.322,22.035,-0.902,13.385,7.688,2.565
West Virginia,Barbour County,2020-03-06,6.313,-0.165,1.734,0.596,4.927,0.351
West Virginia,Barbour County,2020-03-07,-1.085,28.108,-0.647,12.117,13.706,2.531
West Virginia,Barbour County,2020-03-08,20.325,89.456,-1.871,18.077,25.162,3.375
West Virginia,Barbour County,2020-03-09,10.417,48.643,0.271,12.726,7.264,0.103
West Virginia,Barbour County,2020-03-10,-1.184,6.636,0.07,10.859,3.644,0.017
West Virginia,Barbour County,2020-03-11,-1.157,22.334,-0.395,10.369,7.152,-0.249
West Virginia,Barbour County,2020-03-12,22.645,38.428,-0.499,11.735,7.688,0.017
West Virginia,Barbour County,2020-03-13,22.096,22.176,1.051,6.652,6.335,-2.579
West Virginia,Barbour County,2020-03-14,9.766,23.148,1.698,-0.195,4.878,-1.898
West Virginia,Barbour County,2020-03-15,15.244,8.002,2.499,-3.239,12.581,-4.95
West Virginia,Barbour County,2020-03-16,5.787,4.164,5.409,-0.835,1.178,-12.948
West Virginia,Barbour County,2020-03-17,18.939,7.417,5.58,-4.642,-2.11,-15.929
West Virginia,Barbour County,2020-03-18,15.046,15.899,7.414,-17.979,-3.576,-20.748
West Virginia,Barbour County,2020-03-19,7.926,8.638,9.202,-22.212,-9.701,-22.651
West Virginia,Barbour County,2020-03-20,10.522,14.067,11.769,-30.318,-19.004,-26.391
West Virginia,Barbour County,2020-03-21,,0.551,8.643,-35.308,-16.726,-21.907
West Virginia,Barbour County,2020-03-22,-10.163,32.623,7.608,-39.891,-17.561,-26.865
West Virginia,Barbour County,2020-03-23,-3.472,-21.956,13.936,-33.746,-25.522,-33.295
West Virginia,Barbour County,2020-03-24,-9.47,5.27,13.129,-35.631,-23.017,-37.066
West Virginia,Barbour County,2020-03-25,-25.463,-14.953,16.232,-46.164,-27.102,-41.976
West Virginia,Barbour County,2020-03-26,-13.587,26.265,15.044,-39.954,-28.006,-41.076
West Virginia,Barbour County,2020-03-27,-18.939,2.648,17.741,-43.502,-35.721,-41.008
West Virginia,Barbour County,2020-03-28,-13.021,59.891,9.486,-41.965,-31.826,-29.618
West Virginia,Barbour County,2020-03-29,-8.892,52.319,7.971,-37.6,-31.453,-32.625
West Virginia,Berkeley County,2020-02-16,1.67,28.314,-0.369,1.16,3.407,-4.973
West Virginia,Berkeley County,2020-02-17,-1.672,14.385,6.359,5.824,3.141,-27.873
West Virginia,Berkeley County,2020-02-18,-5.064,4.879,0.141,0.607,4.603,1.483
West Virginia,Berkeley County,2020-02-19,-4.875,11.167,-0.433,-1.172,2.258,2.044
West Virginia,Berkeley County,2020-02-20,-5.47,-0.176,0.384,1.744,2.013,1.288
West Virginia,Berkeley County,2020-02-21,-7.146,3.144,0.164,0.338,-1.936,3.272
West Virginia,Berkeley County,2020-02-22,0.651,42.071,-1.244,5.145,2.788,3.561
West Virginia,Berkeley County,2020-02-23,2.312,50.062,-1.422,5.872,8.65,2.617
West Virginia,Berkeley County,2020-02-24,-0.239,3.785,0.291,3.317,3.73,3.305
West Virginia,Berkeley County,2020-02-25,-1.688,9.759,-0.138,5.994,2.877,2.53
West Virginia,Berkeley County,2020-02-26,-0.951,7.382,-0.623,12.307,4.893,1.959
West Virginia,Berkeley County,2020-02-27,-4.103,-8.461,0.089,6.558,3.295,1.46
West Virginia,Berkeley County,2020-02-28,0.302,-2.648,-0.521,10.422,2.815,2.091
West Virginia,Berkeley County,2020-02-29,3.255,4.593,-0.788,11.285,6.969,1.113
West Virginia,Berkeley County,2020-03-01,6.551,40.009,-2.118,18.122,17.561,
West Virginia,Berkeley County,2020-03-02,4.181,0.946,-0.526,8.552,4.712,2.233
West Virginia,Berkeley County,2020-03-03,3.135,9.368,-0.568,13.808,5.946,3.315
West Virginia,Berkeley County,2020-03-04,5.708,26.498,-1.346,16.702,8.657,3.407
West Virginia,Berkeley County,2020-03-05,1.14,22.035,-0.793,11.373,7.688,1.718
West Virginia,Berkeley County,2020-03-06,-3.824,-0.165,0.04,4.732,4.927,3.181
West Virginia,Berkeley County,2020-03-07,2.496,28.108,-1.605,12.668,13.706,4.897
West Virginia,Berkeley County,2020-03-08,9.248,89.456,-1.717,14.57,25.162,2.617
West Virginia,Berkeley County,2020-03-09,4.42,48.643,-0.528,7.962,7.264,1.787
West Virginia,Berkeley County,2020-03-10,3.014,6.636,-0.454,7.663,3.644,2.966
West Virginia,Berkeley County,2020-03-11,3.805,22.334,-0.441,9.376,7.152,1.192
West Virginia,Berkeley County,2020-03-12,9.801,38.428,-0.982,10.884,7.688,0.687
West Virginia,Berkeley County,2020-03-13,15.7,22.176,2.074,8.958,6.335,-8.817
