state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
West Virginia,Morgan County,grocery/pharmacy,13.736,-4.63,4.058,-7.353,,,,10.302,2.315,17.587,-1.225,-1.184,18.204,5.425,13.736,6.366,20.969,22.059,4.735,1.011,16.276,16.026,,12.175,6.127,17.756,18.204,15.191,6.868,21.991,33.82,9.804,27.225,17.193,15.191,-2.289,-2.315,6.764,-15.931,-13.021,-9.102,-10.851,-19.46
West Virginia,Morgan County,retail/recreation,50.637,33.213,9.328,18.481,18.808,2.023,22.391,23.148,12.077,15.547,28.562,26.042,16.181,23.364,30.382,24.155,18.657,48.723,27.488,12.136,9.735,43.403,27.174,13.993,45.363,36.169,14.159,14.603,20.255,18.116,7.774,6.72,-1.447,-15.17,-25.312,-23.148,-22.645,-15.547,-23.521,-21.701,-35.396,-43.808,-39.062
West Virginia,Morgan County,workplace,-4.167,-20.032,2.404,0.76,3.181,1.64,-1.894,-10.417,3.205,1.603,1.521,0.795,2.461,7.576,,0.801,4.006,-0.76,7.952,3.281,5.682,-6.25,,1.603,-3.041,3.976,,1.894,-8.333,-7.212,-8.013,-16.727,-17.494,-22.966,-24.621,-37.5,-29.647,-30.449,-39.538,-35.782,-34.449,-28.409,-35.417
West Virginia,Nicholas County,grocery/pharmacy,4.006,0.795,4.234,0.795,5.442,3.36,9.144,8.013,,13.55,3.181,-7.774,8.065,7.156,18.029,19.084,20.325,9.542,27.208,-0.672,3.181,16.026,11.132,11.009,15.903,31.095,36.29,28.626,38.061,23.855,33.028,36.578,24.876,13.441,35.782,1.002,,-2.541,-23.855,-17.879,-20.161,-7.156,-12.019
West Virginia,Nicholas County,retail/recreation,9.735,2.092,7.472,1.615,4.771,5.208,14.188,13.143,3.765,13.625,10.901,-7.156,5.859,7.467,30.666,17.989,31.206,16.554,19.084,-12.044,4.854,30.179,20.499,16.702,12.516,17.096,21.484,6.72,12.656,10.459,10.109,-3.23,-9.94,-21.484,-17.921,-28.719,-29.702,-26.371,-41.99,-36.578,-38.411,-25.762,-28.719
West Virginia,Nicholas County,workplace,3.858,-8.993,-11.99,-0.734,3.019,-2.315,4.96,13.503,3.747,1.499,-2.934,-23.4,0.772,-6.614,,,2.248,1.467,0.755,-16.204,1.653,3.858,-14.988,0.749,2.934,2.264,0.772,-4.96,-5.787,-20.983,-16.487,-19.806,-19.626,-27.778,-26.455,-27.006,-33.723,-38.219,-44.748,-40.006,-41.667,-23.148,-30.864
West Virginia,Overall,grocery/pharmacy,0.647,-1.724,-1.394,-3.466,-2.538,-7.025,-0.086,3.909,-0.522,1.626,2.71,-2.803,0.189,3.227,13.202,4.309,12.147,5.998,7.571,-4.544,2.84,11.364,7.166,4.738,5.487,17.239,18.612,12.758,10.898,15.943,14.26,9.775,9.558,1.022,5.142,-10.018,-4.808,-11.009,-25.414,-17.769,-23.479,-17.276,-16.127
West Virginia,Overall,parks,28.314,14.385,4.879,11.167,-0.176,3.144,42.071,50.062,3.785,9.759,7.382,-8.461,-2.648,4.593,40.009,0.946,9.368,26.498,22.035,-0.165,28.108,89.456,48.643,6.636,22.334,38.428,22.176,23.148,8.002,4.164,7.417,15.899,8.638,14.067,0.551,32.623,-21.956,5.27,-14.953,26.265,2.648,59.891,52.319
West Virginia,Overall,residential,-0.204,4.16,0.057,-0.083,0.565,0.818,-0.681,-0.894,1.237,-0.482,-1.003,2.388,1.067,-0.664,-1.807,0.656,-1.349,-1.312,-0.902,1.734,-0.647,-1.871,0.271,0.07,-0.395,-0.499,1.051,1.698,2.499,5.409,5.58,7.414,9.202,11.769,8.643,7.608,13.936,13.129,16.232,15.044,17.741,9.486,7.971
West Virginia,Overall,retail/recreation,6.759,4.783,3.225,3.741,1.794,0.302,7.971,8.36,3.633,9.613,13.642,4.781,8.118,12.993,21.84,11.648,19.69,15.793,13.385,0.596,12.117,18.077,12.726,10.859,10.369,11.735,6.652,-0.195,-3.239,-0.835,-4.642,-17.979,-22.212,-30.318,-35.308,-39.891,-33.746,-35.631,-46.164,-39.954,-43.502,-41.965,-37.6
West Virginia,Overall,transitstations,3.407,3.141,4.603,2.258,2.013,-1.936,2.788,8.65,3.73,2.877,4.893,3.295,2.815,6.969,17.561,4.712,5.946,8.657,7.688,4.927,13.706,25.162,7.264,3.644,7.152,7.688,6.335,4.878,12.581,1.178,-2.11,-3.576,-9.701,-19.004,-16.726,-17.561,-25.522,-23.017,-27.102,-28.006,-35.721,-31.826,-31.453
West Virginia,Overall,workplace,0.54,-14.524,0.944,0.613,1.576,1.755,2.887,3.375,2.244,2.174,1.955,-3.32,-0.719,1.819,3.645,2.192,2.579,1.972,2.565,0.351,2.531,3.375,0.103,0.017,-0.249,0.017,-2.579,-1.898,-4.95,-12.948,-15.929,-20.748,-22.651,-26.391,-21.907,-26.865,-33.295,-37.066,-41.976,-41.076,-41.008,-29.618,-32.625
