state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Wisconsin,Marquette County,2020-02-16,11.393,34.115,-1.575,10.739,-0.611,6.378
Wisconsin,Marquette County,2020-02-17,3.655,-1.387,2.981,3.956,-6.937,-5.593
Wisconsin,Marquette County,2020-02-18,3.592,17.48,0.454,,3.344,-2.029
Wisconsin,Marquette County,2020-02-19,-3.472,0.272,0.106,9.579,-0.143,1.362
Wisconsin,Marquette County,2020-02-20,-5.208,-1.562,0.326,-1.12,0.139,6.853
Wisconsin,Marquette County,2020-02-21,-7.911,8.521,0.751,0.777,3.973,
Wisconsin,Marquette County,2020-02-22,5.787,50.397,-1.87,8.828,8.929,-5.896
Wisconsin,Marquette County,2020-02-23,16.276,65.309,-2.267,18.256,7.57,-2.126
Wisconsin,Marquette County,2020-02-24,7.31,9.291,-0.252,-1.319,-1.202,2.097
Wisconsin,Marquette County,2020-02-25,5.388,8.111,0.336,-2.541,-0.334,0.676
Wisconsin,Marquette County,2020-02-26,-1.736,6.33,-0.286,-1.197,0.808,
Wisconsin,Marquette County,2020-02-27,-3.472,4.817,-0.398,-1.12,4.367,3.427
Wisconsin,Marquette County,2020-02-28,-2.637,7.101,0.206,3.109,7.856,1.457
Wisconsin,Marquette County,2020-02-29,2.894,28.307,-2.014,14.124,10.333,-5.896
Wisconsin,Marquette County,2020-03-01,4.883,90.37,-2.614,12.887,11.05,2.126
Wisconsin,Marquette County,2020-03-02,,19.484,-0.44,7.911,-0.046,2.796
Wisconsin,Marquette County,2020-03-03,,15.802,0.331,16.514,3.822,
Wisconsin,Marquette County,2020-03-04,8.681,25.729,-0.852,13.17,4.895,3.404
Wisconsin,Marquette County,2020-03-05,10.417,7.291,0.155,4.48,4.182,2.056
Wisconsin,Marquette County,2020-03-06,-10.549,14.584,0.106,9.328,7.99,-0.728
Wisconsin,Marquette County,2020-03-07,26.042,52.358,-1.965,18.538,15.05,7.862
Wisconsin,Marquette County,2020-03-08,22.786,132.838,-2.329,17.182,14.958,-4.252
Wisconsin,Marquette County,2020-03-09,7.31,-1.179,0.853,-7.911,-4.44,-5.593
Wisconsin,Marquette County,2020-03-10,8.98,38.176,-0.164,,4.156,-5.411
Wisconsin,Marquette County,2020-03-11,6.944,15.315,0.002,-2.395,2.566,-6.127
Wisconsin,Marquette County,2020-03-12,31.25,10.611,0.693,3.36,1.673,-4.797
Wisconsin,Marquette County,2020-03-13,19.778,13.0,1.748,2.332,2.232,-8.741
Wisconsin,Marquette County,2020-03-14,52.083,2.199,2.741,15.89,-2.246,3.931
Wisconsin,Marquette County,2020-03-15,24.414,46.733,2.283,3.222,-6.838,-2.126
Wisconsin,Marquette County,2020-03-16,36.55,6.795,6.377,-1.319,-16.094,-4.195
Wisconsin,Marquette County,2020-03-17,30.532,57.754,9.463,2.541,-11.369,-10.823
Wisconsin,Marquette County,2020-03-18,10.417,-5.173,13.548,-34.722,-21.194,-19.744
