state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Wisconsin,Marquette County,2020-02-16,11.393,,,10.739,,6.378
Wisconsin,Marquette County,2020-02-17,3.655,,,3.956,,-5.593
Wisconsin,Marquette County,2020-02-18,3.592,,,,,-2.029
Wisconsin,Marquette County,2020-02-19,-3.472,,,9.579,,1.362
Wisconsin,Marquette County,2020-02-20,-5.208,,,-1.12,,6.853
Wisconsin,Marquette County,2020-02-21,-7.911,,,0.777,,
Wisconsin,Marquette County,2020-02-22,5.787,,,8.828,,-5.896
Wisconsin,Marquette County,2020-02-23,16.276,,,18.256,,-2.126
Wisconsin,Marquette County,2020-02-24,7.31,,,-1.319,,2.097
Wisconsin,Marquette County,2020-02-25,5.388,,,-2.541,,0.676
Wisconsin,Marquette County,2020-02-26,-1.736,,,-1.197,,
Wisconsin,Marquette County,2020-02-27,-3.472,,,-1.12,,3.427
Wisconsin,Marquette County,2020-02-28,-2.637,,,3.109,,1.457
Wisconsin,Marquette County,2020-02-29,2.894,,,14.124,,-5.896
Wisconsin,Marquette County,2020-03-01,4.883,,,12.887,,2.126
Wisconsin,Marquette County,2020-03-02,,,,7.911,,2.796
Wisconsin,Marquette County,2020-03-03,,,,16.514,,
Wisconsin,Marquette County,2020-03-04,8.681,,,13.17,,3.404
Wisconsin,Marquette County,2020-03-05,10.417,,,4.48,,2.056
Wisconsin,Marquette County,2020-03-06,-10.549,,,9.328,,-0.728
Wisconsin,Marquette County,2020-03-07,26.042,,,18.538,,7.862
Wisconsin,Marquette County,2020-03-08,22.786,,,17.182,,-4.252
Wisconsin,Marquette County,2020-03-09,7.31,,,-7.911,,-5.593
Wisconsin,Marquette County,2020-03-10,8.98,,,,,-5.411
Wisconsin,Marquette County,2020-03-11,6.944,,,-2.395,,-6.127
Wisconsin,Marquette County,2020-03-12,31.25,,,3.36,,-4.797
Wisconsin,Marquette County,2020-03-13,19.778,,,2.332,,-8.741
Wisconsin,Marquette County,2020-03-14,52.083,,,15.89,,3.931
Wisconsin,Marquette County,2020-03-15,24.414,,,3.222,,-2.126
Wisconsin,Marquette County,2020-03-16,36.55,,,-1.319,,-4.195
Wisconsin,Marquette County,2020-03-17,30.532,,,2.541,,-10.823
Wisconsin,Marquette County,2020-03-18,10.417,,,-34.722,,-19.744
Wisconsin,Marquette County,2020-03-19,12.153,,,-41.443,,-18.503
Wisconsin,Marquette County,2020-03-20,10.549,,,-48.974,,-21.853
Wisconsin,Marquette County,2020-03-21,27.488,,,-44.138,,-21.619
Wisconsin,Marquette County,2020-03-22,-11.393,,,-46.177,,-31.888
Wisconsin,Marquette County,2020-03-23,20.102,,,-34.283,,-21.672
Wisconsin,Marquette County,2020-03-24,1.796,,,-38.11,,-27.056
Wisconsin,Marquette County,2020-03-25,-6.944,,,-41.906,,-27.914
Wisconsin,Marquette County,2020-03-26,-15.625,,,-41.443,,-29.468
Wisconsin,Marquette County,2020-03-27,-14.504,,,-52.083,,-30.594
