state,county,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Wyoming,Albany County,grocery/pharmacy,-7.336,-3.531,11.218,-6.614,,-3.858,-2.572,-4.401,1.766,-8.013,3.307,1.555,16.718,3.858,-11.737,19.421,6.41,14.881,3.109,11.574,12.86,-4.401,15.89,6.41,13.228,38.868,29.578,18.004,4.401,35.311,30.449,31.415,9.328,-2.572,-5.144,-13.204,10.593,,-8.267,-15.547,-19.29,-28.292,-27.876
Wyoming,Albany County,parks,-0.368,2.225,2.884,-2.035,4.021,13.927,15.861,6.994,-0.89,-4.532,1.628,4.423,20.326,10.244,-20.982,0.445,2.884,6.919,18.497,31.995,39.323,2.945,18.69,15.245,16.28,4.423,-1.506,-14.54,2.945,15.575,24.31,15.873,-26.539,-16.562,18.835,9.203,32.93,11.537,-0.407,12.063,-3.764,-8.922,29.449
Wyoming,Albany County,residential,0.12,6.349,-0.162,0.253,-0.251,-0.499,-1.395,-0.249,1.176,2.609,-0.606,-0.803,-1.53,-2.194,1.576,0.007,-0.688,-0.825,-1.079,-1.069,-2.51,-0.121,-1.022,-1.035,-1.296,0.094,2.916,3.366,1.732,4.178,6.034,7.495,14.504,15.32,8.882,7.893,10.557,12.612,13.887,14.583,17.036,11.419,8.291
Wyoming,Albany County,retail/recreation,9.284,5.284,5.433,2.535,12.216,12.383,18.743,12.002,2.516,0.236,10.371,15.991,17.3,14.598,1.359,9.058,9.448,13.827,20.434,16.754,20.004,16.304,17.11,11.81,15.441,24.876,6.374,-0.901,-0.226,6.29,1.89,-7.836,-29.984,-39.336,-39.108,-37.138,-25.664,-29.998,-35.26,-33.982,-49.534,-47.758,-43.252
Wyoming,Albany County,transitstations,-42.122,19.769,5.752,-5.723,10.604,30.242,18.884,,-1.521,4.473,11.447,20.584,28.226,23.148,-18.784,-48.662,-64.545,13.164,12.475,18.817,26.803,2.277,8.364,8.947,9.158,25.574,22.849,36.55,3.985,6.083,10.864,1.145,-13.099,30.914,41.423,-1.708,9.124,8.308,-4.579,-4.99,6.72,19.493,1.138
Wyoming,Albany County,workplace,-1.052,-14.13,10.765,8.706,7.82,12.097,3.388,6.313,10.187,8.232,7.774,9.072,13.441,-5.081,-1.052,11.83,11.082,9.639,9.072,11.425,-1.694,3.157,14.458,12.031,10.572,7.82,3.024,-11.009,-10.522,-23.002,-26.912,-34.515,-37.225,-38.306,-26.253,-30.513,-35.818,-39.26,-40.734,-41.291,-42.675,-29.641,-30.513
Wyoming,Campbell County,grocery/pharmacy,9.557,2.126,8.278,6.209,8.278,11.646,16.325,27.714,-3.543,-14.487,9.658,17.936,13.587,12.438,6.69,6.378,2.759,7.588,12.417,16.822,14.77,10.512,25.51,13.797,17.936,20.695,28.468,20.211,28.67,28.345,27.594,17.246,8.968,23.939,21.766,9.557,11.338,3.449,-11.038,-7.588,-6.47,-11.66,-1.911
Wyoming,Campbell County,parks,-0.368,2.225,2.884,-2.035,4.021,13.927,15.861,6.994,-0.89,-4.532,1.628,4.423,20.326,10.244,-20.982,0.445,2.884,6.919,18.497,31.995,39.323,2.945,18.69,15.245,16.28,4.423,-1.506,-14.54,2.945,15.575,24.31,15.873,-26.539,-16.562,18.835,9.203,32.93,11.537,-0.407,12.063,-3.764,-8.922,29.449
Wyoming,Campbell County,residential,0.12,6.349,-0.162,0.253,-0.251,-0.499,-1.395,-0.249,1.176,2.609,-0.606,-0.803,-1.53,-2.194,1.576,0.007,-0.688,-0.825,-1.079,-1.069,-2.51,-0.121,-1.022,-1.035,-1.296,0.094,2.916,3.366,1.732,4.178,6.034,7.495,14.504,15.32,8.882,7.893,10.557,12.612,13.887,14.583,17.036,11.419,8.291
Wyoming,Campbell County,retail/recreation,1.377,-2.753,,0.293,5.28,9.31,8.299,9.331,-11.013,-10.357,8.632,7.848,16.229,9.909,4.742,9.637,7.102,11.85,13.271,13.964,13.625,2.447,10.554,10.801,9.071,5.85,3.271,-10.528,-7.342,-1.836,-1.036,-6.876,-19.121,-24.532,-33.69,-37.934,-21.721,-27.669,-31.455,-31.678,-32.835,-38.025,-33.728
Wyoming,Campbell County,transitstations,-11.963,6.304,5.288,-2.358,5.995,16.417,14.47,-0.328,-3.152,-3.241,4.558,9.235,16.904,18.794,-13.274,-18.171,-17.91,9.902,8.425,15.604,20.956,4.425,7.602,8.187,6.287,9.721,3.251,7.651,-0.328,3.152,3.582,-1.729,-26.57,-8.127,9.314,-10.979,-3.894,-8.699,-12.103,-14.095,-13.491,-7.152,-14.421
Wyoming,Campbell County,workplace,-5.029,-22.565,0.768,-0.748,1.517,1.322,-1.177,4.31,1.574,-20.987,3.24,3.54,4.23,1.177,4.31,4.985,6.654,4.486,3.54,4.759,1.177,,6.822,4.607,3.24,1.77,2.379,-4.12,-3.592,-14.694,-17.66,-20.933,-23.261,-24.588,-18.832,-19.397,-28.075,-29.433,-32.895,-33.627,-33.841,-25.306,-22.989
Wyoming,Carbon County,grocery/pharmacy,-4.883,6.313,9.615,1.51,14.671,2.604,,4.883,4.735,8.013,-3.019,-1.467,10.417,5.411,-11.393,4.735,12.821,12.077,1.467,5.208,-4.058,6.51,15.783,19.231,10.568,30.81,19.531,13.528,16.276,29.987,41.667,24.155,,19.531,6.764,-9.766,,-3.205,,-10.27,-15.625,-9.47,-14.648
Wyoming,Carbon County,parks,-0.368,2.225,2.884,-2.035,4.021,13.927,15.861,6.994,-0.89,-4.532,1.628,4.423,20.326,10.244,-20.982,0.445,2.884,6.919,18.497,31.995,39.323,2.945,18.69,15.245,16.28,4.423,-1.506,-14.54,2.945,15.575,24.31,15.873,-26.539,-16.562,18.835,9.203,32.93,11.537,-0.407,12.063,-3.764,-8.922,29.449
Wyoming,Carbon County,residential,0.12,6.349,-0.162,0.253,-0.251,-0.499,-1.395,-0.249,1.176,2.609,-0.606,-0.803,-1.53,-2.194,1.576,0.007,-0.688,-0.825,-1.079,-1.069,-2.51,-0.121,-1.022,-1.035,-1.296,0.094,2.916,3.366,1.732,4.178,6.034,7.495,14.504,15.32,8.882,7.893,10.557,12.612,13.887,14.583,17.036,11.419,8.291
Wyoming,Carbon County,retail/recreation,-8.681,-0.709,8.737,6.53,1.883,16.352,-2.993,7.891,-9.921,1.344,0.311,-3.138,23.014,-1.197,-5.524,-2.834,15.457,5.286,13.178,17.563,13.17,14.205,9.921,13.777,10.883,28.865,16.049,5.987,14.205,12.046,4.704,-5.908,-20.708,-26.042,-24.545,-23.674,-31.179,-36.962,-40.734,-39.533,-38.154,-39.511,-30.777
Wyoming,Carbon County,transitstations,-49.661,5.697,7.588,-14.286,9.409,41.349,9.058,1.211,-15.462,-4.829,2.381,10.753,39.758,18.763,-22.408,-71.615,-74.503,16.071,12.769,42.939,21.998,4.239,8.138,7.588,9.524,18.145,25.445,27.174,1.211,9.766,7.588,-3.571,-18.145,15.108,33.644,-3.634,6.51,4.139,-8.333,-12.769,18.289,7.764,-15.746
Wyoming,Carbon County,workplace,-2.042,-17.218,3.333,,-0.801,7.062,5.297,-2.042,4.304,3.333,2.367,,0.883,3.531,2.042,0.861,-2.5,3.157,-4.006,-3.531,-1.766,8.17,7.748,4.167,,0.801,-2.648,-3.531,,-10.331,-15.0,-19.729,-20.833,-23.835,-22.952,-26.552,-26.687,-27.5,-32.355,-30.449,-32.662,-35.311,-36.765
Wyoming,Converse County,grocery/pharmacy,-5.541,-7.011,-1.011,-5.841,2.976,14.62,12.376,14.406,9.014,4.045,5.841,19.841,24.671,26.815,15.514,11.018,22.249,19.47,28.77,20.102,16.502,13.298,16.026,19.215,16.55,26.786,21.93,18.564,16.622,29.046,31.351,23.364,4.96,0.914,17.533,4.433,12.019,11.125,-3.894,10.913,-0.914,,-3.324
Wyoming,Converse County,parks,-0.368,2.225,2.884,-2.035,4.021,13.927,15.861,6.994,-0.89,-4.532,1.628,4.423,20.326,10.244,-20.982,0.445,2.884,6.919,18.497,31.995,39.323,2.945,18.69,15.245,16.28,4.423,-1.506,-14.54,2.945,15.575,24.31,15.873,-26.539,-16.562,18.835,9.203,32.93,11.537,-0.407,12.063,-3.764,-8.922,29.449
Wyoming,Converse County,residential,0.12,6.349,-0.162,0.253,-0.251,-0.499,-1.395,-0.249,1.176,2.609,-0.606,-0.803,-1.53,-2.194,1.576,0.007,-0.688,-0.825,-1.079,-1.069,-2.51,-0.121,-1.022,-1.035,-1.296,0.094,2.916,3.366,1.732,4.178,6.034,7.495,14.504,15.32,8.882,7.893,10.557,12.612,13.887,14.583,17.036,11.419,8.291
Wyoming,Converse County,retail/recreation,-8.333,-14.423,-5.351,-8.261,-2.759,-8.681,0.755,-9.375,-13.622,-9.275,-0.718,9.658,,9.813,-17.708,-13.622,4.994,2.874,5.519,,15.097,1.042,6.41,-2.14,-9.698,-15.866,-14.261,-15.851,-19.792,-22.436,-26.398,-29.454,-39.321,-50.843,-46.8,-41.667,-37.66,-42.095,-41.667,-51.049,-52.703,-46.8,-43.75
Wyoming,Converse County,transitstations,-11.963,6.304,5.288,-2.358,5.995,16.417,14.47,-0.328,-3.152,-3.241,4.558,9.235,16.904,18.794,-13.274,-18.171,-17.91,9.902,8.425,15.604,20.956,4.425,7.602,8.187,6.287,9.721,3.251,7.651,-0.328,3.152,3.582,-1.729,-26.57,-8.127,9.314,-10.979,-3.894,-8.699,-12.103,-14.095,-13.491,-7.152,-14.421
Wyoming,Converse County,workplace,-10.629,-24.167,2.5,1.64,-0.833,-2.671,5.682,-10.629,-6.667,-0.833,-0.82,-1.667,-13.355,-5.682,-8.503,1.667,1.667,2.461,3.333,-2.671,,-2.126,1.667,1.667,1.64,-4.167,-9.793,-3.788,-8.503,-20.0,-21.667,-19.685,-29.167,-25.819,-17.045,-19.133,-28.333,-30.833,-31.168,-31.667,-30.271,-20.833,-23.384
Wyoming,Fremont County,grocery/pharmacy,2.203,-2.115,-2.083,-7.301,-1.447,-2.615,,-2.203,5.288,1.042,-0.487,4.823,7.409,16.768,5.979,10.575,7.292,9.735,5.787,-5.666,3.049,13.532,7.403,10.417,8.762,16.879,14.819,20.325,23.603,27.496,11.458,7.301,2.894,-3.051,-4.573,-9.756,-8.989,-9.896,-17.037,-16.879,-17.87,-18.547,-17.309
Wyoming,Fremont County,parks,-0.368,2.225,2.884,-2.035,4.021,13.927,15.861,6.994,-0.89,-4.532,1.628,4.423,20.326,10.244,-20.982,0.445,2.884,6.919,18.497,31.995,39.323,2.945,18.69,15.245,16.28,4.423,-1.506,-14.54,2.945,15.575,24.31,15.873,-26.539,-16.562,18.835,9.203,32.93,11.537,-0.407,12.063,-3.764,-8.922,29.449
Wyoming,Fremont County,residential,0.12,6.349,-0.162,0.253,-0.251,-0.499,-1.395,-0.249,1.176,2.609,-0.606,-0.803,-1.53,-2.194,1.576,0.007,-0.688,-0.825,-1.079,-1.069,-2.51,-0.121,-1.022,-1.035,-1.296,0.094,2.916,3.366,1.732,4.178,6.034,7.495,14.504,15.32,8.882,7.893,10.557,12.612,13.887,14.583,17.036,11.419,8.291
Wyoming,Fremont County,retail/recreation,11.253,9.234,6.223,4.856,10.696,0.604,7.02,15.432,10.099,12.446,17.725,26.507,27.402,21.739,9.002,30.875,35.714,20.396,13.718,7.858,12.908,27.649,22.507,17.316,12.383,7.208,3.224,-1.359,6.752,8.368,-4.87,-14.083,-26.042,-34.857,-37.364,-32.15,-26.547,-29.221,-36.665,-39.295,-40.095,-38.723,-31.829
Wyoming,Fremont County,transitstations,-11.963,6.304,5.288,-2.358,5.995,16.417,14.47,-0.328,-3.152,-3.241,4.558,9.235,16.904,18.794,-13.274,-18.171,-17.91,9.902,8.425,15.604,20.956,4.425,7.602,8.187,6.287,9.721,3.251,7.651,-0.328,3.152,3.582,-1.729,-26.57,-8.127,9.314,-10.979,-3.894,-8.699,-12.103,-14.095,-13.491,-7.152,-14.421
Wyoming,Fremont County,workplace,4.125,-20.901,3.225,0.631,2.541,3.404,2.441,6.188,7.754,4.515,2.21,4.129,-6.127,4.069,3.094,8.765,7.095,2.525,-0.318,-2.723,3.255,9.282,7.416,5.805,1.263,2.223,0.681,7.324,6.188,-15.844,-24.51,-33.144,-31.758,-34.382,-23.6,-21.658,-36.745,-38.377,-41.982,-41.603,-40.509,-28.483,-27.847
Wyoming,Goshen County,grocery/pharmacy,3.255,5.388,3.472,-5.297,-1.708,,-4.401,6.51,1.796,-5.208,7.062,5.123,12.255,,9.766,12.572,12.153,15.89,8.538,12.255,17.606,11.393,12.572,8.681,22.952,27.322,26.042,-5.869,8.138,59.267,39.931,42.373,-5.123,3.064,-4.401,-16.276,8.98,1.736,14.124,-1.708,-7.659,-19.073,-17.904
Wyoming,Goshen County,parks,-0.368,2.225,2.884,-2.035,4.021,13.927,15.861,6.994,-0.89,-4.532,1.628,4.423,20.326,10.244,-20.982,0.445,2.884,6.919,18.497,31.995,39.323,2.945,18.69,15.245,16.28,4.423,-1.506,-14.54,2.945,15.575,24.31,15.873,-26.539,-16.562,18.835,9.203,32.93,11.537,-0.407,12.063,-3.764,-8.922,29.449
Wyoming,Goshen County,residential,0.12,6.349,-0.162,0.253,-0.251,-0.499,-1.395,-0.249,1.176,2.609,-0.606,-0.803,-1.53,-2.194,1.576,0.007,-0.688,-0.825,-1.079,-1.069,-2.51,-0.121,-1.022,-1.035,-1.296,0.094,2.916,3.366,1.732,4.178,6.034,7.495,14.504,15.32,8.882,7.893,10.557,12.612,13.887,14.583,17.036,11.419,8.291
Wyoming,Goshen County,retail/recreation,4.464,,-4.48,-4.579,2.003,8.013,15.953,25.298,-3.72,-2.24,13.736,7.011,21.813,4.692,-1.488,3.72,6.72,3.434,2.003,19.587,15.015,-1.488,-2.48,11.201,4.579,-11.018,-12.464,-31.907,-2.976,-1.24,-2.24,3.434,-32.051,-44.516,-39.414,-37.202,-17.361,-20.161,-14.881,-38.061,-40.954,-54.429,-25.298
Wyoming,Goshen County,transitstations,-11.963,6.304,5.288,-2.358,5.995,16.417,14.47,-0.328,-3.152,-3.241,4.558,9.235,16.904,18.794,-13.274,-18.171,-17.91,9.902,8.425,15.604,20.956,4.425,7.602,8.187,6.287,9.721,3.251,7.651,-0.328,3.152,3.582,-1.729,-26.57,-8.127,9.314,-10.979,-3.894,-8.699,-12.103,-14.095,-13.491,-7.152,-14.421
Wyoming,Goshen County,workplace,0.579,-25.591,3.04,1.614,1.43,3.515,3.769,3.241,2.83,0.462,2.44,1.92,2.861,1.74,1.042,4.167,4.194,3.191,2.033,2.861,4.252,2.199,3.931,3.425,1.577,0.339,-3.31,-2.126,-3.125,-16.393,-19.086,-23.464,-29.172,-28.934,-21.262,-26.276,-30.309,-32.977,-34.802,-35.797,-34.942,-27.544,-29.285
Wyoming,Laramie County,grocery/pharmacy,2.245,-2.632,-0.217,-4.492,1.701,-0.568,9.452,1.347,-1.096,-7.611,9.411,3.401,9.091,14.66,3.592,4.825,11.526,9.197,9.566,10.417,22.762,12.572,17.544,14.135,12.192,26.786,27.841,22.762,15.266,41.447,32.62,29.517,-6.803,-5.682,-2.701,-12.572,-2.851,-6.959,-8.77,-8.503,-19.318,-24.498,-20.654
Wyoming,Laramie County,parks,-5.208,2.976,13.706,-1.389,30.81,47.222,50.781,-7.812,10.417,-12.336,20.833,17.606,38.889,20.833,-29.948,-2.976,2.741,29.167,45.481,83.333,121.094,16.927,25.298,20.559,16.667,8.803,-22.222,-26.042,3.906,31.25,-8.224,33.333,-45.481,-41.667,27.344,5.208,43.155,26.042,30.556,51.35,-31.944,-26.042,27.344
Wyoming,Laramie County,residential,-1.023,9.777,-0.111,1.139,-0.523,-1.324,-1.346,0.898,0.929,4.339,-1.187,-1.29,-2.502,-2.265,1.424,0.845,-0.359,-1.122,-2.16,-2.195,-3.481,-0.315,-0.561,-0.297,-0.811,-1.452,6.546,4.772,0.278,4.586,7.769,8.245,19.843,20.266,11.312,9.233,13.914,15.905,15.895,16.245,21.308,14.268,10.018
Wyoming,Laramie County,retail/recreation,10.935,7.331,0.98,-4.009,3.366,2.914,8.498,6.574,1.02,-11.275,10.351,6.503,6.44,11.457,-0.379,-0.191,11.703,8.975,10.04,6.534,10.646,10.24,9.626,8.211,6.462,4.792,-11.517,-13.081,-7.142,5.1,-9.13,-11.248,-45.922,-46.16,-41.819,-42.033,-30.345,-31.863,-33.446,-35.426,-48.041,-50.365,-40.896
Wyoming,Laramie County,transitstations,,17.239,9.651,-0.911,7.109,14.368,8.357,-6.146,7.336,-1.331,10.629,9.273,14.966,18.804,-12.291,-1.834,-0.666,11.54,8.964,11.973,16.714,1.229,17.606,1.997,3.644,6.8,-3.592,-4.477,-3.073,3.301,1.664,1.518,-35.856,-8.681,-0.298,-15.978,-4.768,-14.643,-11.237,-15.146,-15.864,-11.939,-16.593
Wyoming,Laramie County,workplace,2.223,-38.661,3.099,2.963,1.991,4.779,4.405,4.764,5.766,-0.547,2.604,3.711,4.584,2.332,6.034,5.672,4.466,4.58,4.616,5.169,9.328,8.575,5.482,2.916,2.335,0.905,-10.924,-5.442,0.318,-16.825,-20.232,-24.425,-39.006,-34.625,-23.321,-25.407,-34.218,-38.732,-39.332,-40.454,-41.159,-31.095,-29.217
Wyoming,Lincoln County,grocery/pharmacy,25.585,22.59,7.184,12.255,8.286,6.51,7.079,18.275,11.295,7.184,12.255,7.102,8.681,-3.034,10.965,17.57,11.973,15.931,10.653,2.17,8.091,16.447,18.825,10.776,15.931,34.328,36.892,17.193,14.62,46.436,21.552,17.157,13.021,5.425,-3.034,1.827,11.295,2.395,-1.225,4.735,-4.34,-7.079,-5.482
Wyoming,Lincoln County,parks,-0.368,2.225,2.884,-2.035,4.021,13.927,15.861,6.994,-0.89,-4.532,1.628,4.423,20.326,10.244,-20.982,0.445,2.884,6.919,18.497,31.995,39.323,2.945,18.69,15.245,16.28,4.423,-1.506,-14.54,2.945,15.575,24.31,15.873,-26.539,-16.562,18.835,9.203,32.93,11.537,-0.407,12.063,-3.764,-8.922,29.449
Wyoming,Lincoln County,residential,0.12,6.349,-0.162,0.253,-0.251,-0.499,-1.395,-0.249,1.176,2.609,-0.606,-0.803,-1.53,-2.194,1.576,0.007,-0.688,-0.825,-1.079,-1.069,-2.51,-0.121,-1.022,-1.035,-1.296,0.094,2.916,3.366,1.732,4.178,6.034,7.495,14.504,15.32,8.882,7.893,10.557,12.612,13.887,14.583,17.036,11.419,8.291
Wyoming,Lincoln County,retail/recreation,4.956,2.353,2.094,-0.404,4.709,2.941,7.315,8.371,-1.888,-0.838,7.65,9.029,10.152,12.768,0.091,5.316,11.001,9.105,11.151,8.061,12.791,8.976,9.44,8.656,8.189,5.821,-3.137,-7.091,-4.11,0.61,-7.287,-13.199,-31.202,-37.906,-38.663,-38.17,-28.03,-31.216,-35.207,-36.247,-41.719,-43.667,-37.264
Wyoming,Lincoln County,transitstations,-11.963,6.304,5.288,-2.358,5.995,16.417,14.47,-0.328,-3.152,-3.241,4.558,9.235,16.904,18.794,-13.274,-18.171,-17.91,9.902,8.425,15.604,20.956,4.425,7.602,8.187,6.287,9.721,3.251,7.651,-0.328,3.152,3.582,-1.729,-26.57,-8.127,9.314,-10.979,-3.894,-8.699,-12.103,-14.095,-13.491,-7.152,-14.421
Wyoming,Lincoln County,workplace,0.579,-25.591,3.04,1.614,1.43,3.515,3.769,3.241,2.83,0.462,2.44,1.92,2.861,1.74,1.042,4.167,4.194,3.191,2.033,2.861,4.252,2.199,3.931,3.425,1.577,0.339,-3.31,-2.126,-3.125,-16.393,-19.086,-23.464,-29.172,-28.934,-21.262,-26.276,-30.309,-32.977,-34.802,-35.797,-34.942,-27.544,-29.285
Wyoming,Overall,grocery/pharmacy,1.911,1.609,4.417,0.377,4.814,7.007,9.205,8.06,3.754,2.48,8.746,7.332,12.128,13.312,2.742,8.427,14.259,12.516,12.293,12.263,14.87,10.22,16.164,15.422,15.607,25.55,29.31,20.464,16.784,33.324,27.201,21.412,4.221,7.075,4.319,-6.564,2.988,-0.387,-5.881,-6.517,-8.085,-12.108,-13.212
Wyoming,Overall,parks,-0.368,2.225,2.884,-2.035,4.021,13.927,15.861,6.994,-0.89,-4.532,1.628,4.423,20.326,10.244,-20.982,0.445,2.884,6.919,18.497,31.995,39.323,2.945,18.69,15.245,16.28,4.423,-1.506,-14.54,2.945,15.575,24.31,15.873,-26.539,-16.562,18.835,9.203,32.93,11.537,-0.407,12.063,-3.764,-8.922,29.449
Wyoming,Overall,residential,0.12,6.349,-0.162,0.253,-0.251,-0.499,-1.395,-0.249,1.176,2.609,-0.606,-0.803,-1.53,-2.194,1.576,0.007,-0.688,-0.825,-1.079,-1.069,-2.51,-0.121,-1.022,-1.035,-1.296,0.094,2.916,3.366,1.732,4.178,6.034,7.495,14.504,15.32,8.882,7.893,10.557,12.612,13.887,14.583,17.036,11.419,8.291
Wyoming,Overall,retail/recreation,4.956,2.353,2.094,-0.404,4.709,2.941,7.315,8.371,-1.888,-0.838,7.65,9.029,10.152,12.768,0.091,5.316,11.001,9.105,11.151,8.061,12.791,8.976,9.44,8.656,8.189,5.821,-3.137,-7.091,-4.11,0.61,-7.287,-13.199,-31.202,-37.906,-38.663,-38.17,-28.03,-31.216,-35.207,-36.247,-41.719,-43.667,-37.264
Wyoming,Overall,transitstations,-11.963,6.304,5.288,-2.358,5.995,16.417,14.47,-0.328,-3.152,-3.241,4.558,9.235,16.904,18.794,-13.274,-18.171,-17.91,9.902,8.425,15.604,20.956,4.425,7.602,8.187,6.287,9.721,3.251,7.651,-0.328,3.152,3.582,-1.729,-26.57,-8.127,9.314,-10.979,-3.894,-8.699,-12.103,-14.095,-13.491,-7.152,-14.421
Wyoming,Overall,workplace,0.579,-25.591,3.04,1.614,1.43,3.515,3.769,3.241,2.83,0.462,2.44,1.92,2.861,1.74,1.042,4.167,4.194,3.191,2.033,2.861,4.252,2.199,3.931,3.425,1.577,0.339,-3.31,-2.126,-3.125,-16.393,-19.086,-23.464,-29.172,-28.934,-21.262,-26.276,-30.309,-32.977,-34.802,-35.797,-34.942,-27.544,-29.285
Wyoming,Platte County,grocery/pharmacy,14.62,15.723,3.788,-1.894,-3.592,6.72,1.766,5.482,19.654,,13.258,10.776,20.161,28.249,20.102,15.723,24.621,17.045,10.776,15.121,10.593,7.31,19.654,17.045,18.939,32.328,30.242,19.421,9.137,41.274,41.667,37.879,-5.388,11.761,7.062,,19.654,9.47,,5.388,-3.36,-8.828,-5.482
Wyoming,Platte County,parks,-0.368,2.225,2.884,-2.035,4.021,13.927,15.861,6.994,-0.89,-4.532,1.628,4.423,20.326,10.244,-20.982,0.445,2.884,6.919,18.497,31.995,39.323,2.945,18.69,15.245,16.28,4.423,-1.506,-14.54,2.945,15.575,24.31,15.873,-26.539,-16.562,18.835,9.203,32.93,11.537,-0.407,12.063,-3.764,-8.922,29.449
Wyoming,Platte County,residential,0.12,6.349,-0.162,0.253,-0.251,-0.499,-1.395,-0.249,1.176,2.609,-0.606,-0.803,-1.53,-2.194,1.576,0.007,-0.688,-0.825,-1.079,-1.069,-2.51,-0.121,-1.022,-1.035,-1.296,0.094,2.916,3.366,1.732,4.178,6.034,7.495,14.504,15.32,8.882,7.893,10.557,12.612,13.887,14.583,17.036,11.419,8.291
Wyoming,Platte County,retail/recreation,10.965,-8.929,2.815,-10.417,2.572,11.574,3.765,12.792,-5.952,-5.631,2.604,16.718,15.046,33.886,12.792,,9.854,11.719,16.718,20.833,25.1,29.24,11.905,14.077,10.417,6.43,4.63,8.785,23.757,,9.854,-2.604,-34.722,-45.139,-43.926,-34.722,-28.274,-40.822,-39.062,-33.436,-48.611,-41.416,-36.55
Wyoming,Platte County,transitstations,-11.963,6.304,5.288,-2.358,5.995,16.417,14.47,-0.328,-3.152,-3.241,4.558,9.235,16.904,18.794,-13.274,-18.171,-17.91,9.902,8.425,15.604,20.956,4.425,7.602,8.187,6.287,9.721,3.251,7.651,-0.328,3.152,3.582,-1.729,-26.57,-8.127,9.314,-10.979,-3.894,-8.699,-12.103,-14.095,-13.491,-7.152,-14.421
Wyoming,Platte County,workplace,0.579,-25.591,3.04,1.614,1.43,3.515,3.769,3.241,2.83,0.462,2.44,1.92,2.861,1.74,1.042,4.167,4.194,3.191,2.033,2.861,4.252,2.199,3.931,3.425,1.577,0.339,-3.31,-2.126,-3.125,-16.393,-19.086,-23.464,-29.172,-28.934,-21.262,-26.276,-30.309,-32.977,-34.802,-35.797,-34.942,-27.544,-29.285
Wyoming,Sheridan County,grocery/pharmacy,17.992,11.574,-2.422,2.385,13.993,31.829,16.523,34.091,14.881,,23.06,16.325,22.425,12.213,22.727,14.881,26.647,27.831,32.649,33.999,20.833,20.833,39.683,36.337,31.807,41.2,50.637,32.328,29.356,47.95,41.182,31.807,20.989,32.552,7.184,5.682,14.881,14.131,13.518,3.887,22.425,-10.776,7.576
Wyoming,Sheridan County,parks,-0.368,2.225,2.884,-2.035,4.021,13.927,15.861,6.994,-0.89,-4.532,1.628,4.423,20.326,10.244,-20.982,0.445,2.884,6.919,18.497,31.995,39.323,2.945,18.69,15.245,16.28,4.423,-1.506,-14.54,2.945,15.575,24.31,15.873,-26.539,-16.562,18.835,9.203,32.93,11.537,-0.407,12.063,-3.764,-8.922,29.449
Wyoming,Sheridan County,residential,0.12,6.349,-0.162,0.253,-0.251,-0.499,-1.395,-0.249,1.176,2.609,-0.606,-0.803,-1.53,-2.194,1.576,0.007,-0.688,-0.825,-1.079,-1.069,-2.51,-0.121,-1.022,-1.035,-1.296,0.094,2.916,3.366,1.732,4.178,6.034,7.495,14.504,15.32,8.882,7.893,10.557,12.612,13.887,14.583,17.036,11.419,8.291
Wyoming,Sheridan County,retail/recreation,3.551,-4.017,-0.791,3.165,7.622,9.235,11.416,11.837,-1.435,-0.527,10.549,8.13,7.732,3.669,10.653,9.757,8.175,7.384,12.195,8.806,8.765,6.806,17.218,10.285,10.285,1.27,-1.718,-15.696,-15.684,0.574,-12.131,-19.515,-26.677,-36.082,-38.935,-41.43,-23.244,-30.591,-31.909,-33.537,-33.505,-45.866,-35.215
