state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
ZW,Overall,2020-02-16,-2.506,-6.297,2.784,-7.605,-11.235,-2.236
ZW,Overall,2020-02-17,-1.933,-1.178,0.556,-2.636,-6.772,7.65
ZW,Overall,2020-02-18,4.102,,1.54,0.575,-6.406,7.487
ZW,Overall,2020-02-19,0.851,-3.894,0.604,-1.739,-8.0,4.835
ZW,Overall,2020-02-20,8.566,-1.624,-2.677,7.983,-5.576,2.027
ZW,Overall,2020-02-21,-11.468,-18.616,14.106,-18.795,-33.521,-57.636
ZW,Overall,2020-02-22,-3.029,0.53,1.556,-6.802,-18.385,-3.678
ZW,Overall,2020-02-23,-1.551,-2.519,1.047,-4.777,-8.922,-0.319
ZW,Overall,2020-02-24,-4.049,-8.246,2.561,-5.028,-16.688,1.562
ZW,Overall,2020-02-25,1.398,-5.062,0.252,-1.486,-15.659,6.192
ZW,Overall,2020-02-26,3.498,-2.225,-1.196,-0.483,-11.152,5.963
ZW,Overall,2020-02-27,6.948,-2.706,0.802,4.77,-10.91,6.486
ZW,Overall,2020-02-28,7.41,-4.528,-0.611,5.669,-12.926,7.36
ZW,Overall,2020-02-29,5.874,-0.53,0.278,1.36,-11.677,4.689
ZW,Overall,2020-03-01,8.831,-3.778,1.517,4.525,-6.278,6.867
ZW,Overall,2020-03-02,2.853,-4.712,1.964,0.683,-15.72,10.613
ZW,Overall,2020-03-03,3.916,-7.875,1.483,-0.383,-15.185,8.904
ZW,Overall,2020-03-04,6.902,-2.781,1.448,2.608,-8.97,8.985
ZW,Overall,2020-03-05,7.804,-1.624,0.967,2.531,-11.879,7.661
ZW,Overall,2020-03-06,6.44,-4.528,-0.871,2.18,-12.926,7.317
ZW,Overall,2020-03-07,5.965,,0.365,0.952,-11.429,4.781
ZW,Overall,2020-03-08,10.502,1.259,1.22,4.211,-6.939,10.06
ZW,Overall,2020-03-09,4.417,-2.356,1.609,-0.098,-7.981,11.254
ZW,Overall,2020-03-10,4.755,-0.563,0.759,1.486,-9.253,10.118
ZW,Overall,2020-03-11,7.753,-2.781,0.862,1.449,-7.758,10.073
ZW,Overall,2020-03-12,8.851,0.541,0.11,2.288,-9.697,8.959
ZW,Overall,2020-03-13,8.733,-4.025,-1.545,3.009,-13.803,8.429
ZW,Overall,2020-03-14,8.627,7.417,-0.675,0.907,-10.435,7.539
ZW,Overall,2020-03-15,6.564,-2.519,2.861,0.126,-6.609,8.144
ZW,Overall,2020-03-16,2.761,-2.945,1.153,-3.124,-9.432,11.855
ZW,Overall,2020-03-17,4.941,-7.313,1.341,-2.636,-14.473,9.592
ZW,Overall,2020-03-18,6.996,-10.013,2.286,-2.029,-12.849,8.663
ZW,Overall,2020-03-19,9.422,-9.201,2.12,0.487,-10.667,8.229
ZW,Overall,2020-03-20,7.939,-10.566,1.276,-2.486,-19.937,11.168
ZW,Overall,2020-03-21,8.26,-6.357,3.812,-4.716,-15.652,6.62
ZW,Overall,2020-03-22,3.461,-11.335,6.54,-7.919,-21.149,5.908
ZW,Overall,2020-03-23,9.571,-8.835,5.543,-5.028,-16.929,4.926
ZW,Overall,2020-03-24,14.357,-12.937,8.72,-6.566,-17.32,-9.632
ZW,Overall,2020-03-25,2.742,-15.575,15.289,-17.967,-25.456,-19.783
ZW,Overall,2020-03-26,0.761,-19.484,18.342,-20.541,-33.698,-27.038
ZW,Overall,2020-03-27,-5.91,-31.698,23.518,-27.953,-44.257,-29.824
ZW,Overall,2020-03-28,18.355,-13.774,13.225,-8.843,-18.634,-1.839
ZW,Overall,2020-03-29,23.868,-4.408,13.174,-1.697,-6.278,14.053
