state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
AU,Australian Capital Territory,2020-02-23,19.723,63.69,-2.81,11.781,26.521,2.63
AU,Australian Capital Territory,2020-02-24,10.965,4.927,-3.491,1.27,20.244,28.074
AU,Australian Capital Territory,2020-02-25,2.902,4.366,-3.518,1.316,13.336,26.087
AU,Australian Capital Territory,2020-02-26,8.789,18.263,-2.933,1.346,17.148,24.159
AU,Australian Capital Territory,2020-02-27,7.085,19.189,-4.526,7.448,22.416,22.266
AU,Australian Capital Territory,2020-02-28,9.116,47.02,-4.004,10.595,25.264,26.861
AU,Australian Capital Territory,2020-02-29,12.328,90.361,-2.983,16.197,27.235,10.814
AU,Australian Capital Territory,2020-03-01,20.892,71.429,-2.322,11.489,21.408,3.42
AU,Australian Capital Territory,2020-03-02,13.264,13.373,-3.283,1.046,19.851,28.455
AU,Australian Capital Territory,2020-03-03,5.482,8.733,-2.479,1.281,9.732,21.994
AU,Australian Capital Territory,2020-03-04,6.022,-37.879,-0.518,-4.073,2.554,22.472
AU,Australian Capital Territory,2020-03-05,6.331,-32.209,-1.782,0.686,11.114,20.953
AU,Australian Capital Territory,2020-03-06,15.244,20.978,-3.773,3.592,19.588,24.291
AU,Australian Capital Territory,2020-03-07,8.588,85.969,-3.377,5.504,12.354,4.193
AU,Australian Capital Territory,2020-03-08,7.743,50.0,-3.138,1.678,1.917,-0.263
AU,Australian Capital Territory,2020-03-09,13.618,78.829,10.842,-4.259,-25.943,-74.505
AU,Australian Capital Territory,2020-03-10,10.32,0.624,-2.704,-0.64,8.651,23.766
AU,Australian Capital Territory,2020-03-11,13.184,18.939,-2.287,-0.345,8.027,23.195
AU,Australian Capital Territory,2020-03-12,13.869,17.818,-3.112,4.325,16.576,21.072
AU,Australian Capital Territory,2020-03-13,20.475,31.829,-1.968,4.799,12.815,25.576
AU,Australian Capital Territory,2020-03-14,27.288,13.805,1.642,5.001,-3.65,8.166
AU,Australian Capital Territory,2020-03-15,30.096,48.81,0.4,3.283,2.876,3.157
AU,Australian Capital Territory,2020-03-16,41.914,0.704,-0.362,-0.897,2.162,23.946
AU,Australian Capital Territory,2020-03-17,34.023,-7.485,1.383,-2.633,-12.976,17.962
AU,Australian Capital Territory,2020-03-18,43.62,2.029,3.569,-4.936,-15.324,12.893
AU,Australian Capital Territory,2020-03-19,38.29,3.427,3.203,-2.471,-12.244,10.208
AU,Australian Capital Territory,2020-03-20,33.028,18.084,5.32,-7.274,-14.096,11.824
AU,Australian Capital Territory,2020-03-21,26.457,54.593,4.602,-9.624,-20.777,0.662
AU,Australian Capital Territory,2020-03-22,26.443,45.833,4.495,-11.671,-27.16,-8.418
AU,Australian Capital Territory,2020-03-23,34.486,-7.742,6.856,-14.683,-25.943,3.874
AU,Australian Capital Territory,2020-03-24,9.03,-6.861,14.221,-31.698,-45.595,-18.573
AU,Australian Capital Territory,2020-03-25,12.858,-5.411,17.027,-34.584,-49.073,-23.797
AU,Australian Capital Territory,2020-03-26,9.648,8.224,17.276,-33.807,-49.729,-29.131
AU,Australian Capital Territory,2020-03-27,16.141,4.34,20.674,-37.459,-51.809,-28.339
AU,Australian Capital Territory,2020-03-28,4.433,26.355,13.483,-39.188,-49.416,-24.497
AU,Australian Capital Territory,2020-03-29,-2.922,39.286,11.778,-42.017,-53.681,-32.092
AU,Australian Capital Territory,2020-03-30,0.884,-19.003,19.176,-43.378,-56.211,-35.76
AU,Australian Capital Territory,2020-03-31,-4.999,-7.485,21.238,-43.367,-60.193,-43.622
AU,Australian Capital Territory,2020-04-01,0.814,,22.815,-43.109,-59.654,-46.511
AU,Australian Capital Territory,2020-04-02,-7.537,-44.545,24.21,-46.06,-66.305,-49.009
AU,Australian Capital Territory,2020-04-03,4.932,-21.701,25.741,-43.043,-62.244,-45.368
AU,Australian Capital Territory,2020-04-04,0.831,-32.631,15.819,-43.308,-62.612,-32.883
AU,Australian Capital Territory,2020-04-05,-3.214,-7.738,13.228,-41.141,-63.906,-37.353
AU,New South Wales,2020-02-23,6.073,7.146,-0.113,3.49,1.478,-0.643
AU,New South Wales,2020-02-24,1.369,-5.577,-1.804,-1.05,7.104,18.191
AU,New South Wales,2020-02-25,-1.994,-4.388,-1.873,-3.356,9.181,15.173
AU,New South Wales,2020-02-26,-1.723,-3.547,-1.499,-3.531,7.619,14.915
AU,New South Wales,2020-02-27,3.563,4.274,-1.936,2.757,10.67,16.121
AU,New South Wales,2020-02-28,4.756,3.516,-3.73,3.028,12.226,18.74
AU,New South Wales,2020-02-29,9.003,13.362,-2.071,6.323,15.678,4.25
AU,New South Wales,2020-03-01,9.036,28.359,-0.707,3.805,4.202,0.094
AU,New South Wales,2020-03-02,4.792,-7.004,-1.846,-1.252,7.454,19.191
AU,New South Wales,2020-03-03,6.37,-27.831,-1.327,-4.064,5.89,15.492
AU,New South Wales,2020-03-04,14.757,-31.449,0.083,-2.89,2.112,13.879
AU,New South Wales,2020-03-05,7.621,-39.734,0.573,-3.248,1.948,14.699
AU,New South Wales,2020-03-06,14.381,-11.314,-2.274,1.723,5.825,17.686
AU,New South Wales,2020-03-07,15.954,-0.888,-0.441,3.356,5.121,3.76
AU,New South Wales,2020-03-08,11.525,-1.097,1.261,2.099,-6.82,-0.362
AU,New South Wales,2020-03-09,8.849,-17.282,-0.497,-1.58,4.379,16.402
AU,New South Wales,2020-03-10,6.35,-15.257,-0.674,-4.533,1.467,14.029
AU,New South Wales,2020-03-11,7.573,-5.242,-0.606,-3.89,1.74,13.686
