state,county,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
AU,Australian Capital Territory,grocery/pharmacy,19.723,10.965,2.902,8.789,7.085,9.116,12.328,20.892,13.264,5.482,6.022,6.331,15.244,8.588,7.743,13.618,10.32,13.184,13.869,20.475,27.288,30.096,41.914,34.023,43.62,38.29,33.028,26.457,26.443,34.486,9.03,12.858,9.648,16.141,4.433,-2.922,0.884,-4.999,0.814,-7.537,4.932,0.831,-3.214
AU,Australian Capital Territory,parks,63.69,4.927,4.366,18.263,19.189,47.02,90.361,71.429,13.373,8.733,-37.879,-32.209,20.978,85.969,50.0,78.829,0.624,18.939,17.818,31.829,13.805,48.81,0.704,-7.485,2.029,3.427,18.084,54.593,45.833,-7.742,-6.861,-5.411,8.224,4.34,26.355,39.286,-19.003,-7.485,,-44.545,-21.701,-32.631,-7.738
AU,Australian Capital Territory,residential,-2.81,-3.491,-3.518,-2.933,-4.526,-4.004,-2.983,-2.322,-3.283,-2.479,-0.518,-1.782,-3.773,-3.377,-3.138,10.842,-2.704,-2.287,-3.112,-1.968,1.642,0.4,-0.362,1.383,3.569,3.203,5.32,4.602,4.495,6.856,14.221,17.027,17.276,20.674,13.483,11.778,19.176,21.238,22.815,24.21,25.741,15.819,13.228
AU,Australian Capital Territory,retail/recreation,11.781,1.27,1.316,1.346,7.448,10.595,16.197,11.489,1.046,1.281,-4.073,0.686,3.592,5.504,1.678,-4.259,-0.64,-0.345,4.325,4.799,5.001,3.283,-0.897,-2.633,-4.936,-2.471,-7.274,-9.624,-11.671,-14.683,-31.698,-34.584,-33.807,-37.459,-39.188,-42.017,-43.378,-43.367,-43.109,-46.06,-43.043,-43.308,-41.141
AU,Australian Capital Territory,transitstations,26.521,20.244,13.336,17.148,22.416,25.264,27.235,21.408,19.851,9.732,2.554,11.114,19.588,12.354,1.917,-25.943,8.651,8.027,16.576,12.815,-3.65,2.876,2.162,-12.976,-15.324,-12.244,-14.096,-20.777,-27.16,-25.943,-45.595,-49.073,-49.729,-51.809,-49.416,-53.681,-56.211,-60.193,-59.654,-66.305,-62.244,-62.612,-63.906
AU,Australian Capital Territory,workplace,2.63,28.074,26.087,24.159,22.266,26.861,10.814,3.42,28.455,21.994,22.472,20.953,24.291,4.193,-0.263,-74.505,23.766,23.195,21.072,25.576,8.166,3.157,23.946,17.962,12.893,10.208,11.824,0.662,-8.418,3.874,-18.573,-23.797,-29.131,-28.339,-24.497,-32.092,-35.76,-43.622,-46.511,-49.009,-45.368,-32.883,-37.353
AU,New South Wales,grocery/pharmacy,6.073,1.369,-1.994,-1.723,3.563,4.756,9.003,9.036,4.792,6.37,14.757,7.621,14.381,15.954,11.525,8.849,6.35,7.573,10.727,14.93,14.144,22.101,30.242,36.683,37.769,31.011,21.189,16.161,18.092,19.762,4.107,-0.477,3.622,3.281,-7.401,-13.391,-13.47,-13.547,-12.616,-12.394,-8.755,-10.678,-11.781
AU,New South Wales,parks,7.146,-5.577,-4.388,-3.547,4.274,3.516,13.362,28.359,-7.004,-27.831,-31.449,-39.734,-11.314,-0.888,-1.097,-17.282,-15.257,-5.242,4.665,-0.619,-35.969,-16.43,-35.058,-27.172,-13.086,-3.271,-3.581,-9.771,2.771,-29.539,-34.328,-42.753,-34.846,-31.418,-40.123,-28.415,-39.55,-36.573,-44.239,-49.063,-48.445,-51.22,-28.514
AU,New South Wales,residential,-0.113,-1.804,-1.873,-1.499,-1.936,-3.73,-2.071,-0.707,-1.846,-1.327,0.083,0.573,-2.274,-0.441,1.261,-0.497,-0.674,-0.606,-0.634,-1.671,2.563,2.965,2.921,4.112,5.527,6.537,6.093,6.297,6.466,9.711,14.489,17.052,18.917,18.454,15.372,14.179,18.912,19.881,21.33,22.545,22.033,17.397,14.81
AU,New South Wales,retail/recreation,3.49,-1.05,-3.356,-3.531,2.757,3.028,6.323,3.805,-1.252,-4.064,-2.89,-3.248,1.723,3.356,2.099,-1.58,-4.533,-3.89,0.035,-1.008,-5.704,-3.478,-5.268,-6.499,-8.233,-8.987,-14.534,-18.514,-17.136,-20.637,-34.468,-37.83,-38.162,-40.194,-45.395,-46.046,-44.355,-44.818,-45.856,-45.904,-45.494,-47.53,-44.849
AU,New South Wales,transitstations,1.478,7.104,9.181,7.619,10.67,12.226,15.678,4.202,7.454,5.89,2.112,1.948,5.825,5.121,-6.82,4.379,1.467,1.74,2.163,1.312,-14.872,-17.796,-13.89,-19.342,-22.378,-24.615,-25.833,-26.686,-35.196,-39.575,-49.37,-54.791,-56.824,-55.906,-54.042,-59.218,-62.394,-63.02,-64.621,-65.353,-63.87,-60.053,-61.255
AU,New South Wales,workplace,-0.643,18.191,15.173,14.915,16.121,18.74,4.25,0.094,19.191,15.492,13.879,14.699,17.686,3.76,-0.362,16.402,14.029,13.686,13.759,14.404,1.417,-1.661,9.334,2.118,-1.654,-3.204,-2.964,-5.666,-12.0,-10.994,-24.915,-29.333,-32.838,-31.971,-29.919,-36.173,-37.939,-41.708,-42.539,-42.994,-40.728,-36.362,-38.985
AU,Northern Territory,grocery/pharmacy,9.282,4.544,-0.97,4.735,-0.323,8.986,10.901,15.47,7.341,-0.97,7.102,12.293,12.646,14.838,9.626,3.845,-0.323,5.749,3.882,15.309,13.929,22.346,21.672,12.94,20.63,21.351,24.294,20.288,12.032,28.663,7.117,13.866,4.852,9.984,-6.359,-13.751,-5.593,-10.352,-6.088,-2.264,9.318,-9.387,-16.502
AU,Northern Territory,parks,1.447,32.292,21.417,5.531,-2.79,4.2,18.735,13.744,16.667,3.894,7.375,28.832,12.601,13.489,-4.34,10.417,11.682,15.671,19.531,14.281,17.236,10.851,12.5,6.815,5.531,5.58,10.081,5.246,-0.723,4.167,-14.603,-15.671,-11.161,-13.441,-21.733,-20.978,-14.583,-23.364,-21.202,-18.601,-21.841,-20.983,-22.425
AU,Northern Territory,residential,-0.265,-1.45,-1.337,-1.142,-1.41,-2.665,-1.016,-0.49,-0.448,-1.453,-0.695,-0.385,-2.167,-0.084,-0.157,3.993,-0.712,-0.675,-0.757,-0.814,2.208,2.447,1.143,3.017,4.708,5.478,5.655,6.709,6.443,7.894,12.387,14.39,15.934,16.725,14.791,13.298,16.235,17.834,18.894,20.045,20.077,17.227,14.336
AU,Northern Territory,retail/recreation,7.736,7.794,5.125,7.093,2.609,11.393,11.465,5.086,5.372,2.562,8.551,9.597,12.079,11.288,5.616,3.37,3.351,4.567,3.913,6.767,9.51,3.073,7.794,2.07,2.721,5.497,4.026,-0.8,-5.086,-4.002,-16.064,-14.77,-21.523,-25.014,-31.019,-36.029,-24.435,-26.214,-25.167,-24.691,-24.928,-27.464,-30.201
AU,Northern Territory,transitstations,7.53,11.071,6.599,5.354,3.949,5.365,-9.921,-2.51,8.052,8.013,4.381,6.912,1.788,-3.858,-6.903,1.006,4.242,3.407,4.443,-1.788,-10.472,-9.413,-4.529,-6.599,-8.275,-6.912,-10.283,-22.046,-18.825,-10.064,-21.682,-29.206,-32.583,-40.683,-48.501,-57.103,-45.29,-41.478,-45.269,-47.887,-47.389,-54.012,-60.241
AU,Northern Territory,workplace,2.66,22.952,17.986,18.677,13.651,22.12,5.903,4.433,23.915,17.836,20.499,16.768,20.708,2.431,4.876,22.952,17.386,20.044,16.916,21.022,2.083,4.433,24.557,16.487,18.373,16.174,18.668,-2.083,-1.773,18.137,5.995,5.011,-0.742,0.628,-21.528,-23.936,-2.247,-9.143,-8.655,-11.129,-7.844,-24.306,-25.709
