state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Alabama,Autauga County,2020-02-23,3.181,23.972,-0.4,-0.179,16.127,4.927
Alabama,Autauga County,2020-02-24,-5.169,-13.269,2.198,-2.148,1.724,1.733
Alabama,Autauga County,2020-02-25,,27.034,0.316,10.295,7.457,3.15
Alabama,Autauga County,2020-02-26,5.228,6.692,-0.937,18.199,11.064,3.735
Alabama,Autauga County,2020-02-27,11.483,13.823,-0.695,14.384,8.865,1.871
Alabama,Autauga County,2020-02-28,10.003,20.428,-1.362,12.755,10.017,2.397
Alabama,Autauga County,2020-02-29,10.146,54.696,-2.923,22.367,20.174,5.419
Alabama,Autauga County,2020-03-01,13.12,52.844,-1.995,15.777,20.797,2.815
Alabama,Autauga County,2020-03-02,3.976,-1.954,0.441,15.392,4.765,4.764
Alabama,Autauga County,2020-03-03,8.413,33.041,-1.26,22.508,5.071,3.78
Alabama,Autauga County,2020-03-04,-4.022,-8.03,1.153,5.373,1.538,2.905
Alabama,Autauga County,2020-03-05,12.303,-0.293,0.819,7.745,3.603,2.911
Alabama,Autauga County,2020-03-06,10.348,29.252,-1.012,4.127,9.839,4.141
Alabama,Autauga County,2020-03-07,10.823,62.692,-2.365,9.842,17.875,10.838
Alabama,Autauga County,2020-03-08,8.349,54.632,-1.43,10.219,20.174,9.15
Alabama,Autauga County,2020-03-09,11.927,44.69,-1.071,15.392,9.277,3.682
Alabama,Autauga County,2020-03-10,12.42,20.718,0.463,13.61,4.325,-1.68
Alabama,Autauga County,2020-03-11,12.066,27.018,-0.775,12.653,6.797,3.735
Alabama,Autauga County,2020-03-12,27.477,42.712,-1.138,14.542,7.822,2.287
Alabama,Autauga County,2020-03-13,53.118,26.195,0.303,8.378,7.123,2.615
Alabama,Autauga County,2020-03-14,39.908,54.757,-0.194,5.752,12.243,3.011
Alabama,Autauga County,2020-03-15,22.662,16.224,2.341,-4.662,5.915,-6.334
Alabama,Autauga County,2020-03-16,23.457,21.572,3.98,3.222,1.724,-13.427
Alabama,Autauga County,2020-03-17,16.426,24.954,7.202,-5.932,-1.342,-19.111
Alabama,Autauga County,2020-03-18,23.327,38.896,8.201,-6.413,-2.729,-23.655
Alabama,Autauga County,2020-03-19,28.297,26.622,10.31,-13.594,-7.538,-26.821
Alabama,Autauga County,2020-03-20,23.8,7.296,13.517,-25.135,-13.801,-30.727
